molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC1i|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
17_a20|0.0|0|0|3.445659565|0.0|0|0|0.0|-0.064380628|-0.005457467|4.727387819|0.00038506|0.0388043479999999|1.652760156|-0.28924577|-0.000495713|0.038629586|-0.072863159|1|0.000922796|-0.202695123|-0.127696675|0.812578598|0.71987165|1|-0.081404237|0.015032258|-41.75129828|9.857999796|66.47074027|57.67438055|-0.0315649079999999|10.50834496|-1.5466805119999998|-27.38007162|-20.699942|51.60929807|0.455285305|2761.976599|598.1153253|-1014.297158|2210.790304|0.24569612|8.198616089|15.05121151|0.83582343|6012.640572|161.12498630000002|27.44244402|0.016793117|-333.5397332|1344.679757|637.7803874|11.012753300000002|0.0|1.0|1.0|1.0|1.0|3.5|2.83|0.08|-10.14|5.8|1.45|2.0|119.48|0.0|4.0|-5.36|5.0|-6.09|402.45|0.0|1.0|0.0017699999999999|8.35e-06|0.00336|3.75|7.19e-11|2.9e-08|-0.0706799999999999|3.3926|673.68|1157.26|365.45|543.09|0.69839|0.69839|-1291.692325|0.2977|-0.14021|3.9703|-1291.752049|5.3075|2.25|5.6478
12k_a36|0.0|0|0|3.483171769|0.0|0|2|0.0|-0.076124222|-0.0071232019999999|5.351858133|-0.063399056|0.039061728|0.0|-0.413145744|0.002782748|0.003690005|-0.058284869|1|0.003724542|-0.1619981409999999|-0.102077284|0.8647233590000001|0.856135378|0|-0.101946803|0.018067063|-49.87227128|11.90012613|46.79001927|103.5614526|-0.037758075|0.0|-2.038936068|-32.84907515|-24.86988906|61.7723974|0.478908312|2792.202559|555.1026569|-1342.974009|2294.707886|0.219318299|7.241602627000001|13.89698356|0.919048073|6027.033337|144.457092|31.85663123|0.016847116|-369.7499256|1720.258086|698.847203|11.0965905|1.0|0.0|1.0|0.0|2.0|4.89|0.0|0.12|-7.01|3.62|2.38|1.0|133.84|0.0|6.0|-4.58|4.0|-6.34|407.47|1.0|0.0|0.0106|2.82e-05|0.0115|3.45|9.66e-08|3.94e-05|-0.0497|3.6631|697.92|1186.08|338.46|530.51|0.5249199999999999|0.70031|-1310.072976|0.0908|-0.15053|5.7818|-1310.134752|7.3988|14.0|7.8539
2_a33|0.0|1|1|3.396444161|0.0|0|0|0.0|0.047294725|-0.009168933|5.733341277|-0.064926835|0.039958333|2.112255684|-0.476784502|-0.002514803|0.070526947|-0.05997501|3|-0.000810928|-0.148024156|-0.096644295|0.8799816220000001|0.753434785|1|-0.104047115|0.018451635|-49.13901703|11.27469555|103.5201191|110.28338390000002|-0.031851158|44.34034244|-1.56070672|-30.02592687|-19.46234551|60.41371259|0.4699986339999999|2632.195388|500.7570617|-953.6549298|3245.244678|0.297402265|6.152818143999999|11.60906093|0.8867875909999999|6067.635829|181.7248125|27.70055258|0.019430318|-247.5908207|1357.327077|618.9134881|11.8727102|1.0|0.0|1.0|1.0|2.0|3.57|3.51|0.3|-7.67|6.7|1.33|2.0|115.28|1.0|7.0|-6.35|4.0|-6.17|411.54|0.0|1.0|0.000183|1.6800000000000002e-05|0.0069|3.72|2.13e-08|8.78e-06|-0.04967|3.6281|655.74|1128.98|341.74|525.38|0.70205|0.70205|-1919.830424|0.2911|-0.15012|4.2519|-1919.890628|5539.0|6.0|8.2596
3_a20 (SB-525334)|0.0|0|0|3.502142227|-0.08980269|0|0|0.0|-0.048050965|-0.005492814|4.727387819|-0.053897691|0.0526353279999999|1.728260385|-0.274640708|0.001924142|-0.175513234|-0.119584218|1|0.0033523629999999|-0.277724429|-0.17447922|0.76423988|0.7835436240000001|1|-0.0917096759999999|0.0123308269999999|-34.52869143|6.965173618|43.70154849|70.23182172|-0.029269046|0.0|-1.375645142|-19.50382741|-16.53287135|41.49386505|0.457398769|2243.481559|494.6267525|-777.0449536|1782.992456|0.215089498|5.943823875|10.9543133|0.8429740729999999|4905.195832|121.495147|21.06338405|0.0117802769999999|-321.8682802|989.9790502999998|520.6749407|6.654190521|1.0|1.0|1.0|1.0|1.0|3.37|2.82|0.24|-8.39|5.2|1.69|1.0|104.59|0.0|3.0|-4.85|4.0|-5.74|343.42|1.0|1.0|0.00489|1.88e-05|0.00647|3.74|4.07e-09|1.4e-06|-0.0671399999999999|3.1728|605.71|1030.31|390.77|498.74|0.49443|0.70168|-1086.329436|0.1171|-0.13417|3.7291|-1086.383308|4.8164|162.0|6.7905
7_a3|0.0|0|0|0.0|0.0|0|0|0.0|0.198126776|-0.008855374|4.727387819|-0.106234254|0.03757716|1.989724777|-0.327648836|-0.007540435|0.054347129|0.030246987|1|-0.006696449|0.036673175|0.0507482109999999|0.8632654590000001|0.773152968|1|-0.096448591|0.009708941|-51.18177092|4.804535747|230.9407974|107.7330046|-0.036877402|76.07607751|-1.253831681|-25.32764885|-18.2490344|55.98630667|0.3987206729999999|2196.07224|387.1238241|-620.4671695000001|1952.029549|0.2007853889999999|5.198046584|8.644978051|0.663120542|5055.700186|99.36002106|22.83370969|0.0149999089999999|-296.13678660000005|776.3461295|353.7528308|7.422807617|1.0|1.0|1.0|1.0|1.0|3.02|2.61|0.0|-7.48|4.96|2.11|1.0|95.5|0.0|2.0|-5.44|3.0|-5.68|338.81|0.0|1.0|0.00124|1.34e-05|0.00455|3.79|3.28e-08|1.11e-05|-0.0640299999999999|3.4435|522.73|883.88|360.06|362.61|0.3456|0.69224|-1731.602893|0.1262|-0.14816|3.1299|-1731.651178|3.9813|1023.0|5.9901
4g_a49|0.0|0|0|0.0|0.0|2|2|4.107873566|-0.087219006|-0.003686314|6.107022888|-0.008414823|0.036761229|3.4246879480000003|-0.328081947|0.007953069|0.003456679|0.08591712|2|0.007845545|-0.066023903|0.144740607|0.81242269|0.626581708|2|-0.0666753309999999|0.018944337|-61.24875669|18.87757641|151.0705543|139.3194688|-0.0250032489999999|74.95505057|-2.000259924|-61.03291321|-24.91513644|80.12633309|0.48934952|4706.348867000001|857.1564845|-1993.210915|4747.967275999999|0.372642776|9.28937554|18.19125978|0.958286615|11516.07629|371.3295653|39.71443299|0.023762615|-253.8168226|3177.154639|1714.878736|23.67887448|0.0|0.0|1.0|0.0|1.0|4.83|4.36|0.1|-13.67|6.09|2.87|2.0|198.32|0.0|7.0|-7.47|7.0|-6.6|663.73|0.0|0.0|2.24e-05|3.72e-08|2.47e-05|5.28|2.13e-14|1.4199999999999998e-11|-0.06458|3.6269|985.89|1766.47|341.84|662.84|0.33449|0.69238|-2147.217543|0.0265|-0.15087|3.4099|-2147.295787|4.5147|106.0|6.9747
10_a4|0.0|0|0|0.0|0.0|1|1|2.146166934|-0.180140166|-0.002959121|5.4161004020000005|0.005483539|0.038699764|2.149387791|-0.159792527|0.01107733|-0.122141977|-0.090413559|1|0.011142889|-0.132895939|-0.150288496|0.861225169|0.6799081490000001|1|-0.079432495|0.014582852|-29.52653193|8.440134933|39.48408698|45.34497624|-0.027007048|64.26218096|-1.350352423|-17.08910641|-15.63090193|37.96666686|0.4858700179999999|2480.063587|533.4262268|-781.5450965|2064.276654|0.255470315|5.759414166|11.20225306|0.945033425|5598.949417|147.85886159999998|20.99433004|0.014040792|-283.0534799|1049.716502|594.7358385|8.126406226|1.0|1.0|1.0|1.0|0.0|3.46|3.38|0.26|-8.07|4.93|2.53|2.0|111.38|0.0|4.0|-4.66|4.0|-5.83|370.45|1.0|1.0|0.00818|1.4e-05|0.00519|3.85|8.51e-09|3.15e-06|-0.04689|3.6465|619.99|1083.65|340.01|470.02|0.4662|0.7038399999999999|-1183.54701|0.0176|-0.15561|1.4517|-1183.602045|2.2386|88.0|7.0555
8a_a32|0.0|1|1|3.217128449|0.0|0|0|0.0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|0.04008547|2.059960334|-0.497414715|-0.003484915|-0.020716518|-0.128684642|3|-0.001662219|-0.1534110109999999|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|-0.109412858|0.018321589|-52.34893512|11.48993376|73.64907732|116.298071|-0.035678106|66.81560596|-1.641192863|-32.82934751|-22.37464674|63.83886888|0.480024324|2574.085885|510.8273411|-1029.23375|3312.822051|0.250915471|7.420041446|14.26997798|0.923166883|5659.295213|157.3554684|29.86932167|0.017733503|-312.4144752|1373.988797|557.1050635|11.12113054|1.0|1.0|1.0|1.0|2.0|3.48|3.67|0.26|-7.65|6.49|1.37|2.0|110.69|1.0|7.0|-6.82|4.0|-5.76|397.52|0.0|1.0|6.03e-05|1.02e-05|0.00406|4.17|2.23e-08|8.86e-06|-0.06166|3562.0|667.29|1110.23|348.07|566.07|0.70316|0.70316|-1880.536478|0.4315|-0.1445|4.8933|-1880.595748|7.6703|45.0|7.3468
LY580276_a4|0.0|0|0|0.0|0.0|1|1|2.067497166|-0.156842923|-0.001543874|5.4161004020000005|-0.020236527|0.044357639|0.0|-0.063298854|0.010217376|-0.172607392|0.011772853|1|0.009622161|-0.042912895|0.019144144|0.847526918|0.518109998|0|-0.071023484|0.008729943|-27.6229776|4.207217677|11.22286434|63.36073061|-0.028035586|82.46094409|-1.065352257|-13.31233017|-13.51117823|31.83019528|0.437093506|1948.220005|418.5688558|-513.4247728|1511.5340210000002|0.152153004|5.456603642999999|9.693623538|0.7764939829999999|4098.640927|73.32703409|15.93586849|0.008312438|-335.2755182|605.5630025|345.4102548|4.0060099860000005|1.0|1.0|1.0|1.0|0.0|3.01|3.04|0.22|-6.56|4.49|3.13|0.0|84.74|0.0|2.0|-3.67|3.0|-5.71|293.34|1.0|1.0|0.0624|6.18e-05|0.0181|3.35|2.75e-07|8.08e-05|-0.0225|4.4918|519.23|865.23|276.03|402.99|0.36903|0.68002|-959.356125|0.1842|-0.18746|2.5355|-959.404416|3.2891|175.0|6757.0
14i_a23|0.0|1|1|0.0|0.0|2|0|3.2692375460000003|0.142566578|-0.010148243|5.351858133|-0.130330047|0.0432555559999999|0.7151570629999999|-0.558153376|0.002243702|-0.018541856|-0.026731172|2|0.002496501|-0.033435987|-0.04255066|0.864206467|0.7333675390000001|1|-0.096562208|0.0214262489999999|-60.8283953|14.65077903|324.811841|151.83084580000002|-0.039760909|93.48624142|-2.027806362|-41.59306642|-27.18760085|75.47917433|0.478050606|3097.406945|531.9462982|-1386.567643|2447.1741030000003|0.221904316|8.107659819|15.53342127|0.915894552|7030.347905|151.7330992|34.94120504|0.019276934|-380.3109456|1782.001457|693.3423458|13.18112713|0.0|0.0|1.0|0.0|2.0|3.56|2.64|0.04|-6.96|2.57|2.28|1.0|128.38|1.0|6.0|-5.21|5.0|-7.33|454.51|0.0|0.0|0.00278|4.03e-05|0.0183|2.46|1.11e-07|5.03e-05|-0.08025|3.6931|715.68|1224.02|335.72|580.74|0.55606|0.55606|-1798.371346|0.3639|-0.1509599999999999|5.9563|-1798.434186|8.3755|3.0|8.4622
7f_a8|0.0|0|0|2.961566988|0.0|1|0|1.2793830309999998|-0.139912829|-0.005338193|4.844187086|-0.073219554|0.044814815|0.0|-0.234880498|0.00112124|-0.087673259|0.0260356679999999|1|0.00084936|0.141285105|0.041366689|0.7677336090000001|0.507325475|0|-0.08790841|0.0138113419999999|-52.28313554|7.858266077000001|53.09327646|130.7330978|-0.040738044|55.49953831|-1.670259798|-29.74763659|-23.17880348|60.14140162|0.4513917389999999|2534.956113|438.23883319999993|-950.3309426|1854.738581|0.119077775|7.704280774|14.04331892|0.822794279|5662.145174|67.75191165|26.31197491|0.010262531|-433.4681077|1078.790971|446.5544107|5.839092213|1.0|0.0|0.0|0.0|1.0|3.14|3.23|0.0|-8.46|5.52|4.27|2.0|101.89|0.0|3.0|-5.68|4.0|-5.27|373.35|0.0|1.0|0.00078|3.16e-06|0.00118|4.66|3.5e-09|1.31e-06|-0.07492|3.4810000000000003|584.99|991.61|356.17|495.55|0.7024199999999999|0.6987399999999999|-1285.017838|0.1502|-0.14506|8.7098|-1285.071664|11.6137|35.65|4.4479
27a_a34|-3.727789|0|0|0.0|0.0|1|1|1.963136117|0.0257175079999999|-0.012620846|5.351858133|-0.456594848|0.0408037829999999|0.0|-0.7320090459999999|-0.012495918|-0.026428049|-0.008138446|1|-0.005234221|-0.264978526|-0.012251785|0.832753533|0.749941528|0|-0.123191967|0.026573385|-74.78290605|18.62986903|176.4623026|279.75296960000003|-0.043345322|22.69787432|-2.340647376|-52.42823715|-30.38821209|93.41277507|0.436895447|3394.470264|421.319507|-1640.9634529999998|2252.433058|0.235078289|8.960143164|15.91204178|0.7758691440000001|7104.26596|164.80691819999998|39.72721867|0.020552444|-371.4586403|2145.269808|718.5861133999999|14.40875302|1.0|1.0|1.0|1.0|2.0|3.66|2.58|0.13|-7.61|2.01|1.06|1.0|122.61|0.0|6.0|-4.96|7.0|-7.29|463.51|0.0|0.0|0.00504|3.43e-05|0.0159|2.59|2.44e-08|1.13e-05|-0.03924|4.1228|737.7|1247.85|300.73|598.18|0.40378|0.69818|-1861.468024|0.0203|-0.16691|10.8591|-1861.534743|13.9023|0.24|6.6198
47r_a18|0.0|0|0|0.0|0.0|0|1|0.0|0.029358241|-0.0058631659999999|4.844187086|-0.216996268|0.035706215|0.0|-0.40455848|-0.005176133|-0.02952923|-0.030106257|0|-0.0001597829999999|-0.362261236|-0.048143486|0.8075001|0.7554975009999999|0|-0.087091542|0.0155038689999999|-62.75220741|11.59378448|13.30156885|172.30927739999998|-0.031669652|60.66168882|-2.090197013|-46.92606587|-23.68254797|74.34599189|0.49394971|3389.050097|575.4901675|-1563.048166|1504.28892|0.311925149|9.819988422|19.40516312|0.976088187|7727.455993|233.2574532|34.41856352|0.0225607039999999|-281.2845386|2271.625192|1005.982493|16.87088158|1.0|1.0|1.0|1.0|2.0|4.55|0.0|0.22|-7.46|0.43|2.23|3.0|145.82|0.0|9.0|-6.65|4.0|-6.12|504.6|0.0|0.0|0.0001139999999999|2.31e-06|0.00117|4.59|3.48e-08|1.76e-05|-0.0522799999999999|3.1705|790.57|1387.23|391.06|729.75|0.69545|0.69545|-1964.443758|0.6007|-0.13021|2.3873|-1964.516246|3.2001|231.0|6.6364
15_a31|0.0|0|0|3.155574452|0.0|0|1|0.0|0.1893807519999999|-0.018913735|5.733341277|-0.134784483|0.038809524|0.0|-0.775463115|-0.011797858|-0.070065105|-0.074455342|2|-0.007631228|-0.272545088|-0.116356616|0.8582665429999999|0.782925607|0|-0.131697567|0.038524836|-61.76522754|20.47825449|141.1489667|230.1075793|-0.041588706|514.6215199|-1.58037081|-32.83191294|-22.10688462|82.24348203|0.466164359|2351.566145|301.452236|-840.0616157|1675.977147|0.358466423|6.148947296|11.51842782|0.873235738|5087.628096|190.5463457|34.45943505|0.03396368|-150.46712390000002|1309.458532|363.593507|18.05372755|0.0|1.0|1.0|1.0|2.0|3.31|1.64|0.19|-5.66|4.12|0.41|0.0|90.47|0.0|4.0|-4.28|5.0|-6.84|342.37|0.0|1.0|18.0|0.000272|0.0931|2.18|2.19e-06|0.000749|-0.04192|4569.0|556.68|925.93|271.36|452.98|0.5241899999999999|0.5241899999999999|-1460.736142|348.0|-0.15202|5.5793|-1460.790873|7.5831|1.1|5.9586
16_a4|0.0|0|0|0.0|0.0|1|1|1.843196334|-0.219944434|-0.00228637|5.4161004020000005|-0.095499301|0.04501634|0.0|-0.089168424|0.0067511459999999|-0.148022089|0.019290123|1|0.006466406|-0.0513920109999999|0.0293772029999999|0.8366279120000001|0.482473457|0|-0.080093659|0.013727656|-36.11951685|6.761192037000001|13.51923899|103.5057102|-0.033372358|74.430775|-1.201404885|-17.789707500000002|-16.43666742|42.88070889|0.455802506|2101.6948030000003|389.0176968|-591.7200271|1522.164774|0.167538305|5.548106463|10.19502391|0.837568182|4520.2597670000005|82.51653675|19.74465314|0.0115138339999999|-327.4903335|710.807513|322.8922084|5.67083266|1.0|0.0|1.0|0.0|0.0|3.26|3.08|0.11|-6.36|4.49|3.44|1.0|85.02|0.0|2.0|-3.92|4.0|-5.64|309.31|1.0|1.0|0.0371|3.68e-05|0.0114|3.59|4.33e-07|0.000134|-0.03965|4.2257|515.68|856.55|293.41|407.99|0.51149|0.54061|-1057.3808390000002|0.1006|-0.17375|1863.0|-1057.429593|1.9873|343.0|6.4647
12am_a36|0.0|0|0|3.340519946|-4.723487246|0|2|0.0|0.088482802|-0.015884751|5.351858133|-0.297354748|0.044036281|0.0|-0.921315581|-0.011700732|-0.050505733|-0.037654321|1|-0.007897954|-0.3344729369999999|-0.05754717|0.885733922|0.624142499|0|-0.118101664|0.017590648|-63.19394154|12.15249658|128.69607109999998|127.81651770000002|-0.045928425|1.038361162|-2.480134939|-43.65752487|-31.72964526|75.34643812|0.484558903|3230.6292780000003|563.0333297999999|-1713.4008440000002|2603.072527|0.211665165|8.772646622|17.01968794|0.940085891|7238.033439|146.228847|40.24894481|0.020179019|-398.3921535|2173.44302|672.4630346|13.94067198|1.0|0.0|1.0|0.0|2.0|4.81|0.0|0.17|-7.14|3.31|2.04|2.0|130.43|0.0|7.0|-5.2|8.0|-6.4|465.43|0.0|0.0|0.00291|8.6e-06|4.0|3.86|7.24e-08|3.37e-05|-0.0569799999999999|3.8606|714.21|1206.77|321.15|562.14|0.40752|0.6805100000000001|-1644.952145|0.2987|-0.15658|5.9258|-1645.016323|8.0872|0.06|7.2218
12d_a40|0.0|0|0|0.0|0.0|1|0|1.753432382|0.1028826769999999|-0.008004393|5.4161004020000005|-0.107711573|0.043185185|0.794852923|-0.288158151|-0.000134504|0.087954209|-0.166080871|2|-0.002126898|0.224167029|-0.254735308|0.845904643|0.6948809659999999|1|-0.091630294|0.01171131|-50.68561427|6.204226377|207.39648|84.53363343|-0.038873458|60.80168183|-1.282824111|-26.85139526|-20.59374436|56.88984065|0.470893531|2270.596857|445.2300015|-679.5935638999999|643.5166227999999|0.155716451|7.877041626|14.88744155|0.8899787840000001|5101.479206|82.49291335|24.39197636|0.01245259|-364.7778083|804.9352200000001|350.9435025|6.596929268999999|1.0|0.0|1.0|1.0|1.0|3.23|2.94|0.0|-6.84|4.59|3.76|2.0|96.16|0.0|2.0|-6.25|2.0|-5.13|361.25|0.0|1.0|0.0002009999999999|2.61e-06|0.000942|4.75|1.44e-07|5.2e-05|-0.07765|2.7962|552.57|910.58|443.4|435.41|0.55983|0.70435|-2153.071733|115.0|-0.11604|1.2683|-2153.123107|1.9961|19.0|7.7212
12_a47|0.0|1|1|2.903215905|0.0|0|0|0.0|-0.155854903|-0.005522244|4.59511985|-0.078935336|0.036632997|1.555521837|-0.209845277|-0.0047488359999999|-0.018573056|0.0295267039999999|1|-0.004332024|-0.015039637|0.050943962|0.90246604|0.618808977|1|-0.091853238|0.018014416|-44.18983348|9.382250925|63.89392714|112.4599133|-0.034116917|0.0|-1.1940921|-23.01490672|-17.76874008|53.5720844|0.4792593739999999|2266.78114|408.3591283|-621.9059029|702.3796319|0.319276179|7.042279354|13.52358352|0.920341815|4816.005822|166.28511369999998|26.10271529|0.025457205|-188.2488142|913.5950352|335.1175012|13.25859692|1.0|1.0|1.0|1.0|2.0|2.73|1.67|0.0|-8.11|4.19|2.6|0.0|91.63|0.0|3.0|-4.51|4.0|-5.94|339.75|1.0|1.0|0.0106|2.77e-05|0.00943|3.43|7.69e-09|2.61e-06|-0.0623|3.9538|537.79|886.46|313.58|400.09|0.66387|0.68557|-1487.974738|0.2241|-0.1633|2.1019|-1488.024564|3.5884|6.0|8.2
12_a3|0.0|0|0|0.0|0.0|0|0|0.0|0.167987916|-0.009093383|4.727387819|-0.118456941|0.042795699|2.07135708|-0.336455156|-0.006049098|-0.045382017|-0.069857022|1|-0.0045709459999999|0.032450556|-0.125395523|0.784451598|0.841871246|1|-0.096133903|0.011076075|-44.07517037|5.258353635|239.2266101|80.99228663|-0.039584548|76.23910943|-1.345874639|-20.92463497|-18.79271742|49.333524|0.463780604|2056.502939|393.75653|-638.9523922000001|1064.221958|0.169581355|5.6343192|10.50748861|0.864908294|4400.493202000001|80.50854774|22.63041363|0.01374218|-313.7317211|769.4340634|330.4083896|6.524083564|1.0|1.0|1.0|1.0|1.0|3.2|2.17|0.0|-6.89|4.34|1.6|1.0|90.49|0.0|2.0|-5.68|3.0|-5.3|304.37|0.0|1.0|0.000629|1.44e-05|0.0044|4.03|1.3e-07|3.9500000000000005e-05|-0.06361|3263.0|515.23|847.25|379.97|361.95|0.69784|0.69784|-1272.010995|0.5056|-0.13153|2.3762|-1272.058487|3.1979|3548.0|5.45
3b_a49|0.0|0|0|0.0|0.0|1|1|2.104186262|-0.003115526|-0.0057605869999999|5.4161004020000005|-0.055724324|0.034155556|1.844602991|-0.322592863|0.000607064|-0.010613212|0.00361222|1|0.001356445|0.000850823|0.006213385|0.845992028|0.749565191|1|-0.0846496|0.013576151|-54.04959517|8.304484449|325.6896751|153.4719941|-0.0276739079999999|81.60358988|-1.439043207|-33.06194987|-16.92803342|62.35407961|0.477583842|2660.339607|458.224537|-880.2577376|1796.6760370000002|0.3431340539999999|7.236413572000001|13.85181805|0.914182753|5934.158315|209.89391040000004|25.77091035|0.021477952|-191.9087104|1340.087338|641.1445234|13.13798859|1.0|1.0|1.0|1.0|2.0|3.37|2.43|0.22|-7.58|3.16|1.25|1.0|116.94|0.0|6.0|-3.53|5.0|-7.42|398.46|0.0|1.0|0.1169999999999999|0.000256|102.0|1.84|2.64e-08|1.05e-05|-0.06115|3.8418|664.15|1132.92|322.72|480.08|0.5798|0.6632|-1293.048179|0.0759|-0.1587|3.0055|-1293.106236|3.1637|25.0|7.6021
3n_a32|0.0|1|1|3.616639267|0.0|0|1|0.0|-0.0376583329999999|-0.00615216|5.733341277|-0.01504795|0.035643275|2.22272854|-0.295303659|0.000609539|-0.1006122119999999|-0.0711168609999999|3|0.002379137|-0.153506065|-0.121627423|0.868826775|0.762657782|1|-0.092745182|0.01889769|-42.83673428|10.86481886|121.6040686|91.96452611|-0.027401986|0.0|-1.205687365|-24.62805609|-15.75418035|53.70155314|0.456693072|2526.071154|482.963897|-693.1839353999999|2426.73803|0.351066886|6.369579712999999|11.72372261|0.840580248|5553.014016|201.8383309|24.27704797|0.0210408339999999|-171.25176130000003|1068.190111|522.1674161999999|12.0969734|1.0|0.0|1.0|1.0|1.0|3.51|3.29|0.32|-6.96|6.71|1.58|2.0|106.44|0.0|3.0|-5.96|4.0|-5.98|382.5|0.0|1.0|0.000424|1.23e-05|0.0047|3.74|1.1e-07|4.19e-05|-0.05535|3.5459|614.67|1036.75|349.65|464.67|0.7028399999999999|0.7028399999999999|-1825.163542|0.2839|-0.1472099999999999|3.5849|-1825.218291|6.2667|21.0|7.6778
8_a10|0.0|0|0|0.0|0.0|1|1|2.071128354|-0.075368755|-0.00560152|5.4161004020000005|-0.012055162|0.035828092|1.546251312|-0.296880569|0.0087730469999999|-0.15615298|-0.106100115|1|0.009056935|-0.132343104|-0.167376069|0.864927472|0.616731847|1|-0.086233061|0.015758182|-32.63117642|8.619652859|32.98071169999999|68.45976606|-0.029917593|9.35593124|-1.465962037|-17.849103399999997|-16.36478554|41.25082928|0.431797417|2612.274447|478.5356341|-801.8744912000001|1899.542278|0.277350551|6.112185271|10.75705296|0.7599356820000001|6289.86818|151.7094758|22.64553798|0.017582236|-243.5764486|1109.631361|583.7217118|9.617402178|0.0|0.0|1.0|1.0|0.0|3.42|3.27|0.22|-7.6|4.46|2.46|1.0|111.36|0.0|4.0|-4.52|5.0|-6.25|384.43|1.0|1.0|0.0117|2.4100000000000003e-05|0.00926|3.37|2.49e-08|9.59e-06|-0.0623299999999999|3684.0|594.63|1047.58|336.55|416.69|0.41583|0.68815|-1257.59269|0.0916|-0.15556|1.2052|-1257.648047|1.5482|526.0|6279.0
9g_a24|0.0|0|0|2.931798469|0.0|1|0|1.7647373919999998|-0.318471716|-0.00106361|5.283203728999999|0.001126633|0.0279797979999999|0.0|-0.0425444|0.0144065739999999|0.070915465|-0.02471184|2|0.013119312|-0.049325609|-0.045107345|0.859302479|0.657503038|0|-0.065668047|0.01876163|-32.080056199999994|9.283063574|174.88817269999998|65.73938109|-0.021297745|0.0|-0.788016565|-15.87288497|-10.53790724|41.36311977|0.427531635|2123.257348|429.0504306|-389.9025677|1196.910121|0.518073552|6.124370267000001|10.69818114|0.746821416|4355.725609|256.3375151|21.8662148|0.033884884|17.88521849|809.0499476|341.3207334|16.76589519|0.0|1.0|1.0|1.0|1.0|2.8|1.78|0.06|-6.43|2.91|0.64|0.0|87.53|0.0|3.0|-2.49|4.0|-7.17|302.33|1.0|0.0|977.0|0.0008179999999999|247.0|1.37|3.720000000000001e-07|0.000113|-0.03585|4.2802|524.03|879.99|289.67|400.47|0.4227399999999999|0.64993|-984.447764|0.1023|-0.17806|2.9691|-984.497752|4.4131|68.0|7.1675
14s_a23|0.0|1|1|0.0|0.0|2|0|3.336763335|0.020458621|-0.005854379|5.351858133|-0.022580082|0.045277778|0.740898446|-0.298573309|0.010682694|-0.044305947|-0.064006338|2|0.009263715|-0.13187015|-0.1050445769999999|0.846632079|0.659570836|1|-0.080500435|0.019970955|-35.30692476|12.81151517|30.34480575|46.42188642|-0.034255504|82.55990607|-1.610008704|-22.64965286|-21.9751589|48.11843993|0.470919749|2954.0751370000003|595.0854952000001|-1032.832468|2316.634024|0.2251838339999999|7.548546899|14.26730044|0.890072438|6938.271179|144.457092|28.36177131|0.017330177|-352.5931977|1333.003252|633.3278634|11.11743642|0.0|0.0|0.0|1.0|1.0|3.45|3.66|0.05|-7.99|4.0|3.51|2.0|125.29|0.0|5.0|-6.13|4.0|-6.03|445.93|0.0|0.0|0.000334|2.83e-06|0.00126|4.21|1.02e-08|4.55e-06|-0.07783|3.6828|668.66|1164.32|336.66|528.82|0.60323|0.60323|-2089.2914530000003|0.3669|-0.1515|4.7032|-2089.352478|6.4428|3.0|8.5482
