molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|MATS1i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
7e_a8|0.0|1|0|0|3.038052327|0.0|0|0|1.3496955309999998|4.844187086|-0.052939815|0|-0.03633378|-0.11032771|10.94332434|-0.0446343779999999|1|1|0.034227147|0.07125309|0|-0.023521398|-0.072307692|0.790500031|0.8291560379999999|-0.08608941|-0.0886889709999999|0.286669793|0.0215993429999999|-53.04282692|86.03149870000001|0.170843962|102.177831|-0.037446454|-31.72369068|7.725998682999999|-1.6850904519999998|-30.79383811|64.40615805|0.4742828629999999|2605.914474|495.8990914|-13.39444718|0.223998448|14.654025199999998|0.902163597|5808.479788000001|133.9683023|0.018708212|-330.14031780000005|1298.726412|519.5762494|11.18895001|1.0|1.0|0.0|1.0|3.38|0.04|23.0|-8.29|5.16|70.81|3.54|2.0|108.43|4.0|-5.43|0.0|1.0|4.31|1.78e-06|0.000686|3.87e-06|0.00149|4.54|0.0|5.07e-09|1.95e-06|-0.0697|3.8142|3.2363|-1300.495519|-1300.467069|622.23|1060.05|325.06|544.55|0.70177|-1300.271093|9.0006|-0.2054699999999999|0.02845071|35.1|4.4547|4.4547
21_a10|0.0|0|0|0|0.0|0.0|1|1|2.093218896|5.4161004020000005|-0.085463279|2|-0.032405474|-0.023060773|10.92966143|-0.003554514|1|1|-0.0236638829999999|-0.03765494|2|0.057775125|-0.005970601|0.81962595|0.7747854129999999|-0.091053776|-0.084654798|0.8663152820000001|0.018892889|-59.80834512|240.7558768|0.225214587|159.11338909999998|-0.03292131|-42.25440548|9.430154402|-1.777750751|-45.44837698|77.676969|0.391384102|3104.255496|547.3834282|-16.4322688|0.295893365|13.78215169|0.643072426|7048.414464|209.0477207|0.022638817|-288.401376|1783.785559|746.5727327999999|15.99425187|1.0|1.0|0.0|1.0|3.17|0.11|27.0|-8.71|4.47|90.13|2.81|2.0|128.59|5.0|-6.07|0.0|0.0|4.04|1.69e-06|0.0007599999999999|3.12e-06|0.0014|4.17|0.0|1.94e-09|8.68e-07|-0.06082|5.9596|3.8599|-1485.499561|-1485.461532|716.1|1225.01|208.04|517.44|0.68165|-1485.216871|1.5138|-0.2226|0.03802869|4.8|5.3188|5.3188
galu_a46|0.0|0|0|0|0.0|0.0|1|1|2.082220175|5.4161004020000005|-0.080432741|2|-0.090581301|-0.094815394|10.92740177|-0.1121767259999999|1|1|0.028964355|0.0481706809999999|2|0.044184467|-0.173285585|0.875868891|0.7637964079999999|-0.0910072869999999|-0.089050651|0.5235416979999999|0.01235603|-49.84028137|261.2602893|0.236203592|132.199522|-0.03220981|-27.89483984|3.870487977|-1.513861067|-28.50774993|57.85086047|0.468241745|2501.785113|427.4851161|-10.08962292|0.2167824069999999|12.12170938|0.880553787|5641.451892|121.3297832|0.013967104|-317.0250717|1081.799989|542.7276591|7.817173532999999|0.0|1.0|1.0|1.0|2.75|0.18|21.0|-7.13|3.69|86.69|1.84|1.0|108.18|3.0|-6.86|0.0|1.0|2.84|0.0001409999999999|52.0|0.000102|0.0375|2.39|0.0|7.45e-08|2.75e-05|||||||||||||||51.0|7.2924|7.2924
12t_a36|0.0|1|0|0|3.500121488|0.0|2|2|0.0|5.351858133|-0.034194893|2|0.035510516|-0.030990165|10.95395385|-0.0288761339999999|1|1|-0.101854847|-0.169994208|1|-0.009662203|-0.050788309|0.878510663|0.8337556420000001|-0.0735262|-0.100615514|0.318666358|0.017627553|-67.01551397|86.12920631|0.166244358|110.727965|-0.035934112|-44.63604995|7.820109571000001|-2.012310282|-32.61842026|60.71345614|0.48189543|2771.211293|555.3275093999999|-15.94144641|0.21683192|15.36435856|0.930112292|5936.009091|144.422087|0.01547607|-377.2113003|1711.395437|729.1873176|10.30792105|1.0|0.0|0.0|2.0|0.0|0.21|17.0|-7.36|3.62|69.2|2.45|1.0|133.52|6.0|-6.33|1.0|0.0|2.4|2.48e-05|0.0102|2.6600000000000003e-05|0.0109|3.47|0.0|4.38e-08|1.7899999999999998e-05|-0.05302|3.8844|3.6694|-1311.585049|-1311.552739|713.6|1208.04|319.18|562.72|0.70313|-1311.287803|5.9081|-0.2039|0.03230976|8.0|8.0969|8.0969
3i_a32|0.0|1|1|1|2.417426304|-4.547725143|0|0|0.0|5.733341277|-0.363243817|0|-0.21362765|-0.26785886|10.3110028|0.022524712|3|3|-0.054335108|-0.212967423|0|-0.337053202|0.030060554|0.902293804|0.893827987|-0.093279684|-0.1132851459999999|0.259644227|0.015296821|-59.72706743|60.99385995|0.106172013|55.97682661|-0.044627482|-31.48976464|4.252042736|-1.472706897|-25.92886531|57.24454122|0.422644726|2471.4299920000003|471.2508776000001|-12.4050588|0.22927653|10.09193014|0.732035793|5656.349227000001|120.8809386|0.021905206|-285.465827|1007.432506|318.0257595|11.54903146|1.0|1.0|1.0|1.0|2.49|0.13|19.0|-6.96|6.76|110.94|2.09|2.0|88.28|3.0|-5.53|0.0|1.0|4.37|5.37e-07|0.000197|6.85e-06|0.00251|4.23|0.0|1.0900000000000001e-07|4.01e-05|-0.06518|3642.0|3642.0|-1891.833327|-1891.811327|530.5|876.0|340.43|418.24|0.70322|-1891.738614|2494.0|-0.21278|0.02199999|6.0|8.2366|8.2366
19f_a38|0.0|1|0|0|3.3320764830000003|0.0|2|2|0.0|5.351858133|-0.084341564|2|-0.008118156|0.035480177|10.96083376|-0.054832432|1|1|-0.101303149|-0.217394466|1|-0.075025988|-0.094149094|0.8741648479999999|0.750875987|-0.085318318|-0.111307609|0.488059925|0.02107583|-71.10679028|125.7493111|0.249124013|159.14822980000002|-0.037844587|-45.42524686|8.601162122|-1.892229356|-34.81887413|67.96791709|0.453960261|2776.145209|479.6831205|-15.44458393|0.265562447|11.28936331|0.8313685409999999|6115.273372|169.6496169|0.020733452|-299.5321167|1645.906354|595.8790650000001|13.24517938|1.0|1.0|1.0|3.0|2.48|0.14|17.0|-6.86|3.13|81.23|2.4|1.0|125.69|5.0|-6.77|0.0|1.0|2.67|7.209999999999999e-05|29.0|6.77e-05|0.0272|2.78|0.0|1.4e-07|5.610000000000001e-05|-0.05735|5.3197|3.4422|-1332.190216|-1332.160846|653.22|1105.62|233.07|495.68|0.7056100000000001|-1331.945195|5.3152|-0.20104|0.02936908|73.0|7.1397|7.1397
14aa_a23|0.0|0|1|1|0.0|0.0|0|0|3.4143268310000003|5.351858133|-0.026892547|2|0.031136154|-0.029037128|10.313217300000002|-0.044957534|2|2|-0.074579388|-0.13397874|2|0.055269665|-0.070471939|0.8072028240000001|0.924108042|-0.052155763|-0.076107469|0.204831806|0.018016316|-51.83122853|40.49537336|0.075891958|51.68445972|-0.03159178|-35.2984572|8.355923226|-1.6743643259999998|-24.18971469|47.78906871|0.4930525229999999|2941.302235|629.3423691|-14.65218978|0.203340553|15.78173785|0.972590939|6651.23042|138.4803717|0.013786041|-404.0660854|1431.335599|733.3886349999999|9.388663605|0.0|1.0|1.0|1.0|3.68|0.12|26.0|-8.16|4.4|105.02|3.45|2.0|130.22|5.0|-5.92|0.0|0.0|4.1|5.9e-07|0.000259|2.81e-06|0.00123|4.31|0.0|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|3.5934|-1708.5626|-1708.5422620000002|715.57|1231.11|345.03|588.45|0.6805899999999999|-1708.276011|5.8286|-0.21573|0.02033777|4.0|8451.0|8451.0
9_a27|0.0|1|0|0|2.627701427|0.0|0|0|1.830911754|4.727387819|-0.050617284|2|-0.152086653|-0.051160217|10.93740461|-0.0447599329999999|1|1|-0.101933162|-0.171520296|2|0.017503266|-0.071974951|0.8806964490000001|0.7988644709999999|-0.078270599|-0.088404481|0.36853691|0.019589991|-45.58003501|128.27738490000002|0.2011355289999999|103.702486|-0.033677898|-23.50038785|5.20756849|-1.414471696|-20.80651808|50.45546414|0.466349763|2256.4955670000004|411.8826346|-8.952528705|0.210719846|9.442988795|0.873886547|4962.727436|108.6440173|0.014524299|-298.297086|923.9818797|424.8821143|7.488512291|1.0|1.0|1.0|1.0|2.62|0.16|21.0|-7.06|3.85|76.46|2.66|0.0|97.46|3.0|-6.33|1.0|1.0|2.99|8.66e-05|0.0287|8.28e-05|0.0274|2.8|0.0|8.69e-08|2.88e-05|-0.0471|5.5421|4.1673|-1083.143348|-1083.118736|549.64|945.35|223.71|425.08|0.59444|-1082.965434|2.7456|-0.2187|0.02461151|2.0|8699.0|8699.0
7c_a10|0.0|0|0|0|0.0|0.0|1|1|2.1219657030000003|5.4161004020000005|0.012145872|2|-0.1122332619999999|-0.033792245|10.92926158|-0.066271289|1|1|-0.12177839|-0.191576261|2|-0.087063341|-0.105104647|0.84177174|0.906276489|-0.05074318|-0.0876410609999999|0.487148112|0.027436939|-51.2378943|87.99694927|0.093723511|54.79389751|-0.0223398779999999|-29.95538587|9.377842892|-1.139333798|-17.34382833|45.70671102|0.4675549639999999|2616.8970870000003|529.8395322|-7.635686595|0.47369361|12.58937144|0.8781281320000001|6034.895823|276.93712|0.0269852389999999|-30.75918962|1265.598592|611.4957509|15.7764728|1.0|1.0|1.0|0.0|3.49|0.26|21.0|-7.78|4.59|62.06|1.99|1.0|113.07|4.0|-6.2|1.0|1.0|3.59|3.59e-05|0.0139|2.05e-05|0.00793|3.46|0.0|1.66e-08|6.4e-06|-0.04004|5.4267|3.8357|-1259.011598|-1258.985004|635.47|1102.43|228.47|488.89|0.68708|-1258.744382|3.9465|-0.20059|0.02659395|3.81|5.4191|5.4191
14_a47|0.0|1|1|1|2.871076328|0.0|0|0|0.0|4.59511985|-0.136491228|2|0.017068634|-0.01670074|10.95058279|0.0295267039999999|1|1|-0.020596219|-0.061837113|2|-0.085385518|0.050943962|0.8467634620000001|0.681598464|-0.093553938|-0.094132436|0.2662137639999999|0.020106089|-47.47362906|64.60629385|0.318401536|160.57883|-0.034963476|-23.9422834|5.113919242|-1.223721666|-23.79514424|57.32194098|0.474828277|2254.664317|343.7492333|-8.892848121|0.335290281|13.15643085|0.904139078|4695.98899|169.0962983|0.028057496|-166.1354667|928.4611922|310.8026328|14.15018248|1.0|0.0|1.0|2.0|1.53|0.0|21.0|-7.79|3.97|66.49|2.49|0.0|86.58|3.0|-6.21|1.0|1.0|3.16|0.000108|0.0349|7.46e-05|0.0241|2.91|0.0|1.63e-08|5.27e-06|-0.06057|3.9671|3.9671|-1127.737484|-1127.700693|519.55|849.76|312.53|375.43|0.68345|-1127.610422|2.2485|-0.22434|0.03679054|8.0|8.1|8.1
