molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|MATS1i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
1j_a5|0.0|1|0|0|2.9426852410000004|0.0|0|0|0.0|4.59511985|-0.010620031|2|-0.115553003|-0.07622096|10.9487794|-0.032333695|1|1|-0.010807075|-0.0178558139999999|2|-0.084090414|-0.0614852279999999|0.848473695|0.847163872|-0.073803258|-0.074505844|0.35883584|0.019690225|-40.01980349|73.73338699|0.152836128|82.09385267|-0.027258236|-21.49609451|5.680936139|-1.117587665|-21.29338752|50.21875634|0.469085779|2242.805131|455.0425806|-7.86442482|0.383510433|13.80288876|0.883543443|4618.562904|205.997426|0.026739895|-125.1415813|973.7343247|422.96706330000006|14.36297201|1.0|1.0|1.0|1.0|2.66|0.05|23.0|-8.14|4.5|63.69|1.57|0.0|96.98|4.0|-6.15|1.0|1.0|3.19|9.27e-05|0.0304|6.29e-05|0.0206|3.03|0.0|7.190000000000001e-09|2.36e-06|-0.03832|4.4331|4.1205|-1065.849941|-1065.817476|572.47|959.39|279.68|445.81|0.6449|-1065.671975|2.2503|-0.20645|0.03246499|24.0|7.6198|7.6198
16i_a32|0.0|1|1|1|3.352437091|0.0|0|0|0.0|5.733341277|-0.075706124|0|-0.056414399|-0.104899053|10.31100265|0.006037736|3|3|-0.120440534|-0.211019184|0|0.134577711|0.009897928|0.8829894|0.801494708|-0.0857355019999999|-0.114771536|0.5368697929999999|0.022335011|-75.01027196|90.08098301|0.198505292|129.7354415|-0.036726892|-49.02383532|9.540239197|-1.836344582|-36.62130242|70.6307405|0.455596751|2770.767996|523.8261846|-15.6876273|0.281035887|12.57892808|0.836873682|6355.471589|183.6742715|0.021112022|-286.2130831|1669.296604|636.0251562999999|13.79800742|1.0|1.0|1.0|2.0|3.16|0.3|19.0|-7.4|6.25|149.27|1.34|3.0|116.75|8.0|-5.93|0.0|0.0|3.96|9.25e-08|3.96e-05|8.18e-06|0.0035|4.19|0.0|4.01e-08|1.7100000000000002e-05|-0.05044|3.6176|3.6176|-1995.307733|-1995.279632|692.96|1175.51|342.72|573.38|0.70222|-1995.055356|3353.0|-0.2002|0.02810109|6.0|8.2596|8.2596
4i_a46|0.0|0|0|0|0.0|0.19654443|1|1|2.184105962|5.587248657999999|-0.018872727|1|-0.088884176|-0.160741899|10.94638684|-0.125773054|1|1|-0.060809732|-0.091288438|1|-0.0656636|-0.17856753|0.786754478|0.940780437|-0.058565229|-0.075208437|0.263514985|0.015663081|-42.48203383|67.51603424|0.0592195629999999|33.45060163|-0.025069479|-23.99628633|4.997521397|-1.278543436|-18.68604171|41.92840157|0.406629719|2200.19132|531.4066842|-7.998762108999999|0.2361682219999999|10.47951666|0.685288314|4893.587424|133.40134070000002|0.011626803|-298.0546045|945.4890404|579.2365607|6.567484272000001|1.0|1.0|1.0|0.0|3.5|0.36|17.0|-7.3|4.79|39.94|3.06|1.0|105.43|3.0|-5.31|1.0|1.0|4.16|1.16e-05|0.00403|9.13e-06|0.00317|4.38|0.0|5.04e-08|1.75e-05|-0.01646|5.3987|4.4232|-1092.730494|-1092.70435|611.74|1058.5|229.66|546.24|0.69035|-1092.473422|2.8538|-0.20084|0.02614355|612.0|6.2132|6.2132
9n_a24|0.0|1|0|0|2.961528903|0.0|0|0|0.0|4.59511985|0.001099755|2|-0.141205159|-0.036651001|10.94875265|-0.03088354|1|1|-0.12451554|-0.200646773|2|0.048359202|-0.058520736|0.804201677|0.904556598|-0.052106597|-0.0777274979999999|0.331008994|0.017608478|-52.53031811|48.691073|0.095443402|64.50319929|-0.026905672|-35.50139138|8.042526681|-1.399094961|-23.79925701|47.11530904|0.4331595789999999|2542.730334|611.3234977000001|-12.28894317|0.347873491|14.52410167|0.764164944|5356.5828|235.1021924|0.021951174|-205.6223122|1449.942171|631.9206508|14.83518955|1.0|1.0|1.0|1.0|2.6|0.17|23.0|-8.64|4.41|66.93|1.42|1.0|114.29|7.0|-6.47|1.0|0.0|3.13|7.2e-05|0.0278|5.14e-05|0.0198|3.07|0.0|2.31e-09|8.909999999999999e-07|-0.03818|4.9139|4.1028|-1239.1274939999998|-1239.095611|686.19|1155.03|252.31|587.05|0.63085|-1238.856882|2.8552|-0.20399|0.03188309|19.0|7.7212|7.7212
11d_a31|0.0|1|0|0|3.39688681|0.0|1|1|0.0|5.733341277|-0.116385886|0|0.016799834|-0.092360393|10.31169874|-0.078235092|2|2|-0.096447723|-0.153894316|0|-0.057505249|-0.13169885|0.868115289|0.585212816|-0.134031221|-0.134048091|0.197166451|0.034417775|-82.06512842|296.2476128|0.414787184|253.9354598|-0.040797245|-50.24081482|12.89967697|-1.87667327|-50.23449218|103.1255906|0.4816588089999999|2532.447962|358.2711594|-15.29068277|0.318229459|15.21323794|0.929231204|5420.356537|194.8221811|0.027374162|-222.5622569|1685.188386|505.4234462|16.75864338|1.0|1.0|1.0|2.0|2.83|0.32|16.0|-6.23|5.43|125.57|1.26|1.0|102.13|7.0|-6.4|0.0|1.0|3.34|3.33e-06|0.00128|6.26e-05|0.0241|3.17|0.0|5.83e-07|0.000225|-0.03404|3.8009|3.8009|-1598.7152199999998|-1598.671315|650.64|1077.69|326.2|551.86|703.0|-1598.4848980000002|3.1919|-0.19226|0.04390452|0.03|7.5229|7.5229
14a_a25|0.0|0|0|0|0.0|0.0|0|0|1.667057351|4.727387819|-0.05112778|2|0.051906412|-0.046802062|10.93106303|-0.019985937|1|1|-0.0469914379999999|-0.077269115|2|-0.085643386|-0.035531959|0.792935475|0.850426305|-0.069657015|-0.084207356|0.326595394|0.012870836|-55.27820709|107.22698590000002|0.149573695|98.18816423|-0.033365179|-36.28756839|5.546443318|-1.76835447|-30.017374100000005|54.17569023|0.492236681|2844.993903|558.2652611000001|-14.37809314|0.193247006|14.55676745|0.969421506|6315.975408|126.8576588|0.01323706|-402.7381076|1438.906775|712.1606951|8.689513304|1.0|1.0|1.0|1.0|3.06|0.08|27.0|-9.59|4.44|72.7|2.47|2.0|126.26|6.0|-5.91|0.0|1.0|3.81|4.03e-06|0.0016899999999999|5.13e-06|0.00215|4.16|0.0|2.58e-10|1.08e-07|-0.05083|5.3631|3.9479|-1352.298438|-1352.265931|689.55|1202.13|231.18|548.29|0.6714|-1352.024616|3.0824|-0.2143|0.03250632|207.0|6684.0|6684.0
4g_a49|0.0|0|0|0|0.0|0.0|2|2|4.107873566|6.107022888|-0.008414823|4|-0.085731041|0.003456679|10.92777048|0.08591712|2|2|-0.038698906|-0.066023903|4|-0.027032199|0.144740607|0.81242269|0.8601878270000001|-0.061465364|-0.0666753309999999|0.736530693|0.018944337|-66.44036383|151.0705543|0.139812173|139.3194688|-0.0250032489999999|-66.20622488|18.81105094|-2.000259924|-61.03291321|80.12633309|0.48934952|4706.348867000001|857.1564845|-24.82733433|0.372642776|18.19125978|0.958286615|11516.07629|371.3295653|0.023762615|-253.8168226|3177.154639|1714.878736|23.67887448|0.0|0.0|0.0|1.0|4.36|0.1|42.0|-13.67|6.09|116.3|2.87|2.0|198.32|7.0|-6.6|0.0|0.0|5.23|3.3700000000000004e-08|2.24e-05|3.72e-08|2.47e-05|5.28|0.0|2.13e-14|1.4199999999999998e-11|-0.06458|4.3116|3.6269|-2147.721319|-2147.66293|985.89|1766.47|287.56|662.84|0.69238|-2147.217543|3.4099|-0.21545|0.05838924|106.0|6.9747|6.9747
12u_a30|0.0|0|0|0|0.0|0.0|2|2|0.0|5.351858133|-0.027452346|2|-0.091507428|0.028815747|10.31162873|-0.0646674999999999|1|1|-0.0493878409999999|-0.0857954809999999|1|-0.055829439|-0.105767484|0.889479916|0.84944095|-0.0773921259999999|-0.097867106|0.477056017|0.015562896|-65.55148142|78.15130994|0.15055905|100.8445957|-0.03794847|-43.90644499|6.982033926000001|-1.859475018|-34.72068676|62.26136323|0.443167712|3001.03926|568.9563615000001|-17.02494806|0.189537132|14.01586754|0.7958728709999999|7133.515802|126.9521524|0.014495402|-415.8966522|1536.749179|685.6665849999999|9.709034401|1.0|1.0|0.0|1.0|0.0|0.14|17.0|-7.8|5.11|81.65|3.79|2.0|137.3|5.0|-5.52|0.0|1.0|3.59|2.64e-07|0.000123|9.14e-07|0.0004269999999999|5.12|0.0|1.58e-08|7.39e-06|-0.0528299999999999|3.5003|3.5003|-2494.962309|-2494.927579|705.15|1202.06|354.21|559.16|0.6847|-2494.736802|5.3020000000000005|-0.20146|0.03472994|34.0|7.4647|7.4647
15_a15|0.0|0|0|0|0.0|0.0|1|1|0.0|0.0|-0.031457366|3|-0.063032481|0.000676845|10.95980315|0.0020555079999999|0|0|-0.173728081|-0.272482143|2|0.007958332|0.003774415|0.7725348679999999|0.8972060479999999|-0.061884697|-0.091075463|0.7028760070000001|0.020649569|-60.51136736|142.8140301|0.102793952|68.29723829999999|-0.031405332|-40.20430373|9.115534766|-1.821509261|-27.31834743|54.83651811|0.435723718|3027.719888|596.1118717|-13.86355301|0.297455822|11.8273735|0.772181523|7039.747576999999|197.6323578|0.0202953539999999|-269.1443943|1722.635223|830.7967967000001|13.48441779|1.0|1.0|0.0|1.0|4.34|0.07|24.0|-8.9|4.33|59.51|2.52|2.0|138.24|6.0|-5.26|0.0|0.0|4.64|4.77e-07|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|1.27e-09|5.7e-07|-0.03786|3.6968|2582.0|-1450.7538470000002|-1450.725355|700.82|1265.55|335.38|573.46|0.70572|-1450.398033|1.6365|-0.1475|0.02849263|109.0|6.9626|6.9626
4o_a46|0.0|0|0|0|0.0|0.160026534|1|1|2.138144369|5.587248657999999|0.042766097|1|-0.2363624889999999|-0.203025042|10.93828256|-0.06855792|1|1|-0.018058762|-0.028735607|1|-0.121466731|-0.09492635|0.8176134690000001|0.950732618|-0.0648126359999999|-0.06570509|0.372146122|0.00972341|-36.03345669|5.821925821000001|0.049267382|27.01882145|-0.021901697|-19.76117845|2.9243708|-1.051281434|-19.49276784|40.87645867|0.460981009|2195.436986|521.3931342|-6.587059484|0.248979351|10.25486577|0.855222204|4966.476822|136.5432529|0.0108913189999999|-275.3254498|767.6690487000001|544.7877262000001|5.972929428|1.0|1.0|1.0|0.0|3.12|0.32|17.0|-7.26|4.77|54.5|2.72|1.0|103.66|2.0|-5.51|1.0|1.0|3.92|1.23e-05|0.00422|1.34e-05|0.0045899999999999|4.06|0.0|5.5e-08|1.88e-05|-0.04627|4.3255|4.3255|-1070.456878|-1070.428722|581.59|1022.29|286.64|501.08|0.6843|-1070.223416|3.4494|-0.22909|0.02815574|162.0|6.7905|6.7905
19e_a38|0.0|1|0|0|3.376977671|0.0|2|2|0.0|5.351858133|-0.10490608|2|0.021678225|-0.104569193|10.94917392|-0.038386106|1|1|-0.091460175|-0.191751024|1|0.04818471|-0.064035403|0.89459881|0.776562593|-0.083623427|-0.10214405|0.552393659|0.02118651|-68.82539051|118.734325|0.223437407|150.553721|-0.03783113|-46.37503972|9.619015829|-2.042881001|-37.96637911|70.62168376|0.4655978389999999|2920.436229|523.2534216|-17.17594064|0.250809026|12.34352977|0.871249918|6531.762734|168.99691289999998|0.020114756|-335.8133169|1837.325672|696.3887025|13.55346651|1.0|1.0|1.0|3.0|3.08|0.12|17.0|-7.28|4.03|81.23|2.75|2.0|135.78|6.0|-6.39|0.0|1.0|3.3|1.15e-05|0.0049|1.89e-05|0.00807|3.55|0.0|5.27e-08|2.25e-05|-0.05139|5.2322|3.8587|-1409.582478|-1409.547647|685.34|1183.12|236.96|532.67|0.58509|-1409.315831|5.8426|-0.20723|0.03483011|0.01|8.0083|8.0083
11b_a50|0.0|0|1|1|0.0|0.0|1|1|4.071188272|5.82008293|-0.014702942|1|-0.007722567|-0.218953127|10.94500697|-0.133073229|2|2|-0.162848233|-0.277408878|1|-0.146696566|-0.20645662|0.862408925|0.931316325|-0.0445367309999999|-0.069841183|0.229754094|0.019455771|-36.43643854|7.949039772000001|0.068683675|35.832562100000004|-0.02494328|-19.0090431|5.295379767|-1.047617742|-12.12179711|33.38515735|0.42907551|2286.724895|485.8716402|-6.788943965|0.357948005|9.979494111|0.751545111|4884.730303|186.7429782|0.021631609|-148.2182458|851.2497152000001|439.9973344|11.28530137|0.0|1.0|1.0|0.0|2.84|0.15|20.0|-5.87|3.09|48.53|2.25|0.0|99.65|2.0|-6.24|1.0|1.0|2.96|0.000263|0.0862|6.97e-05|0.0228|2.9|0.0|1.35e-06|0.000441|-0.02817|4.6471|3.9863|-1045.98235|-1045.961211|560.06|955.4|266.8|431.63|0.64477|-1045.798634|2.7805|-0.19501|0.02113855|1.7|5.7696|5.7696
17g_a50|0.0|0|1|1|0.0|0.0|2|2|4.377239517|5.82008293|0.052557574|2|-0.05611228|-0.022378911|10.94501702|-0.1155555559999999|2|2|-0.200725906|-0.323333765|1|-0.10642733|-0.2126789369999999|0.7787714459999999|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|-47.17463902|10.60268439|0.079336825|52.94662161|-0.025918901|-31.48270383|6.48022912|-1.555134042|-21.45417373|41.85775712|0.467997084|2821.3922|614.4183967|-11.54365807|0.250051612|15.28352231|0.879688945|6102.424958|166.8756987|0.013645282|-333.6136209|1383.884645|829.3813984|9.106383854|0.0|1.0|1.0|0.0|3.66|0.35|20.0|-6.96|3.71|51.77|2.71|2.0|133.03|6.0|-6.28|1.0|0.0|3.63|3.4899999999999995e-05|0.0148|1.39e-05|0.0059|3.68|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|4.0458|4.0458|-1335.976491|-1335.946919|725.92|1259.05|306.45|559.45|0.6623600000000001|-1335.631756|7.0584|-0.19929|0.02957267|246.0|6.6091|6.6091
47j_a18|0.0|0|0|0|0.0|0.0|1|1|0.0|4.844187086|-0.068902246|0|-0.048528478|-0.006923502|10.94702285|0.0033281|0|0|-0.218974385|-0.331885553|0|-0.002262399|0.005740124|0.77844379|0.80651845|-0.073041469|-0.094744194|0.476575952|0.015967126|-73.69868165|95.57657747|0.19348155|150.5035248|-0.033837212|-57.32800549|9.661420661|-2.368604851|-44.19607713|69.23713027|0.481373558|3172.831382|627.366638|-20.47428768|0.235574938|18.50538303|0.928170101|7316.123159000001|183.246715|0.016220875|-411.3767328|2410.265089|1081.726154|12.6177344|1.0|0.0|1.0|3.0|0.0|0.28|18.0|-8.79|2.43|97.76|2.63|3.0|149.96|11.0|-6.46|0.0|0.0|2.39|1.49e-06|0.000743|7.32e-06|0.00366|4.07|1.0|1.63e-09|8.159999999999999e-07|-0.04423|3.1054|3.1054|-1625.445572|-1625.413107|839.37|1459.55|399.25|776.31|0.6983600000000001|-1624.9784550000002|4.1619|-0.17273|0.03246539|35.0|7.4559|7.4559
12m_a36|0.0|1|0|0|3.40403699|0.0|2|2|0.0|5.351858133|-0.133854569|2|0.14264424|-0.025127218|10.95440733|-0.038386106|1|1|-0.052743904|-0.090926893|1|-0.075712087|-0.064035403|0.8792981679999999|0.711961428|-0.10031651|-0.121074678|0.4493096629999999|0.022725561|-81.19927925|42.78660249|0.288038572|193.174369|-0.04260035|-54.45666327|10.22144534|-2.300418875|-45.120107|82.51872026|0.465323422|2925.315028|477.48014630000006|-19.16067782|0.252881876|13.67704354|0.8702895190000001|6434.374756|169.596372|0.0222467879999999|-331.4617713|2064.983108|689.2886595|14.91990864|0.0|0.0|0.0|3.0|0.0|0.13|17.0|-6.14|1.92|112.29|1.28|1.0|131.85|6.0|-7.39|0.0|0.0|1.26|7.96e-05|0.0338|0.000159|0.0676|2.11|0.0|7.19e-07|0.000305|-0.05114|3.8658|3.8658|-1401.654499|-1401.6158890000002|692.4|1177.15|320.72|505.51|0.69382|-1401.385923|6.5789|-0.20993|0.03861003|0.03|7.5229|7.5229
47l_a18|0.0|0|0|0|0.0|0.0|1|1|0.0|4.844187086|-0.0603838109999999|0|-0.0057783619999999|-0.010426981|10.94702063|-0.056270425|0|0|-0.103458566|-0.156998637|0|0.00676294|-0.0973326269999999|0.781148177|0.803473313|-0.08034939|-0.083884237|0.2820044969999999|0.009199889|-59.6654726|11.54768766|0.196526687|139.7861865|-0.031456589|-42.43906517|4.654446622|-2.0132216990000003|-40.65070014|63.6949231|0.4897655489999999|2852.093627|571.4972966|-15.91464944|0.203890653|18.46922943|0.959883341|6572.90106|145.02405359999997|0.012890098|-421.235376|1798.711882|931.8364349|9.168513486|1.0|0.0|1.0|3.0|0.0|0.25|18.0|-9.37|3.69|85.29|2.94|3.0|139.63|9.0|-6.39|0.0|0.0|2.72|5.44e-06|0.00247|1.4499999999999998e-05|0.0066099999999999|3.78|0.0|4.26e-10|1.93e-07|-0.0520399999999999|3.2026|3.2026|-1455.5758039999998|-1455.5497369999998|764.74|1334.6|387.13|667.5|0.69291|-1455.165122|2.4594|-0.18344|0.02606651|32.0|7.4949|7.4949
6_a47|0.0|0|0|0|0.0|0.0|0|0|0.0|0.0|-0.1738997619999999|2|-0.14404966|0.051455447|10.93671042|0.0402365489999999|0|0|-0.020576777|-0.04324355|2|-0.149904224|0.062425042|0.84654143|0.8419184120000001|-0.080118846|-0.096689626|0.446564415|0.009820713|-52.41283988|101.7290544|0.158081588|85.6917678|-0.036834143|-28.411587800000003|2.885749555|-1.547034008|-23.54237714|48.75381069|0.4059072379999999|2431.668154|456.3812788|-10.82346202|0.205609194|10.90843226|0.6832388209999999|5766.962611999999|111.4552019|0.0154005|-319.1626428|1055.658539|469.7495559|8.348196185|1.0|0.0|1.0|2.0|2.91|0.05|22.0|-9.06|5.24|58.04|3.48|2.0|106.47|3.0|-5.02|0.0|1.0|4.59|9.53e-07|0.000362|1.63e-06|0.000619|5.06|0.0|8.71e-10|3.310000000000001e-07|-0.05354|5.5188|3.7196|-1608.684886|-1608.652005|576.56|990.85|224.66|422.9|0.69305|-1608.50108|3.2606|-0.20794|0.03288085|13.0|7.9|7.9
6d_a40|0.0|0|0|0|0.0|0.0|1|2|1.695192271|6.401917197|-0.091548968|0|-0.104206961|0.086704068|10.30179973|-0.205140551|2|2|-0.025143559|-0.0603134|0|-0.039077432|-0.289988439|0.8988141140000001|0.663670372|-0.115007564|-0.119563634|0.372705643|0.017359149|-76.51205671|192.5638526|0.336329628|215.22657540000003|-0.050049893|-48.96216855|7.108696385|-2.15214542|-47.09642482|84.70509846|0.428134701|3063.227702|424.7009165|-20.49579149|0.13994759|12.08146906|0.7486635420000001|7436.576348|89.55631|0.01400787|-460.8148719|1601.317552|555.2010623|8.964021265|1.0|1.0|1.0|1.0|2.84|0.21|14.0|-4.31|4.8|173.43|2.01|2.0|120.09|5.0|-6.36|0.0|1.0|3.43|6.18e-08|2.85e-05|7.1e-06|0.00327|3.87|1.0|4.9e-05|0.0226|-0.09462|2.9559|2.9559|-2470.82949|-2470.793925|656.5|1111.69|419.45|511.88|0.6624800000000001|-2470.62267|7.8884|-214.0|0.03556489|1.0|8.9208|8.9208
25b_a34|0.0|0|0|0|0.0|0.0|1|1|1.94553288|5.351858133|-0.0929479709999999|1|-0.150946163|-0.112970844|10.95957635|-0.061390533|1|1|-0.278635968|-0.435821207|1|0.08214612|-0.101529052|0.83883012|0.656573108|-0.1030760719999999|-0.137924163|0.5020264870000001|0.030138301|-86.13394472|165.2408865|0.343426892|214.470853|-0.042438204|-53.79083879|11.75402804|-2.206786613|-40.19997818|83.19266998|0.419904835|2611.55928|410.0313565|-16.55102732|0.23725451|11.00434095|0.723855085|5786.015654|148.1659658|0.019067452|-328.1702779|1806.819095|595.8522372|11.90766609|0.0|1.0|1.0|2.0|3.39|0.29|17.0|-6.42|2.63|90.3|1.56|1.0|108.21|7.0|-7.07|0.0|0.0|2.58|0.00015|59.0|0.000202|0.0796|2.29|0.0|3.8100000000000004e-07|0.00015|-0.03539|4.2253|4.2253|-1313.388114|-1313.361559|668.48|1136.16|293.43|562.84|0.6925600000000001|-1313.132261|7.0586|-0.21103|0.02655501|2.08|5.6819|5.6819
11b_a31|0.0|1|0|0|3.248213341|0.0|1|1|0.0|5.733341277|-0.172248605|0|-0.078907688|-0.1488994619999999|10.31169957|-0.046362952|2|2|-0.101934423|-0.16780872|0|0.067031897|-0.074254978|0.889561759|0.545458754|-0.143839236|-0.148709304|0.26165445|0.037758271|-82.80602396|286.7721447|0.454541246|253.1028809|-0.044612791|-46.10900197|11.70737909|-1.784511651|-44.59898223|101.1192111|0.473305522|2410.572158|303.7286124|-13.83270059|0.330276165|12.96936635|0.8986339170000001|5202.545866|183.9081702|0.0314298879999999|-189.0151528|1483.70453|397.3137532|17.50115151|1.0|1.0|1.0|2.0|2.29|0.24|16.0|-5.45|4.67|125.57|0.79|1.0|92.51|5.0|-6.73|0.0|1.0|2.69|1.82e-05|0.00649|0.000178|0.0637|2.46|0.0|3.59e-06|0.00128|-0.03574|3.8437|3.8437|-1520.085181|-1520.0430279999998|589.56|969.71|322.57|479.66|0.70073|-1519.909742|3.2104|-0.1951|0.04215313|0.53|6.2757|6.2757
IN1233_a59|0.0|1|0|0|3.463603867|0.0|0|0|0.0|4.727387819|-0.12050413|2|0.163548857|-0.011236836|10.93301779|-0.054458882|1|1|0.001996439|0.003282792|2|-0.107446431|-0.090732503|0.80310139|0.7613246490000001|-0.092761756|-0.095213818|0.356444983|0.010831674|-63.36348363|318.5587088|0.238675351|158.8351574|-0.035929742|-42.16752524|4.79704394|-1.904276352|-41.08157616|68.94000009|0.483639625|2809.840422|506.6510632|-15.91227368|0.1892041019999999|15.51626497|0.936631949|6206.818668|125.91272279999998|0.0134658889999999|-413.6607749|1562.994677|712.1606951|8.961363774|1.0|1.0|1.0|2.0|2.76|0.08|27.0|-10.0|5.54|97.55|2.06|2.0|125.07|5.0|-6.13|0.0|1.0|3.78|2.54e-06|0.00107|6.91e-06|0.0029|3.85|0.0|9.93e-11|4.17e-08|-0.05605|5.2194|3.5355|-1352.351584|-1352.326849|703.47|1204.16|237.54|531.14|0.6953699999999999|-1352.073755|5.4004|-0.20289|0.02473496|34.0|7.4685|7.4685
1a_a18 (SB-431542)|0.0|1|0|0|3.3674017380000003|0.0|1|1|0.0|5.351858133|-0.175408303|1|0.1008839219999999|-0.029658865|10.94959842|-0.0492229479999999|1|1|-0.020716495|-0.033765606|1|-0.08530265|-0.083341531|0.805877431|0.5940412860000001|-0.126408788|-0.122555709|0.210046675|0.033020439|-72.69619778|160.410387|0.405958714|240.8019609|-0.0462988229999999|-43.12110169|11.61820782|-2.083447046|-44.47680367|94.56841061|0.472443977|2678.82389|352.3666367|-16.29019397|0.2468003389999999|14.26170773|0.895533283|5748.422847|146.3942108|0.02438148|-300.3801761|1640.78056|513.4628663999999|14.4623285|1.0|1.0|1.0|2.0|2.35|0.05|23.0|-7.69|4.04|103.12|1.54|1.0|106.85|4.0|-6.73|0.0|1.0|2.85|3.03e-05|0.0116|5.660000000000001e-05|0.0218|2.7|0.0|2.03e-08|7.81e-06|-0.05971|3.8208|3295.0|-1292.588031|-1292.553086|620.23|1048.7|324.5|464.08|0.69868|-1292.358966|5.9926|-193.0|0.03494548|125.0|6.9031|6.9031
16_a31|0.0|1|0|0|3.096824452|0.0|1|1|0.0|5.733341277|-0.186617888|0|-0.050076586|-0.00795845|10.31170095|0.06214876|2|2|-0.053194463|-0.09530799|0|-0.038841601|0.0980869569999999|0.8948140790000001|0.546450126|-0.142079397|-0.150315165|0.29485045|0.0374314139999999|-70.82239128|130.369865|0.4535498739999999|213.694252|-0.050105055|-33.36862997|8.309441139|-1.653466811|-31.54036284|84.57819254|0.427771627|2071.962924|257.4650715|-11.12287666|0.26919564|9.649327262|0.747554032|4387.049328|126.8340354|0.027684692|-217.4912527|1066.012118|280.39844320000003|13.04390063|0.0|0.0|1.0|2.0|1.93|0.14|16.0|-4.94|3.8|114.29|0.78|0.0|80.57|2.0|-6.48|0.0|1.0|2.33|4.38e-05|0.0131|0.000254|0.0762|2.32|0.0|1.16e-05|0.00347|-0.0318899999999999|3.6596|3.6596|-1308.242314|-1308.202828|503.18|818.1|338.79|369.73|0.70108|-1308.113026|3.7419|-0.1842|0.03948619|0.09|7.0458|7.0458
20b_a10|0.0|0|0|0|0.0|0.0|1|1|2.103422978|5.4161004020000005|-0.073703704|2|-0.030238422|-0.042013549|10.92966143|-0.013623188|1|1|0.019531637|0.031942481|2|0.052265135|-0.022843761|0.817426568|0.75259177|-0.094975935|-0.088479815|0.6741049840000001|0.013038163|-56.53849503|81.39248686|0.24740823|158.09355980000004|-0.033783202|-36.12803002|5.323735696|-1.85807612|-38.78052212|69.02087825|0.454087415|3085.433676|480.905232|-13.79433873|0.238378673|13.838742600000002|0.8317951020000001|7173.225184999999|152.3236842|0.0171045989999999|-334.3514234|1558.922202|769.1246171|10.92981783|1.0|1.0|1.0|1.0|3.15|0.11|27.0|-8.93|4.23|95.92|2.41|2.0|129.73|5.0|-6.53|0.0|1.0|3.66|6.05e-06|0.00271|8.13e-06|0.00364|3.52|0.0|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|5.9354|3.9013|-1465.62724|-1465.587932|687.84|1218.74|208.89|482.93|669.0|-1465.333983|5725.0|-0.2217199999999999|0.03930765|1.1|5.9586|5.9586
