molecula|SddssS|NaaNH|n9FaHRing|SssssC|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|ATSC1c|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
5b_a49|0.0|0|0|0.0|2|2.119588967|-0.007610481|0.006327273|2|-0.072128552|-0.418576471|-0.0695402359999999|0.059834711|1|1|0.006696215|-0.12209302|-0.13632743|-0.230763367|-0.515894968|2|0.6981815290000001|0.7843021|-0.006962617|0.099724518|0.839963111|0.666573331|1|-0.076494119|0.615864196|-41.03213895|-44.96093486|11.94347454|0.203066756|119.3565117|-26.42668087|7.020013952999999|69.07083505|-24.11745318|59.85065205|0.475192312|2764.188493|1956.050085|-8.985071494|6.270195553|11.94760614|6225.302624|-127.7749783|14.88971719|0.0|1.0|1.0|2.9|21.0|2.87|75.94|122.26|1.0|30.0|4.0|-7.24|396.44|0.0|1.0|1.0|2.58|-3.93|0.1969999999999999|0.000118|0.0468|2.08|0.0|0.0|5.79e-08|2.3e-05|-0.04453|5.1653|3.92|-1292.139616|-1292.100239|1093.32|316.21|0.4653|0.39241|0.65269|0.0747|-0.1624799999999999|4.3767|-1291.929428|6.1996|28.0|7.5528
14t_a23|0.0|0|1|0.0|0|3.410065804|-0.005383494|-0.024472753|2|0.073534004|-0.290708696|-0.041339801|-0.093434862|2|2|0.01180744|0.134446672|-0.074441567|-0.136106024|-0.4515027279999999|2|0.725800261|0.7629258809999999|0.113493155|-0.152771194|0.820002545|0.6906097959999999|1|-0.079253435|0.361071229|-36.09926385|-51.65035498|11.36130649|0.079043164|51.51331913|-33.66111722|7.404291213|42.20767549|-23.52629623|61.0040156|0.465981891|2878.4071670000003|2286.063655|-14.13766923|7.55064865|14.13931199|6523.656379|-390.9561553|9.353660614|0.0|0.0|1.0|3.49|26.0|4.33|105.02|125.25|1.0|31.0|4.0|-6.1|425.51|0.0|0.0|0.0|3.78|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|0.0|1.65e-08|7.03e-06|-0.06666|3.9855|3.79|-1669.240512|-1669.21916|1184.43|386.72|0.2061|0.5824199999999999|0.68886|0.0003|-0.15625|5.8672|-1669.040656|8.3062|4.0|8.3979
9_a4|0.0|0|0|0.0|1|2.130445484|-0.00136737|0.016639331|2|-0.019160308|-0.064266379|-0.091393763|-0.0454860859999999|1|1|0.009731833|-0.030976753|-0.0475186259999999|-0.076824065|-0.172904817|2|0.625717993|0.801082857|-0.151437311|-0.072130166|0.861113198|0.58669472|1|-0.069566741|0.472497372|-28.63837014|-37.85762102|4.918284148|0.062897208|34.22811902|-20.60179129|2.676487872|45.21212204|-15.58475436|43.71760622|0.43745176|2359.945586|2012.840082|-7.665782805|5.744374392999999|10.21134541|5387.230364999999|-318.7769026|5.859985199|1.0|0.0|1.0|3.37|21.0|5.07|43.6|105.09|1.0|26.0|3.0|-5.56|360.84|0.0|1.0|1.0|4.17|-5.15|0.0062299999999999|7.06e-06|0.00255|4.14|0.0|0.0|6.9e-09|2.49e-06|-0.05256|4.7284|3.87|-1489.554198|-1489.533032|999.93|308.91|0.1217|0.5182100000000001|0.6464|0.0584|-0.16948|4.4343|-1489.41872|5.4739|48.0|7.3188
12p_a36|0.0|1|0|0.0|2|0.0|-0.008017607|-0.084341564|2|0.114716581|-0.432950771|-0.084846674|-0.0433009009999999|1|1|-0.000673716|0.2461794139999999|-0.101303149|-0.217394466|-0.440709431|1|0.724208473|0.828371596|-0.035871448|-0.074349074|0.8839272779999999|0.698414933|0|-0.108380023|0.315548061|-51.98017377|-68.22905781|12.71795723|0.251561167|158.3666517|-42.95260501|8.006403882999999|0.0|-32.72335782|80.40682298|0.475504684|2774.926334|2308.958924|-15.4629378|7.546742977|14.3885803|5922.775161|-326.2581567|12.17776516|1.0|0.0|1.0|0.0|17.0|2.44|69.2|123.71|1.0|30.0|5.0|-6.76|399.42|0.0|1.0|0.0|2.15|-4.16|0.0515|6.96e-05|0.0278|2.78|0.0|0.0|1.4e-07|5.58e-05|-0.0552299999999999|5.3413|3.41|-1332.182868|-1332.148901|1113.05|323.11|0.3015|0.30159|0.66559|0.1841|-0.15608|4.8805|-1332.006106|6.7199|9.0|8.0458
9_a3|0.0|0|0|0.0|0|0.0|-0.007847313|-0.100592457|1|-0.126542538|-0.298197887|0.065373003|0.023606557|1|1|-0.003863265|-0.216450234|0.083014843|0.141996379|-0.614170287|1|0.923357627|0.6729843740000001|-0.260349706|0.042154567|0.7327715159999999|0.865283439|0|-0.083555008|0.506753484|-44.74600478|-39.28853824|3.469130065|0.15350225|72.17854599|-18.47392835|1.6312253680000002|72.50764604|-21.04009269|43.50933802|0.413418346|2017.0704920000005|1383.145159|-8.445224386|5.004834198999999|8.532203772|4430.929894|-363.8118546|4.220799781|1.0|1.0|1.0|2.44|21.0|4.62|80.04|92.69|1.0|22.0|2.0|-5.21|303.38|0.0|0.0|1.0|3.7|-4.9|0.000899|1.25e-05|0.00379|4.14|0.0|0.0|5.5e-08|1.67e-05|-0.03999|5.8185|3.28|-1256.087705|-1256.0634710000002|857.36|331.9|0.2069|0.3639699999999999|0.6724600000000001|0.1127|-0.15834|2.0863|-1256.002529|2.6661|10965.0|4.96
9i_a40|0.0|0|0|0.0|0|1.841293462|-0.0071562119999999|-0.105556952|0|0.187127708|-0.279092262|0.201624407|-0.1788455119999999|2|2|0.004019925|0.333430103|0.105172175|0.187399127|-0.542471361|0|0.831946443|0.762774506|-0.154977678|-0.28972973|0.824009442|0.7947633409999999|1|-0.088485615|0.006324687|-46.80087537|-44.58600513|5.548036224|0.169019238|85.16517222|-22.46593254|2.795536563|62.68854553|-23.58195819|49.81256531|0.477626156|2056.370683|335.9672843|-9.360805225|7.700852478|14.74203307|4201.058793|-361.8074422|5.226560183|1.0|1.0|1.0|2.9|20.0|4.02|84.45|91.11|1.0|22.0|2.0|-5.44|306.38|0.0|0.0|1.0|3.52|-4.71|0.00147|1.97e-05|0.00603|3.85|0.0|0.0|9.31e-07|0.000285|-0.05989|4.3611|3.2|-1273.334714|-1273.31399|883.84|428.48|0.5012|0.56118|0.70339|0.3362|-0.11967|2.0895|-1273.217301|2.7887|1.25|5.9031
14p_a23|0.0|0|1|0.0|0|3.3252287430000003|-0.005975594|0.006191846|2|0.041987653|-0.310730878|-0.060144819|-0.053921569|2|2|0.009266617|0.080581604|-0.0686282459999999|-0.131709531|-0.4510651779999999|2|0.708395022|0.799506006|0.099883916|-0.090287278|0.8683808959999999|0.669357479|1|-0.080784473|0.223758613|-42.52653933|-54.50240143|14.91710363|0.076544251|51.64167457|-36.77082544|10.06403753|84.65359899|-28.69113861|67.36602512|0.464933687|3010.721939|2170.5738260000003|-15.32117727|9.014073839|16.84664803|6696.264498|-339.5427625|12.86362369|0.0|0.0|1.0|3.28|26.0|3.89|128.81|125.0|1.0|32.0|5.0|-6.62|436.49|0.0|0.0|0.0|3.25|-4.9|0.0009109999999999|1.27e-05|0.00554|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|-0.09046|3.5752|3.29|-1722.181612|-1722.152257|1191.08|346.79|0.3802|0.6816|0.6816|0.3802|-0.14774|7.4033|-1721.994023|9986.0|3.0|8.5302
1k_a5|0.0|1|0|0.0|0|0.0|-0.0030192829999999|-0.064652321|2|-0.095857885|-0.120771321|-0.145151027|-0.011848312|1|1|0.003708988|-0.220946861|0.019611905|0.045204303|-0.254495542|2|0.567806811|0.7824502320000001|-0.011552666|-0.022280685|0.851987765|0.558485747|0|-0.074297856|0.425724957|-40.40908188|-38.00629774|5.571869083999999|0.216307319|110.6497654|-19.44172742|2.850231839|0.498979532|-20.67084672|47.83775802|0.48165588|2171.394196|824.0133397999999|-7.881781385|6.710535795|12.9461019|4479.484358|-230.14624|9.83146028|1.0|1.0|1.0|2.02|23.0|4.76|54.46|90.44|1.0|24.0|4.0|-5.99|316.33|0.0|1.0|1.0|3.42|-4.3|0.0336|4.970000000000001e-05|0.0157|3.16|0.0|0.0|4.99e-09|1.58e-06|-0.04516|4.7221|3.1|-1050.548505|-1050.51717|890.76|281.38|0.6242|0.53086|0.5282|0.1239|-0.1798799999999999|1.5911|-1050.468159|2.3036|48.0|7.3188
16i_a32|0.0|1|1|0.0|0|0.0|-0.0146198339999999|-0.075706124|0|-0.056414399|-0.7748511779999999|-0.104899053|0.006037736|3|3|-0.001202032|-0.098841478|-0.120440534|-0.211019184|-0.700853898|0|0.801401734|0.836966894|0.134577711|0.009897928|0.8829894|0.761506727|1|-0.114771536|0.5368697929999999|-56.03343427|-75.01027196|14.59730623|0.198505292|129.7354415|-49.02383532|9.540239197|32.3175507|-36.62130242|88.80827938|0.455596751|2770.767996|3450.514629|-15.6876273|6.848009314|12.57892808|6355.471589|-286.2130831|13.79800742|1.0|0.0|1.0|3.16|19.0|4.85|149.27|116.75|1.0|29.0|5.0|-5.93|427.54|1.0|0.0|0.0|3.96|-5.09|3.96e-05|8.18e-06|0.0035|4.19|0.0|0.0|4.01e-08|1.7100000000000002e-05|-0.05044|3.6176|4.99|-1995.307733|-1995.279632|1175.51|342.72|0.2857|0.70222|0.70222|0.2857|-0.14976|3353.0|-1995.11813|4.0568|6.0|8.2596
1a_a18 (SB-431542)|0.0|1|0|0.0|1|0.0|-0.015636898|-0.175408303|1|0.1008839219999999|-0.766207981|-0.029658865|-0.0492229479999999|1|1|-0.008385698|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|-0.122555709|0.210046675|-74.98172333|-72.69619778|19.58668728|0.405958714|240.8019609|-43.12110169|11.61820782|105.3125675|-44.47680367|87.15852628|0.472443977|2678.82389|1890.195809|-16.29019397|7.52384981|14.26170773|5748.422847|-300.3801761|14.4623285|1.0|1.0|1.0|2.35|23.0|3.63|103.12|106.85|1.0|29.0|5.0|-6.73|384.39|0.0|0.0|1.0|2.85|-4.25|0.0116|5.660000000000001e-05|0.0218|2.7|0.0|0.0|2.03e-08|7.81e-06|-0.05971|3.8208|4.57|-1292.588031|-1292.553086|1048.7|376.27|0.5767|0.55409|0.69868|0.3347|-0.13329|5.9926|-1292.414518|8.8609|125.0|6.9031
