molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|n6aHRing|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
12aw_a36|0.0|0|0|3.28940051|0.0|0|2|1.297044239|0.0|-0.008293935|5.351858133|-0.115864198|0.043383838|0.0|-0.4478724979999999|-0.006877664|-0.1066959869999999|10.96021804|-0.034663063|1|1|-0.004358975|-0.098027247|1|-0.056676035|0.892249657|0.632625562|0|0.706174871|0.373775982|-56.73814908|-73.52224315|14.76755422|54.50894809|0.2938251289999999|188.3390873|-0.041292362|0.749052287|-2.06461809|-36.36860892|-26.46800754|2901.451841|452.6513136|-1323.400377|2380.579051|0.250947713|7.545677222999999|0.898338973|6370.06138|-848.2869380000001|35.33532702|1766.7663510000002|593.6088758|13.8551867|0.0|0.0|0.0|2.0|4.73|17.0|3.55|2.78|1.0|123.67|0.0|1.0|5.0|-3.99|6.0|1.0|-4.32|0.0424|0.0201|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|-0.05513|3.8763|-1431.404673|-1431.373326|666.09|1120.43|319.85|0.4088|237.0|507.71|0.38905|0.69109|-1431.180191|4.8181|-0.21201|8.0458|8.0458
22_a4|0.0|0|0|0.0|0.0|1|1|1.399866564|1.987636054|-0.006436201|5.4161004020000005|-0.115883451|0.044357639|0.0|-0.257448045|0.004765062|-0.2078428719999999|10.94586213|-0.023072107|1|1|0.004237768|0.021636871|1|-0.037423832|0.8404413829999999|0.755510052|0|0.8612031509999999|0.242642229|-45.61565825|-43.23011833|5.1432274630000006|162.9809584|0.138796849|66.70156956|-0.036468635|0.8444670409999999|-1.349339509|-21.92150631|-17.52572365|1950.173729|413.8681986|-648.451775|1477.437886|0.155532959|5.495481464|0.772804341|4074.564287|-311.62631919999995|20.75359108|767.88287|338.71903330000004|5.428686137000001|1.0|0.0|0.0|1.0|3.3|17.0|3.19|2.09|0.0|87.12|0.0|2.0|2.0|-3.77|3.0|1.0|-3.98|0.0497|0.0301|3.03|0.0|0.0|5.77e-06|0.0016699999999999|-0.03046|4.0537|-934.2706743999998|-934.240411|519.39|860.77|305.85|0.1675|277.43|400.29|628.0|0.65771|-934.12356|3.5548|-198.0|7.3279|7.3279
5e_a40|0.0|0|0|0.0|0.0|1|0|0.604912776|1.661964758|-0.004925115|6.167516491000001|0.0601021459999999|0.044526749|0.7768055559999999|-0.162528785|0.009890343|0.158430496|10.31198323|0.029272031|2|2|0.008306061|0.005996234|0|0.0451110059999999|0.877722972|0.5087199929999999|1|0.864422751|0.0499188609999999|-36.56222854|-42.66853738|9.440323938|170.7311133|0.135577249|64.47400829|-0.035889706|0.8223594679999999|-1.076691165|-17.38723451|-17.06741495|1986.384601|411.0778166|-512.0224486000001|512.5703164|0.177640532|6.533857846|0.914944155|4158.984115|-243.4932098|20.75420252|622.6260756|264.9899736|6.144645946|0.0|1.0|0.0|0.0|3.03|14.0|4.3|2.37|1.0|79.16|0.0|2.0|3.0|-4.78|3.0|1.0|-4.25|0.00505|0.0169|3.51|0.0|0.0|2.23e-05|0.00678|-0.07231|3.7138|-1637.197299|-1637.180703|493.19|802.38|333.85|0.5262|333.85|390.33|0.69675|0.69675|-1637.115238|7.87|-0.2201699999999999|7.6021|7.6021
8_a27|0.0|0|0|2.599100867|0.0|1|0|1.406757715|1.7626247169999998|-0.008444078|4.59511985|-0.077396262|0.039673203|1.21499748|-0.329319041|0.0040883959999999|0.093450172|10.93783465|0.067074515|1|1|0.004801929|-0.106814855|2|0.11158995|0.8688656459999999|0.64927069|1|0.776384028|0.3608031339999999|-37.50265703|-43.96130162|10.41179748|122.0597403|0.223615972|106.5457267|-0.035880862|0.751701834|-1.291711016|-17.86879446|-17.09606174|2132.9321670000004|369.9216992|-615.4582227000001|989.0070768|0.248298166|5.016799703|0.92208134|4522.989286999999|-293.2457951|22.74314225|818.753121|326.3351007|9.240677197|0.0|0.0|0.0|1.0|2.79|21.0|2.98|2.19|0.0|87.68|0.0|1.0|2.0|-3.23|4.0|1.0|-3.52|178.0|0.0907|2.0|0.0|0.0|5.2e-07|0.000158|-0.05015|4.1276|-1004.515654|-1004.489001|507.76|848.58|300.38|0.2336|300.38|374.88|0.64893|0.64893|-1004.385302|3.0415|-0.21973|8.2218|8.2218
33_a20|0.0|0|0|0.0|0.0|1|0|1.4175014119999998|1.915285809|-0.00145476|4.727387819|0.023539095|0.0388043479999999|2.0219022580000003|-0.078557022|0.009265667|-0.061975089|10.93244905|-0.062750442|1|1|0.008780074|-0.036258691|2|-0.10978034|0.802353442|0.607038752|1|0.9493896|0.399354817|-38.58254635|-45.72654913|8.340767701|8.680600701|0.0506104|33.13709773|-0.0265385579999999|0.759356182|-1.326927921|-25.26187502|-17.37608867|2737.8873550000003|621.611679|-868.8044333999999|2274.654579|0.240643818|8.062843544|0.8721516570000001|5916.443448|-568.84864|22.88265911|1144.132956|664.4562602999999|8.881565237|0.0|1.0|1.0|0.0|3.39|27.0|5.33|2.61|2.0|121.62|0.0|1.0|4.0|-5.6|4.0|0.0|-5.53|0.000997|0.0012|4.47|0.0|0.0|2.04e-10|8.199999999999999e-08|-0.0582899999999999|3.8867|-1275.852801|-1275.823229|689.51|1174.95|318.99|0.6157|227.79|563.98|0.27375|0.6129|-1275.602977|3.5714|-0.21788|7.4685|7.4685
26_a20|0.0|0|0|0.0|0.0|1|0|1.4165417530000002|1.877209467|-0.00578453|4.727387819|-0.104520106|0.0396875|2.01129617|-0.3297182369999999|0.003085806|-0.054222344|10.93106273|-0.033102079|1|1|0.003149352|0.0346782989999999|2|-0.055150498|0.8096894440000001|0.690530489|1|0.79337253|0.423153994|-58.21621279|-55.81998701|8.604974082|299.8332395|0.20662747|139.417676|-0.0327795789999999|0.7848887259999999|-1.737317706|-39.28020352|-22.11735334|2825.254798|535.3119506|-1172.219727|2534.075607|0.215111274|7.598632688999999|0.8952138340000001|6221.067002000001|-790.9313788|28.17896678|1493.485239|712.1606951|10.03954725|1.0|1.0|1.0|1.0|3.42|27.0|4.5|2.47|2.0|125.0|0.0|1.0|5.0|-5.14|4.0|0.0|-5.02|0.00305|0.00399|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|-0.05097|3.8894|-1352.315376|-1352.277633|715.27|1211.34|318.77|0.2081|256.05|543.96|0.50878|0.68167|-1352.036122|3.8173|-0.21226|6.8827|6.8827
19_a3|0.0|0|0|2.917217813|0.0|0|0|1.4316666480000002|0.0|-0.003417504|4.59511985|-0.030657|0.0386379929999999|1.744747103|-0.129865138|0.006821053|0.156485495|10.96959256|0.036226415|1|1|0.006731579|-0.037291767|3|0.064690027|0.8264237520000001|0.687139108|1|0.853017902|0.225451546|-31.50932639|-40.8473715|5.419662458|161.5312186|0.146982098|68.43484547|-0.032585664|0.75798185|-1.140498238|-14.67073822|-15.17188084|2000.66399|397.1650228|-531.0158295|869.7868956|0.24201815|5.342307798999999|0.911365749|4138.413977|-247.2409002|20.01615321|700.5653624|314.0966684|7.706796952|1.0|0.0|1.0|1.0|2.81|21.0|3.9|1.18|0.0|85.32|0.0|1.0|2.0|-3.24|4.0|1.0|-3.58|166.0|0.0764|2.19|0.0|0.0|6.18e-08|1.7800000000000002e-05|-0.05757|3945.0|-929.2818523|-929.2608626|499.93|832.23|314.28|0.3006|314.28|362.92|0.67351|0.67351|-929.14689|2191.0|-0.2206|7.6383|7.6383
15a_a22|0.0|0|0|0.0|0.0|1|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|-0.052476637|0.038167849|1.614660505|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|1|1|0.005757758|-0.097476465|2|-0.027029438|0.794858486|0.655865336|1|0.86664032|0.410151945|-41.92018177|-55.4621036|14.43653926|96.58317516|0.13335968|90.52525878|-0.031425179|0.702735071|-1.634109304|-28.45564196|-21.33157831|2884.815511|588.2800507999999|-1109.242072|2169.226845|0.297264929|8.157552588|0.800725296|6322.278103000001|-752.9594081|30.3550786|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|3.42|27.0|3.87|1.73|1.0|124.05|0.0|1.0|6.0|-4.65|5.0|0.0|-4.68|0.00945|0.00881|3.18|0.0|0.0|6.1e-10|2.56e-07|-0.0600399999999999|3.6496|-1368.35331|-1368.321775|696.57|1189.31|339.72|312.0|245.14|541.27|0.41078|0.69076|-1368.0755869999998|5.2588|-0.21285|6.8447|6.8447
12d_a30|0.0|0|0|0.0|0.0|0|2|0.604984421|0.0|-0.006335328|5.351858133|-0.033312179|0.042804233|0.0|-0.354778373|0.005613018|0.036688757|10.31162861|-0.075816941|1|1|0.005965451|-0.053644471|1|-0.130412856|0.8532172109999999|0.7991060659999999|0|0.843009925|0.366319099|-47.69710881|-60.88281322|10.05700314|85.1932288|0.156990075|101.4221952|-0.036246039|0.8143892140000001|-1.884794029|-30.81433963|-23.41646662|2784.836855|544.6198897999999|-1217.656264|2323.480646|0.185610786|7.557073995|0.84254817|6120.329513000001|-786.6571918999999|28.75340957|1495.177298|686.039456|8.672532296|0.0|1.0|0.0|1.0|4.75|17.0|4.35|3.04|2.0|132.24|0.0|1.0|5.0|-5.66|4.0|0.0|-5.15|0.0009119999999999|0.00291|4.23|0.0|0.0|9.75e-08|4.02e-05|-0.05119|3.4821|-1615.095823|-1615.063947|695.57|1176.22|356.06|149.0|356.06|545.94|0.68608|0.68608|-1614.831682|4434.0|-0.1991|7.9508|7.9508
22_a47|0.0|1|1|0.0|0.0|1|0|1.408617385|1.202720059|-0.010579222|4.727387819|-0.150248628|0.043695652|1.016903613|-0.507802654|-0.006808306|-0.075111395|10.95023117|0.002716049|1|1|-0.004332497|-0.1049885469999999|2|0.004104478|0.890264057|0.591185263|1|0.698649132|0.573087958|-47.64347429|-52.67991531|13.07198749|12.19999546|0.301350868|177.81209280000002|-0.031744149|0.6096864479999999|-1.42848671|-28.11203407|-18.73063655|2692.510471|412.2379505|-842.8786448999999|1494.441201|0.390313552|6.9553262170000005|0.8569791179999999|6107.923371|-497.3405809|30.72175314|1382.478891|482.9384172|18.60690504|1.0|1.0|1.0|2.0|3.31|21.0|3.07|2.97|1.0|104.64|0.0|1.0|5.0|-4.44|6.0|0.0|-4.38|0.0142|0.0164|3.0|0.0|0.0|2.06e-08|8.11e-06|-0.0612399999999999|4017.0|-1375.05033|-1375.021925|605.12|1027.32|308.65|0.3367|258.55|466.95|0.50316|0.68312|-1374.857521|4.2485|-0.22828|9.0|9.0
