molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|n6aHRing|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
15_a31|0.0|0|0|3.155574452|0.0|0|1|0.610137926|0.0|-0.018913735|5.733341277|-0.134784483|0.038809524|0.0|-0.775463115|-0.011797858|-0.070065105|10.31169996|-0.074455342|2|2|-0.007631228|-0.157560864|0|-0.116356616|0.8582665429999999|0.782925607|0|0.567108776|0.287991212|-61.76522754|-70.00513464|20.47825449|141.1489667|0.4328912239999999|230.1075793|-0.041588706|0.641533577|-1.58037081|-32.83191294|-22.10688462|2351.566145|301.452236|-840.0616157|1675.977147|0.358466423|6.148947296|0.873235738|5087.628096|-446.5429972|34.45943505|1309.458532|363.593507|18.05372755|1.0|1.0|1.0|2.0|3.31|16.0|4.12|0.41|0.0|90.47|0.0|2.0|4.0|-4.28|5.0|0.0|-3.57|18.0|0.0931|2.18|0.0|0.0|2.19e-06|0.000749|-0.04192|4569.0|-1460.900291|-1460.861851|556.68|925.93|271.36|348.0|271.36|452.98|0.5241899999999999|0.5241899999999999|-1460.736142|5.5793|-0.19394|5.9586|5.9586
4_a3|0.0|0|0|0.0|0.0|0|0|0.60501714|0.0|-0.008561428|4.727387819|-0.161259999|0.035345345|1.882124381|-0.325334256|-0.008407895|0.057349653|10.31162267|0.0248526079999999|1|1|-0.007022144|0.053425134|1|0.041477445|0.785381728|0.628171026|1|0.74053397|0.5842630360000001|-52.4583525|-46.9200748|3.806447632|235.6982345|0.25946603|123.350856|-0.039478171|0.866976271|-1.381735991|-24.93884341|-18.76802992|2142.972568|352.05186289999995|-656.8810472|1548.626215|0.133023729|5.05182773|0.711897153|4885.093366|-312.2830359|21.6476858|757.6690029|347.9532383|4.799426464|1.0|0.0|1.0|1.0|2.94|21.0|5.3|3.07|1.0|92.65|0.0|1.0|2.0|-5.69|3.0|0.0|-5.09|0.00065|0.00264|4.3|0.0|0.0|2.950000000000001e-08|9.48e-06|-0.0584299999999999|3.4771|-1355.332318|-1355.303098|504.29|858.45|356.58|0.1776|208.93|338.33|0.3809|0.6896|-1355.192416|2.3542|-0.20826|5.9|5.9
14a_a22|0.0|0|0|0.0|0.0|1|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|-0.052476637|0.038167849|1.614660505|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|1|1|0.005757758|-0.097476465|2|-0.027029438|0.794858486|0.655865336|1|0.864077619|0.490491034|-42.39063895|-55.51601021|14.49148204|93.21042936|0.135922381|92.61079081|-0.031338217|0.7007904070000001|-1.629587269|-28.88288575|-21.35231162|2885.858295|588.739773|-1110.320204|2169.870866|0.299209593|8.052850876|0.8069597009999999|6348.976909|-756.5172972|30.46889826|1584.38271|684.5377542|14.81445329|1.0|1.0|1.0|1.0|3.42|27.0|3.87|1.73|1.0|124.05|0.0|1.0|6.0|-4.65|5.0|0.0|-4.68|0.00945|0.00881|3.18|0.0|0.0|6.1e-10|2.56e-07|-0.06145|3.5707|-1368.35698|-1368.321586|695.62|1191.81|347.23|0.3051|244.77|534.87|0.45928|0.63156|-1368.075682|4.9775|-0.21174|7.4202|7.4202
16a_a23|0.0|1|1|0.0|0.0|2|1|1.197962324|3.411338761|-0.0054940769999999|5.351858133|-0.013055633|0.046283951|0.759926978|-0.302174246|0.012426121|-0.088255625|10.31321796|-0.071458049|2|2|0.01226642|-0.181609054|2|-0.116894582|0.890165467|0.7199622309999999|1|0.934837094|0.181301571|-26.53751114|-47.06687604|13.80568132|9.922436905|0.0651629059999999|42.07919382|-0.025724725|0.585920722|-1.311960953|-17.13669862|-16.6118386|2924.629647|603.6746046|-847.2037686000001|1801.957216|0.414079278|8.024409307|0.981208279|6552.801739|-547.0850515999999|28.35168303|1445.935835|668.3493171|18.14339594|0.0|0.0|0.0|1.0|3.94|20.0|2.03|2.04|1.0|125.79|0.0|2.0|5.0|-4.58|4.0|0.0|-4.31|0.0111|0.0208|2.66|0.0|0.0|5.38e-06|0.0023|-0.0502|1.6239|-1685.913359|-1685.8794469999998|670.04|1172.0|763.49|0.2066|763.49|555.21|0.96307|0.96307|-1685.580443|11.6254|-0.12645|7.4037|7.4037
12ao_a36|0.0|0|0|3.477902101|0.0|0|2|1.297043885|0.0|-0.007081548|5.351858133|-0.065314765|0.042739018|0.0|-0.410729809|0.002782748|-0.113963585|10.94919858|-0.033032344|1|1|0.003724542|-0.095253274|1|-0.05785124|0.8800240009999999|0.856135378|0|0.832582759|0.264688501|-51.52001456|-67.45579866|11.76697353|85.17634667|0.167417241|110.7707502|-0.03775988|0.7820981779999999|-2.039033535|-34.08795068|-24.98362913|2794.663089|550.8740683|-1349.115973|2298.760179|0.217901822|8.769931502999999|0.8620895909999999|5943.227395|-892.6355932|31.9443643|1724.9956719999998|698.847203|11.05528527|0.0|0.0|0.0|2.0|4.87|17.0|3.62|2.38|1.0|133.84|0.0|1.0|6.0|-4.58|4.0|1.0|-4.55|0.0106|0.0115|3.45|0.0|0.0|9.66e-08|3.94e-05|-0.05455|3.4743|-1310.361099|-1310.328652|701.9|1190.17|356.86|0.6249|266.08|548.59|0.4962|0.7045|-1310.077853|5.4691|-0.19662|7.5229|7.5229
8f_a8|0.0|0|0|2.939511291|0.0|1|0|1.394802091|1.241306689|-0.01032134|4.844187086|-0.249095464|0.043758865|0.0|-0.485102985|-0.007796225|-0.08540947|10.94343488|0.007079485|1|1|-0.007036544|0.09830823|0|0.010682683|0.751162751|0.56916135|0|0.5968139689999999|0.308621017|-71.22071405|-62.06002501|7.91086576|317.0847898|0.403186031|235.1097364|-0.048375351|0.90577048|-2.128515439|-41.53091131|-28.20910228|2622.044457|348.0199311|-1241.2005|1892.066521|0.09422952|7.504290616|0.8416059290000001|5948.547713|-723.7808349999999|31.14376424|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|2.0|3.14|23.0|4.69|4.11|2.0|105.27|0.0|1.0|4.0|-5.21|4.0|0.0|-5.0|0.0023899999999999|0.00395|3.82|0.0|0.0|1.13e-08|4.43e-06|-0.0675299999999999|3.4876|-1361.658484|-1361.626748|602.63|1022.89|355.5|0.3188|263.65|477.92|0.55661|0.69925|-1361.455053|5.8283|-0.21285|4.6428|4.6428
4l_a46|0.0|0|0|0.0|0.171853072|1|1|1.134637095|2.155247543|-0.004736212|5.587248657999999|-0.075241716|0.049498645|0.0|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|0.0071939419999999|1|-0.229089688|0.762625193|0.7936534740000001|0|0.892158627|0.291762764|-51.45056667|-48.19533497|3.721888783|177.7681018|0.107841373|61.00681586|-0.030068681|0.883450801|-1.533502748|-29.10603933|-17.01011822|2165.620022|504.7020036|-867.5160294|2087.583804|0.116549199|5.80829255|0.692930243|4865.794981|-490.7614689|19.25417715|981.9630347|579.2365607|3.468091068|1.0|1.0|1.0|1.0|3.92|17.0|4.64|3.06|1.0|105.77|0.0|1.0|3.0|-5.28|3.0|1.0|-5.11|0.00182|0.0027|4.49|0.0|0.0|9.980000000000001e-08|3.47e-05|-0.01784|4.4542|-1092.745692|-1092.71063|612.39|1057.06|278.36|0.2504|229.55|526.77|0.3756|0.68584|-1092.484863|2.6588|-0.20351|7.0088|7.0088
12s_a36|0.0|0|0|3.486136149|0.0|0|2|1.297044029|0.0|-0.007059109|5.351858133|-0.045035034|0.042804233|0.0|-0.4023692|0.002951176|0.0056370119999999|10.95352614|-0.050363149|1|1|0.003962098|-0.104118159|1|-0.086791463|0.856677627|0.856274847|0|0.8303378090000001|0.4314309979999999|-46.58030248|-64.57958827|12.55883918|110.6090028|0.169662191|109.5085883|-0.035868226|0.754198383|-1.901015959|-30.06529118|-23.15117315|2710.355028|535.942162|-1227.012177|2294.468358|0.245801617|7.545963801|0.853487672|5890.905249|-791.9759303|30.69639722|1626.909053|662.0530478999999|11.76167282|0.0|0.0|0.0|2.0|4.85|17.0|3.24|2.24|1.0|128.72|0.0|1.0|5.0|-4.16|4.0|1.0|-4.3|0.0274|0.02|3.04|0.0|0.0|1.08e-07|4.270000000000001e-05|-0.04908|3.7604|-1272.270833|-1272.236664|683.24|1150.67|329.71|0.4501|319.95|523.72|0.6843600000000001|0.6928|-1272.00109|6.6068|-0.20467|8.0458|8.0458
13l_a6|0.0|0|0|3.433158672|0.0|0|1|1.4242139390000002|0.0|-0.0143011819999999|5.351858133|-0.132667824|0.0408037829999999|0.0|-0.858070925|-0.009326562|-0.037558466|10.95129637|-0.086595185|1|1|-0.006280295|-0.045794891|1|-0.1470289659999999|0.84018367|0.827754203|0|0.643098986|0.210844002|-82.24617981|-88.13242567|20.90615311|182.8275745|0.3569010139999999|248.6104661|-0.0451862259999999|0.793671137|-2.53042863|-57.29112645|-31.47586631|2967.923804|447.9705372|-1762.648513|3127.831037|0.206328863|8.810095892|0.7413520309999999|6462.086665999999|-1227.82747|39.65857501|2220.880201|741.5222707|12.72865798|1.0|1.0|1.0|3.0|3.64|23.0|4.55|1.39|1.0|124.98|0.0|1.0|7.0|-5.49|5.0|0.0|-4.77|0.00144|0.0075599999999999|3.39|0.0|0.0|1.29e-09|5.7e-07|-0.04885|3.5499|-1465.865882|-1465.834958|735.52|1249.13|349.26|0.3115|338.07|578.91|0.7002|0.70515|-1465.560303|7.2582|-0.19447|6.4145|6.4145
14z_a23|0.0|1|1|0.0|0.0|2|0|1.197960872|3.305974434|-0.005892861|5.351858133|-0.024897956|0.04314059|0.729326158|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|-0.0229244|2|2|0.007229683|-0.069023218|2|-0.035965909|0.8668730109999999|0.64069202|1|0.925301102|0.228957475|-40.56245532|-55.54823244|12.77192721|40.18308023|0.074698898|52.02674091|-0.03393829|0.785604449|-1.595099623|-28.25118461|-23.63754572|3094.698027|644.4593172|-1110.964649|2692.627452|0.214395551|7.834464959|0.903664694|7285.13008|-773.7713888999999|30.08835522|1414.152695|665.6233736|11.22918692|0.0|1.0|1.0|1.0|3.42|26.0|4.64|3.99|2.0|130.3|0.0|1.0|5.0|-6.77|4.0|0.0|-6.13|8.18e-05|0.000354|4.83|0.0|0.0|2.6899999999999996e-09|1.29e-06|-0.08503|3.6632|-2549.107748|-2549.0953670000004|715.41|1221.92|338.46|0.3201|307.5|586.28|0.66217|0.69913|-2548.895003|5.9301|-0.23698|8.2941|8.2941
16_a4|0.0|0|0|0.0|0.0|1|1|1.398650725|1.843196334|-0.00228637|5.4161004020000005|-0.095499301|0.04501634|0.0|-0.089168424|0.0067511459999999|-0.148022089|10.94592242|0.019290123|1|1|0.006466406|-0.018051608|1|0.0293772029999999|0.8366279120000001|0.482473457|0|0.7898461090000001|0.292255386|-36.11951685|-39.44800181|6.761192037000001|13.51923899|0.210153891|103.5057102|-0.033372358|0.832461695|-1.201404885|-17.789707500000002|-16.43666742|2101.6948030000003|389.0176968|-591.7200271|1522.164774|0.167538305|5.548106463|0.837568182|4520.2597670000005|-291.4359638|19.74465314|710.807513|322.8922084|5.67083266|0.0|0.0|0.0|0.0|3.26|17.0|4.49|3.44|1.0|85.02|0.0|1.0|2.0|-3.92|4.0|1.0|-4.43|0.0371|0.0114|3.59|0.0|0.0|4.33e-07|0.000134|-0.03965|4.2257|-1057.494456|-1057.478071|515.68|856.55|293.41|0.2213|274.85|407.99|0.51149|0.54061|-1057.3808390000002|1863.0|-0.2134|6.4647|6.4647
12v_a36|0.0|0|0|3.468871488|0.0|0|2|1.297043692|0.0|-0.008411281|5.351858133|-0.04314418|0.041767677|0.0|-0.487854327|0.00127667|-0.086194201|10.96020642|-0.023932402|1|1|0.003077071|-0.1430106119999999|1|-0.041914045|0.8792981679999999|0.84179881|0|0.802291339|0.334379501|-51.4172081|-69.20675352|17.85767346|113.7463918|0.197708661|130.0637965|-0.033118671|0.6276553979999999|-1.788408258|-33.82511043|-21.78731129|2846.057239|527.7920397|-1176.51481|2328.221818|0.372344602|8.456596706000001|0.8580426609999999|6065.593390999999|-773.9771341000001|34.71221847|1874.459798|679.7230552999999|18.86337805|0.0|0.0|0.0|2.0|4.82|17.0|2.77|1.72|1.0|130.24|0.0|1.0|6.0|-3.95|5.0|0.0|-4.07|0.0464|35.0|2.65|0.0|0.0|2.03e-07|8.340000000000001e-05|-0.05219|3.7035|-1347.475543|-1347.442792|671.56|1150.38|334.77|0.4247|319.16|502.83|0.69298|0.7016100000000001|-1347.2000369999998|6.1869|-0.20404|7.8539|7.8539
8c_a31|0.0|0|0|3.435435563|0.0|0|1|0.610137334|0.0|-0.01275867|5.733341277|-0.104377029|0.03995098|0.0|-0.574140137|-0.0080009219999999|-0.1903992189999999|10.31169969|-0.1029580369999999|2|2|-0.004832959|-0.053983462|0|-0.1759864119999999|0.896193695|0.87237334|0|0.626072761|0.280934088|-64.57121646|-70.64275621|16.3656112|133.3100368|0.3739272389999999|206.2599245|-0.039640027|0.72308253|-1.66488115|-35.61776956|-21.86561502|2251.08563|345.3445134|-918.3558307|1678.6836239999998|0.27691747|6.820988495|0.90508624|4835.748065|-506.5691518|30.23944586|1270.056726|423.1367008|12.12761708|1.0|1.0|1.0|2.0|3.51|16.0|4.89|0.85|0.0|93.45|0.0|1.0|5.0|-4.42|5.0|0.0|-3.63|13.0|0.0811|2.38|0.0|0.0|7.45e-07|0.0002549999999999|-0.03222|3.8492|-1426.166503|-1426.129055|595.67|981.89|322.11|0.2597|322.11|475.72|0.7005|0.7005|-1425.968408|3.3453|-0.19207|6.0915|6.0915
1f_a5|0.0|0|0|2.824395738|-4.398485453999999|0|0|1.218960329|0.0|-0.00645569|4.59511985|-0.31059482|0.029105691|0.0|-0.277594656|-0.0012491689999999|-0.174016111|10.94527671|-0.000625|1|1|-0.000700145|0.001493879|2|-0.000969932|0.834250802|0.513260607|0|0.888073448|0.45528118|-50.98614411|-46.77243802|4.687041957|201.7057715|0.111926552|62.42799372|-0.035639589|0.757522389|-1.425583552|-28.43795894|-19.87828616|2482.949545|495.3305784|-795.1314464|979.2285994|0.242477611|7.117418022000001|0.8764524309999999|5474.331675|-443.4913802|26.24118632|1049.647453|403.396385|11.06591332|1.0|0.0|1.0|1.0|2.9|23.0|5.48|2.73|2.0|95.49|0.0|1.0|4.0|-4.79|6.0|0.0|-4.97|0.00589|0.00396|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|-0.05346|4.5758|-1288.353339|-1288.3196369999998|577.11|958.06|270.96|0.6959|261.1|442.04|0.47267|0.42446|-1288.209882|3.7852|-0.2357|6.6198|6.6198
6_a47|0.0|0|0|0.0|0.0|0|0|1.304328257|0.0|-0.008723045|0.0|-0.1738997619999999|0.042276423|1.291219116|-0.392537045|-0.010708889|0.051455447|10.93671042|0.0402365489999999|0|0|-0.0094242819999999|-0.020576777|2|0.062425042|0.84654143|0.672308592|1|0.8419184120000001|0.446564415|-43.43026699|-52.41283988|5.323543706000001|101.7290544|0.158081588|85.6917678|-0.036834143|0.7943908059999999|-1.547034008|-23.54237714|-19.96679614|2431.668154|456.3812788|-838.6054381|1577.98246|0.205609194|6.480620646|0.6832388209999999|5766.962611999999|-454.5854048000001|25.13472712|1055.658539|469.7495559|8.348196185|1.0|0.0|1.0|2.0|2.82|22.0|5.24|3.48|2.0|106.47|0.0|1.0|3.0|-6.02|4.0|0.0|-5.79|0.000362|0.000619|5.06|0.0|0.0|8.71e-10|3.310000000000001e-07|-0.05354|3.7196|-1608.684886|-1608.652005|576.56|990.85|333.32|0.2536|224.66|422.9|0.30468|0.69305|-1608.50108|3.2606|-0.20794|7.9|7.9
3_a3|0.0|0|0|0.0|0.0|0|0|0.605000514|0.0|-0.010040064|5.283203728999999|-0.114647585|0.034259259|2.063441043|-0.3413621639999999|-0.007818326|0.0483259979999999|10.31154314|0.069435247|2|2|-0.006362643|0.041786524|1|0.123113049|0.885339037|0.8495058259999999|1|0.7538064790000001|0.583866845|-48.91675544|-45.05306124|5.753894372|228.5396864|0.246193521|112.2682304|-0.035057023|0.7000038270000001|-1.086767728|-22.30683222|-15.98657012|2092.406045|343.74795510000007|-495.58367360000005|1349.6286710000002|0.299996173|5.025797436|0.709760196|4677.617255|-225.9941764|22.83783244|707.9728057|302.8386149|10.6194566|1.0|1.0|1.0|1.0|3.11|20.0|5.0|1.41|0.0|88.36|0.0|1.0|2.0|-5.48|3.0|0.0|-4.39|0.00103|0.0126|3.26|0.0|0.0|7.009999999999999e-07|0.000218|-0.0637|3.3475|-1592.904586|-1592.873593|491.26|817.21|370.38|0.2383|212.09|316.65|0.29441|0.69206|-1592.792349|2.1507|-0.20969|5.93|5.93
3o_a32|0.0|1|1|3.644417045|0.0|0|1|0.609420753|0.0|-0.006253394|5.733341277|-0.014299905|0.035643275|2.240993002|-0.306416317|-0.001411347|-0.117781901|10.3110027|-0.090297882|3|3|0.000243592|-0.061774721|0|-0.154436834|0.872498916|0.840991936|1|0.8377808240000001|0.252703854|-42.51640563|-55.03672286|7.218280399|62.67187821|0.162219176|93.52833522|-0.031819276|0.7850948190000001|-1.4318674340000002|-24.51306152|-18.34557429|2488.133192|483.0270239|-825.5508427999999|2469.87467|0.214905181|6.392329273|0.835165165|5488.777096|-475.9757626|23.36733582|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|2.0|3.47|19.0|6.39|1.58|1.0|112.07|0.0|1.0|3.0|-5.72|4.0|0.0|-4.73|0.00072|0.00714|3.46|0.0|0.0|5.35e-08|2.04e-05|-0.05413|3.5333|-1805.504508|-1805.473626|620.56|1049.14|350.9|0.2851|350.9|464.85|0.70216|0.70216|-1805.277864|3.2729|-0.20065|6.6198|6.6198
25b_a34|0.0|0|0|0.0|0.0|1|1|1.290860233|1.94553288|-0.015658012|5.351858133|-0.0929479709999999|0.04037037|0.0|-0.861190687|-0.00378755|-0.112970844|10.95957635|-0.061390533|1|1|-0.000223677|-0.278635968|1|-0.101529052|0.83883012|0.787858064|0|0.656573108|0.5020264870000001|-64.37123451|-86.13394472|18.82143547|165.2408865|0.343426892|214.470853|-0.042438204|0.76274549|-2.206786613|-40.19997818|-26.50275222|2611.55928|410.0313565|-1378.143115|2671.608537|0.23725451|6.383564979|0.723855085|5786.015654|-860.6534206|34.74652105|1806.819095|595.8522372|11.90766609|1.0|1.0|1.0|2.0|3.53|17.0|2.63|1.56|1.0|108.21|0.0|1.0|7.0|-3.82|5.0|0.0|-3.69|59.0|0.0796|2.29|0.0|0.0|3.8100000000000004e-07|0.00015|-0.03539|4.2253|-1313.388114|-1313.361559|668.48|1136.16|293.43|0.2259|293.43|562.84|0.6925600000000001|0.6925600000000001|-1313.132261|7.0586|-0.21103|5.6819|5.6819
13b_a6|0.0|0|0|3.423777636|0.0|0|1|1.430640379|0.0|-0.011206134|5.351858133|-0.0265090529999999|0.042739018|0.0|-0.6051312529999999|-0.00460563|-0.104663349|10.95129557|-0.064811009|1|1|-0.00194781|-0.10896749|1|-0.11338525|0.8370824240000001|0.8013954109999999|0|0.7757172059999999|0.202093555|-61.06841733|-74.04643339|21.00828557|154.7847961|0.2242827939999999|147.0772097|-0.0406496879999999|0.757233678|-2.032484418|-40.04664055|-26.65671602|2821.72831|508.6895893|-1332.835801|2587.000662|0.2427663219999999|9.087172635|0.69141956|6000.952027|-874.0294667999999|35.20276076|1760.1380379999998|627.4287311|13.35319491|1.0|1.0|1.0|2.0|3.56|23.0|4.98|1.29|2.0|116.79|0.0|1.0|5.0|-5.51|5.0|0.0|-4.99|0.0012699999999999|0.00417|3.8|0.0|0.0|9.77e-10|4e-07|-0.0525799999999999|3.6322|-1350.0903970000002|-1350.061187|694.33|1167.21|341.35|0.7846|255.67|574.07|0.58026|0.7006600000000001|-1349.837661|10.8032|-0.20156|6.7595|6.7595
13a_a6|0.0|0|0|3.417162147|0.0|0|1|1.430639975|0.0|-0.01115741|5.351858133|-0.0265090529999999|0.041767677|0.0|-0.602500119|-0.00460563|0.0015242189999999|10.95129557|-0.0525259259999999|1|1|-0.00194781|-0.10896749|1|-0.091892803|0.8299950709999999|0.8013954109999999|0|0.77450544|0.22670695|-61.52313164|-74.18628740000001|20.83876732|154.9639272|0.22549456|147.4582473|-0.040840697|0.759912392|-2.042034827|-40.23198232|-26.70706346|2820.31296|506.474367|-1335.353173|2626.396685|0.240087608|8.038453162|0.8764206290000001|6019.922535|-873.2309916000002|35.14492428|1757.246214|627.4287311|13.18415753|1.0|1.0|1.0|2.0|3.53|23.0|4.98|1.29|2.0|116.79|0.0|1.0|5.0|-5.51|5.0|0.0|-4.99|0.0012699999999999|0.00417|3.8|0.0|0.0|9.77e-10|4e-07|-0.05018|3651.0|-1350.085889|-1350.057702|695.29|1166.79|339.59|0.5352|206.87|571.9|0.4816|0.70072|-1349.834826|7.7145|-0.19987|7.3372|7.3372
5_a18 (BIBF0775)|0.0|0|0|0.0|0.0|0|2|1.251175715|0.0|-0.005220163|4.844187086|-0.015946718|0.035478927|0.0|-0.391512249|0.002526619|0.0002403959999999|10.94702058|-0.022817602|0|0|0.0036739159999999|-0.144352593|0|-0.040022105|0.774859029|0.7061155790000001|0|0.8432358679999999|0.420002762|-52.09190866|-59.08151918|6.418873637000001|10.36586529|0.156764132|118.3671077|-0.029755876|0.8159410579999999|-2.112667176|-39.33277643|-22.46761997|3115.979466|636.6978809999999|-1595.201018|1645.395714|0.184058942|9.798677372|0.937842434|7221.114573000001|-1204.480438|27.535837|1955.044427|1140.896548|8.178259299999999|1.0|0.0|1.0|2.0|4.42|18.0|4.09|3.52|3.0|155.95|0.0|1.0|8.0|-6.07|3.0|1.0|-5.72|0.000425|0.000946|4.73|0.0|0.0|6.18e-10|3.06e-07|-0.04938|3.2027|-1572.313227|-1572.290174|817.02|1446.02|378.13|0.4825|378.13|691.68|0.69298|0.69298|-1571.843719|2.3389|-0.18092|7.4685|7.4685
12z_a36|0.0|0|0|3.435113772|0.0|0|2|1.297044126|0.0|-0.007671785|5.351858133|-0.010732275|0.041767677|0.0|-0.421948174|-0.000143196|-0.010881947|10.95429182|-0.030529442|1|1|0.001194592|-0.098598933|1|-0.0533649729999999|0.886776351|0.8212311840000001|0|0.834790405|0.492335362|-54.11489962|-68.09761735|15.50078625|114.3931487|0.165209595|109.572766|-0.036238222|0.712682362|-1.848149347|-35.89088901|-24.03445318|2841.692299|553.6621150000001|-1225.757112|2451.657399|0.287317638|8.016303367999999|0.844286292|6146.834385|-812.9648725|33.72393432|1719.920651|642.3830552000001|14.97465267|0.0|0.0|0.0|2.0|4.76|17.0|2.75|1.38|1.0|128.47|0.0|1.0|5.0|-3.99|5.0|0.0|-3.95|0.0412|0.0458|2.4|0.0|0.0|2.21e-07|8.97e-05|-0.05642|3.8969|-1325.195958|-1325.157504|686.33|1153.7|318.16|0.4423|318.16|539.36|0.69397|0.69397|-1324.951498|4814.0|-0.2139199999999999|8301.0|8301.0
7d_a10|0.0|0|0|0.0|0.0|1|1|1.34384996|2.087763133|-0.00179944|5.4161004020000005|-0.017919404|0.041369509|1.591760572|-0.0845736919999999|0.00870171|-0.071185424|10.929819300000002|-0.0325418129999999|1|1|0.008513576|-0.041520889|2|-0.051603612|0.869684772|0.525816226|1|0.841052067|0.421731106|-31.47566249|-37.61597161|5.567989142999999|12.32220006|0.158947933|84.32774259|-0.024733154|0.729585423|-1.063525614|-16.69900016|-13.12185056|2348.343588|446.2091497|-564.2395741|1597.531619|0.270414577|6.100927672|0.938419104|5174.981962|-299.34991010000005|17.98535187|773.3701306|460.1866123|7.468948447000001|1.0|1.0|1.0|0.0|3.21|21.0|4.92|3.04|1.0|100.04|0.0|1.0|2.0|-4.22|4.0|1.0|-4.72|0.0206|0.00654|3.62|0.0|0.0|1.46e-08|5.04e-06|-0.05634|3.8856|-1129.198363|-1129.175857|574.87|970.29|319.09|0.2593|212.18|417.68|0.32059|0.68393|-1129.003694|3.0178|-0.21965|6.0325|6.0325
19i_a38|0.0|0|0|3.169368622|0.0|0|2|1.297043925|0.0|-0.008447598|5.351858133|-0.115864198|0.043197531|0.0|-0.4561702689999999|-0.006877664|-0.074033381|10.96052467|-0.053762162|1|1|-0.004358975|-0.098027247|1|-0.087904124|0.892249657|0.632625562|0|0.747158407|0.4748744179999999|-51.15830416|-69.40536597|13.83587388|137.7658863|0.252841593|154.953787|-0.040770109|0.7419238420000001|-2.038505453|-31.35232957|-24.98593175|2896.470706|457.89548719999993|-1249.2965869999998|2335.0953870000003|0.258076158|6.690507557999999|0.800346329|6744.7785650000005|-765.6305068|33.67721904|1683.860952|593.6088758|13.5801364|1.0|1.0|1.0|3.0|4.8|17.0|3.55|2.78|1.0|125.65|0.0|1.0|5.0|-4.25|5.0|0.0|-4.33|0.0238|0.0196|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|-0.0564799999999999|3.6129|-1431.415351|-1431.384243|641.31|1101.03|343.17|0.2156|217.36|457.26|0.4342|0.69267|-1431.181148|6.6636|-0.2052|7.9031|7.9031
14u_a23|0.0|1|1|0.0|0.0|2|0|1.197962732|3.357982471|-0.007017844|5.351858133|-0.025360103|0.043321995|0.743634137|-0.385981432|0.010561248|-0.026062012|10.31321759|-0.0569153009999999|2|2|0.010508236|-0.110069159|2|-0.094773814|0.845160857|0.71381683|1|0.909754912|0.445665682|-36.90928915|-57.75236052|16.97420126|43.06242147|0.090245088|60.27663131|-0.033908155|0.702868983|-1.729315897|-24.65250654|-22.64798452|3015.478095|607.6448353|-1155.04721|2430.634114|0.297131017|7.392527755|0.910165272|6913.009783|-771.4808267999999|32.2221994|1643.332169|683.7405759|15.75112771|0.0|1.0|1.0|1.0|3.59|26.0|3.42|2.72|2.0|126.78|0.0|1.0|6.0|-5.63|5.0|0.0|-5.02|0.0010199999999999|0.0042299999999999|3.55|0.0|0.0|3.11e-08|1.3699999999999998e-05|-0.0618299999999999|3.1819|-1744.446261|-1744.422541|712.54|1214.4|389.66|0.2253|306.82|549.0|0.4523|0.6703100000000001|-1744.1781010000002|5.9743|-0.21613|8.2449|8.2449
