molecula|SddssS|NaaNH|n9FaHRing|SaaNH|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8d_a32|0.0|1|1|3.474433107|0|7.765993078999999|0|0|0.0|0.143684876|-0.010604502|5.733341277|-0.089662873|0.0388738739999999|-0.006974711|-0.044765977|-0.0682721729999999|3|-0.005162219|0.113030335|0.001558357|-0.629535754|-0.054095278|0.789198712|1|0.7107041559999999|-0.109612139|0.261692269|-69.11005922|10.01177286|321.2496412|181.8092016|-0.03346862|6.291941176|89.20994250000001|0.708567136|-43.2918338|81.54594837|78.89798692|0.47012654|446.6450457|2371.595484|0.2914328639999999|8.106843676|15.29958432|29.684549600000004|0.019788058|-262.14980440000005|1365.489282|557.1050635|12.43588915|1.0|0.0|1.0|1.0|2.0|3.5|0.26|-7.26|154.03|1.1|0.0|110.38|1.0|1.0|7.0|27.0|397.52|3.57|-4.36|8.41e-07|0.0173|3.17|0.0|0.0|5.51e-08|4.26|-1880.733071|111.16|348.39|0.3018|348.39|0.7026100000000001|-0.14765|1.0269|-0.20115|0.04065536|-1880.602038|1873.0|8.0|8.0809
7_a1|0.0|0|0|0.0|1|7.860570786|2|2|2.307091837|-0.055291895|-0.010040172|5.777652323|0.001018628|0.035718954|0.0021597079999999|-0.07233584|-0.024096172|1|0.004950534|-0.077833285|-0.245732751|-0.441054548|-0.048198584|0.729621031|0|0.710959153|-0.083362936|0.289201649|-47.35863598|17.31482297|111.9204437|139.2595474|-0.031040669|8.342261787|404.7836105|0.603382856|-19.35104936|61.72628137|57.47898976|0.452829665|342.53930230000003|1466.924404|0.396617144|5.07667644|9.278054953|24.78585294|0.029820838|-99.61948195|941.8624118|351.4191817|14.36764539|0.0|1.0|1.0|1.0|0.0|3.09|0.22|-5.64|49.17|1.6|0.0|85.88|0.0|2.0|2.0|23.0|305.33|2.72|-3.71|0.000696|0.0595|2.48|0.0|0.0|2.29e-06|2.76|-1009.48087|864.85|306.1|0.2961|306.1|0.69902|-0.16734|4575.0|-0.19167|0.02860499|-1009.398029|6.5936|0.46|6.3372
28_a34|0.0|0|0|0.0|1|7.423568444|1|1|1.767685185|0.000561166|-0.016942875|5.351858133|-0.206909349|0.04515873|-0.012039484|-0.15803127|-0.0500053959999999|1|-0.007544188|-0.33032879|-0.189821204|-0.5437894289999999|0.092890802|0.7829667309999999|0|0.545935562|-0.1306693569999999|0.316156689|-72.11491331|19.29162755|144.3404619|232.4555747|-0.048190604|9.876233397|88.32197602|0.7298701059999999|-34.24669822|85.99382787|86.18702382|0.454339954|279.4884473|1689.357471|0.270129894|5.613534285|10.28760365|33.80175623|0.0271102189999999|-235.3612529|1284.466737|344.69029950000004|13.87891455|0.0|1.0|1.0|1.0|1.0|3.02|0.12|-4.78|92.26|0.88|0.0|85.92|0.0|2.0|3.0|24.0|322.32|1.84|-3.25|0.000533|182.0|1.72|0.0|0.0|1.66e-05|4.11|-1100.760824|896.02|289.3|0.2043|289.3|0.69263|-0.17802|6.4596|-0.21698|0.03680411|-1100.704833|8.5886|3.82|5.4179
16j_a32|0.0|1|1|3.359912013|0|7.765993078999999|0|0|0.0|0.175152442|-0.0139074189999999|5.733341277|-0.086195934|0.046788618|-0.002456725|-0.135618491|0.021997616|3|-0.00030659|-0.11512706|-0.117577419|-0.704356423|0.168000908|0.762429418|1|0.8259884120000001|-0.07651119|0.509776381|-76.45058155|16.63953228|34.66998636|124.4493461|-0.034287782|11.90023573|45.81893652|0.699790508|-39.13396528|91.93816239|71.35869023|0.442735754|590.7291534|3448.428146|0.3002094919999999|7.357962381|13.20372234|35.04175088|0.021655546|-285.7717513|1857.212797|701.9321161|15.48758085|1.0|0.0|1.0|1.0|2.0|3.86|0.33|-7.77|149.27|1.57|0.0|121.3|1.0|1.0|8.0|30.0|441.57|4.25|-5.41|3.56e-08|0.00172|4.59|0.0|0.0|1.7e-08|5.5|-2034.593521|1225.27|341.65|0.2907|341.65|0.70207|-0.15012|3.4656|-0.2002799999999999|0.0283671|-2034.408854|4.0992|9.0|8.0315
14g_a23|0.0|0|1|0.0|2|7.423568444|0|0|3.0793867980000003|0.180361525|-0.014609495|5.351858133|-0.301504331|0.0422736629999999|-0.002390707|-0.031968899|-0.030586527|2|-0.0004039459999999|0.179219801|-0.0962526|-0.648987099|0.010202051|0.575188253|1|0.907334473|-0.072819606|0.297855753|-68.52397802|13.05300369|95.64648102|65.94601775|-0.041536002|9.289253982|1.5679977319999998|0.780315815|-36.87984398|83.15907597|64.87554405|0.461846955|645.7104105000001|2531.8503170000004|0.219684185|8.788027188|16.32997765|37.88128151|0.020564836|-398.9771038|1931.945357|676.4530574|14.63509796|0.0|0.0|0.0|1.0|1.0|3.61|0.09|-7.95|114.25|3.04|1.0|126.97|0.0|1.0|7.0|35.0|495.48|4.35|-6.0|1.29e-07|0.0004969999999999|4.76|0.0|0.0|1.12e-08|5.17|-2042.161409|1233.48|334.71|0.3478|334.71|0.56658|-0.1519|7.2913|-0.23201|0.0221162|-2042.000034|10245.0|0.01|8.0
12a_a36|0.0|1|0|3.4715209280000003|0|7.412764017000001|2|2|0.0|-0.0632801509999999|-0.007471648|5.351858133|-0.0427777779999999|0.040166667|0.002039107|-0.070252245|-0.065913514|1|0.003199301|0.134423193|-0.1063550619999999|-0.432975237|-0.012112722|0.855821486|0|0.820684627|-0.076154312|0.436020272|-64.36949846|12.03249549|109.9069212|110.1075804|-0.037738352|7.388485123|5.277117996|0.755315434|-28.71401279|76.09903547|58.79461567|0.470444928|503.9367075|2258.5909920000004|0.244684566|6.600635115|12.464492300000002|30.67992313|0.019102103|-313.5499672|1533.996157|598.1535763999999|11.72953701|1.0|0.0|1.0|0.0|2.0|4.75|0.14|-6.59|69.2|2.02|0.0|123.75|0.0|1.0|5.0|29.0|381.43|1.86|-4.0|0.000164|0.0384|2.68|0.0|0.0|2.56e-07|3.16|-1232.916523|1096.31|338.0|0.4435|323.35|0.6997|-0.1519299999999999|6.3637|-0.20139|0.03544528|-1232.764108|8.5603|13.0|7.8861
8a_a8|0.0|1|0|3.150966553|1|7.535296702|1|1|1.4114120369999998|-0.021925912|-0.014658222|5.4161004020000005|-0.1950388569999999|0.040243056|-0.0075336219999999|0.010118884|-0.0298924089999999|1|-0.005306541|0.044579097|0.055198015|-0.5028388229999999|0.089031731|0.7318727540000001|0|0.550829475|-0.131795179|0.22299265|-71.12928513|20.58762475|170.9592896|269.0155755|-0.049054408|12.33026525|84.91322996|0.76420633|-47.27503672|86.57328508|99.52191337|0.481294455|329.9007832|1746.6927010000002|0.23579367|7.533378788999999|14.52342059|38.44444383|0.025786572|-316.4749864|1768.444416|529.053307|15.44399996|0.0|0.0|1.0|0.0|2.0|3.37|0.05|-6.76|112.23|1.9|0.0|109.21|0.0|1.0|4.0|30.0|400.39|2.56|-4.14|3.99e-05|0.0292|2.4|0.0|0.0|1.74e-07|6.1|-1367.744724|1061.5|399.45|0.2035|269.43|0.7036899999999999|-0.13015|5.4201|-0.19937|0.03213899|-1367.595683|6.8427|11.34|4.9454
12an_a36|0.0|1|0|3.489959714|0|7.412764017000001|2|2|0.0|-0.05423417|-0.0070293469999999|5.351858133|-0.046532211|0.042739018|0.00285431|-0.131674913|-0.031635802|1|0.003710345|0.170355752|-0.07550872|-0.434819796|-0.009636347|0.855081905|0|0.836440154|-0.073519599|0.270501913|-71.0446809|11.69727417|82.43567331|110.5140393|-0.036995649|7.903608682000001|0.0|0.783512615|-33.56484523|81.70091433|61.37296195|0.44576647|565.1654879|2399.367452|0.216487385|8.773001855|15.82907093|31.9040205|0.015771136|-383.1273396|1722.817107|725.9470896|10.65623343|1.0|0.0|1.0|1.0|2.0|4.85|0.17|-7.05|94.5|2.51|0.0|135.47|0.0|1.0|6.0|31.0|427.52|2.33|-4.51|1.4300000000000002e-05|0.0132|3.19|0.0|0.0|8.95e-08|3.37|-1670.417726|1215.98|327.38|0.6702|239.49|0.69094|-0.15474|4.3963|-0.21035|0.0345115999999999|-1670.244686|6.2182|0.04|7.3979
4p_a46|0.0|0|0|0.0|1|7.825245291|1|1|2.102855253|-0.060700883|-0.004413243|5.587248657999999|-0.038295755|0.046533816|0.005152176|-0.205494852|-0.120823841|1|0.004453195|-0.251219946|0.066453878|-0.369670745|-0.078703563|0.751334374|0|0.905966489|-0.0997229069999999|0.3352802039999999|-47.22779946|4.195717966|175.10295019999998|53.32991189|-0.029978645|2.379548177|0.0|0.87420565|-32.07534663|51.05047787|60.7522985|0.423511708|513.8073925|2219.4587530000003|0.12579435|5.828038618|10.10955243|19.44852199|0.006740305|-424.4519674|972.4260993|585.8536976|3.822678404|1.0|0.0|1.0|0.0|1.0|3.89|0.3|-7.05|61.84|3.2|0.0|107.89|0.0|1.0|2.0|27.0|357.45|4.25|-5.4|1.59e-06|0.00144|4.77|0.0|0.0|8.95e-08|4.89|-1129.618646|1058.54|310.28|0.2363|226.26|0.70138|-0.16819|3.6961|-0.20749|0.03979459|-1129.4459470000002|5.3996|341.0|6.4672
8j_a46|0.0|0|0|0.0|1|7.727094485|1|1|2.1279894180000003|-0.13040237|-0.0017688329999999|5.533389489|-0.008523199|0.043903904|0.011852046|-0.174853546|-0.053618988|1|0.0108603019999999|-0.204674804|-0.084266433|-0.229679821|-0.223292257|0.6109926379999999|0|0.934648421|-0.054707287|0.308052557|-37.04976799|4.658562801|7.723448142|35.10521457|-0.02566383|2.5024620580000003|64.83187221|0.822112519|-15.7861518|41.80044861|34.04593326|0.427798746|502.0694817|1888.679875|0.177887481|5.617748211|9.817783823|16.76894569|0.008843828|-346.061389|721.0646647000001|453.1959065|4.750680627|1.0|0.0|1.0|1.0|0.0|3.23|0.32|-7.26|43.6|2.62|1.0|96.94|0.0|1.0|2.0|24.0|338.83|3.82|-4.83|2.59e-05|0.00497|3.97|0.0|0.0|5.46e-08|3.78|-1414.50743|978.4|281.1|0.1728|249.79|0.70121|-0.18531|5.2361|-0.22599|0.02408052|-1414.402087|6.4463|1228.0|5.9108
4a_a49|0.0|0|0|0.0|1|7.535296702|1|1|2.085628989|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|0.036555556|-1.8100000000000003e-05|-0.053787795|0.018857363|1|0.000660956|-0.130491035|-0.037142108|-0.403194204|0.0063958109999999|0.731643066|1|0.7570436159999999|-0.094228246|0.433367368|-53.88810275|10.51443916|313.22432680000003|149.0098632|-0.0292876779999999|6.448709504|60.11195021|0.650301539|-35.44496163|68.37721704|68.30645049|0.4716382|464.3095353|1647.61849|0.349698461|7.934892916|15.01791558|27.62211044|0.023624093|-184.3656985|1408.727632|620.5697596|14.48911428|0.0|1.0|1.0|1.0|2.0|3.35|0.22|-7.36|92.93|1.25|0.0|114.08|0.0|1.0|6.0|30.0|399.45|2.42|-3.52|0.000528|122.0|1.71|0.0|0.0|4.35e-08|3.34|-1313.158118|1128.22|327.34|0.1935|262.35|0.68042|-0.1585099999999999|3.9716|-0.2231199999999999|0.04133192|-1312.98289|4.8706|32.0|7.4949
22_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.987636054|-0.043165663|-0.006436201|5.4161004020000005|-0.115883451|0.044357639|0.004765062|-0.2078428719999999|-0.023072107|1|0.004237768|0.00771584|0.021636871|-0.3877007|0.086940934|0.755510052|0|0.8612031509999999|-0.09491995|0.242642229|-43.23011833|5.1432274630000006|162.9809584|66.70156956|-0.036468635|2.47167963|0.0|0.8444670409999999|-21.92150631|48.65880447|50.75888571|0.4359219589999999|413.8681986|1477.437886|0.155532959|5.495481464|9.742413394|20.75359108|0.011296354|-331.080892|767.88287|338.71903330000004|5.428686137000001|1.0|1.0|1.0|0.0|1.0|3.3|0.11|-5.24|50.94|2.09|0.0|87.12|0.0|2.0|2.0|22.0|289.33|2.81|-3.98|0.000172|0.0301|3.03|0.0|0.0|5.77e-06|3.38|-934.240411|860.77|305.85|0.1675|277.43|0.65771|-0.16754|3.5548|-198.0|0.030263407|-934.171365|5.4110000000000005|47.0|7.3279
19_a34|0.0|0|0|0.0|1|7.412764017000001|1|1|1.898101852|-0.068004837|-0.013066507|5.351858133|-0.169170251|0.044107744|-0.00802652|-0.143343425|-0.014196676|1|-0.0042364759999999|-0.29861864|-0.255220734|-0.469568766|0.08178394|0.818710955|0|0.6399024520000001|-0.112877411|0.308793959|-62.64265252|19.74799697|131.5318459|179.6256831|-0.039656969|9.850795895|470.4453529|0.662289492|-28.08688512|77.38527508|76.05407906|0.467358389|319.1993829|1537.244187|0.3377105079999999|5.495780422|10.31797048|29.86894781|0.029554695|-161.90813300000002|1135.020017|337.9440349|14.74262256|0.0|1.0|1.0|1.0|1.0|3.07|0.18|-5.03|69.4|1.08|0.0|83.95|0.0|2.0|3.0|23.0|309.32|2.1|-3.15|0.00186|218.0|1.66|0.0|0.0|9.42e-06|2.7|-1046.5747720000002|882.87|297.18|0.2189|297.18|0.6897300000000001|-0.1735|3.4272|-0.20251|0.03168624|-1046.509891|5.0441|0.99|6.0044
1_a15|0.0|0|0|0.0|0|0.0|0|0|0.0|-0.22215316|-0.0084598019999999|0.0|-0.043374667|0.0381893|0.001244652|-0.068297833|-0.000905902|0|0.003816011|0.096086011|-0.1816819589999999|-0.34192045|0.101406325|0.795437721|0|0.875723465|-0.068077117|0.7100707390000001|-72.24770503|16.94887506|121.3844816|80.34898605|-0.031142386|10.95802135|63.14412039|0.605927517|-28.45664402|90.40184737|60.96303497|0.437969049|566.1848585|2855.495631|0.394072483|6.580146251|11.7078005|33.22939752|0.0280791829999999|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|1.0|3.91|0.19|-10.02|74.73|2.2|0.0|132.94|0.0|0.0|8.0|34.0|457.52|4.68|-5.97|2.830000000000001e-07|0.000495|5.23|0.0|0.0|9.53e-11|4.68|-1510.117336|1271.06|385.18|0.2464|282.85|0.70553|-0.1365|1.2218|-0.17792|0.01894559|-1509.851127|2.3261|44.0|7.3565
