molecula|SddssS|NaaNH|n9FaHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8d|SIC2|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WPSA3|FNSA1|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GRAV|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
47s_a18|0.0|0|0|1|1.251176205|0.026229332|-0.0054038509999999|4.844187086|-0.045792331|0|0.035632184|-0.394481152|0.0134295589999999|-0.031515152|0|0.003686393|-0.040169986|-0.168728915|-0.252119673|-0.46304239|0|-0.0540701129999999|0.745196689|0|0.84543779|-0.08106112|0.306379663|0.008446541|-53.18668656|-61.36410696|10.92659868|-0.030108416|4.840414512|0.820470855|-2.107589125|-22.79238258|59.58080589|0.4740142|-1595.466781|0.179529145|18.65422248|6968.705069|-485.1995077|1944.574596|7.934268528|1.0|1.0|0.0|1.0|1.0|0.0|0.3|3.93|3.33|3.0|149.34|0.0|1.0|10.0|3.0|0.0|1.0|3.19|-5.45|1.12e-06|0.000539|3.53e-06|0.0|3218.0|8.41|3218.0|-1534.196027|-1534.174077|809.4|1435.42|385.29|0.5203|0.6926800000000001|0.6926800000000001|-1533.737579|0.5203|-0.13195|2.3134|-0.18109|-1533.809351|2.9991|616.0|6.2104|6.2104
9n_a24|0.0|1|0|0|1.388847168|-0.2452954769999999|-0.003323852|4.59511985|0.001099755|2|0.024179894|-0.182811885|-0.036651001|-0.03088354|1|0.008809179|-0.22754075|-0.12451554|-0.200646773|-0.225226606|2|-0.058520736|0.804201677|0|0.904556598|-0.0777274979999999|0.331008994|0.017608478|-35.21502941|-52.53031811|48.691073|-0.026905672|8.042526681|0.652126509|-1.399094961|-18.18357165|47.11530904|0.4331595789999999|-945.545726|0.347873491|14.52410167|5356.5828|-205.6223122|1449.942171|14.83518955|1.0|1.0|1.0|1.0|1.0|2.6|0.17|4.14|1.42|1.0|114.29|0.0|1.0|7.0|5.0|0.0|1.0|3.13|-4.29|7.2e-05|0.0278|5.14e-05|0.0|4.9139|2.59|4.1028|-1239.1274939999998|-1239.095611|686.19|1155.03|302.2|0.2522|0.44042|0.63085|-1238.856882|0.0334|-0.1658099999999999|2.8552|-0.20399|-1238.917278|4.8123|19.0|7.7212|7.7212
15_a4|0.0|0|0|1|1.399867493|-0.159419214|-0.001986535|5.4161004020000005|-0.061469545|1|0.044357639|-0.077474847|-0.1979518539999999|0.022446689|1|0.00918585|0.097046535|-0.017259078|-0.038707204|-0.226703465|1|0.036363636|0.8347553529999999|0|0.867716376|-0.073738544|0.2517542889999999|0.010893057|-29.80513879|-35.36161572|12.70877085|-0.030724393|2.505098786|0.8438913020000001|-1.106078158|-14.73400655|35.02894809|0.437696617|-530.4242358|0.156108698|9.709704127|4134.603400999999|-329.8289177|628.5456843999999|4.672449937|1.0|0.0|0.0|1.0|0.0|3.01|0.11|4.4|3.05|0.0|85.06|0.0|1.0|2.0|3.0|0.0|1.0|3.61|-4.28|0.000152|0.0443|5.19e-05|0.0|4.5048|3.8|4.2148|-958.270023|-958.251931|512.65|848.47|294.16|0.1996|0.4778699999999999|0.56413|-958.147682|0.0969999999999999|-0.17373|2.1603|-0.2091199999999999|-958.195344|3.0091|175.0|6757.0|6757.0
12b_a32|0.0|1|1|0|0.609420757|0.115940697|-0.009432679|5.733341277|-0.055500132|0|0.0388738739999999|-0.462201267|-0.031446256|-0.053480599|3|-0.001662219|-0.079768013|-0.0852122769999999|-0.1534110109999999|-0.584995111|0|-0.090027803|0.8887585240000001|1|0.782593|-0.097525366|0.2996018789999999|0.016282332|-50.88975159|-60.93328667|90.57560878|-0.027561517|6.356098747000001|0.60420609|-1.267829764|-17.22027667|61.06285882|0.430631506|-792.1327267000001|0.39579391|12.42841652|5653.268811|-130.2147289|1311.0306890000002|15.72418067|1.0|1.0|1.0|1.0|1.0|2.9|0.26|4.19|1.1|1.0|110.47|1.0|1.0|7.0|4.0|1.0|0.0|3.59|-4.43|1.27e-06|0.000505|3.72e-05|0.0|3.5703|4.12|3.5703|-1880.770588|-1880.732075|663.89|1109.93|347.27|0.2865|0.70258|0.70258|-1880.537231|0.2865|-0.14803|3208.0|-0.19976|-1880.599158|4.1080000000000005|26.0|7585.0|7585.0
9h_a24|0.0|1|0|0|1.428198245|-0.203768024|-0.002864393|5.209486153|2.01e-05|2|0.023854167|-0.105982525|-0.209618231|-0.002471577|2|0.012380829|0.144624936|-0.02551563|-0.047269812|-0.207206943|2|-0.004960317|0.859720539|0|0.883775278|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|167.2085719|-0.026280957|4.123788393|0.572371258|-0.8935525440000001|-12.42226332|37.24443236|0.477589721|-422.3569529|0.427628742|11.11300329|4170.098082|-68.41568372|737.9073405|15.02620893|1.0|0.0|0.0|1.0|1.0|1.96|0.0|2.72|1.07|0.0|82.17|0.0|1.0|3.0|4.0|0.0|1.0|1.97|-3.24|0.00147|423.0|0.000575|0.0|5.1739|1.16|4.3437|-945.2642633|-945.2337612|506.68|831.92|285.43|0.3844|0.54606|0.61928|-945.153352|0.0073|-0.18239|5.6654|-0.22593|-945.200628|7.7741|77.0|7.1135|7.1135
4e_a49|0.0|0|0|1|1.343847746|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|2|0.036555556|-0.3631108529999999|-0.053787795|0.018857363|1|0.000660956|-0.130491035|-0.037142108|-0.060391347|-0.403194204|2|0.032396301|0.856023531|1|0.757062331|-0.087866673|0.433385455|0.017142176|-57.79309816|-53.89448633|313.22432680000003|-0.029288891|6.449206277999999|0.650328475|-1.493733437|-17.96482878|68.30753733|0.471635821|-916.2062675|0.349671525|15.01788083|5950.361470000001|-184.4129453|1408.836153|14.48911428|0.0|1.0|1.0|1.0|1.0|2.89|0.22|2.83|1.25|1.0|114.08|0.0|1.0|6.0|5.0|0.0|0.0|2.42|-3.52|0.000528|211.0|0.000305|0.0|5.7301|3.34|3.7876|-1313.199448|-1313.158118|660.22|1128.64|327.34|0.2273|0.4078199999999999|0.68043|-1312.924353|0.0789|-0.1585099999999999|3.9718|-0.2231199999999999|-1312.98289|4.8707|34.0|7.4685|7.4685
11_a33|0.0|1|1|0|0.609352951|-0.151505631|-0.008708023|5.6869753560000005|-0.039406316|0|0.034984568|-0.32219686|0.143981643|-0.008908194|3|-0.00103193|0.105574347|-0.122478641|-0.232296883|-0.393892466|0|-0.014463304|0.921896958|1|0.857287241|-0.104881435|0.229250542|0.033701864|-34.4118011|-50.94714637|45.43139569|-0.030847481|7.95236684|0.552878386|-1.048814353|-14.98445481|50.78279943|0.4673066279999999|-509.4714637|0.447121614|9.837729137|4880.001461|-51.37234937|921.4892038|17.16740584|1.0|1.0|1.0|1.0|1.0|2.31|0.13|4.13|0.89|0.0|89.77|0.0|1.0|3.0|4.0|0.0|0.0|3.28|-4.38|3.32e-06|0.00109|4.13e-05|0.0|3.5049|1.93|3.5049|-1669.324638|-1669.304085|506.55|858.89|353.74|0.5408|0.70381|0.70381|-1669.202327|0.5408|-0.14132|3.1406|-0.19938|-1669.251123|4.5998|5.0|8.3188|8.3188
4h_a46|-3.74433321|0|0|1|0.3002050539999999|0.128214845|-0.005778576|5.587248657999999|-0.346835467|2|0.040890805|-0.404500343|-0.021951549|-0.09922757|1|0.003087227|-0.0932537609999999|-0.030014575|-0.0488847059999999|-0.516344924|2|-0.134568896|0.7955809979999999|0|0.767244275|-0.083997524|0.659584488|0.010068754|-65.24476749|-65.90523417|105.2773797|-0.0305445539999999|6.198442205|0.805506105|-2.015940586|-23.9655397|73.14480467|0.4866209529999999|-1581.72562|0.194493895|15.85230406|7808.347937|-479.405829|1963642.0|9.093247153|1.0|0.0|0.0|1.0|1.0|2.99|0.3|6.18|2.27|2.0|142.08|0.0|1.0|6.0|6.0|1.0|0.0|3.82|-5.69|2.97e-07|0.000149|2.06e-06|0.0|4.2444|8.5|4.18|-1923.926093|-1923.878801|792.61|1397.46|296.62|0.5451|0.55428|0.54445|-1923.543349|291.0|-0.1711599999999999|1.7601|-0.21008|-1923.611784|2.9086|229.0|6.6402|6.6402
47f_a18|0.0|0|0|1|1.251175676|-0.005500039|-0.005817448|4.844187086|-0.034211867|0|0.031179487|-0.477030713|0.033759227|-0.008224928|0|0.00531392|-0.071877686|-0.264839041|-0.3927204379999999|-0.4138670829999999|0|-0.014370598|0.780474694|0|0.838156881|-0.084851044|0.375218907|0.0138461289999999|-54.18475173|-72.03501774|111.1889928|-0.0289997239999999|9.979328976|0.726550657|-2.290978185|-24.61956302|65.93954138|0.483843526|-1944.945479|0.273449343|20.44855806|7870.103594|-384.6642262|2676.957843|14.07716085|1.0|1.0|0.0|1.0|1.0|0.0|0.34|3.6|2.79|3.0|164.47|1.0|1.0|13.0|4.0|0.0|0.0|2.83|-5.52|7.76e-07|0.000421|3.01e-06|1.0|3.0964|8.13|3.0964|-1743.375413|-1743.346389|908.66|1602.99|400.42|0.5741|0.6984600000000001|0.6984600000000001|-1741.724929|0.5741|-0.12802|3.8532|-0.1724099999999999|-1741.802171|4.4861|9.0|8.0458|8.0458
5b_a40|0.0|0|0|1|0.604912077|-0.067567502|-0.0049439079999999|6.167516491000001|0.064329005|0|0.044946237|-0.163148971|0.179058252|0.020344828|2|0.006372485|-0.164084255|0.007986879|0.013573521|-0.389789991|0|0.029485257|0.88618123|1|0.881264402|-0.091267779|0.313503463|0.019116586|-38.64461938|-45.78637031|169.18694230000003|-0.036507111|4.811137897|0.829018186|-1.095213344|-18.31454812|48.2348504|0.477304896|-549.4364437|0.1709818139999999|12.47657231|4813.179854|-330.1175669|662.7555978999999|6.2955085660000005|1.0|0.0|1.0|0.0|0.0|2.82|0.21|4.39|2.89|1.0|84.17|0.0|2.0|3.0|3.0|0.0|0.0|3.83|-4.84|3.69e-06|0.00125|1.44e-05|0.0|3.9759|5.62|3.9759|-2096.782087|-2096.767375|515.23|847.01|311.84|0.3005|0.59928|0.59928|-2096.707754|0.3005|-0.15999|7.2947|-0.23068|-2096.757832|9.3069|64.0|7.1938|7.1938
