molecula|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|BCUTs-1l|E solv. Water  (Hartree)|MATS2c|SIC2|RASA|PBF|FNSA4|FNSA2|GRAVp|WNSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|pIC50
3i_a32|-1891.738614|0.4765|0.6094207970000001|0.02199999|-0.157360524|0.902293804|0.893827987|0.259644227|-0.044627482|-1.472706897|2471.4299920000003|-409.3669403|318.0257595|1.0|1.0|6.76|2.09|2.0|-6.27|6.0|-5.53|366.38|0.0|5.37e-07|4.23|4.01e-05|-0.06518|8.2366
6b_a40|-3290.583786|0.4962|0.604892326|0.03026498|0.135693438|0.90571269|0.753431574|0.417254814|-0.049599889|-2.132795227|3214.047452|-956.7829293|618.8882797|1.0|0.0|5.67|2.61|2.0|-8.41|5.0|-5.85|511.42|0.0|3.86e-09|5.03|0.00318|-0.09533|7.5229
7a_a8|-1291.10235|0.1575|1.4000287219999998|0.0269461|-0.11821781|0.831914523|0.718410375|0.238462711|-0.042647654|-1.833849114|2715.360649|-632.5556427|488.0169522|0.0|1.0|3.96|2.01|1.0|-4.86|5.0|-6.33|382.37|0.0|1.36e-05|3.24|2.05e-05|-0.07616|4.6068
19a_a38|-1331.94466|0.0721|1.297044508|0.03338983|-0.084389038|0.8741648479999999|0.747152898|0.298938581|-0.038988111|-1.949405536|2774.129458|-696.4267669|595.8790650000001|1.0|1.0|3.13|2.4|1.0|-4.14|4.0|-6.77|401.44|0.0|7.209999999999999e-05|2.78|5.610000000000001e-05|-0.05271|8.0106
20a_a10|-1388.897416|107.0|1.343837243|0.03217287|-0.0774974029999999|0.817646497|0.913681336|0.591835899|-0.028008251|-1.456429076|2998.608651|-616.5004457|719.5272609|1.0|1.0|5.06|2.53|2.0|-5.68|5.0|-5.82|429.47|0.0|2.07e-06|4.36|1.55e-07|-0.06611|5.9208
23_a10|-1469.838069|0.2089|1.34383709|0.02986448|-0.12979844|0.800727358|0.915208645|0.535680357|-0.02685653|-1.6651048819999998|3103.831885|-835.377049|930.6293092|1.0|1.0|5.11|2.99|2.0|-5.38|5.0|-5.93|461.56|0.0|4.19e-06|4.48|6.66e-08|-53.0|6.1249
6_a3|-1731.602363|129.0|0.605016564|0.03079258|0.155665791|0.8632654590000001|0.783322023|0.556539611|-0.037726468|-1.282699916|2196.107822|-319.3685142|353.7528308|1.0|1.0|4.96|2.11|1.0|-5.44|3.0|-5.68|338.81|0.0|3.67e-06|3.79|1.11e-05|-0.06529|5.7501
13i_a6|-1426.269916|19.0|1.430639411|0.03191957|0.0359494989999999|0.8287956870000001|0.624046118|0.221116773|-0.046433945|-2.460999087|2906.257489|-1105.989413|673.8038326000001|1.0|1.0|4.16|1.18|1.0|-5.03|5.0|-6.81|427.46|0.0|9.32e-06|2.95|1.36e-06|-0.0481399999999999|7.6778
7_a3|-1731.602893|0.1262|0.60501656|0.03103579|0.198126776|0.8632654590000001|0.782294598|0.5999725029999999|-0.036877402|-1.253831681|2196.07224|-307.0424158|353.7528308|1.0|1.0|4.96|2.11|1.0|-5.44|3.0|-5.68|338.81|0.0|3.67e-06|3.79|1.11e-05|-0.0640299999999999|5.9901
12d_a30|-1614.831682|149.0|0.604984421|0.03187624|0.041181359|0.8532172109999999|0.843009925|0.366319099|-0.036246039|-1.884794029|2784.836855|-786.6571918999999|686.039456|1.0|1.0|4.35|3.04|2.0|-5.66|4.0|-5.81|412.51|0.0|2.21e-06|4.23|4.02e-05|-0.05119|7.9508
4h_a46|-1923.543349|291.0|0.3002050539999999|0.04729184|0.128214845|0.7955809979999999|0.767244275|0.659584488|-0.0305445539999999|-2.015940586|3472.1185880000003|-1241.036544|1021.999374|1.0|1.0|3.46|2.27|2.0|-6.53|6.0|-6.38|502.63|0.0|2.97e-07|4.21|3.210000000000001e-07|-0.0389199999999999|6.6402
IN1166_a11|-1347.012407|0.1239|1.429020445|0.04189898|-0.089778965|0.827254552|0.863273559|0.551933595|-0.031642539|-1.6137695069999998|2865.055175|-769.3614916|676.2770877|1.0|1.0|5.01|0.92|1.0|-5.11|5.0|-6.52|417.47|0.0|7.74e-06|3.27|2.75e-08|-0.07275|7.9318
18b_a30|-1667.788575|0.3576|0.604987149|0.03910602|0.036563014|0.8839272779999999|0.869340364|0.413791511|-0.036237883|-1.811894154|2915.383182|-792.7545943|666.0036144999999|1.0|1.0|3.87|2.17|2.0|-5.49|5.0|-6.33|423.49|0.0|3.23e-06|3.59|8.47e-05|-0.06142|7.6003
14j_a23|-1728.9293280000002|0.3886|1.197963927|0.02207124|0.074424082|0.864845456|0.8454521620000001|0.226990358|-0.034989992|-1.644529644|2943.385528|-692.0651337|599.5697147999999|0.0|1.0|3.78|3.4|2.0|-5.58|5.0|-6.31|429.47|0.0|2.66e-06|3.68|9.18e-06|-0.07581|8.3883
12_a3|-1272.010995|0.5056|0.605020506|0.02620998|0.167987916|0.784451598|0.829399708|0.101891875|-0.039584548|-1.345874639|2056.502939|-303.3418921|330.4083896|1.0|1.0|4.34|1.6|1.0|-5.68|3.0|-5.3|304.37|0.0|2.07e-06|4.03|3.9500000000000005e-05|-0.06361|5.45
34_a47|-1162.283641|0.1718|1.40499556|0.03084502|-0.210257395|0.89234354|0.8260556609999999|0.437215023|-0.029348287|-1.261976347|2371.236125|-387.0041342|439.9906467|1.0|1.0|3.34|1.75|0.0|-3.57|5.0|-6.66|348.38|1.0|0.000267|2.49|1.17e-05|-0.0545|8.7
5b_a50|-990.43875|0.1094|1.397278957|0.02651535|-0.253064589|0.855527513|0.958606481|0.271653991|-0.02140774|-0.8563096170000001|2183.545404|-221.0035589|409.0289917|1.0|1.0|3.15|2.4|0.0|-3.48|2.0|-6.03|312.37|1.0|0.000335|3.06|0.0004269999999999|-0.0256899999999999|4.9126
11a_a50|-1045.794689|0.1761|1.397733996|0.02431947|-0.156121881|0.8535780190000001|0.917127112|0.2931724189999999|-0.025421565|-1.067705728|2286.226222|-298.409489|439.9973344|0.0|1.0|3.09|2.25|0.0|-3.58|3.0|-6.24|327.38|1.0|0.000263|2.9|0.000441|-0.03284|7.2291
11c_a5|-1218.278135|0.2186|1.427567332|0.03798847|-0.2117133739999999|0.86113162|0.80472351|0.389427402|-0.0322785379999999|-1.484812761|2497.685314|-549.3157749|523.8031619|1.0|1.0|4.79|1.13|1.0|-4.13|5.0|-6.59|370.4|0.0|7.38e-05|2.78|1.26e-06|-0.04315|7.6021
8_a27|-1004.385302|0.2336|1.406757715|0.02665292|0.188762686|0.8688656459999999|0.776384028|0.3608031339999999|-0.035880862|-1.291711016|2132.9321670000004|-293.2457951|326.3351007|0.0|0.0|2.98|2.19|0.0|-3.23|4.0|-6.73|303.32|1.0|0.000586|2.0|0.000158|-0.05015|8.2218
13b_a6|-1349.837661|0.2461|1.430640379|0.02920955|-0.0411179|0.8370824240000001|0.7757172059999999|0.202093555|-0.0406496879999999|-2.032484418|2821.72831|-874.0294667999999|627.4287311|1.0|1.0|4.98|1.29|2.0|-5.51|5.0|-6.1|409.44|0.0|3.11e-06|3.8|4e-07|-0.0525799999999999|6.7595
14u_a23|-1744.1781010000002|0.0008|1.197962732|0.0237199999999999|-0.066969083|0.845160857|0.909754912|0.445665682|-0.033908155|-1.729315897|3015.478095|-771.4808267999999|683.7405759|0.0|1.0|3.42|2.72|2.0|-5.63|5.0|-6.47|441.51|0.0|2.32e-06|3.55|1.3699999999999998e-05|-0.0618299999999999|8.2449
31_a47|-1735.225703|83.0|1.304326813|0.03449081|-0.075563891|0.917597019|0.696020038|0.486720182|-0.037580665|-1.691129939|2689.159869|-650.7084581|513.2159236|1.0|1.0|3.23|2.0|1.0|-4.59|5.0|-6.78|410.83|0.0|2.56e-05|2.86|9.95e-06|-0.0532|7.8
9_a27|-1082.965434|134.0|1.391067068|0.02461151|0.164227115|0.8806964490000001|0.7988644709999999|0.36853691|-0.033677898|-1.414471696|2256.4955670000004|-376.0062056|424.8821143|1.0|0.0|3.85|2.66|0.0|-4.06|4.0|-6.33|331.37|1.0|8.66e-05|2.8|2.88e-05|-0.0471|8699.0
9d_a40|-1677.429981|0.4025|0.604992329|0.01113991|0.007834411|0.8221990920000001|0.941627612|0.002088915|-0.031613312|-1.074852592|2109.570685|-285.4523697|346.9019309|1.0|0.0|5.2|4.07|1.0|-6.13|2.0|-4.62|325.82|1.0|7.37e-07|5.16|3.3e-05|-0.06906|6.9706
30_a47|-1695.931037|0.3566|1.304327883|0.0420327|-0.069449687|0.913855507|0.67896733|0.384732322|-0.0383202979999999|-1.609452527|2626.927627|-579.456614|457.1122177|1.0|1.0|2.71|1.78|1.0|-4.22|5.0|-6.95|396.81|0.0|6.05e-05|2.5|2.28e-05|-0.0564299999999999|7.9
3a_a12|-951.217594|128.0|1.28383802|0.023184956|0.13714555|0.759068438|0.871985494|0.241900756|-0.034924502|-1.362055589|2045.857684|-326.0954285|381.0058252|1.0|0.0|3.43|3.09|0.0|-3.6|3.0|-5.88|298.34|1.0|0.00025|3.15|9.33e-06|-0.06829|6.7122
22_a10|-1543.893507|0.1922|1.343837143|0.03366599|-0.067641834|0.79665945|0.8698299140000001|0.775071808|-0.022372463|-1.3647202319999998|3241.833491|-827.8787647|916.8601445|1.0|1.0|4.64|2.8|2.0|-5.34|5.0|-6.29|475.54|0.0|4.55e-06|4.1|2.03e-07|-0.05712|5.9586
21a_a23|-1668.989671|0.3692|1.197963603|0.0203361|0.1049806919999999|0.79188323|0.926538469|0.224766417|-0.03458322|-1.729161021|2880.257677|-753.6064963|666.0036144999999|0.0|1.0|3.88|3.24|2.0|-5.89|4.0|-6.07|425.51|0.0|1.3e-06|3.98|7.03e-06|-0.07243|6.9914
28_a47|-1335.571655|0.2996|1.4201653580000002|0.03698465|-0.053792245|0.896193695|0.605349345|0.310094808|-0.038135461|-1.601689367|2616.1598940000003|-565.9287905|428.5826478|0.0|1.0|2.49|1.67|1.0|-3.67|6.0|-7.22|380.35|0.0|0.000214|1.97|4.59e-05|-0.05471|7.6
4m_a46|-1030.929791|0.1557|1.134637002|0.02920209|-0.245599013|0.7975218959999999|0.948973877|0.373463876|-0.0224155999999999|-1.008702005|2133.331634|-280.1395315|486.9589609|1.0|1.0|4.25|2.5|1.0|-4.52|3.0|-5.68|328.41|1.0|2.99e-05|3.69|4.31e-05|-0.04808|5.8901
4d_a46|-1453.635434|0.1313|1.134637067|0.02292966|-0.1397563859999999|0.8075680409999999|0.936057958|0.290035518|-0.024616555|-1.132361533|2181.291783|-341.3149976|509.0572545|1.0|1.0|4.81|2.84|2.0|-4.93|3.0|-5.4|352.86|1.0|1.18e-05|4.3|1.3699999999999998e-05|-0.0396399999999999|6.2865
18a_a25|-1674.982248|0.0027|1.194229606|0.02456497|-0.151473962|0.792935475|0.931628386|0.341320954|-0.03097773|-1.641819678|2857.88027|-721.7084848|759.4953883|1.0|1.0|5.89|2.88|2.0|-6.33|3.0|-5.58|435.54|0.0|4.65e-07|4.76|7.28e-08|-0.05591|7.0269
14v_a23|-2041.93452|348.0|1.1979575059999998|0.02053833|0.135774541|0.845160857|0.916605275|0.31419322|-0.042752869|-2.180396311|3399.4261450000004|-951.143515|676.4530574|0.0|0.0|3.97|3.04|2.0|-6.89|8.0|-5.94|495.48|0.0|1.29e-07|4.76|5.57e-06|-0.07843|8.4001
21b_a23|-1761.230923|0.2333|1.197963051|0.02657688|0.094654108|0.8339434929999999|0.930728719|0.224930782|-0.034219814|-1.745210489|3074.083057|-857.6679716|712.6737861|0.0|1.0|3.92|2.6|2.0|-6.1|5.0|-6.42|450.52|0.0|8.02e-07|3.7|6.45e-06|-0.08401|7.0691
12aa_a30|-1804.516348|0.1506|0.604983643|0.03443621|-0.101407312|0.855880335|0.8126513129999999|0.418522684|-0.033789461|-1.925999268|3115.249471|-939.3977091|792.3440337000001|1.0|1.0|3.94|2.2|2.0|-5.61|6.0|-6.39|458.54|0.0|2.47e-06|3.81|6.720000000000001e-05|-0.04966|8.1135
1c_a5|-990.467026|0.1076|1.424607938|0.029157178|-0.268536978|0.821309592|0.88631419|0.436308619|-0.0281385329999999|-1.12554131|2105.8969850000003|-294.64117410000006|409.0289917|1.0|1.0|4.99|2.13|0.0|-4.25|3.0|-5.77|312.37|1.0|5.5700000000000005e-05|3.43|1.21e-06|-0.03965|5.4
19k_a38|-1500.618667|0.1156|1.297042875|0.04615409|0.0100827|0.908591797|0.658700057|0.389096157|-0.044662847|-2.411793744|3055.355167|-971.0744563|686.8472757999999|0.0|1.0|2.34|1.65|1.0|-3.87|5.0|-7.84|444.46|0.0|0.000134|1.65|0.000175|-0.05534|7.9666
12m_a36|-1401.385923|0.4718|1.297043522|0.03861003|0.013543656|0.8792981679999999|0.711961428|0.4493096629999999|-0.04260035|-2.300418875|2925.315028|-1034.676602|689.2886595|0.0|1.0|1.92|1.28|1.0|-4.1|5.0|-7.39|424.46|0.0|7.96e-05|2.11|0.000305|-0.05114|7.5229
12d_a40|-2153.071733|115.0|0.60499064|0.0164339|0.1028826769999999|0.845904643|0.840431415|0.0913543|-0.038873458|-1.282824111|2270.596857|-360.0239567|350.9435025|1.0|1.0|4.59|3.76|2.0|-6.25|2.0|-5.13|361.25|0.0|5.58e-07|4.75|5.2e-05|-0.07765|7.7212
14h_a23|-1721.9314420000003|0.2727|1.197963488|0.02796857|0.043538466|0.860920386|0.923430574|0.223157991|-0.033774476|-1.621174834|3010.418229|-736.8173055999999|646.2584547|0.0|1.0|3.4|2.39|1.0|-5.68|5.0|-6.62|436.49|0.0|2.09e-06|3.3|1.4800000000000002e-05|-0.08532|8.3468
8d_a12|-1138.086709|0.0853|1.283835213|0.04004678|0.057525383|0.8078610759999999|0.858710112|0.266886187|-0.039118358|-1.760326118|2466.513191|-544.129679|503.2240425|1.0|1.0|3.87|2.83|2.0|-4.58|4.0|-5.96|352.39|1.0|2.64e-05|3.51|1.49e-06|-0.05488|7.6021
15_a10|-1603.851644|0.1647|1.277647202|0.03039798|-0.166303336|0.863438637|0.915526801|0.710970489|-0.025240716|-1.186313662|2549.580207|-421.3416484|563.875765|1.0|1.0|4.91|2.53|2.0|-4.48|4.0|-6.07|390.87|1.0|3.32e-05|3.68|1.96e-06|-0.05243|7.4815
5_a15|-1470.487858|0.0199|1.419941043|0.03640044|-0.222657379|0.74438723|0.8740541479999999|0.743577162|-0.0273088679999999|-1.583914356|2940.77098|-875.7848531999999|779.0599798999999|1.0|1.0|4.92|2.0|3.0|-6.16|6.0|-5.55|443.49|0.0|6.86e-07|4.86|9.970000000000001e-08|-0.03714|7.8861
14b_a50|-1430.72987|0.1373|1.267593742|0.03081037|-0.092558007|0.831689551|0.904076348|0.7031402240000001|-0.025558317|-1.533499045|2967.872393|-659.347336|825.4425942|1.0|1.0|3.72|2.32|2.0|-4.6|5.0|-6.5|441.52|1.0|2.51e-05|3.51|6.12e-05|-0.02486|5.1818
18c_a30|-1744.2261030000002|0.3879|0.604986846|0.04503016|0.12157783|0.885516463|0.717052026|0.42531141|-0.042101245|-2.2313660090000003|3002.59061|-1017.355139|713.7769663|1.0|1.0|3.04|2.06|1.0|-5.01|5.0|-7.05|441.51|0.0|9.68e-06|2.74|0.000288|-0.05575|7.9208
12bi_a36|-1461.69263|0.0252|1.297042566|0.0318395999999999|-0.088734077|0.858971809|0.7850011179999999|0.382000949|-0.027831043|-1.614200516|3044.149713|-787.0277122|766.4854363|1.0|1.0|2.83|1.42|1.0|-4.11|6.0|-7.13|441.49|0.0|7.75e-05|2.62|7.11e-05|-0.0510199999999999|7.8539
A8301_a51|||1.197963627||0.0245770529999999|0.750630149|0.934739895|0.339244706|-0.032775831|-1.6387915469999998|2799.106729|-691.0718926|690.8826121000001|1.0|1.0|5.5|3.35|2.0|-6.6|3.0|-5.31|421.52|0.0|2.5e-07|5.02|1.74e-07||7.9208
12f_a40|-2212.222254|0.3858|0.604990261|0.01077929|-0.03356339|0.841769186|0.909993912|3.43e-05|-0.032879466|-1.150781297|2383.68369|-351.2898849|384.1423925|1.0|0.0|5.35|3.99|2.0|-6.58|3.0|-4.76|376.26|0.0|2.66e-07|5.4|1.8100000000000003e-05|-0.07761|6.4202
14a_a10|-1489.42155|0.0005|1.3438495730000002|-0.14757681|-0.2090476269999999|0.770129205|0.911549451|0.43555903|-0.018970051|-1.270993412|3075.550631|-669.2555601|1003.968547|0.0|1.0|4.16|1.94|1.0|-4.21|6.0|-6.82|468.59|1.0|6.159999999999999e-05|3.29|3.07e-06|-46.0|7.1308
9_a3|-1255.9558029999998|0.1127|0.605017128|0.0242342|0.187952252|0.7327715159999999|0.84649775|0.506753484|-0.038196575|-1.336880133|2017.0704920000005|-295.5828535|349.6957191|1.0|1.0|4.9|2.42|1.0|-5.53|2.0|-5.21|303.38|0.0|2.96e-06|4.14|1.67e-05|-0.03999|4.96
19_a15|-1523.196562|0.4895|0.300209223|0.04315771|0.156105985|0.770451673|0.691069123|0.355677322|-0.042351319|-1.905809364|2625.952212|-636.516947|490.1808545|1.0|0.0|2.36|1.64|1.0|-5.12|5.0|-6.22|369.44|0.0|7.56e-06|3.29|2.69e-05|-0.0372399999999999|7.1427
3a_a32|-1554.7020630000002|0.2719|0.6094208210000001|0.02744024|-0.0505635059999999|0.921812162|0.817070968|0.30031978|-0.032360692|-0.970820756|2028.93875|-207.8892268|278.73805810000005|0.0|1.0|5.77|1.19|0.0|-5.32|3.0|-5.77|298.39|0.0|4.83e-06|3.31|0.0002279999999999|-0.0558|8.5686
47d_a18|-1703.545539|0.5820000000000001|1.251175994|0.02826074|-0.017398129|0.773981237|0.836999127|0.445704576|-0.028722356|-2.182899066|3304.705347|-1451.622641|1255.618298|1.0|1.0|2.81|2.6|3.0|-5.74|4.0|-6.57|527.66|0.0|1.83e-06|4.16|7.790000000000001e-07|-0.04561|8.0969
6f_a40|-2426.725129|0.0158|0.604893424|0.04845403|0.134099184|0.896373207|0.655786513|0.363785804|-0.052228625|-2.350288117|3021.330686|-970.0707913999998|593.503189|1.0|0.0|3.66|1.1|1.0|-6.95|5.0|-6.9|457.55|0.0|1.13e-07|3.09|0.0967|-0.08982|7.3768
10_a47|-1188.1907199999998|0.2175|1.381868067|0.03158831|-0.003570214|0.8077565520000001|0.841070966|0.417511484|-0.035388634|-1.592488524|2355.515804|-455.247149|498.0016816|1.0|1.0|5.12|3.21|2.0|-5.75|4.0|-5.08|359.4|0.0|1.77e-06|4.8|5.110000000000001e-07|-0.0486399999999999|7.9
9g_a24|-984.447764|0.1023|1.427608366|0.032630457|-0.318471716|0.859302479|0.8671367529999999|0.383340003|-0.021297745|-0.788016565|2123.257348|-192.9198181|341.3207334|0.0|1.0|2.91|0.64|0.0|-2.49|4.0|-7.17|302.33|1.0|0.00323|1.37|0.000113|-0.03585|7.1675
9_a47|-1148.896866|0.2208|1.3818994059999998|0.03463008|0.00410268|0.853035126|0.805149969|0.492394184|-0.036925422|-1.550867715|2292.652212|-424.4325604|442.7664664|1.0|1.0|4.61|2.99|1.0|-5.37|4.0|-5.26|345.37|0.0|4.29e-06|4.43|1.17e-06|-0.05037|7.6
3o_a32|-1805.277864|0.2851|0.609420753|0.03088166|-0.022603806|0.872498916|0.8377808240000001|0.252703854|-0.031819276|-1.4318674340000002|2488.133192|-475.9757626|541.0877621000001|1.0|1.0|6.39|1.58|1.0|-5.72|4.0|-6.17|381.52|0.0|1.89e-06|3.46|2.04e-05|-0.05413|6.6198
12ab_a36|-1364.236757|0.4451|1.297042596|0.04167456|-0.064515677|0.888163057|0.8410557559999999|0.452078227|-0.033434841|-1.805481415|2902.39241|-859.0476432|708.5476357999999|1.0|1.0|3.14|1.59|1.0|-3.92|5.0|-7.21|420.47|0.0|0.0001199999999999|2.33|3.76e-05|-0.0523799999999999|7.9586
14_a47|-1127.610422|0.2452|1.417758105|0.03679054|-0.126490693|0.8467634620000001|0.681598464|0.2662137639999999|-0.034963476|-1.223721666|2254.664317|-311.2496842|310.8026328|1.0|1.0|3.97|2.49|0.0|-3.97|5.0|-6.21|323.3|1.0|0.000108|2.91|5.27e-06|-0.06057|8.1
19b_a38|-1431.18309|0.1945|1.297044256|0.03336932|-0.122009545|0.8851623040000001|0.7293105670000001|0.336505882|-0.041606241|-2.0803120280000003|2897.652112|-801.3543933999999|593.6088758|1.0|1.0|3.55|2.78|1.0|-4.25|5.0|-6.81|419.43|0.0|5.68e-05|2.88|3.19e-05|-0.05031|7.9172
12_a47|-1487.974738|0.2241|1.304330736|0.03721125|-0.155854903|0.90246604|0.7840710409999999|0.266995634|-0.034116917|-1.1940921|2266.78114|-323.9004363|335.1175012|1.0|1.0|4.19|2.6|0.0|-4.51|4.0|-5.94|339.75|1.0|3.11e-05|3.43|2.61e-06|-0.0623|8.2
18_a3|-889.850598|0.3326|1.43179288|0.02173162|-0.256375952|0.784960175|0.8419576209999999|0.217881538|-0.031753312|-1.016105994|1938.093995|-201.1487809|270.539096|0.0|1.0|3.42|0.93|0.0|-2.82|4.0|-6.7|273.29|1.0|0.0015|1.79|4.07e-05|-0.05769|7.5229
2_a47|-1010.364507|0.2143|1.381899691|0.03544055|-0.002024001|0.728066943|0.847324011|0.482748996|-0.036790752|-1.4348393119999998|2105.761386|-356.116445|392.6099255|1.0|1.0|3.7|2.39|1.0|-5.46|3.0|-5.0|313.35|1.0|3.46e-06|4.52|4.73e-06|-0.05285|6.2
18_a34|-1199.101028|0.0303|1.4547811819999998|0.02902032|-0.063113846|0.8584852479999999|0.68981472|0.295523326|-0.0422555509999999|-1.816988713|2424.18137|-553.8039936|428.6241319|1.0|0.0|3.13|1.49|1.0|-4.32|6.0|-6.26|351.36|1.0|4.77e-05|3.07|0.000781|-0.03925|5.6144
16h_a32|-1955.772465|0.2914|0.609420754|0.02818755|0.217139852|0.881181048|0.7991915079999999|0.44308098|-0.038765425|-1.821974989|2709.44587|-735.4832318|573.3529948|1.0|1.0|5.86|1.12|2.0|-6.48|5.0|-6.22|413.52|0.0|3.28e-07|3.66|4.09e-05|-0.05028|8.0655
13n_a6|-1423.451366|0.1945|1.4290206230000002|0.05026727|0.030890422|0.832753533|0.70890216|0.307384948|-0.038490115|-2.078466222|2952.259627|-978.9911754|724.3873672999999|1.0|1.0|4.19|0.81|1.0|-4.64|5.0|-7.23|435.48|0.0|2.27e-05|2.43|9.35e-08|-0.07131|7.1249
15a_a22|-1368.0755869999998|0.0955|1.4229176680000002|0.03153544|-0.136588366|0.794858486|0.86664032|0.410151945|-0.031425179|-1.634109304|2884.815511|-752.9594081|684.5377542|1.0|1.0|3.87|1.73|1.0|-4.65|5.0|-6.61|420.47|0.0|2.25e-05|3.18|2.56e-07|-0.0600399999999999|6.8447
6b_a31|-1652.44739|0.4967|0.610136262|0.03623358|0.052690797|0.841537966|0.627853074|0.146652651|-0.045675611|-2.055402513|2776.92804|-765.0936586|536.6368656000001|1.0|1.0|5.19|1.36|1.0|-5.63|5.0|-6.5|404.44|0.0|2.34e-06|3.2|1.89e-05|-0.05835|7.2676
12g_a40|-2172.9382|0.2682|0.604990688|0.02230594|0.037440516|0.8396782220000001|0.8702014570000001|0.289122732|-0.0435406|-1.393299206|2287.970776|-383.9305539|335.7078145|1.0|0.0|4.83|3.76|2.0|-6.46|3.0|-4.91|362.23|0.0|3.43e-07|5.07|8.57e-05|-0.07424|6.1403
13l_a6|-1465.560303|0.0165|1.4242139390000002|0.03092407|0.03093879|0.84018367|0.643098986|0.210844002|-0.0451862259999999|-2.53042863|2967.923804|-1227.82747|741.5222707|1.0|1.0|4.55|1.39|1.0|-5.49|5.0|-6.59|441.48|0.0|3.26e-06|3.39|5.7e-07|-0.04885|6.4145
13_a4|-898.2009630000001|0.1282|1.399843898|0.018124154|-0.210975191|0.7986239909999999|0.970027005|0.229685203|-0.0279998139999999|-1.091992764|1910.137758|-261.7783983|373.9073307|1.0|1.0|4.18|2.9|1.0|-4.09|2.0|-5.39|287.36|1.0|8.18e-05|3.75|0.00018|-0.03168|5.3979
9a_a40|-1217.825264|0.3483|0.604993021|0.01109672|-0.028285975|0.749764251|0.937600185|0.002467659|-0.032156295|-1.093314022|1971.148912|-255.607578|323.79254|1.0|0.0|4.58|3.57|1.0|-5.49|2.0|-4.85|291.37|1.0|3.24e-06|4.54|0.000117|-0.06495|6.6696
19_a31|-1489.323855|0.2271|0.61013725|0.03702801|0.062492295|0.902130276|0.7312647940000001|0.279690511|-0.036060715|-1.586671445|2265.6917350000003|-544.4110343|460.3754405|1.0|1.0|5.8|1.68|1.0|-4.67|4.0|-6.41|358.43|0.0|2.14e-05|2.93|1.46e-05|-0.04308|5.7447
19l_a38|-1409.309206|0.0233|1.297043246|0.02856649|-0.086107169|0.89459881|0.799611189|0.51306986|-0.037359603|-2.017418574|2921.048554|-846.9234048000001|696.3887025|1.0|1.0|4.03|2.75|2.0|-4.94|4.0|-6.39|427.48|0.0|1.15e-05|3.55|2.25e-05|-0.0603299999999999|7.8633
14w_a23|-1828.161957|0.3855|1.197963556|0.02204118|0.013971812|0.8668730109999999|0.7880718659999999|0.228641034|-0.035779855|-1.681653166|3071.908367|-735.4854078|597.2903597999999|0.0|1.0|4.2|3.78|2.0|-5.68|6.0|-6.35|447.46|0.0|2.09e-06|3.78|5.23e-06|-0.0798|8.6737
8d_a32|-1880.540067|0.3018|0.609420756|0.04065536|0.143684876|0.875986707|0.7107041559999999|0.261692269|-0.03346862|-1.539556512|2556.198518|-608.0551435|557.1050635|1.0|1.0|6.42|1.1|1.0|-6.08|4.0|-6.47|397.52|0.0|8.41e-07|3.17|2.19e-05|-0.0535|8.0809
8e_a46|-954.743261|0.2162|1.160371308|0.024010215|-0.205882192|0.837678812|0.921352352|0.281227001|-0.023017086|-0.989734694|1982.950764|-256.61680930000006|426.71841|0.0|1.0|4.09|2.13|0.0|-3.59|3.0|-6.02|304.39|1.0|0.0002569999999999|3.01|6.57e-05|-0.03175|6.3915
12v_a30|-2494.739831|0.1601|0.604983445|0.03495552|0.037440652|0.889479916|0.8501212029999999|0.404950755|-0.037666615|-1.845664126|3001.758432|-844.8022477|685.6665849999999|1.0|1.0|5.11|3.79|2.0|-6.58|4.0|-5.52|467.37|0.0|2.64e-07|5.12|7.39e-06|-0.0563|7.6596
6_a47|-1608.50108|0.2119|1.304328257|0.03288085|0.011739916|0.84654143|0.8419184120000001|0.446564415|-0.036834143|-1.547034008|2431.668154|-454.5854048000001|469.7495559|1.0|1.0|5.24|3.48|2.0|-6.02|4.0|-5.02|379.81|0.0|9.53e-07|5.06|3.310000000000001e-07|-0.05354|7.9
4_a4|-1029.763465|67.0|1.343865392|0.02323788|-0.183963421|0.8306695270000001|0.933276024|0.456474074|-0.0255766729999999|-1.099796957|2221.6122010000004|-291.9486922|462.1867149|1.0|1.0|4.52|2.66|1.0|-4.12|3.0|-5.79|326.39|1.0|7.59e-05|3.52|8.85e-06|-0.04865|7.1079
17e_a50|-1374.927998|0.1785|1.320916122|0.02761851|-0.153175103|0.7791604190000001|0.930108205|0.4239465089999999|-0.02665495|-1.67926185|2883.936138|-812.8136797000001|904.3172644|0.0|1.0|4.23|2.91|2.0|-4.87|4.0|-6.08|438.57|1.0|1.34e-05|4.08|2.03e-05|-0.03156|6.8097
