molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SRW09|nARing|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
19_a20|0.0|0|0|3.423603867|6.842683282|0|0.071176085|-0.0096278259999999|-0.130949446|3|0.103271147|1.622562232|-0.539158264|10.94899558|1|-0.004654742|-0.049177437|-0.083481481|0.811128636|0.7619768840000001|-0.143992458|-0.105118869|0.8193003000000001|1|0.754452534|-0.099685049|0.25624423|0.013643765|-65.49811346|8.964643162|339.8339889|0.245547466|161.33709|-43.03556944|5.890223441|-39.5992891|75.98477124|-25.1915821|69.23289949|0.483310517|2849.084477|495.7134289|-1309.962269|-16.55214209|0.203929412|0.935398401|133.9919257|-860.7113887|31.64490997|0.0159602|-389.0666676|1645.535318|684.5377542|1.0|1.0|1.0|2.0|3.49|2.49|27.0|-9.63|4.08|1.33|1.0|5.0|32.0|5.0|420.47|0.0|1.0|-4.57|1.29e-05|0.00541|2.91|2.34e-10|9.86e-08|-0.06767|3.3616|5.01|3.3616|-1368.413151|-1368.378274|687.79|368.83|368.83|0.6987399999999999|0.6987399999999999|-1368.129074|0.2998|4.2507|-0.2067|-1368.190746|6.3327|2.6|5585.0
12ba_a36|0.0|0|0|3.389685532|7.412764017000001|2|-0.090865777|-0.0075620109999999|0.026411489|2|0.087201747|0.0|-0.423472625|10.9478512|1|-0.000621302|-0.091676619|-0.168084618|0.844641715|0.8256014690000001|0.041478447|-0.0202572689999999|0.890675195|0|0.849738126|-0.108410153|0.330220757|0.0246090489999999|-73.03464847|16.57882744|100.798163|0.150261874|101.229662|-49.20258616|11.16896162|-37.76553687|89.06670390000001|-25.28122447|72.63670824|0.49229954|3035.390784|572.4586103999999|-1314.6236720000002|-17.03166444|0.293104216|0.969665341|197.4608731|-885.6465508|35.76372225|0.023797439|-278.7665262|1859.713557|688.1986357999999|1.0|0.0|1.0|2.0|4.8|0.0|17.0|-6.72|1.63|0.74|1.0|5.0|33.0|6.0|431.45|0.0|0.0|-4.25|1.6800000000000002e-05|0.0072599999999999|2.67|1.91e-07|8.240000000000001e-05|-0.08446|5.2506|2.79|3.0114|-1417.454721|-1417.426327|687.23|411.71|236.13|0.3989999999999999|0.70432|-1417.187763|0.0009|3.1996|-0.21033|-1417.249741|4.5448|21.0|7.6778
19a_a38|0.0|0|0|3.3685352889999995|7.412764017000001|2|-0.084389038|-0.007986407|-0.082283951|2|0.054257043|0.0|-0.431265985|10.96083376|1|-0.000673716|-0.101303149|-0.217394466|0.724208473|0.819222745|0.031696119|-0.133130383|0.8741648479999999|0|0.747152898|-0.108300308|0.298938581|0.022142322|-64.73159672|13.23456869|137.2318698|0.252847102|151.1278869|-38.69037594|7.910363161|-30.69910427|77.20795279999999|-23.30337482|64.59623135|0.465829126|2774.129458|446.57675660000007|-1165.168741|-13.92853534|0.255203463|0.872060139|152.5362948|-696.4267669|31.28824271|0.020873781|-292.6320538|1564.412135|595.8790650000001|1.0|1.0|1.0|3.0|4.83|2.56|17.0|-6.86|2.55|2.4|1.0|5.0|30.0|4.0|401.44|0.0|1.0|-4.17|7.209999999999999e-05|29.0|2.78|1.4e-07|5.610000000000001e-05|-0.05271|3.9212|3.41|3.6504|-1332.186327|-1332.1529369999998|628.65|339.65|316.19|0.6329100000000001|0.68835|-1331.94466|0.0721|4.7986|-0.20379|-1332.002093|6.0223|0.01|8.0106
12b_a40|0.0|0|0|0.0|7.515889085|0|0.084915315|-0.004650218|-0.011794908|0|0.1744506639999999|0.747253086|-0.158107422|10.31197236|2|0.004452418|0.023952313|0.038336814|0.58925219|0.7137941109999999|0.026452642|-0.227384615|0.7818091140000001|1|0.955647156|-0.074921647|0.2160572999999999|0.010845303|-42.67442006|6.17734692|80.72126798|0.044352844|25.26281742|-24.3068084|3.518538455|-21.10373336|48.54667776|-19.27231874|43.22826564|0.494842289|2462.878448|544.3244990000001|-597.4418808999999|-10.97726831|0.143170283|0.979579799|81.54797734|-340.29531769999994|22.49258909|0.010309671|-406.4913617|697.2702616|370.3261123|0.0|0.0|1.0|0.0|3.26|3.87|20.0|-8.39|6.74|5.07|2.0|2.0|24.0|2.0|415.12|1.0|1.0|-7.11|1.95e-08|8.09e-06|6.68|4.08e-09|1.7e-06|-0.08279|3407.0|6.27|3407.0|-3016.999329|-3016.9868100000003|576.38|363.91|363.91|0.69476|0.69476|-3016.927883|306.0|4.5528|-0.22546|-3016.980996|6.3131|0.04|7.3979
1d_a5|0.0|0|0|2.79978458|6.605297921|0|-0.133500214|-0.006252818|-0.308010841|2|-0.118028278|0.0|-0.2688711589999999|10.94437658|1|-0.000700145|0.001493879|0.004923698|0.525406088|0.7595197290000001|-0.058872605|-0.015804188|0.821309592|0|0.8965037640000001|-0.086213657|0.6271150670000001|0.007937625|-46.58221594|4.288788702|204.4506579|0.1034962359999999|55.92018945|-25.16889922|2.317281143|-25.80622135|56.83734591|-19.79744178|52.05055075|0.471074204|2481.822293|484.3911442|-791.897671|-10.69678217|0.229495885|0.89062437|123.9992274|-427.8712868|25.69414151|0.018980039|-292.3128788|1027.76566|403.396385|1.0|1.0|0.0|1.0|2.92|2.19|23.0|-8.88|6.37|2.73|2.0|4.0|27.0|6.0|366.34|1.0|1.0|-4.97|1.6100000000000002e-05|0.00589|3.95|1.3300000000000002e-09|4.86e-07|-0.04528|4.8725|3.58|4.6112|-1288.340378|-1288.306458|567.04|268.88|254.46|0.41781|0.5764600000000001|-1288.201219|0.0982|3.7798|-0.23519|-1288.253849|5.3765|9333.0|5.03
3c_a12|0.0|0|0|0.0|6.555356892000001|1|0.06235058|-0.009252756|-0.058516436|2|-0.14679559|0.0|-0.379362977|10.3117069|1|-0.001825446|-0.116098308|-0.211367878|0.923855679|0.826033688|-0.0461654159999999|-0.10295082|0.888353608|0|0.843855494|-0.099327724|0.242114395|0.013219706|-50.25579322|6.688634392000001|73.9854678|0.156144506|79.00277721|-25.42738988|3.384177297|-18.35985151|61.16334136|-17.19277136|42.97583906|0.427357986|2186.344105|426.9566009|-653.3253118|-8.698843907999999|0.2944757839999999|0.746291708|148.9927848|-330.5560685|24.36878988|0.02155815|-207.9738085|926.0140155|380.2468615|1.0|1.0|1.0|1.0|3.94|2.78|17.0|-6.78|2.25|1.82|0.0|3.0|23.0|4.0|319.38|0.0|1.0|-4.0|6.06e-05|0.0194|2.91|1.67e-07|5.3200000000000006e-05|-0.07463|3.9848|2.56|3.5862|-1327.498519|-1327.471862|544.65|345.72|311.14|0.43415|0.68067|-1327.351991|0.1193|1.6035|-0.22035|-1327.4004710000002|2.3061|0.02|7699.0
47c_a18|0.0|0|0|0.0|7.03438793|1|0.02368001|-0.007068829|-0.048726885|0|0.047739847|0.0|-0.537230966|10.94702285|0|0.002674691|-0.212991596|-0.320309303|0.784328127|0.758269842|-0.027873485|0.050944273|0.7912974190000001|0|0.8128616409999999|-0.094000037|0.246894346|0.015864085|-75.57063623|12.75381432|67.68084951|0.1871383589999999|150.4485025|-60.75445536|10.25333491|-46.26124419|88.76073429|-25.88035487|70.29678191|0.489290189|3228.879782|653.4941186000001|-1889.265906|-20.80632033|0.251001849|0.958059115|201.7910841|-1518.861384|34.55329606|0.016406766|-400.3604527|2522.390613|1167.054827|1.0|1.0|0.0|3.0|4.61|0.0|18.0|-9.18|2.87|2.41|3.0|12.0|38.0|4.0|513.63|0.0|0.0|-5.09|1.84e-06|0.000947|3.98|6.67e-10|3.42e-07|-0.0449|3.1096|7.72|3.1096|-1664.753129|-1664.721977|850.89|398.71|398.71|0.6983199999999999|0.6983199999999999|-1664.201034|0.5869|3.3075|-0.17331|-1664.277127|3.8573|3.0|8.5229
12z_a30|0.0|0|0|0.0|7.412764017000001|2|-0.1155022219999999|-0.008819424|-0.026703371|2|0.034848862|0.0|-0.537984876|10.31162784|1|0.005111479|-0.12254489|-0.207153446|0.8397577820000001|0.809127478|-0.02232319|-0.077335468|0.855880335|0|0.832920077|-0.107776943|0.315493739|0.030875938|-74.96232552|21.47520633|54.40462246|0.167079923|116.2094523|-52.13870496|14.93669572|-34.55504699|95.20867045|-23.67231332|71.1566605|0.48740649|3112.622632|579.3226647000001|-1349.321859|-16.464854199999998|0.3691601439999999|0.950863559|256.7627363|-938.4966892|37.52507564|0.029109145|-182.00664430000003|2138.929312|792.3440337000001|1.0|0.0|1.0|1.0|4.86|0.0|17.0|-6.83|2.63|2.2|2.0|7.0|33.0|6.0|458.54|0.0|0.0|-5.0|2.47e-06|0.00113|3.81|1.47e-07|6.720000000000001e-05|-0.04679|4.8063|3.34|3.4438|-1804.814868|-1804.785911|739.33|360.02|257.96|0.5513100000000001|0.6853199999999999|-1804.51674|0.1441|7.0446|-0.19279|-1804.581882|7.2113|44.0|7.3615
12_a1|0.0|0|0|3.3894574360000003|7.423568444|1|-0.0455890429999999|-0.011221829|-0.02164054|1|0.076867966|0.0|-0.516204114|10.94945122|1|-0.001416381|-0.104622651|-0.173618873|0.8016064479999999|0.749817035|-0.045776997|-0.093957115|0.817998205|0|0.765121385|-0.104724018|0.210514881|0.033770552|-60.78517756|19.60151089|133.6600817|0.234878615|136.3310784|-35.28166588|11.37734536|-32.50125347|74.99749378|-23.15625812|75.59644237|0.46449367|2592.245875|444.1009824|-972.562841|-13.44063462|0.275333347|0.867391557|159.81230209999998|-564.5066541|31.95435864|0.024485753|-260.8074567|1342.083063|473.040639|1.0|1.0|1.0|1.0|3.29|2.72|23.0|-8.2|4.41|1.67|2.0|3.0|28.0|5.0|366.37|0.0|1.0|-4.75|1.04e-05|0.00379|3.54|6.28e-09|2.3e-06|-0.07042|3734.0|3.67|3.1744|-1216.12881|-1216.099134|607.42|390.57|332.04|0.69114|0.69763|-1215.922313|0.2821|7.7454|-0.19916|-1215.975876|10.1801|2.95|5.5302
13i_a6|0.0|0|0|3.399318783|7.412764017000001|1|0.0359494989999999|-0.0149593219999999|-0.154502515|1|0.035242754|0.0|-0.852681372|10.95129557|1|-0.007703306|-0.045418125|-0.073507141|0.8744720490000001|0.7771558909999999|0.145878803|-0.054229558|0.8287956870000001|0|0.624046118|-0.129526268|0.221116773|0.031178586|-86.83156133|20.90143854|181.1128483|0.375953882|252.0312146|-58.20996912|14.01186473|-54.13430283|100.2320567|-31.12829557|101.6533459|0.429711323|2906.257489|418.3467934|-1649.799665|-20.86772478|0.216402237|0.753497905|145.07130039999998|-1105.989413|39.72483975|0.019989461|-380.2354072|2105.416507|673.8038326000001|1.0|1.0|1.0|3.0|3.59|2.7|23.0|-8.5|3.54|1.18|1.0|6.0|32.0|5.0|427.46|0.0|1.0|-4.48|9.32e-06|0.00398|2.95|3.18e-09|1.36e-06|-0.0481399999999999|3.6668|4.94|3.5614|-1426.549926|-1426.518007|703.43|348.14|338.12|0.7004600000000001|0.70517|-1426.269916|19.0|7.8342|-0.19454|-1426.332492|10.1375|21.0|7.6778
