molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|pIC50|pIC50
8_a10|0.0|0|0.0|1|7.535296702|1|1.3430438530000002|2.071128354|-0.075368755|-0.00560152|5.4161004020000005|2|-0.296880569|-0.15615298|10.92578782|-0.106100115|1|0.009056935|-0.000504277|-0.132343104|2|0.6357042860000001|0.809386132|-0.015871527|-0.167376069|0.864927472|1|0.874843982|-0.086233061|0.597912185|0.015758182|-32.63117642|-47.16908772|8.619652859|32.98071169999999|0.125156018|-0.029917593|-25.80127401|-17.849103399999997|56.7864899|41.25082928|2612.274447|-801.8744912000001|-8.951462413|0.277350551|6.112185271|0.7599356820000001|22.64553798|0.017582236|-243.5764486|1109.631361|583.7217118|9.617402178|0.0|1.0|1.0|0.0|3.42|3.27|21.0|4.2|69.9|2.46|1.0|0.0|0.0|1.0|-4.52|5.0|-6.25|0.0|1.0|3.55|-4.62|2.4100000000000003e-05|3.37|0.0|9.59e-06|-0.0623299999999999|4.6964|4.58|-1257.84172|594.63|336.55|0.1596|264.0|416.69|0.41583|0.68815|-1257.59269|-0.15556|1.2052|-1257.648047|6279.0|6279.0
3h_a32|0.0|1|0.0|0|7.765993078999999|0|0.609420752|0.0|0.01077056|-0.005281944|5.733341277|0|-0.269379119|-0.003152613|10.31100268|-0.111111111|3|0.003284804|0.025035542|-0.122769653|0|0.84279263|0.7926338540000001|-0.169197453|-0.2|0.834881529|1|0.87880263|-0.0882883959999999|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|76.38838542|0.12119737|-0.027590124|-34.60714056|-28.15732254|62.63332945|51.95714963|2398.020434|-829.1363044|-10.81473143|0.226505997|8.107034244|0.692036677|22.33200639|0.011751781|-342.4592076|1071.936307|593.0848817000001|7.357575822|1.0|1.0|1.0|1.0|3.65|3.88|19.0|6.24|110.94|2.64|2.0|0.0|0.0|1.0|-8.23|3.0|-4.29|1.0|1.0|5.4|-6.15|7.140000000000001e-07|6.12|0.0|1.29e-06|-0.05318|3.5552|4.61|-1790.6908030000002|676.22|348.74|0.2926|348.74|578.86|0.70257|0.70257|-1790.440663|-0.1474099999999999|3.5952|-1790.5004850000005|8.1549|8.1549
4p_a46|0.0|0|0.122217892|1|7.825245291|1|1.134636977|2.102855253|-0.060700883|-0.004413243|5.587248657999999|0|-0.233901882|-0.205494852|10.93681929|-0.120823841|1|0.004453195|-0.251219946|0.101602982|0|0.7471162309999999|0.747019097|-0.078703563|-0.1623103719999999|0.7911509609999999|0|0.905966489|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|-47.22779946|4.195717966|175.10295019999998|0.094033511|-0.029978645|-26.78464688|-32.07534663|51.05047787|60.7522985|2257.769185|-850.1003902999998|-9.642472876|0.12579435|5.828038618|0.734640605|19.44852199|0.006740305|-424.4519674|972.4260993|585.8536976|3.822678404|1.0|1.0|0.0|1.0|3.89|3.2|17.0|5.25|61.84|3.2|2.0|0.0|0.0|1.0|-5.8|3.0|-5.09|0.0|1.0|4.25|-5.4|4.03e-06|4.77|0.0|3.2e-05|-0.0393|5.4796|4.89|-1129.65844|598.19|310.28|0.2363|226.26|537.47|0.43709|0.70138|-1129.3914619999998|-0.16819|3.6961|-1129.4459470000002|6.4672|6.4672
15a_a50|0.0|1|0.0|2|7.934155233999999|1|1.3530592819999998|4.126145086|-0.113976703|-0.004429392|5.82008293|1|-0.234757789|-0.15010386|10.94500663|-0.125205943|2|0.005828749|-0.072976638|-0.209259615|1|0.797917311|0.821868651|-0.051676609|-0.207610131|0.8749408470000001|1|0.837789896|-0.084501726|0.4349386739999999|0.018014615|-46.91098865|-50.56454577|10.77967103|275.287923|0.162210104|-0.029316925|-30.25705388|-28.07082095|61.78266878|57.69065967|2503.770258|-859.5972780999999|-10.49734522|0.294589405|8.095541483|0.8103580690000001|24.86892274|0.018747341|-245.8291419|1218.577214|569.5267957000001|11.21812301|0.0|1.0|1.0|1.0|3.7|2.63|20.0|3.57|68.76|1.87|1.0|0.0|0.0|1.0|-3.6|4.0|-6.78|0.0|1.0|2.76|-3.92|0.0001189999999999|2.51|0.0|0.0003|-0.03255|4.0408|2.66|-1199.818129|644.4|306.83|0.1767|306.83|519.38|0.66132|0.66132|-1199.572081|-0.16693|6.6307|-1199.629702|7.3872|7.3872
12h_a40|0.0|0|0.0|1|7.515889085|0|0.60499064|1.760542171|0.104392974|-0.008044548|5.4161004020000005|0|-0.289603712|0.189869851|10.31197256|-0.21893421|2|-0.002126898|0.367928263|0.224167029|0|0.809398262|0.7769829840000001|0.116873629|-0.335801908|0.845904643|1|0.839481749|-0.091448888|0.006997021|0.0117142839999999|-50.45378559|-48.34705035|6.193088525|208.6717565|0.160518251|-0.038796498|-25.56004046|-26.67382585|54.9311782|56.64687411|2270.834041|-676.8587047999999|-10.84365353|0.155991416|7.989299324|0.983394285|24.30173133|0.012453938|-363.7398044|801.957134|350.9435025|6.584127851|1.0|1.0|1.0|1.0|3.19|3.0|20.0|5.02|84.45|3.76|2.0|1.0|0.0|1.0|-6.25|2.0|-5.13|0.0|1.0|4.22|-5.58|2.61e-06|4.75|0.0|5.2e-05|-0.07512|4.1508|4.14|-2153.207198|548.82|469.0|0.3985|298.7|435.95|0.6503899999999999|0.7041|-2153.072091|-0.1092|2.5573|-2153.123274|6.0846|6.0846
8_a20 (IN-1130)|0.0|0|0.0|0|6.842683282|0|1.400923668|0.0|0.063195236|-0.009430196|4.727387819|2|-0.528090969|-0.019554464|10.94899447|-0.0574882679999999|1|-0.004654742|0.293415753|-0.083481481|2|0.811128636|0.760688473|-0.1221465319999999|-0.0957193819999999|0.817914963|1|0.7274271309999999|-0.097790028|0.354945501|0.0158089389999999|-63.72828772|-64.75689362|10.46873389|336.574332|0.272572869|-0.035730972|-42.88223811|-42.20109173|77.31081766|74.19702161|2849.395895|-1230.3809789999998|-15.66851008|0.251893628|8.005662608|0.932362084|31.628086|0.018957805|-328.593789|1644.660472|684.5377542|12.55392404|1.0|1.0|1.0|2.0|3.49|2.43|27.0|4.08|110.44|1.33|1.0|0.0|0.0|1.0|-4.85|5.0|-6.83|0.0|1.0|3.14|-4.55|2.82e-05|2.87|0.0|9.86e-08|-0.07014|4.9797|4.53|-1368.412748|696.06|383.5|0.3782|248.98|517.94|0.4377|0.7007399999999999|-1368.118751|-0.13622|3803.0|-1368.180121|7.4437|7.4437
4a_a49|0.0|0|0.0|1|7.535296702|1|1.343847746|2.085628989|-0.076526919|-0.006602016|5.4161004020000005|2|-0.3631108529999999|-0.053787795|10.92777282|0.018857363|1|0.000660956|-0.130491035|-0.060391347|2|0.7541604690000001|0.803344301|0.0063958109999999|0.032396301|0.856023531|1|0.7570436159999999|-0.087863033|0.433367368|0.017143497|-57.79201133|-53.88810275|10.51443916|313.22432680000003|0.242956384|-0.0292876779999999|-33.05061877|-35.44496163|68.37721704|68.30645049|2675.628678|-916.0977468|-11.01687292|0.349698461|7.934892916|0.8926425020000001|27.62211044|0.023624093|-184.3656985|1408.727632|620.5697596|14.48911428|0.0|1.0|1.0|2.0|3.35|2.89|21.0|2.83|92.93|1.25|1.0|0.0|0.0|1.0|-3.28|5.0|-7.52|0.0|1.0|2.42|-3.52|0.000305|1.71|0.0|1.74e-05|-0.06461|4.7259|3.34|-1313.19945|660.19|327.34|0.1935|262.35|504.63|0.35731|0.68042|-1312.924353|-0.1585099999999999|3.9716|-1312.98289|7.4949|7.4949
6g_a40|0.0|0|0.0|1|8.421342866|2|0.604893315|1.628664494|0.102683335|-0.022381557|6.401917197|0|-1.09669629|0.07194868|10.30179936|-0.251161616|2|-0.018182514|-0.221674172|0.05728593|0|0.8316888240000001|0.832499949|0.075283207|-0.340429901|0.8917390820000001|1|0.605346707|-0.156296046|0.400587529|0.017750905|-107.2113398|-101.5916383|11.53799852|328.78166810000005|0.3946532929999999|-0.059045173|-66.03405036|-69.68682788|114.7475987|118.7493383|3142.74733|-1727.0578510000005|-24.9461968|0.175795811|6.95079805|0.740853565|46.56499428|0.020240097|-421.4621621|2095.424743|590.1686672000001|13.1559604|0.0|1.0|1.0|3.0|4.06|2.28|14.0|2.48|213.89|0.59|1.0|2.0|1.0|3.0|-7.22|7.0|-7.02|1.0|0.0|2.37|-4.71|1.93e-05|3.06|1.0|0.6459999999999999|-0.08622|3.3197|7.38|-2522.023752|669.8|440.68|0.4971|373.48|514.77|0.58454|0.5794199999999999|-2521.8114530000003|-0.11857|6.7231|-2521.87499|7.3279|7.3279
12u_a36|0.0|0|0.0|0|7.412764017000001|2|1.270259304|0.0|-0.054501792|-0.006461999|5.351858133|2|-0.407105926|-0.063855309|10.95266014|-0.010669561|1|0.005035022|0.055588998|-0.163978382|1|0.901715152|0.8101678720000001|0.080270195|-0.018047007|0.855176759|0|0.842227829|-0.0969881059999999|0.3765068079999999|0.017639065|-50.53295452|-67.50289394|12.27663887|86.1184622|0.157772171|-0.03452119|-46.98143813|-35.17050511|78.06218646|62.80959338|2831.106839|-1417.5607730000002|-16.72220679|0.22061252|7.65672775|0.946117173|30.82735404|0.015171583|-388.9026034|1818.813889|799.5563855|10.55929252|1.0|1.0|1.0|2.0|5.05|0.0|17.0|3.01|69.2|2.66|2.0|0.0|0.0|1.0|-4.95|4.0|-6.19|0.0|1.0|2.66|-4.86|1.39e-05|3.8|0.0|1.7800000000000002e-05|-53.0|3.8847|4.21|-1350.8981130000002|739.12|337.37|0.4267|319.16|590.18|0.69258|0.70272|-1350.575382|-0.15109|5.8702|-1350.638138|7.7959|7.7959
12au_a36|-3.3109381210000004|0|0.0|0|7.412764017000001|2|0.2992539489999999|0.0|0.074839187|-0.009897048|5.351858133|2|-0.613616984|-0.023640632|10.31810353|-0.03802163|1|-0.001160331|0.1320241419999999|-0.261631709|1|0.8183043390000001|0.825565083|-0.021932444|-0.058671909|0.877827228|0|0.698996981|-0.110305773|0.284342092|0.021569487|-64.86748076|-79.35600767|15.51748637|102.3999102|0.301003019|-0.038036474|-57.09017539|-46.66686194|95.91776213|80.38496714|3484.987058|-1587.1201529999998|-19.68626738|0.283941389|8.963940512999999|0.97188557|38.21494522|0.023021031|-310.873098|2216.466823|805.2286932|16.56175445|0.0|0.0|0.0|3.0|5.0|0.0|17.0|2.15|123.75|0.84|1.0|0.0|0.0|1.0|-3.85|6.0|-8.03|0.0|0.0|1.18|-3.72|0.0001889999999999|1.64|0.0|6.45e-05|-0.0570899999999999|5.1307|6.24|-1876.207937|752.27|334.15|809.0|241.65|618.65|0.58518|0.70395|-1875.89525|-0.15162|6.1367|-1875.960827|7.3279|7.3279
