molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|pIC50|pIC50
3k_a32|0.0|1|0.0|0|7.97831097|1|0.609420759|0.0|-0.001009768|-0.005745086|5.973809612|0|-0.270019022|-0.0902541999999999|10.31100271|-0.077097565|3|0.002509816|-0.084055305|-0.090775221|0|0.816196288|0.779649252|-0.127713677|-0.129124455|0.8306695270000001|1|0.8777482409999999|-0.090839907|0.31016741|0.0123637989999999|-40.10830541|-51.21653025|6.970844822|80.0971996|0.122251759|-0.029575784|-28.87643819|-22.61349991|58.16707081|47.07915023|2392.3436100000004|-717.0314235000001|-9.40163104|0.21942773|6.153598893|0.89626209|21.36272325|0.012327787|-316.3794102|918.5970998|506.658189|6.9505405620000005|1.0|1.0|1.0|1.0|3.47|3.48|19.0|5.78|110.94|2.41|2.0|0.0|0.0|1.0|-7.04|3.0|-5.01|0.0|1.0|4.75|-5.61|2.47e-06|4.97|0.0|2.15e-05|-0.05321|3.5363|3.81|-1750.164914|611.65|350.6|0.3082|350.6|452.36|0.70268|0.70268|-1749.957584|-0.14667|3.2233|-1750.0122420000002|8.0605|8.0605
15_a10|0.0|0|0.0|1|7.535296702|1|1.277647202|2.124460476|-0.166303336|-0.0027892409999999|5.4161004020000005|2|-0.142251304|-0.055918786|10.92966702|-0.05940848|1|0.009514122|-0.1157120169999999|-0.136323668|2|0.682616223|0.808676284|-0.079744227|-0.105662909|0.863438637|1|0.915526801|-0.074144604|0.710970489|0.018614889|-35.30133759|-44.18725043|11.09373722|33.67392858|0.084473199|-0.025240716|-26.33385303|-21.03820054|56.66229609|46.39507481|2549.580207|-706.9960069|-8.964715924|0.353587352|6.35937164|0.767351752|23.27068984|0.020932674|-174.5122907|1093.722422|563.875765|12.47504566|1.0|1.0|1.0|0.0|3.29|3.31|21.0|4.72|52.83|2.53|2.0|1.0|0.0|1.0|-4.48|4.0|-6.07|0.0|1.0|3.83|-4.81|1.56e-05|3.68|0.0|1.96e-06|-0.05243|5.7922|3.12|-1604.08794|641.98|326.3|0.4553|214.05|484.05|0.41458|0.68543|-1603.851644|-0.1574|4.5192|-1603.907391|7.4815|7.4815
12ac_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043188|0.0|-0.050997272|-0.007639626|5.351858133|2|-0.450737917|-0.046730704|10.95345846|-0.0121300989999999|1|0.0018565629999999|0.060445359|-0.166354116|1|0.8058720979999999|0.811459853|0.135371136|-0.020272679|0.863165958|0|0.779673368|-0.104391657|0.4712820929999999|0.021508835|-55.68500110000001|-72.4798052|14.93372351|118.0445703|0.220326632|-0.036062573|-50.32319912|-38.66245764|86.51036063|70.61872461|2902.588755|-1377.116299|-17.38437788|0.268353853|8.126831024|0.801074136|34.22211444|0.020208014|-321.66684580000003|1882.216294|716.9974499|14.03055543|1.0|0.0|0.0|2.0|4.86|0.0|17.0|2.09|86.27|1.59|1.0|0.0|0.0|1.0|-3.81|5.0|-7.21|0.0|0.0|1.84|-3.95|0.000112|2.36|0.0|5.4600000000000006e-05|-0.0527399999999999|3.8843|4.84|-1385.606133|711.77|321.25|0.3302|319.2|554.84|0.56186|0.56357|-1385.3211789999998|-0.15675|4.0208|-1385.382927|7.8861|7.8861
4_a4|0.0|0|0.0|1|7.535296702|1|1.343865392|2.156628874|-0.183963421|-0.001234337|5.4161004020000005|2|-0.058013858|-0.110597574|10.92992837|-0.037623601|1|0.0112367389999999|-0.035166634|-0.078747188|2|0.646069495|0.77276149|-0.168712277|-0.063012715|0.8306695270000001|1|0.933276024|-0.06873731|0.456474074|0.008570112|-25.64211031|-35.41518716|4.4155367960000005|13.70182982|0.0667239759999999|-0.0255766729999999|-18.24679326|-13.21145879|40.86951119|30.05764711|2221.6122010000004|-566.6429946000001|-6.78950447|0.2062820269999999|5.326452915|0.66251148|16.60255217|0.010586293|-302.661743|713.9097433|462.1867149|5.454324025|1.0|0.0|1.0|0.0|3.15|3.09|21.0|4.41|43.6|2.66|1.0|0.0|0.0|1.0|-4.12|3.0|-5.79|0.0|1.0|3.64|-4.57|2.69e-05|3.52|0.0|8.85e-06|-0.04865|5.382000000000001|3.24|-1029.960398|566.84|307.95|0.1106|230.37|394.06|0.55032|0.6010800000000001|-1029.763465|-0.1696599999999999|2.6814|-1029.813844|7.1079|7.1079
12az_a36|0.0|0|0.0|0|7.412764017000001|2|1.297042831|0.0|-0.196183836|-0.009570959|5.351858133|2|-0.593399474|-0.024018255|10.95957115|-0.012800556|1|0.002872872|0.129156742|-0.289604649|1|0.884226781|0.812921349|-0.061924322|-0.021825174|0.858971809|0|0.819163613|-0.10786263|0.411597359|0.034771534|-50.28669997|-75.58351856|24.36575918|60.11023222|0.180836387|-0.033474609|-52.96429617|-35.23783652|99.82512582|74.65245915|3039.528467|-1360.503334|-16.43719536|0.416134994|8.449849817|0.861843195|40.17530387|0.034594361|-117.53490990000002|2330.167624|766.4854363|24.24160725|1.0|0.0|1.0|2.0|4.96|0.0|17.0|1.9|87.66|1.42|1.0|0.0|0.0|1.0|-4.11|6.0|-7.13|0.0|0.0|1.75|-4.15|7.13e-05|2.62|0.0|7.11e-05|-0.04967|3.8863|2.68|-1461.990465|737.12|343.5|0.4383|319.03|576.54|0.69385|0.70333|-1461.686269|-0.14879|6.3778|-1461.750394|7.2366|7.2366
8m_a46|0.0|0|0.2148468989999999|1|7.727094485|1|1.160371261|2.126524943|-0.044830187|-0.00517896|5.533389489|1|-0.248590088|-0.120972269|10.94650201|-0.064176245|1|0.005865049|-0.206020062|0.015631887|1|0.783187801|0.7699708959999999|-0.084989948|-0.090247845|0.8142050040000001|0|0.876210355|-0.085204935|0.280198209|0.007059399|-48.32436573|-45.17474201|3.742817678|166.8508795|0.123789645|-0.032188531|-23.9511632|-25.62105988|48.72163155|52.0671834|2045.330306|-767.9706141|-9.04821721|0.114510313|5.684332261000001|0.7415609409999999|19.27296714|0.006689855|-408.7649869|867.2835213999999|463.1469765|3.546889545|0.0|0.0|1.0|1.0|3.24|2.92|17.0|4.21|50.94|2.62|1.0|0.0|0.0|1.0|-4.48|3.0|-5.61|0.0|1.0|3.53|-4.56|2.78e-05|3.72|0.0|0.000112|-0.01818|5.3062|4.12|-1014.126693|570.72|289.14|0.3905|233.66|489.57|0.43001|0.6997800000000001|-1013.91158|-0.17897|2.0174|-1013.962913|6.6402|6.6402
12z_a30|0.0|0|0.0|0|7.412764017000001|2|0.604983642|0.0|-0.1155022219999999|-0.008819424|5.351858133|2|-0.537984876|0.018796341|10.31162784|-0.045463448|1|0.005111479|0.05890953|-0.207153446|1|0.8397577820000001|0.809127478|-0.02232319|-0.077335468|0.855880335|0|0.832920077|-0.107776943|0.315493739|0.030875938|-49.68145417|-74.96232552|21.47520633|54.40462246|0.167079923|-0.034034824|-52.13870496|-34.55504699|95.20867045|71.1566605|3112.622632|-1349.321859|-16.464854199999998|0.3691601439999999|8.071510779|0.950863559|37.52507564|0.029109145|-182.00664430000003|2138.929312|792.3440337000001|20.24634493|1.0|1.0|1.0|1.0|4.86|0.0|17.0|2.63|100.11|2.2|2.0|0.0|0.0|1.0|-5.61|6.0|-6.39|0.0|0.0|2.52|-5.0|9.94e-06|3.81|0.0|6.720000000000001e-05|-0.04679|4.8063|3.34|-1804.814868|739.33|360.02|0.1855|257.96|580.6|0.5513100000000001|0.6853199999999999|-1804.51674|-146.0|7.0446|-1804.581882|7.3615|7.3615
7f_a10|0.0|0|-4.8022906380000006|1|7.535296702|1|1.240141822|1.924772416|0.103083789|-0.011104817|5.4161004020000005|2|-0.5663456689999999|-0.000498274|10.92948443|-0.0971900919999999|1|0.0030999659999999|-0.309622111|-0.172751862|2|0.5371733989999999|0.796084921|-0.009545801|-0.137271684|0.8499946070000001|1|0.931773786|-0.095196098|0.7359022890000001|0.00797443|-35.78096407|-53.02456669|4.441786155|15.96885516|0.068226214|-0.03645808|-29.53487321|-19.93012491|60.16185231|40.22275023|2803.359424|-954.4422004|-11.31122804|0.178213448|6.115784565|0.6738319429999999|24.71113795|0.012813716|-358.4725202|1161.423484|527.8079877|7.137285626000001|1.0|1.0|1.0|0.0|3.37|2.97|21.0|6.57|52.83|2.64|2.0|0.0|0.0|1.0|-5.54|7.0|-5.47|1.0|0.0|4.39|-5.6|2.52e-06|4.7|0.0|3.03e-06|-0.0613|5.7757|4.93|-1442.216293|597.28|341.96|348.0|214.67|426.07|0.34467|0.6833600000000001|-1442.001311|-0.15627|2.2631|-1442.058773|6.8508|6.8508
4c_a49|0.0|0|0.0|1|7.535296702|1|1.343847672|2.102052126|-0.048954892|-0.0057600559999999|5.4161004020000005|2|-0.339843311|-0.102999091|10.92777281|0.006194124|1|0.00202792|-0.163476035|-0.001647802|2|0.7745214140000001|0.7796063109999999|-0.052237757|0.010868461|0.826523164|1|0.76159824|-0.086290519|0.407675441|0.012079228|-56.5385923|-55.59622798|7.782541015|82.02101639|0.23840176|-0.029809452|-35.82016427|-36.42732137|66.77901229|64.32113331|2719.702873|-1056.328332|-12.37423857|0.275946172|8.474369008|0.898629005|26.5256103|0.0173567219999999|-288.71184960000005|1458.908567|707.2397315000001|11.182784300000002|1.0|1.0|1.0|2.0|3.49|2.97|21.0|3.19|98.72|1.47|1.0|0.0|0.0|1.0|-3.5|5.0|-7.53|0.0|1.0|2.6|-3.58|0.000265|1.81|0.0|4.4e-06|-0.0623299999999999|5.74|3.04|-1332.647233|705.55|325.7|0.2411|216.0|533.87|0.4164199999999999|0.67789|-1332.336755|-0.15925|3.4931|-1332.398001|6.5935|6.5935
9r_a24|0.0|0|0.0|0|6.605297921|0|1.353642494|0.0|-0.134192489|-0.004640179|4.59511985|3|-0.264490176|0.064425793|10.96129392|-0.043274854|1|0.008722018|-0.29065818|-0.2920573039999999|3|0.786430472|0.7958149290000001|-0.120617935|-0.083458647|0.841805128|0|0.8417158379999999|-0.082022572|0.32720212|0.015557618|-41.49802275|-54.99020696|10.4302588|71.31566881|0.158284162|-0.025821921|-36.86695997|-27.82142546|70.79264457|51.92828155|2644.462265|-934.8335183|-11.60626518|0.384785172|9.672636984|0.898988412|28.13932796|0.02357068|-154.486433|1519.52371|670.2247423|15.80243761|1.0|1.0|1.0|1.0|3.53|3.04|23.0|3.93|79.82|1.02|2.0|0.0|0.0|1.0|-4.02|6.0|-6.83|0.0|0.0|2.98|-4.06|8.77e-05|2.69|0.0|8.84e-07|-0.04313|4.4722|1.82|-1294.486221|713.25|289.16|0.3398|277.23|616.11|0.3398|0.6204|-1294.201456|-0.1676099999999999|1.9698|-1294.263358|7.9586|7.9586
1n_a5|0.0|0|0.0|0|6.605297921|0|1.427557749|0.0|-0.1387762669999999|-0.007315978|4.59511985|2|-0.3365350029999999|-0.150600424|10.94528897|-0.047910067|1|0.004754079|0.004115733|-0.015850084|2|0.6805709409999999|0.77828693|-0.013686011|-0.087019366|0.8402078140000001|0|0.785210014|-0.081950989|0.428980979|0.023129277|-47.1725036|-47.04056285|13.27640087|63.58796786|0.214789986|-0.030493391|-27.00168194|-27.07741706|63.57058627|60.44890447|2437.279452|-752.6490056|-10.04713747|0.372248254|7.881746117|0.937489579|27.88278228|0.028797525|-146.6611704|1198.959638|467.1194103|16.53002342|1.0|1.0|1.0|1.0|2.88|2.67|23.0|3.99|80.76|1.72|1.0|0.0|0.0|1.0|-4.27|5.0|-6.41|0.0|1.0|3.14|-4.18|6.56e-05|2.91|0.0|3.01e-06|-0.06186|4.3838|4.19|-1179.209088|607.15|282.82|0.3789|282.82|481.06|0.44786|0.44786|-1179.018429|-0.17092|0.6234|-1179.073189|7.5686|7.5686
4q_a46|0.0|0|0.09591943|1|7.832410927000001|1|1.131262631|2.151582577|-0.2520920439999999|-0.001250008|5.587248657999999|2|-0.066250447|-0.155661124|10.96363644|-0.081623022|1|0.012222698|-0.019471024|-0.187559576|2|0.716317772|0.807871283|-0.15266708|-0.121752717|0.848935944|0|0.913550004|-0.070035423|0.258420996|0.014510206|-29.12008262|-39.09149156|8.099124333999999|38.31894407|0.086449996|-0.021010627|-21.81959712|-16.25388148|49.37907349|37.21920695|2234.596293|-586.3723734|-6.545879136|0.38044274|6.038093227999999|0.952269544|18.92875482|0.018430997|-133.46593529999998|946.4377411|554.3688216|10.28758193|1.0|1.0|1.0|0.0|3.95|3.16|17.0|4.09|52.83|1.75|0.0|0.0|0.0|1.0|-3.41|4.0|-6.54|0.0|0.0|3.15|-3.89|0.000129|2.65|0.0|3.97e-05|-0.03042|4.5296|2.57|-1108.751283|606.7333|273.72|0.1432|273.72|510.13|0.69002|0.69002|-1108.511662|-0.1903|2.7026|-1108.566571|6129.0|6129.0
12_a15|0.0|0|0.0|0|0.0|0|1.435689014|0.0|-0.071096525|-0.006620824|0.0|2|-0.370766171|-0.106061273|10.95973444|-0.01062828|0|0.0034254209999999|-0.054575504|-0.184255041|2|0.8310685940000001|0.723852961|0.049877871|-0.019064393|0.769289315|0|0.89637291|-0.094209248|0.738437971|0.015018226|-39.00359933|-60.15445365|9.58943236|72.18361893|0.10362709|-0.031995594|-38.40979933|-24.90456371|70.6606311|48.59303169|2613.57759|-1082.780166|-13.04483751|0.253510603|5.448223888999999|0.909927213|27.36785616|0.016453962|-314.7766363|1450.496376|673.7288405|10.50617745|1.0|0.0|1.0|1.0|3.56|3.73|24.0|6.3|56.27|2.87|2.0|0.0|0.0|1.0|-6.22|4.0|-4.97|1.0|1.0|4.7|-5.83|1.47e-06|5.29|0.0|5.99e-08|-0.03196|4.4819|5.16|-1281.087109|688.91|321.72|0.1374|276.63|585.26|0.50595|0.70444|-1280.810963|-0.15858|4.3338|-1280.871722|8.3979|8.3979
12w_a36|0.0|0|-4.750262163|0|7.412764017000001|2|1.24014105|0.0|0.081390556|-0.015825416|5.351858133|2|-0.917874106|-0.041402825|10.96020797|-0.010726574|1|-0.007897954|0.115646674|-0.3344729369999999|1|0.647732719|0.828393514|-0.098657593|-0.016393443|0.8792981679999999|0|0.828363244|-0.111267166|0.532980165|0.021104445|-62.34080876|-79.88912835|15.15285952|112.947763|0.171636756|-0.041210062|-57.35989379|-44.76031023|99.51883498|77.49366829|3230.870697|-1597.782567|-21.24440511|0.29463721|8.365472166|0.8769828040000001|41.94801097|0.0273396629999999|-294.8983941|2265.1925920000003|672.4630346|19.62970663|1.0|1.0|0.0|2.0|4.82|0.0|17.0|4.04|78.43|2.04|2.0|0.0|0.0|1.0|-5.2|8.0|-6.4|0.0|0.0|2.65|-5.07|8.6e-06|3.86|0.0|3.37e-05|-0.05326|3.8881|4.86|-1645.202839|712.88|318.88|0.4508|318.88|552.55|0.69466|0.69466|-1644.953222|-0.15708|5043.0|-1645.017691|7.6383|7.6383
47t_a18|0.0|0|0.0|0|7.03438793|1|1.25117758|0.0|0.1115820769999999|-0.0128248239999999|4.844187086|0|-0.756664598|-0.011641394|10.94702032|-0.04785474|0|-0.004985656|0.027313444|-0.104274108|0|0.704602886|0.750103977|0.005590928|-0.074774521|0.796935152|0|0.67203319|-0.103295568|0.240001773|0.014067024|-79.78154029|-69.13537385|9.415011332|280.622476|0.32796681|-0.040580402|-46.27207168|-53.39751484|80.00407742|89.19655162|2872.533415|-1520.978225|-18.17831387|0.195468477|8.780037801|0.991199259|33.75918118|0.016238994|-407.6438346000001|1890.514146|747.6927426|10.86870356|0.0|0.0|0.0|3.0|3.86|0.0|18.0|2.93|110.56|1.64|2.0|1.0|0.0|1.0|-5.58|4.0|-6.46|0.0|0.0|2.15|-4.77|1.7100000000000002e-05|3.57|0.0|1.36e-05|-0.06822|3.1164|9.4|-1470.873743|703.76|397.84|0.5502|397.84|601.36|0.6895100000000001|0.6895100000000001|-1470.528808|-0.12692|7.7656|-1470.593659|6.1068|6.1068
8_a47|0.0|0|0.0|0|7.252053952000001|1|1.24688044|0.0|0.003732288|-0.007835945|5.476463552|2|-0.391797226|-0.153669322|10.93671024|-0.14203855|0|-0.007648516|-0.177626636|-0.003223628|2|0.686795267|0.7847248109999999|-0.035681436|-0.223459904|0.842571655|1|0.8497568740000001|-0.091482011|0.517797505|0.008687692|-44.09728708|-53.11155658|5.043798869|90.32612351|0.150243126|-0.035797309|-30.83488674|-25.60148752|60.62152862|49.14108595|2621.772106|-956.0080185|-12.06582525|0.180297967|6.492934319|0.707366287|25.35407034|0.012935553|-371.2177396|1166.287236|559.4973856|7.509972037000001|1.0|0.0|1.0|2.0|3.02|3.21|22.0|6.77|58.04|3.9|2.0|0.0|0.0|1.0|-6.59|4.0|-4.79|1.0|1.0|5.03|-6.19|6.490000000000001e-07|5.61|0.0|2.28e-07|-0.05495|3.6696|4.91|-1686.068471|621.06|337.87|0.2249|337.87|433.38|0.6877800000000001|0.6877800000000001|-1685.8518170000002|-0.15357|3585.0|-1685.908004|7.3|7.3
18_a3|0.0|0|0.0|0|6.605297921|0|1.43179288|0.0|-0.256375952|-0.003487792|4.59511985|3|-0.122072724|0.042606196|10.96965878|-0.025890816|1|0.005799063|0.150826737|-0.064953613|3|0.7226687409999999|0.714658751|0.0355413979999999|-0.051083228|0.784960175|1|0.8419576209999999|-0.0846755|0.217881538|0.013796397|-31.07331853|-37.67445366|6.1383958|160.9514039|0.158042379|-0.031753312|-16.76239841|-13.82537222|48.19055867|37.21171433|1938.093995|-452.0934439|-6.285899403999999|0.317507797|5.293627315|0.935646099|20.70048575|0.02363555|-162.3915791|662.4155441|270.539096|10.51610501|0.0|0.0|1.0|1.0|2.62|1.81|21.0|3.08|67.35|0.93|0.0|0.0|0.0|1.0|-2.82|4.0|-6.7|0.0|1.0|2.21|-3.27|0.000537|1.79|0.0|4.07e-05|-0.05769|3.9765|1.85|-889.9619321|482.41|311.79|0.3326|311.79|330.54|0.6671699999999999|0.6671699999999999|-889.850598|-0.1641099999999999|2.6366|-889.894728|7.5229|7.5229
1_a1 (SKF-104365)|0.0|0|0.0|1|7.535296702|1|0.626769342|2.196347317|0.011230812|-0.006055958|5.4161004020000005|1|-0.218014497|-0.10236005|10.33812228|0.11172918|1|0.002250781|-0.221214316|-0.300426726|1|0.57031697|0.7926983559999999|-0.015406451|0.194988905|0.857919181|0|0.8131557509999999|-0.081192283|0.2405471019999999|0.0133681239999999|-31.45099608|-37.55389489|6.18316314|6.658828587|0.186844249|-0.029524467|-17.369816|-14.547040099999998|46.32985169|37.63415922|1997.193006|-450.6467387|-6.316296726|0.290255081|5.2735884010000005|0.71469847|19.24066156|0.018973797|-194.0267797|634.9418316000001|297.2783688|8.775956802|1.0|1.0|1.0|0.0|2.97|2.68|17.0|4.28|56.01|2.52|0.0|0.0|0.0|1.0|-3.8|3.0|-6.01|0.0|1.0|3.27|-4.02|9.65e-05|2.96|0.0|0.000295|-0.03482|3.8901|3.45|-1279.084677|491.18|318.72|0.2178|318.72|358.09|0.70081|0.70081|-1278.971649|-0.16142|4.5773|-1279.017667|5.7959|5.7959
19_a47|0.0|1|0.0|1|6.842683282|0|1.402889494|1.445775615|-0.038804671|-0.00973456|4.727387819|2|-0.4380552029999999|-0.064557784|10.95058274|0.0604168609999999|1|-0.010153352|0.074201869|-0.126992366|2|0.635684951|0.823945134|-0.024256505|0.095841135|0.8873627890000001|1|0.639642891|-0.104459947|0.270767873|0.026805875|-58.28861174|-57.87554797|14.85167037|335.10989930000005|0.360357109|-0.037307124|-32.06567824|-32.2945343|76.13237258|73.14028211|2612.978054|-868.1332196000001|-11.45202794|0.362167395|7.06969105|0.8635094740000001|32.40636867|0.03295186|-152.7310283|1361.067484|428.5826478|18.25682461|0.0|1.0|1.0|2.0|3.13|1.72|21.0|3.84|98.72|1.67|1.0|0.0|0.0|1.0|-3.67|6.0|-7.22|0.0|1.0|2.34|-3.66|0.000217|1.97|0.0|4.59e-05|-0.05326|3.8423|3.51|-1335.75742|571.23|322.68|0.3243|322.68|412.31|0.68924|0.68924|-1335.580357|-0.15845|5.1151|-1335.634976|7.3|7.3
8g_a12|0.0|1|0.0|0|6.580639137|1|1.28383574|0.0|0.10205033|-0.0084227909999999|4.59511985|2|-0.40429396|-0.094550033|10.95472263|-0.040257632|1|0.005405355|-0.068810076|0.122649613|1|0.804158158|0.7475224290000001|-0.04981165|-0.070405398|0.80546986|1|0.8576253690000001|-0.1045061519999999|0.274352085|0.008910823|-42.39297373|-57.6443411|4.915102972|84.95000993|0.142374631|-0.042752517|-31.79592789|-23.38345638|61.99654413|47.30807670000001|2506.427441|-1037.59814|-13.00742505|0.09833304|6.882798206|0.864880588|26.15353224|0.007890315|-443.109365|1150.7554189999998|480.0590283|4.352203029|0.0|1.0|1.0|2.0|4.07|2.51|21.0|2.07|78.85|2.89|1.0|0.0|0.0|1.0|-4.38|5.0|-6.28|0.0|0.0|2.77|-4.34|4.61e-05|3.06|0.0|3.53e-06|-0.06432|4.2057|3.68|-1154.321531|590.93|332.31|0.3786|294.8|418.41|462.0|0.55027|-1154.121362|-0.1520099999999999|2.9986|-1154.173831|5.43|5.43
14m_a23|0.0|1|-4.405643132|2|7.423568444|0|1.197955072|3.1160758160000004|0.05521348|-0.008929306|5.351858133|2|-0.482182526|-0.034213923|10.3132176|-0.050626415|2|0.001951778|0.0879380709999999|-0.226146643|2|0.560094237|0.798384929|0.0266555739999999|-0.072906704|0.8581143859999999|1|0.9258118|-0.089285878|0.268552591|0.017992415|-50.63012925|-62.09952738|12.51396625|47.23604193|0.0741882|-0.039285786|-43.19105542|-35.21393496|74.61692699|63.1440955|3255.247038|-1366.189602|-19.00406438|0.204166091|8.595073462|0.911438824|34.33353583|0.017997351|-411.5129154|1716.6767920000002|658.8108151|12.51739962|1.0|1.0|1.0|1.0|3.51|3.17|26.0|6.19|105.02|3.82|2.0|1.0|0.0|1.0|-6.38|7.0|-6.06|1.0|0.0|4.41|-5.79|1.61e-06|4.46|0.0|2.85e-06|-0.08347|3.6774|4.2|-1966.968005|707.56|337.15|0.3335|337.15|572.31|0.65552|0.65552|-1966.721362|-0.15208|6.1522|-1966.785519|8.5171|8.5171
24_a47|0.0|1|0.0|1|6.86171134|0|1.304328602|1.225600378|0.0453435129999999|-0.010774404|4.727387819|2|-0.484848181|-0.063708635|10.95005721|0.071506228|1|-0.004514441|0.056234624|-0.2494728939999999|2|0.662080166|0.812650394|-0.005097239|0.113432542|0.875198713|1|0.7839491009999999|-0.090995097|0.214985826|0.021522987|-42.71324947|-51.21152885|12.11301576|41.72753688|0.216050899|-0.032498249|-28.82156035|-24.03877652|69.27912772|54.82626523|2642.775318|-768.1729327|-10.29341441|0.388396422|7.024694045|0.920079732|29.90471672|0.032103375|-125.6197312|1255.998102|457.1122177|18.06759887|0.0|1.0|1.0|2.0|3.14|3.12|21.0|4.64|84.73|2.86|1.0|0.0|0.0|1.0|-4.61|5.0|-6.48|0.0|1.0|3.31|-4.52|3.05e-05|3.16|0.0|9.22e-06|-0.06517|3.9675|4.46|-1696.105723|578.94|312.5|0.2618|312.5|450.98|0.6835|0.6835|-1695.93106|-0.16333|2.6517|-1695.98597|8.5|8.5
15d_a10|0.0|0|0.0|1|7.535296702|2|1.343850133|2.147544195|-0.233802395|-0.002831383|5.4161004020000005|3|-0.184039927|-0.140487312|10.92970801|0.007032164|1|0.011249462|-0.092884337|-0.280243276|2|0.74726683|0.745184875|0.02497303|0.0131101969999999|0.7857977740000001|1|0.87609771|-0.070612242|0.565801561|0.02281891|-38.80896881|-47.58559595|15.37766538|67.59624856|0.12390229|-0.018829931|-32.06793721|-26.15336742|66.95020436|54.18663419|2967.522813|-761.3695352999999|-8.551449923|0.5280998339999999|8.429169102000001|0.900629528|26.89020509|0.028735133|37.87296065|1613.412305|825.4425942|19.36460841|0.0|1.0|1.0|0.0|3.71|4.01|21.0|3.44|65.3|1.54|1.0|0.0|0.0|1.0|-3.78|6.0|-7.04|0.0|0.0|3.18|-4.38|4.1200000000000005e-05|2.75|0.0|6.62e-06|-0.05002|5.6004|2.05|-1430.8144619999998|737.09|321.28|312.0|221.39|565.91|0.3685|0.6814100000000001|-1430.733658|-0.15916|3.3831|-1430.795367|7.1612|7.1612
4d_a49|0.0|0|0.0|1|7.535296702|1|1.343847746|2.097463308|-0.06085453|-0.006135653|5.4161004020000005|2|-0.343596561|-0.053327669|10.92777282|0.013451218|1|0.001356445|-0.151004418|0.000850823|2|0.7745859279999999|0.783870915|-0.008564167|0.023137464|0.834151595|1|0.752634646|-0.085966608|0.410804214|0.013625199|-55.40321178|-52.95392476|8.392883773|85.21839288|0.2473653539999999|-0.0281044679999999|-32.61868996|-34.12740785|66.51766234|63.79609555|2658.242991|-900.2167208999999|-10.66380249|0.3452719489999999|7.998287218|0.8868392740000001|26.44129877|0.022019681|-190.6195379|1374.947536|641.1445234|13.56373757|0.0|1.0|1.0|2.0|3.38|2.68|21.0|2.8|98.72|1.25|1.0|0.0|0.0|1.0|-3.13|5.0|-7.7|0.0|1.0|2.27|-3.35|0.0004509999999999|1.45|0.0|1.05e-05|-0.06309|5.7447|2.99|-1293.333712|668.09|325.87|0.2549|215.82|495.7|0.40593|0.6782100000000001|-1293.049085|-0.15888|4.3005|-1293.107454|7.7447|7.7447
16d_a32|0.0|1|0.0|0|7.765993078999999|0|0.609420775|0.0|0.170838661|-0.017249763|5.733341277|0|-0.7589895790000001|-0.134892903|10.31100273|-0.0517549079999999|3|-0.005427254|0.021406827|-0.239509216|0|0.816581223|0.8575664540000001|0.107238939|-0.0847953219999999|0.916850163|1|0.7554930740000001|-0.11491796|0.41654798|0.032003415|-53.23914436|-67.07571683|18.67986534|115.2070109|0.244506926|-0.036437402|-39.15098916|-31.07481011|86.50964771|71.91900971|2588.214866|-871.9843187999999|-12.41372827|0.384250302|6.221435089|0.79521327|34.53986301|0.0332953229999999|-135.1223777|1416.134383|457.7130665|19.43393087|1.0|1.0|1.0|2.0|3.35|3.01|19.0|3.82|149.27|0.65|1.0|0.0|1.0|1.0|-5.65|5.0|-6.62|1.0|1.0|3.12|-4.18|6.659999999999999e-05|2.86|0.0|9.84e-05|-0.05068|3.6271|3.78|-1877.360551|621.59|341.83|0.2915|341.83|489.97|0.70217|0.70217|-1877.185022|-0.15009|3.2048|-1877.241687|8.1135|8.1135
