molecula|NaaNH|n9FaHRing|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|WNSA3|PNSA2|WNSA4|FPSA1|GeomRadius|GRAV|PPSA1|FPSA5|DPSA1|Mor01p|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Volume|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
36_a18|0|0|0.0|2|2|1.25117638|0.0|0.050448408|-0.006407141|-0.000451777|10.94702093|0.003321395|0|-0.079553246|-0.079721028|-0.12139648|-0.493920601|0|0.741135729|-0.010091893|0.0059061|0.780206307|0.721836103|0|0.3847791889999999|0.009440278|-55.38202488|-56.82615305|6.722004572|110.8288932|0.195706133|139.3536816|-0.031922305|-40.46339026|0.812056067|-2.074949798|-39.43509046|-1477.479979|-16.1853561|0.187943933|9.560644525|6799.65027|133.8265619|0.0123136069999999|-444.4026478999999|975.4099618|1.0|3.0|4.19|18.0|-9.16|3.73|2.96|85.29|2.0|146.24|0.0|1.0|-5.68|35.0|466.57|0.0|2.8|0.000975|0.00242|4.18|0.0|0.0|6.87e-10|-0.04991|3.1908|7.75|769.73|1350.57|0.69372|0.69372|-1493.266344|0.4674|-0.13133|-0.18124|0.02564498|2.7547|7.4949|7.4949
28_a47|0|1|0.0|0|0|1.4201653580000002|1.408016295|-0.053792245|-0.009689834|-0.013020816|10.95058275|0.0467853809999999|1|0.06536499|-0.046265509|-0.126992366|-0.435485503|2|0.832144916|-0.175007067|0.074217097|0.896193695|0.614975047|1|0.310094808|0.026080156|-67.33744077|-63.47150284|15.50250691|365.2310214|0.394650655|234.5873429|-0.038135461|-37.72858603|0.65225927|-1.601689367|-40.02656804|-952.0725426|-13.47449501|0.34774073|7.864990866|5633.990508|206.7032519|0.031626405|-181.0112167|428.5826478|1.0|2.0|3.08|21.0|-6.92|2.49|3.84|98.72|1.0|99.2|0.0|1.0|-3.67|28.0|380.35|0.0|2.4|0.0816|0.0824|1.97|0.0|0.0|1.2099999999999998e-07|-0.05471|3675.0|3.51|599.88|995.5|0.69002|0.69002|-1335.571655|0.2996|-0.15049|-0.2052|0.03698465|8.17|7.6|7.6
1k_a5|1|0|0.0|0|0|1.427567903|0.0|-0.216088148|-0.0030192829999999|0.003886035|10.9489659|-0.011848312|1|-0.220946861|0.019611905|0.045204303|-0.254495542|2|0.7824502320000001|-0.011552666|-0.022280685|0.851987765|0.558485747|0|0.425724957|0.010892351|-40.40908188|-38.00629774|5.571869083999999|165.11680719999998|0.216307319|110.6497654|-0.0301207529999999|-19.44172742|0.724954458|-1.114467843|-20.67084672|-570.0944662|-7.881781385|0.275045542|6.710535795|4479.484358|140.69669409999997|0.019219352|-230.14624|357.34245360000006|1.0|1.0|2.71|23.0|-8.3|4.88|4.76|54.46|0.0|90.44|0.0|1.0|-3.97|24.0|316.33|1.0|3.42|0.0336|0.0157|3.16|0.0|0.0|4.99e-09|-0.04516|4.7221|3.1|533.8|890.76|0.53086|0.5282|-1050.418953|0.1239|-0.1798799999999999|-0.22504|0.03133456|2.3036|7.3188|7.3188
4d_a46|0|0|0.173086735|1|1|1.134637067|2.146507937|-0.1397563859999999|-0.001749881|0.0116902869999999|10.96333164|-0.076521434|1|-0.206000242|-0.0814707009999999|-0.1271933999999999|-0.240143042|2|0.764741337|-0.213089038|-0.103199079|0.8075680409999999|0.623144956|0|0.290035518|0.008652238|-30.95621863|-38.85529917|4.750218646|8.241078584|0.063942042|35.10521457|-0.024616555|-21.33218735|0.813427965|-1.132361533|-16.99546444|-621.6847867|-7.419891252999999|0.186572035|5.757075209|4993.774007|102.4310631|0.0086574759999999|-344.15403910000003|509.0572545|1.0|0.0|3.78|17.0|-7.41|4.81|5.11|43.6|2.0|101.75|0.0|1.0|-4.93|25.0|352.86|1.0|4.11|0.00416|0.00275|4.3|0.0|0.0|3.88e-08|-0.0396399999999999|4.4265|4.18|588.18|1009.78|0.69884|0.69884|-1453.635434|0.1313|-0.18639|-0.22603|0.02292966|3.7104|6.2865|6.2865
3c_a12|0|0|0.0|1|1|0.610140703|0.0|0.06235058|-0.009252756|-0.003879878|10.3117069|-0.056537396|1|-0.267255164|-0.116098308|-0.211367878|-0.545592465|1|0.826033688|-0.0461654159999999|-0.10295082|0.888353608|0.859899236|0|0.242114395|0.013219706|-36.28720467|-50.25579322|6.688634392000001|73.9854678|0.156144506|79.00277721|-0.033980537|-25.42738988|0.7055242159999999|-1.291260406|-18.35985151|-653.3253118|-8.698843907999999|0.2944757839999999|6.231995392999999|4629.005722|148.9927848|0.02155815|-207.9738085|380.2468615|0.0|1.0|3.94|17.0|-6.78|4.01|2.25|78.41|0.0|98.16|0.0|1.0|-4.22|23.0|319.38|0.0|2.76|0.0194|0.0318|2.91|0.0|0.0|1.67e-07|-0.07463|3.9848|2.56|544.65|894.36|0.43415|0.68067|-1327.351991|0.1193|-0.14572|-0.22035|0.02665687|2.3061|7699.0|7699.0
8c_a12|0|0|0.0|1|1|1.283851303|0.0|0.1948786139999999|-0.0104125509999999|-0.004211843|10.95472932|-0.07003012|0|-0.1876771789999999|-0.210669119|-0.370782022|-0.606245231|2|0.782864175|-0.10899871|-0.130288596|0.8425863029999999|0.845077891|0|0.239216075|0.019604202|-34.19075142|-52.04233846|10.00357546|83.24714315|0.159602554|81.4415307|-0.038245644|-26.55601426|0.764449832|-1.529825767|-17.44675795|-780.6350769|-9.958505349|0.235550168|5.670223821|4610.945152|120.19586|0.018855428|-269.8853937|390.0159026|0.0|1.0|3.91|18.0|-7.14|2.81|1.59|63.06|0.0|98.07|0.0|1.0|-3.47|24.0|314.34|1.0|2.23|107.0|0.0598|2.5|0.0|0.0|7.24e-08|-0.06706|4.3598|2.76|551.66|909.19|0.53657|0.67318|-1022.613451|0.1355|-0.15571|-0.2227699999999999|0.02263772|2.4806|7.3979|7.3979
16a_a23|0|1|0.0|1|1|1.197962324|3.411338761|-0.0147904689999999|-0.0054940769999999|0.012426121|10.31321796|-0.071458049|2|0.115499047|-0.181609054|-0.335065967|-0.380779155|2|0.8323974470000001|0.154144584|-0.116894582|0.890165467|0.7199622309999999|1|0.181301571|0.021379172|-26.53751114|-47.06687604|13.80568132|9.922436905|0.0651629059999999|42.07919382|-0.025724725|-30.39361398|0.585920722|-1.311960953|-17.13669862|-847.2037686000001|-10.72715788|0.414079278|8.024409307|6552.801739|267.3932664|0.02809646|-110.9672657|668.3493171|1.0|1.0|3.94|20.0|-5.27|2.03|2.52|108.26|1.0|125.79|0.0|2.0|-4.58|31.0|427.5|0.0|1.85|0.0111|0.0208|2.66|0.0|0.0|5.38e-06|-0.0502|1.6239|2.49|670.04|1172.0|0.96307|0.96307|-1685.580443|0.2066|-0.07625|-0.12645|0.03391189|18.4446|7.4037|7.4037
12ab_a30|0|0|0.0|2|2|0.604983638|0.0|-0.026189286|-0.008528077|0.003529389|10.31162784|0.01563558|1|0.03046828|-0.12254489|-0.207153446|-0.384942092|1|0.809127478|0.078325164|0.026596859|0.855880335|0.794193541|0|0.4605456229999999|0.031588146|-58.23149599999999|-71.0035788|22.23130678|119.79740259999998|0.200246511|140.93076580000002|-0.031859359|-49.97135112|0.603952976|-1.815983471|-40.9825333|-1278.064418|-15.78042667|0.3960470239999999|8.44310703|6918.884105|278.7324985|0.030534507|-146.321375|792.3440337000001|1.0|1.0|4.87|17.0|-6.83|3.94|2.63|100.11|2.0|140.26|0.0|1.0|-5.61|33.0|458.54|0.0|2.52|0.00113|0.00456|3.81|0.0|0.0|1.47e-07|-49.0|4.8018|3.34|753.75|1275.19|0.46561|0.68324|-1804.523449|0.1511|-0.14772|-0.19672|0.03368522|7.4968|7.7825|7.7825
1m_a5|1|0|0.0|0|0|1.3047206409999998|0.0|-0.252787668|-0.002410445|0.006422789|10.94856032|-0.011848312|1|-0.118494698|0.042813643|0.07132816|-0.2274929269999999|2|0.7824502320000001|0.077347244|-0.022280685|0.851987765|0.63664685|0|0.429612762|0.009030414|-37.380714700000006|-37.65438054|4.7571353730000006|154.6334216|0.117604448|61.95289543|-0.028977918|-19.83596661|0.73847373|-1.072182971|-19.69180207|-564.8157081|-8.041608085|0.26152627|6.911100301|4584.808374|137.7695311|0.0172594319999999|-251.2513491|383.4128238|1.0|1.0|2.69|23.0|-8.63|5.11|4.85|54.46|1.0|95.5|0.0|1.0|-4.52|24.0|332.79|1.0|3.63|0.00996|0.00607|3.69|0.0|0.0|2.35e-09|-0.0507699999999999|4.6678|3.48|553.42|926.13|0.4527899999999999|0.45426|-1410.783167|0.2373|-0.1778|-0.22857|0.03223201|2.4582|7.3665|7.3665
18_a34|0|0|0.0|1|1|1.4547811819999998|1.801574074|-0.063113846|-0.014733513|-0.001615187|10.9595763|-0.136990511|1|-0.155197864|-0.3102088839999999|-0.478810922|-0.493450778|1|0.805756513|0.0468829359999999|-0.224951558|0.8584852479999999|0.713979177|0|0.295523326|0.040845819|-49.86847383|-71.65163761|22.55015528|66.6880793|0.31018528|171.24705480000003|-0.0422555509999999|-39.55742812|0.695849945|-1.816988713|-27.53138148|-1003.122927|-12.87916264|0.304150055|6.282442545|5296.289007|167.9151283|0.027385869|-216.2496321|428.6241319|0.0|0.0|3.28|17.0|-5.65|3.13|3.15|75.47|1.0|93.91|0.0|2.0|-4.32|26.0|351.36|1.0|2.89|0.0167|0.0275|3.07|0.0|0.0|2.22e-06|-0.03925|4.4335|5.07|592.04|991.93|0.56101|0.60488|-1199.101028|0.0303|-0.17549|-0.21474|0.02902032|6.7806|5.6144|5.6144
