molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|BCUTs-1|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
41_a47|0|1|1|1|6.842683282|1.420292383|-0.004083905|4.727387819|-0.072088843|0.042537538|-0.080388467|0.003530307|0.024881402|10.98214139|0.075316535|1|1|0.0047106|-0.178132441|0.8417952740000001|0.08640454|0.900915114|0.609110565|1|-0.061101947|-0.0899793719999999|0.018348892|-34.50740631|-50.81597048|10.36256127|54.15850042|0.1768315369999999|99.86584673|5.852270304|0.0|0.653147815|-1.259711209|63.84353454|-16.54473457|0.447046066|2374.594252|464.8854878|-711.4235867000001|-9.34366093|0.346852185|12.96444871|5042.636398|-401.77742|25.33076615|-172.98086630000003|1089.222944|13.02756406|1.0|1.0|1.0|1.0|3.18|0.16|21.0|3.34|4.52|68.52|0.0|0.0|99.09|0.0|1.0|4.0|26.0|0.0|1.0|3.06|-3.9|0.000267|0.0929|0.000125|2.49|0.0|1.17e-05|4.0167|2.41|3.7144|-1162.492089|603.1|995.43|333.8|308.67|0.6779|0.68638|-0.2026099999999999|0.02982752|-1162.342476|6.8546|8.0|8.0
1_a1 (SKF-104365)|0|0|0|1|7.535296702|0.626769342|-0.006055958|5.4161004020000005|-0.01959813|0.0409444439999999|-0.091086986|0.000663414|-0.10236005|10.33812228|0.11172918|1|1|0.002250781|-0.221214316|0.7926983559999999|-0.015406451|0.857919181|0.551667506|0|-0.067997692|-0.081192283|0.0133681239999999|-31.45099608|-37.55389489|6.18316314|6.658828587|0.186844249|86.42113499|2.859900586|63.42504103|0.709744919|-0.9743074|46.32985169|-13.65596178|0.416807085|1997.193006|376.1092109|-450.6467387|-6.316296726|0.290255081|9.042613965|4225.4765640000005|-208.4377919|19.24066156|-194.0267797|634.9418316000001|8.775956802|1.0|1.0|1.0|0.0|2.97|0.12|17.0|3.93|4.28|56.01|0.0|0.0|81.72|0.0|1.0|2.0|21.0|0.0|1.0|3.27|-4.02|0.000159|0.0472|9.65e-05|2.96|0.0|0.000295|3.8901|3.45|3.8901|-1279.084677|491.18|809.96|318.72|318.72|0.70081|0.70081|-0.19624|0.02377006|-1279.017667|6.9338|5.7959|5.7959
13_a1|1|0|0|0|7.423568444|1.430073963|-0.012199718|5.351858133|-0.144782061|0.036382114|0.1129747169999999|-0.008672236|-0.0594321759999999|10.94989555|-0.084271845|1|1|-0.005924486|0.1769162319999999|0.76714213|-0.051729721|0.825117597|0.833702788|0|-0.111667908|-0.10668313|0.033737733|-64.94184903|-62.04288975|19.62059449|148.7311076|0.320539533|186.4137189|11.41059871|528.3795274|0.7082629840000001|-1.813613202|77.55889436|-23.43842502|0.477212829|2555.623166|395.1486144|-1054.729126|-13.63090514|0.291737016|14.33466671|5456.353212|-613.3907313999999|33.09282789|-242.2358135|1489.177255|15.51600461|1.0|1.0|1.0|2.0|3.35|0.09|23.0|4.75|3.87|80.26|1.0|0.0|104.88|0.0|1.0|4.0|28.0|0.0|1.0|3.23|-4.34|5.16e-05|0.0192|4.58e-05|2.94|0.0|4.24e-06|4.0783|3.17|3.4483|-1238.395767|613.52|1035.04|359.55|304.01|0.65363|0.69782|-0.18883|0.0284695999999999|-1238.22919|3.9446|6585.0|6585.0
12y_a36|1|0|0|0|7.412764017000001|1.29704385|-0.00707164|5.351858133|-0.065314765|0.041767677|0.036174187|0.002782748|-0.049845887|10.94917392|-0.028440975|1|1|0.003724542|0.06152178|0.820226782|0.046673879|0.873588247|0.856135378|0|-0.076585128|-0.098532865|0.019404665|-51.48548385|-66.24017399|13.04507243|114.430624|0.16295867|109.55137340000002|8.769742642|14.40618351|0.755735734|-1.970657299|78.8341402|-24.53339777|0.487285656|2793.629988|562.7133986|-1324.80348|-16.49293906|0.244264266|14.80236899|6082.16777|-890.6187094000001|32.46293206|-343.8442493|1752.9983309999998|12.59396622|1.0|0.0|0.0|2.0|4.88|0.12|17.0|3.62|2.42|69.2|1.0|0.0|133.84|0.0|1.0|6.0|31.0|0.0|0.0|2.37|-4.55|2.6e-05|0.0106|2.82e-05|3.45|0.0|3.94e-05|3.8794|3.83|3.8794|-1310.350902|702.38|1183.75|319.6|319.6|0.66796|0.66796|-0.20673|0.03583863|-1310.137888|8249.0|7.9208|7.9208
9_a3|0|0|0|0|6.823286122000001|0.605017128|-0.007847313|4.727387819|-0.100592457|0.034166667|-0.126542538|-0.004918099|0.065373003|10.31162238|0.023606557|1|1|-0.003863265|-0.216450234|0.6729843740000001|-0.260349706|0.7327715159999999|0.865283439|0|-0.095161413|-0.083555008|0.007377805|-44.74600478|-39.28853824|3.469130065|223.4501605|0.15350225|72.17854599|1.6312253680000002|72.50764604|0.886859678|-1.336880133|43.50933802|-17.96047462|0.413418346|2017.0704920000005|398.0331029|-628.6166118|-8.445224386|0.1131403219999999|8.532203772|4430.929894|-295.5828535|20.25176593|-363.8118546|708.8118076000001|4.220799781|1.0|1.0|1.0|1.0|3.1|0.0|21.0|4.9|4.62|80.04|1.0|0.0|92.69|0.0|1.0|2.0|22.0|0.0|1.0|3.7|-4.9|2.96e-06|0.000899|1.25e-05|4.14|0.0|1.67e-05|5.8185|3.28|3.7356|-1256.087705|512.44|857.36|331.9|213.09|0.3639699999999999|0.6724600000000001|-0.19833|0.0242342|-1256.002529|2.6661|4.96|4.96
4d_a46|0|0|0|1|7.825245291|1.134637067|-0.001749881|5.587248657999999|-0.017469934|0.047736111|-0.131948546|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|1|0.010756749|-0.206000242|0.764741337|-0.213089038|0.8075680409999999|0.623144956|0|-0.056384895|-0.070772596|0.008652238|-30.95621863|-38.85529917|4.750218646|8.241078584|0.063942042|35.10521457|2.607946825|74.62074724|0.813427965|-1.132361533|43.60839351|-13.51488667|0.441136013|2181.291783|513.9109507000001|-621.6847867|-7.419891252999999|0.186572035|10.30138878|4993.774007|-341.3149976|16.6147308|-344.15403910000003|764.2776167999999|4.753094337|1.0|0.0|1.0|0.0|3.78|0.35|17.0|4.81|5.11|43.6|2.0|1.0|101.75|0.0|1.0|2.0|25.0|0.0|1.0|4.11|-5.11|1.18e-05|0.00416|7.8e-06|4.3|0.0|1.3699999999999998e-05|4.4265|4.18|4.4265|-1453.840712|588.18|1009.78|280.09|280.09|0.69884|0.69884|-0.22603|0.02292966|-1453.688943|3.7104|6.2865|6.2865
5_a27|0|0|0|2|6.823286122000001|1.4026035369999998|-0.0063562359999999|4.727387819|-0.068518519|0.048947368|-0.149034787|0.00991794|-0.125237927|10.93772408|-0.013448351|1|1|0.010329671|-0.250776983|0.760083119|0.180356685|0.8149212259999999|0.614205449|1|-0.055979434|-0.085078576|0.01695771|-29.50048722|-44.83538435|8.936508815|10.48961936|0.146821224|77.37301579999999|4.709432444|56.35994804|0.741481472|-1.276178645|53.51978325|-16.01263727|0.439066197|2273.906133|449.6149323|-672.5307653|-8.438466859|0.258518528|10.98289851|4943.51602|-354.41560810000004|21.59546513|-254.5156507|907.0095354|8.684398894|0.0|0.0|1.0|0.0|3.07|0.16|21.0|2.94|2.8|65.6|0.0|0.0|97.55|0.0|1.0|2.0|25.0|0.0|1.0|2.82|-4.01|0.000248|0.0821|9.78e-05|2.58|0.0|0.0002|4.0989|4.9|4.0989|-1083.143246|566.68|955.22|302.48|302.48|0.64548|0.64548|-0.21506|0.01903872|-1083.019748|3.5632|8.5229|8.5229
12ao_a36|1|0|0|0|7.412764017000001|1.297043885|-0.007081548|5.351858133|-0.065314765|0.042739018|0.0895536619999999|0.002782748|-0.113963585|10.94919858|-0.033032344|1|1|0.003724542|0.1523047569999999|0.82626942|0.040831815|0.8800240009999999|0.856135378|0|-0.077866573|-0.1019516769999999|0.017784426|-51.52001456|-67.45579866|11.76697353|85.17634667|0.167417241|110.7707502|7.785557064|0.0|0.7820981779999999|-2.039033535|78.51108393|-24.98362913|0.462968912|2794.663089|550.8740683|-1349.115973|-16.53028876|0.217901822|16.33039817|5943.227395|-892.6355932|31.9443643|-373.2975961|1724.9956719999998|11.05528527|1.0|0.0|0.0|2.0|4.87|0.12|17.0|3.62|2.42|69.2|1.0|0.0|133.84|0.0|1.0|6.0|31.0|0.0|0.0|2.37|-4.55|2.6e-05|0.0106|2.82e-05|3.45|0.0|3.94e-05|4.6597|3.83|3.4743|-1310.361099|701.9|1190.17|356.86|266.08|0.4962|0.7045|-0.19662|0.03244719|-1310.138396|7.447999999999999|7.5229|7.5229
11a_a50|0|1|1|2|7.927685046000001|1.397733996|-0.002914262|5.82008293|-0.014702942|0.038040936|-0.04339705|0.011959339|-0.108592708|10.94500606|-0.129547471|2|2|0.012037198|-0.0739260509999999|0.792574879|-0.158172459|0.8535780190000001|0.667956827|1|-0.048213112|-0.071180382|0.01848869|-25.48858279|-37.63057389|9.774322692|7.53108119|0.0828728879999999|43.81199235|5.167341939|67.28055926|0.6543614329999999|-1.067705728|48.67321197|-13.43949068|0.463749257|2286.226222|484.8529701000001|-564.4586084|-7.104987834|0.345638567|11.123941699999998|4858.670497|-298.409489|20.53832944|-163.21096210000002|862.6098364|11.04263807|0.0|0.0|1.0|0.0|3.44|0.15|20.0|3.09|3.73|48.53|0.0|0.0|99.65|0.0|2.0|2.0|25.0|0.0|1.0|2.95|-4.16|0.000263|0.0862|6.97e-05|2.9|0.0|0.000441|4.0636|3.05|4.0636|-1045.978598|574.01|963.2|305.11|305.11|0.65485|0.65485|-0.2005299999999999|0.02431947|-1045.84627|7.5619|7.2291|7.2291
GW6604_a52|1|0|0|0|6.605297921|1.427583999|-0.002149879|4.59511985|-0.005328809|0.021346801|-0.0778992459999999|0.007746755|-0.118272803|10.94914378|-0.028376521|1|1|0.0070554269999999|-0.131886693|0.693399445|0.074868979|0.7550228990000001|0.689009112|0|-0.071850787|-0.072069252|0.009021088|-35.51891876|-35.62691523|4.459510077|157.2481263|0.12653545|62.55188751|2.204526664|0.2386028039999999|0.73529506|-1.081038779|44.37166117|-14.44334401|0.4597869779999999|2044.612273|431.7909048|-534.4037285|-7.13996301|0.26470494|11.6571716|4168.525878|-264.17863140000003|19.64292268|-232.6328342|726.7881391|8.744745933999999|1.0|1.0|0.0|1.0|2.68|0.0|23.0|4.49|4.2|54.46|0.0|0.0|90.49|0.0|1.0|3.0|23.0|0.0|1.0|3.08|-4.16|0.000135|0.0402|6.929999999999999e-05|3.06|0.0|2.78e-06|||||||||||||||6.9706|6.9706
13f_a6|1|0|0|0|6.842683282|1.429020649|-0.006930367|4.727387819|-0.008507023|45.0|0.04505613|-0.003356527|-0.071478789|10.95053349|-0.049928822|1|1|-0.001446486|0.079490516|0.77199166|-0.028317736|0.834167942|0.790249345|1|-0.073352505|-0.092939631|0.018554018|-49.2635105|-62.41821579999999|12.46087045|62.42897239999999|0.136777507|91.85971442|8.368715213|0.0|0.720711855|-1.672913351|75.61173794|-22.02995852|0.401838426|2869.925064|579.7398537|-1123.527884|-14.79531062|0.279288145|15.13042752|6128.208571|-754.5608419|30.56694343|-296.4599736|1558.914115|13.19352214|1.0|1.0|1.0|2.0|3.56|0.08|27.0|5.01|4.53|103.17|1.0|0.0|123.82|0.0|0.0|5.0|32.0|0.0|1.0|3.19|-4.78|7.74e-06|0.00323|1.65e-05|3.27|0.0|2.75e-08|4.8413|3.36|3139.0|-1347.301285|711.29|1202.78|394.98|256.1|0.49643|0.70541|-0.2059099999999999|0.03437105|-1347.0794119999998|13.9612|7.3768|7.3768
36_a18|0|0|0|0|7.03438793|1.25117638|-0.006407141|4.844187086|-0.020339784|0.036625514|-0.05224259|-0.000451777|-0.0077246719999999|10.94702093|0.003321395|0|0|0.000825855|-0.079553246|0.741135729|-0.010091893|0.780206307|0.721836103|0|-0.07777765|-0.079805761|0.009440278|-55.38202488|-56.82615305|6.722004572|110.8288932|0.195706133|139.3536816|4.786442152|83.34177364|0.812056067|-2.074949798|65.59412783|-22.73046122|0.4751830729999999|2979.013751|572.70209|-1477.479979|-16.1853561|0.187943933|18.21710397|6799.65027|-1052.048147|27.99124609|-444.4026478999999|1819.430996|8.767974776|1.0|1.0|0.0|3.0|4.19|0.28|18.0|3.73|2.96|85.29|2.0|1.0|146.24|0.0|1.0|7.0|35.0|0.0|1.0|2.8|-5.28|2.09e-06|0.000975|5.19e-06|4.18|0.0|3.210000000000001e-07|3.1908|7.75|3.1908|-1493.686737|769.73|1350.57|388.57|388.57|0.69372|0.69372|-0.18124|0.02564498|-1493.333297|2.7547|7.4949|7.4949
18b_a25|0|0|0|1|6.842683282|1.194228955|-0.003259453|4.727387819|0.0131826839999999|0.038137255|-0.018632104|0.006181503|0.014055398|10.31286058|0.0009956189999999|1|1|0.00598031|-0.032776381|0.7723870909999999|-0.026045966|0.8333962429999999|0.6915652390000001|1|-0.063132226|-0.078644297|0.01278627|-44.30110081|-55.18621997|8.972372556|80.36582704|0.063746107|44.73187305|6.296086869|0.0|0.7847794690000001|-1.6515302369999998|64.81723515|-21.46130777|0.493622561|3051.645565|656.9874135|-1158.910619|-15.05981357|0.215220531|17.09119768|6973.180791|-813.229933|27.34692815|-399.6704921|1476.7341199999998|9.631015182|1.0|1.0|1.0|1.0|3.58|0.07|27.0|5.93|5.59|111.51|2.0|1.0|138.56|0.0|1.0|6.0|34.0|0.0|1.0|4.35|-5.71|2.87e-07|0.000132|1.95e-06|4.48|0.0|6.690000000000001e-08|5.5437|4.32|3.6826|-1767.52411|728.12|1284.89|336.67|223.65|0.36733|0.54166|-0.22145|0.03002332|-1767.286778|2752.0|7.2924|7.2924
LY580276_a4|0|0|0|1|7.535296702|1.344599701|-0.001543874|5.4161004020000005|-0.020236527|0.044357639|0.0295482979999999|0.010217376|-0.172607392|10.94681614|0.011772853|1|1|0.009622161|0.064209689|0.7921620090000001|0.035666446|0.847526918|0.518109998|0|-0.057317455|-0.071023484|0.008729943|-27.6229776|-34.22831819|4.207217677|11.22286434|0.131473004|63.36073061|2.027582675|82.46094409|0.8478469959999999|-1.065352257|38.23432817|-13.51117823|0.437093506|1948.220005|418.5688558|-513.4247728|-6.511436537000001|0.152153004|9.693623538|4098.640927|-247.4345884|15.93586849|-335.2755182|605.5630025|4.0060099860000005|1.0|1.0|0.0|0.0|3.01|0.22|17.0|4.49|4.43|30.71|0.0|0.0|84.74|0.0|1.0|2.0|22.0|0.0|1.0|3.69|-4.21|0.000213|0.0624|6.18e-05|3.35|0.0|8.08e-05|5.2983|3.64|4.4918|-959.4958788|519.23|865.23|276.03|234.01|0.36903|0.68002|-0.2099599999999999|0.023546627|-959.404416|3.2891|6757.0|6757.0
17e_a50|0|1|1|2|7.934155233999999|1.320916122|-0.0020746479999999|5.82008293|0.038322942|0.031870748|-0.011278897|0.012036705|-0.086639125|10.94500663|-0.114420412|2|2|0.012372059|-0.017965698|0.7409645029999999|-0.1710526319999999|0.7791604190000001|0.736221185|1|-0.046347299|-0.073011385|0.012865274|-32.24487658|-50.7956915|8.950665784|10.68364489|0.069891795|48.62532158|6.227183052000001|86.98647608|0.803671114|-1.67926185|57.93079973|-18.5444588|0.489797496|2883.936138|647.0975667|-1168.300905|-12.90180444|0.196328886|16.70124474|6301.28046|-812.8136797000001|23.07468625|-422.5418889|1453.705234|7.135108233|0.0|1.0|1.0|0.0|4.18|0.37|20.0|4.23|4.68|51.77|2.0|0.0|138.0|0.0|1.0|6.0|33.0|0.0|0.0|4.03|-5.18|1.34e-05|0.00589|6.58e-06|4.08|0.0|2.03e-05|4.2373|3.8|4.0298|-1375.295877|757.34|1312.91|307.67|292.6|0.6322800000000001|0.66478|-0.19805|0.02761851|-1374.992422|8.8326|6.8097|6.8097
7f_a10|0|0|0|1|7.535296702|1.240141822|-0.011104817|5.4161004020000005|-0.2347037789999999|0.037386831|-0.104120245|0.00189949|-0.000498274|10.92948443|-0.0971900919999999|1|1|0.0030999659999999|-0.309622111|0.796084921|-0.009545801|0.8499946070000001|0.5209683970000001|1|-0.064238302|-0.095196098|0.00797443|-35.78096407|-53.02456669|4.441786155|15.96885516|0.068226214|38.0022453|2.474090768|0.3440879|0.8217865520000001|-1.713529756|60.16185231|-20.30728086|0.402568457|2803.359424|519.0013298|-954.4422004|-11.31122804|0.178213448|10.23679556|7070.755931000001|-531.6277179|24.71113795|-358.4725202|1161.423484|7.137285626000001|1.0|0.0|1.0|0.0|3.37|0.23|21.0|5.07|6.57|52.83|2.0|0.0|106.77|0.0|1.0|4.0|30.0|1.0|0.0|4.39|-5.6|2.9e-06|0.00119|2.52e-06|4.7|0.0|3.03e-06|5.7757|4.93|3.6256|-1442.216293|597.28|1034.38|341.96|214.67|0.34467|0.6833600000000001|-0.2175699999999999|0.01616879|-1442.058773|3.2524|6.8508|6.8508
3h_a32|1|1|1|0|7.765993078999999|0.609420752|-0.005281944|5.733341277|-0.008243901|0.037731481|0.014517903|0.002101838|-0.003152613|10.31100268|-0.111111111|3|3|0.003284804|0.025035542|0.7926338540000001|-0.169197453|0.834881529|0.8030743229999999|1|-0.07183387|-0.0882883959999999|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|76.38838542|0.12119737|75.87946135|4.372100625|0.0|0.7734940029999999|-1.324325944|62.63332945|-17.27367301|0.4089962629999999|2398.020434|550.2022886|-829.1363044|-10.81473143|0.226505997|13.71739929|5187.525619|-519.1071084|22.33200639|-342.4592076|1071.936307|7.357575822|1.0|1.0|1.0|1.0|3.65|0.35|19.0|8.11|6.24|110.94|2.0|0.0|112.28|0.0|1.0|7.0|26.0|1.0|1.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|6.12|0.0|1.29e-06|3.5552|4.61|3.5552|-1790.6908030000002|676.22|1127.45|348.74|348.74|0.70257|0.70257|-0.20059|0.02690554|-1790.5004850000005|5.8749|8.1549|8.1549
19f_a38|1|0|0|0|7.412764017000001|1.297044434|-0.007831113|5.351858133|-0.084341564|0.041808786|-0.008118156|-0.002526241|0.035480177|10.96083376|-0.054832432|1|1|-0.000673716|-0.017421394|0.819222745|-0.075025988|0.8741648479999999|0.698414933|0|-0.085318318|-0.111307609|0.02107583|-54.50401599|-71.10679028|13.4639011|125.7493111|0.249124013|159.14822980000002|8.601162122|12.14075726|0.734437553|-1.892229356|84.35196967|-24.1763087|0.453960261|2776.145209|479.6831205|-1208.815435|-15.44458393|0.265562447|11.28936331|6115.273372|-772.2291966|32.91812709|-299.5321167|1645.906354|13.24517938|1.0|1.0|1.0|3.0|4.82|0.14|17.0|3.13|2.55|81.23|1.0|0.0|125.69|0.0|1.0|5.0|30.0|0.0|1.0|2.67|-4.17|7.209999999999999e-05|29.0|6.77e-05|2.78|0.0|5.610000000000001e-05|5.3197|3.41|3.4422|-1332.190216|653.22|1105.62|360.19|233.07|0.38086|0.7056100000000001|-0.20104|0.02936908|-1332.004601|7.1655|7.1397|7.1397
14u_a23|0|1|1|2|7.423568444|1.197962732|-0.007017844|5.351858133|-0.025360103|0.043321995|0.050530143|0.010561248|-0.026062012|10.31321759|-0.0569153009999999|2|2|0.010508236|0.091604179|0.787538583|-0.001778422|0.845160857|0.71381683|1|-0.055259924|-0.086465795|0.0254134689999999|-36.90928915|-57.75236052|16.97420126|43.06242147|0.090245088|60.27663131|11.3374334|50.47632596|0.702868983|-1.729315897|73.50348823|-22.64798452|0.47648509|3015.478095|607.6448353|-1155.04721|-15.12707504|0.297131017|14.12094979|6913.009783|-771.4808267999999|32.2221994|-271.0010972|1643.332169|15.75112771|0.0|0.0|1.0|1.0|3.59|0.09|26.0|3.42|4.03|114.25|2.0|1.0|126.78|0.0|1.0|6.0|32.0|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|9.57e-06|3.55|0.0|1.3699999999999998e-05|4.0409|3.23|3.1819|-1744.446261|712.54|1214.4|389.66|306.82|0.4523|0.6703100000000001|-0.21613|0.0237199999999999|-1744.2405670000005|8.1549|8.2449|8.2449
9g_a40|0|0|0|1|7.515889085|0.604992427|-0.0054957819999999|5.4161004020000005|-0.0220464379999999|0.043730159|0.07954859|0.011921308|0.139758613|10.31197177|-0.145879501|2|2|0.0115573539999999|0.133954053|0.764275277|-0.384131901|0.821935848|0.665414608|1|-0.063539055|-0.079033043|0.021367335|-33.47455057|-41.63731423|11.25704374|65.74631496|0.09545843|50.29077056|5.930596229|64.08637519|0.740240206|-1.185495647|51.16627179|-16.43578193|0.476386801|2169.234651|476.5434822|-624.5597134|-8.658932892000001|0.259759794|15.62271835|4435.743087|-329.0394499|22.20330888|-253.1335385|843.7257374|9.528957565|0.0|1.0|0.0|1.0|2.8|0.06|22.0|2.91|2.93|72.28|0.0|0.0|87.53|0.0|1.0|3.0|23.0|0.0|0.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|1.37|0.0|0.000113|3.0778|3.83|3.0778|-1332.487689|559.04|923.42|402.84|402.84|0.70233|0.70233|-0.19005|0.01134289|-1332.369643|5063.0|5.45|5.45
10_a3|0|0|0|0|6.823286122000001|0.605017375|-0.010609861|4.727387819|-0.1152010919999999|0.034166667|0.017396832|-0.008037672|0.018484177|10.31162304|0.043342516|1|1|-0.005959152|0.033279122|0.743072638|-0.140523767|0.8136572320000001|0.834020779|1|-0.1007256719999999|-0.0989320009999999|0.014615264|-46.64544572|-45.8148076|6.768239856|248.0820067|0.252593682|116.9745968|3.134330682|80.37219813|0.7066293240000001|-1.187184014|56.68388955|-16.65993003|0.41220272|2098.79955|346.1193167|-549.7776912|-7.715112198|0.293370676|8.559361451000001|4600.496436|-254.5987025|23.57661855|-191.3775649|778.0284121000001|10.86908195|0.0|1.0|0.0|1.0|3.02|0.0|21.0|3.79|3.41|105.82|0.0|0.0|88.28|0.0|1.0|2.0|22.0|0.0|1.0|2.52|-3.84|5.07e-05|0.0155|0.000145|2.43|0.0|9.35e-05|5375.0|1.64|3.4217|-1288.190838|498.67|830.63|362.35|230.67|0.41894|0.68995|-0.21249|0.04080931|-1288.097561|9.3381|5.1|5.1
4R4l_a46|0|0|0|1|7.825245291|1.134637095|-0.004736212|5.587248657999999|-0.075241716|0.049498645|-0.067419714|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.726535412|-0.001318857|0.762625193|0.7936534740000001|0|-0.090505744|-0.084697739|0.007084496|-49.12015477|-45.96797819|3.844966512|177.33836430000002|0.103346328|56.0891211|2.086777505|0.0|0.8782984840000001|-1.524559305|49.44228224|-16.223992300000003|0.4568839389999999|2165.83681|486.6405745|-827.4236073|-8.805242402000001|0.121701516|10.43942503|4923.057044|-449.0673625|18.4720714|-410.6276419|942.0756413|3.474304058|1.0|1.0|1.0|1.0|3.92|0.36|17.0|4.64|5.02|50.94|1.0|0.0|105.77|0.0|1.0|3.0|26.0|0.0|1.0|4.09|-5.11|5.25e-06|0.00182|7.78e-06|4.49|0.0|3.47e-05|4.6497|4.99|4.1152|-1092.75416|584.44|1038.78|301.29|266.65|0.40548|0.67823|-0.19602|0.02589231|-1092.544322|2.3035|6.8633|6.8633
16g_a32|1|1|1|0|7.765993078999999|0.609420729|-0.013775701|5.733341277|-0.0429252429999999|0.03898374|-0.049658216|-0.002456725|-0.029193403|10.31100263|0.004735761|3|3|-0.00030659|-0.085591073|0.83902731|-0.026098259|0.8821580379999999|0.762429418|1|-0.078387439|-0.105500574|0.023959586|-57.77542509|-77.75914881|17.659402|90.88837862|0.1793577589999999|132.1955522|13.01585399|43.37912747|0.6863323440000001|-1.79350976|94.54074206|-24.94161377|0.3972359179999999|2833.521937|604.8539801|-1321.90553|-18.38320476|0.313667656|15.58880229|6372.261243999999|-974.3098525|36.34043182|-274.67233460000006|1926.042887|16.78159325|1.0|1.0|1.0|2.0|3.87|0.33|19.0|6.81|5.38|149.27|3.0|0.0|121.56|1.0|1.0|10.0|30.0|1.0|1.0|4.37|-5.32|3.08e-08|1.36e-05|4.83e-06|4.65|0.0|3.04e-06|3.6161|5.38|3.6161|-2034.621991|752.29|1245.25|342.86|342.86|0.70222|0.70222|-0.19968|0.02895494|-2034.408165|4.3204|7.9586|7.9586
14e_a25|0|0|0|1|6.842683282|1.4200152069999998|-0.008591251|4.727387819|-0.138693649|0.0389622639999999|0.0065927719999999|-0.00131452|0.002856489|10.93106299|0.011176663|1|1|-0.0005394919999999|0.010976703|0.776960216|-0.144369439|0.8322445820000001|0.6954126970000001|1|-0.1011107469999999|-0.1004553119999999|0.015024526|-73.99302943|-73.51338088|10.99497534|372.1805977|0.275949567|201.94039730000003|8.046143033|97.78313402|0.806446896|-2.2100168680000003|84.60373462|-28.3735856|0.491527882|3126.080106|529.8614286999999|-1617.294379|-20.76384175|0.1935531039999999|16.63781964|6952.485076999999|-1183.53898|35.18345194|-448.516796|2005.4567600000005|11.09035375|1.0|1.0|1.0|2.0|3.62|0.07|27.0|3.65|4.02|115.79|1.0|0.0|134.35|0.0|1.0|7.0|35.0|0.0|0.0|3.02|-4.73|7.29e-06|0.00337|1.86e-05|3.04|0.0|3.38e-07|5.8431|6.51|3.9613|-1521.012915|760.96|1300.08|312.99|212.19|0.31019|0.69958|-0.2116699999999999|0.04875868|-1520.767443|7.2625|7.1249|7.1249
A7701_a51|1|0|0|0|6.605297921|1.390164251|-0.002377784|4.59511985|-0.0162614089999999|0.031405229|0.070581466|0.008062393|0.058290286|10.93031118|-0.0299823629999999|1|1|0.00740235|0.119725261|0.7451039290000001|0.00552665|0.8092075540000001|0.688876851|1|-0.071384149|-0.078131694|0.007404204|-32.97926236|-36.09660744|3.420720075|146.2104641|0.134885227|62.31656919|1.580362387|0.0|0.799046392|-1.09384371|41.87351682|-14.03756956|0.420350923|1959.582581|399.6804233|-505.3525041|-6.485314917999999|0.200953608|8.863149921|4153.310077|-233.4713371|17.56790307|-276.3170672|632.4445105000001|5.776909381|1.0|1.0|0.0|1.0|2.66|0.06|21.0|4.46|4.0|54.46|0.0|0.0|87.52|0.0|1.0|2.0|22.0|0.0|1.0|3.12|-4.17|0.000111|0.0319|6.790000000000001e-05|3.14|0.0|7.5e-06|||||||||||||||7.6021|7.6021
