molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|BCUTs-1|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12u_a36|1|0|0|0|7.412764017000001|1.270259304|-0.006461999|5.351858133|-0.0407717229999999|0.042560386|0.033763276|0.0042553209999999|-0.063855309|10.95266014|-0.010669561|1|1|0.005035022|0.055588998|0.8101678720000001|0.080270195|0.855176759|0.860667615|0|-0.07260571|-0.0969881059999999|0.017639065|-50.53295452|-67.50289394|12.27663887|86.1184622|0.157772171|109.8080843|8.544435884|5.944854912|0.77938748|-2.036750221|78.06218646|-24.02645378|0.486156325|2831.106839|586.1833819|-1417.5607730000002|-16.72220679|0.22061252|14.90088936|6127.402572|-986.6102007|30.82735404|-388.9026034|1818.813889|10.55929252|1.0|0.0|1.0|2.0|5.05|0.24|17.0|3.85|3.01|69.2|2.0|0.0|138.33|0.0|1.0|6.0|32.0|0.0|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|1.39e-05|3.8|0.0|1.7800000000000002e-05|3.8847|4.21|3675.0|-1350.8981130000002|739.12|1254.5|337.37|319.16|0.69258|0.70272|-0.20409|0.03260752|-1350.638138|7.8877|7.7959|7.7959
14c_a22|0|0|0|1|6.842683282|1.42291727|-0.005236206|4.727387819|-0.018518519|0.038137255|-0.026986769|0.003784292|-0.023927419|10.9464374|0.006275578|1|1|0.004362505|-0.047249795|0.773044788|-0.096749121|0.8353837409999999|0.639264982|1|-0.067475189|-0.080077573|0.024569649|-48.57709197|-57.64986681|17.68831053|36.22825261|0.133423541|96.05497587|12.73426132|78.22334636|0.66168729|-1.60155147|75.5139152|-21.75466672|0.462147828|3079.4894480000003|623.8702703|-1152.997336|-15.66173379|0.33831271|16.03849168|6882.45|-830.0718911|32.87756477|-232.8055235|1742.5109329999998|17.86404838|0.0|1.0|1.0|1.0|3.49|0.08|27.0|3.9|4.18|109.38|1.0|0.0|128.77|0.0|1.0|6.0|34.0|0.0|0.0|2.98|-4.62|1.39e-05|0.00618|2.4e-05|2.9|0.0|2.35e-07|5.7361|4.79|3.6741|-1460.602657|715.52|1241.55|337.45|216.15|0.3078|0.69113|-0.22807|0.03150011|-1460.38772|9.04|6.8153|6.8153
12z_a36|1|0|0|0|7.412764017000001|1.297044126|-0.007671785|5.351858133|-0.010732275|0.041767677|0.037307819|-0.000143196|-0.010881947|10.95429182|-0.030529442|1|1|0.001194592|0.066366917|0.826316772|0.103551178|0.886776351|0.8212311840000001|0|-0.081592361|-0.102674964|0.023371488|-54.11489962|-68.09761735|15.50078625|114.3931487|0.165209595|109.572766|10.28066212|15.59091678|0.712682362|-1.848149347|83.07227002|-24.03445318|0.4577848329999999|2841.692299|553.6621150000001|-1225.757112|-15.940487699999998|0.287317638|14.78435842|6146.834385|-812.9648725|33.72393432|-282.1167226|1719.920651|14.97465267|1.0|0.0|0.0|2.0|4.76|0.13|17.0|2.75|1.76|92.99|1.0|0.0|128.47|0.0|1.0|5.0|31.0|0.0|0.0|1.66|-3.95|0.000101|0.0412|0.000113|2.4|0.0|8.97e-05|3.8969|2.98|3.8969|-1325.195958|686.33|1153.7|318.16|318.16|0.69397|0.69397|-0.2139199999999999|0.03845474|-1325.010808|6.5892|8301.0|8301.0
7c_a10|0|0|0|1|7.535296702|1.343178184|-0.00375251|5.4161004020000005|0.012145872|0.039433962|-0.1122332619999999|0.01006918|-0.033792245|10.92926158|-0.066271289|1|1|0.0107756969999999|-0.176560297|0.7928588059999999|-0.087063341|0.84177174|0.6952665379999999|1|-0.05074318|-0.0876410609999999|0.027436939|-29.66615908|-51.2378943|16.04055193|87.99694927|0.093723511|54.79389751|9.377842892|58.07647902|0.52630639|-1.139333798|67.01436709|-13.06063972|0.4675549639999999|2616.8970870000003|529.8395322|-666.0926258|-7.635686595|0.47369361|12.58937144|6034.895823|-389.4200163|24.81565867|-30.75918962|1265.598592|15.7764728|1.0|1.0|1.0|0.0|3.48|0.26|21.0|4.59|4.43|62.06|1.0|0.0|113.07|0.0|1.0|4.0|29.0|0.0|1.0|3.59|-4.69|3.59e-05|0.0139|2.05e-05|3.46|0.0|6.4e-06|5.4267|2.76|3.8357|-1259.011598|635.47|1102.43|323.24|228.47|0.41348|0.68708|-0.20059|0.02659395|-1258.801509|5.0714|5.4191|5.4191
13_a10|0|0|0|1|7.535296702|1.343837907|-0.0057715859999999|5.4161004020000005|-0.055497169|0.038726287|-0.093280469|0.00384732|-0.002128014|10.9296146|-0.001592366|1|1|0.003791547|-0.154121136|0.78472614|0.00746881|0.84680169|0.736686715|1|-0.094726989|-0.082327045|0.0122005|-47.88975806|-41.62089688|6.168030793|174.7319717|0.181972309|91.99711608|3.118282386|0.0|0.7144943490000001|-1.234905671|51.21590298|-15.22715739|0.449563457|2261.82488|413.5584641|-624.3134531000001|-7.698174391|0.285505651|9.209972585|4941.066161|-315.62515|21.31179541|-216.8776303|873.7836118999999|9.595006108|1.0|1.0|0.0|1.0|3.02|0.15|21.0|3.52|3.81|63.83|0.0|0.0|97.14|0.0|1.0|2.0|25.0|0.0|1.0|2.91|-4.1|0.000176|0.0576|7.87e-05|2.76|0.0|8.170000000000001e-05|5.8308|2.48|3.8419|-1065.874094|550.83|926.41|322.72|212.63|0.34881|0.68386|-0.20959|0.0346535|-1065.732389|5.3726|6.7959|6.7959
12z_a30|0|0|0|0|7.412764017000001|0.604983642|-0.008819424|5.351858133|-0.026703371|0.040566449|0.034848862|0.003529389|0.018796341|10.31162784|-0.045463448|1|1|0.005111479|0.05890953|0.809127478|-0.02232319|0.855880335|0.794193541|0|-0.071429418|-0.107776943|0.030875938|-49.68145417|-74.96232552|21.47520633|54.40462246|0.167079923|116.2094523|14.93669572|0.0|0.630839856|-1.939984979|95.20867045|-23.67231332|0.48740649|3112.622632|579.3226647000001|-1349.321859|-16.464854199999998|0.3691601439999999|15.74641625|7074.004131999999|-938.4966892|37.52507564|-182.00664430000003|2138.929312|20.24634493|1.0|0.0|1.0|1.0|4.86|0.21|17.0|3.94|2.63|100.11|2.0|0.0|140.26|0.0|1.0|7.0|33.0|0.0|0.0|2.52|-5.0|2.47e-06|0.00113|9.94e-06|3.81|0.0|6.720000000000001e-05|4.8063|3.34|3.4438|-1804.814868|739.33|1266.9|360.02|257.96|0.5513100000000001|0.6853199999999999|-0.19279|0.02895763|-1804.581882|7.2113|7.3615|7.3615
12u_a30|0|0|0|0|7.412764017000001|0.604983445|-0.006935447|5.351858133|-0.027452346|0.043383838|-0.091507428|0.002431329|0.028815747|10.31162873|-0.0646674999999999|1|1|0.001805829|-0.15896471|0.83236194|-0.055829439|0.889479916|0.711738503|0|-0.0773921259999999|-0.097867106|0.015562896|-51.83732031|-65.55148142|10.42404292|78.15130994|0.15055905|100.8445957|6.982033926000001|0.0|0.810462868|-1.859475018|75.26051582|-25.41792137|0.443167712|3001.03926|568.9563615000001|-1245.478147|-17.02494806|0.189537132|14.01586754|7133.515802|-834.2224549|31.36222814|-415.8966522|1536.749179|9.709034401|1.0|0.0|1.0|1.0|4.63|0.14|17.0|5.11|3.92|81.65|2.0|0.0|137.3|0.0|1.0|5.0|31.0|0.0|1.0|3.59|-6.04|2.64e-07|0.000123|9.14e-07|5.12|0.0|7.39e-06|3.5003|5.08|3.5003|-2494.962309|705.15|1202.06|354.21|354.21|0.6847|0.6847|-0.20146|0.03472994|-2494.7995530000003|7.0553|7.4647|7.4647
17_a15|0|0|0|0|0.0|1.43568899|-0.0071363569999999|0.0|-0.071708785|0.036595745|-0.033968088|0.0016674189999999|-0.032903349|10.9544604|-0.0141953639999999|0|0|0.0032452509999999|-0.052628162|0.721188086|0.001376853|0.76362781|0.740986227|0|-0.052869016|-0.079844675|0.012890299|-40.50376584|-61.17023228|9.875456386|34.35335309|0.119540765|91.58201681|7.56573889|58.47512431|0.653207369|-1.596893495|77.82445248|-20.73567196|0.474165158|2852.085573|674.5333498|-1223.4046460000002|-15.88591693|0.346792631|15.15194163|6352.266784|-937.2690986|31.74439379|-234.74904|1872.919233|16.654220199999997|1.0|1.0|1.0|1.0|3.63|0.15|24.0|4.89|6.0|67.35|2.0|0.0|131.36|0.0|1.0|7.0|33.0|1.0|1.0|4.44|-5.65|1.19e-06|0.00052|2.26e-06|4.78|0.0|8.43e-08|4.1461|6.89|3.8006|-1413.897695|752.08|1298.37|326.22|299.04|0.68787|0.7045100000000001|-0.19509|0.04051306|-1413.624817|7.1743|7.9208|7.9208
12aq_a36|1|0|0|0|7.412764017000001|1.297043497|-0.0116333169999999|5.351858133|-0.135770278|0.041728395|0.076517478|-0.006653538|-0.1031859869999999|10.95447882|-0.028591187|1|1|-0.004569485|0.131910912|0.839953955|-0.0606936879999999|0.89459881|0.849217847|0|-0.1093001919999999|-0.122078233|0.021389734|-73.0277723|-81.56528598|14.29132551|86.6958382|0.318529388|212.8220574|9.548598682|112.415579|0.7619767479999999|-2.319486422|95.39676382|-28.69889692|0.426481765|2932.54604|455.31741460000006|-1549.740434|-19.17486584|0.238023252|14.98931431|6296.75201|-1035.442755|37.66374367|-350.0740123|2033.842158|13.83147784|0.0|0.0|0.0|3.0|4.83|0.13|17.0|1.92|0.98|112.29|1.0|0.0|131.85|0.0|1.0|6.0|32.0|0.0|0.0|1.15|-3.45|0.000304|129.0|0.000359|1.55|0.0|0.000305|3.9049|3.88|3.3759|-1401.669694|703.04|1190.22|367.26|317.51|0.6933199999999999|0.7058300000000001|-0.19967|0.03228003|-1401.452487|8671.0|7.2596|7.2596
12w_a36|1|0|0|0|7.412764017000001|1.24014105|-0.015825416|5.351858133|-0.297354748|0.041555556|0.041058884|-0.011700732|-0.041402825|10.96020797|-0.010726574|1|1|-0.007897954|0.115646674|0.828393514|-0.098657593|0.8792981679999999|0.624142499|0|-0.086826396|-0.111267166|0.021104445|-62.34080876|-79.88912835|15.15285952|112.947763|0.171636756|123.23411609999998|10.87965823|0.780959767|0.70536279|-2.225343322|99.51883498|-29.58856606|0.4672300679999999|3230.870697|594.7596206000001|-1597.782567|-21.24440511|0.29463721|15.701847400000002|7418.252264|-1147.197876|41.94801097|-294.8983941|2265.1925920000003|19.62970663|1.0|0.0|1.0|2.0|4.82|0.17|17.0|3.31|4.04|78.43|2.0|0.0|130.43|0.0|1.0|7.0|34.0|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|8.6e-06|3.86|0.0|3.37e-05|3.8881|4.86|3.8881|-1645.202839|712.88|1198.72|318.88|318.88|0.69466|0.69466|-0.21034|0.0328886|-1645.017691|7.0746|7.6383|7.6383
