molecula|n9FaHRing|SRW09|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|TASA|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
4l_a46|0|7.825245291|1|2.155247543|-0.058870177|-0.004736212|5.587248657999999|-0.075241716|1|0.049498645|-0.067419714|0.0|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|1|-0.1012114369999999|0.0071939419999999|-0.3888343979999999|0.7940662409999999|0.726535412|-0.001318857|0.762625193|0|0.892158627|-0.085194597|-51.45056667|3.721888783|177.7681018|0.107841373|-0.030068681|-27.26452605|2.10550531|-1.533502748|-29.10603933|51.66342604|55.17245545|504.7020036|2087.583804|-9.6227739|0.116549199|9.833034117|0.692930243|4865.794981|65.93290984|-490.7614689|0.006130523|-433.8429998|579.2365607|3.468091068|1.0|1.0|1.0|3.92|17.0|50.94|3.06|1.0|0.0|105.77|0.0|3.0|-5.28|26.0|3.0|1.0|1.0|-5.11|5.25e-06|0.00182|0.0|0.0|3.47e-05|4.99|-1092.745692|229.55|0.3756|2.6588|-0.20351|0.03506136|7.0088|7.0088
4k_a46|0|7.825245291|1|2.145043462|-0.050636784|-0.0049602|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|10.94631314|1|-0.158788415|0.008544799|-0.3860697829999999|0.78837943|0.7477594870000001|-0.003017362|0.787615341|0|0.8789113709999999|-0.086581945|-49.65634024|3.801175594|171.92614719999997|0.121088629|-0.0306644389999999|-25.25406274|2.052909907|-1.471893066|-26.8180173|50.48291318|53.45751583|474.67574630000007|1912.936687|-8.94414722|0.126761926|9.829220349|0.7163519709999999|4685.0322320000005|68.46061366|-429.3190666|0.006892404|-403.1511415|519.5743695|3.722397006000001|1.0|1.0|1.0|3.8|17.0|50.94|2.84|1.0|0.0|100.96|0.0|2.0|-4.82|25.0|3.0|1.0|1.0|-4.83|1.5e-05|5.0|0.0|0.0|8.28e-05|4.52|-1053.433249|228.63|0.39943|4.0015|-0.20254|0.03653474|7.0969|7.0969
5f_a40|0|8.149890544|1|1.656591081|-0.004886759|-0.008387329|6.167516491000001|-0.0468504759999999|0|0.042936508|-0.085493191|0.769837491|-0.293556526|0.000663516|0.166865076|10.31198329|2|-0.155235986|0.100535344|-0.4644854879999999|0.7039183109999999|0.811339477|-0.465573352|875.0|1|0.7414714309999999|-0.10969397|-52.44868801|9.349692674|222.1847349|0.258528569|-0.041135239|-23.41506245|4.319700326|-1.316327637|-24.23209217|57.61052946|61.79838068|342.5710869|599.1117195|-8.780648419|0.185606315|11.20493646|0.938359946|3963.475837|85.75294257|-280.9807494|0.015000038|-290.5093357|269.0442248|6.930245797|1.0|0.0|1.0|3.08|14.0|101.52|1.29|0.0|2.0|78.56|0.0|3.0|-3.97|20.0|3.0|0.0|1.0|-3.31|0.000108|0.0307|0.0|0.0|0.0587|3.5|-1232.983157|325.97|0.56507|5.5961|-0.19284|0.02389588|6.9508|6.9508
3m_a32|1|7.773594467000001|1|0.0|0.013867955|-0.006290106|5.733341277|-0.017268778|0|0.03962963|-0.0370712179999999|2.175099216|-0.3082152019999999|-0.000514191|-0.084132138|10.31100268|3|-0.065422345|-0.04918838|-0.49476131|0.6943636479999999|0.817967125|-0.0067207069999999|0.872498916|1|0.798023273|-0.09390309|-50.60363458|8.029854976000001|92.61088121|0.201976727|-0.027127559|-33.57626169|4.801577352|-1.220740175|-30.25923462|67.1606709|58.63348955|477.1904954|2363.601309|-9.699808932|0.325531778|13.31775015|0.882303773|5724.714257|194.65681730000003|-436.4914018999999|0.018412178|-208.6520032|554.9424306|11.00984957|1.0|0.0|1.0|3.51|19.0|128.01|1.74|2.0|0.0|110.36|0.0|3.0|-5.94|27.0|4.0|0.0|1.0|-4.86|1.14e-06|0.000449|0.0|0.0|1.65e-05|5.1|-1863.502681|346.82|0.7026600000000001|5082.0|-0.2056599999999999|0.0339106999999999|7.6383|7.6383
4d_a49|0|7.535296702|1|2.097463308|-0.06085453|-0.006135653|5.4161004020000005|-0.058204482|2|0.036555556|-0.090862681|1.76904838|-0.343596561|0.000607064|-0.053327669|10.92777282|1|-0.151004418|0.000511959|-0.417231241|0.7745859279999999|0.783870915|-0.008564167|0.834151595|1|0.752634646|-0.085966608|-55.40321178|8.392883773|85.21839288|0.2473653539999999|-0.0281044679999999|-32.61868996|5.16986937|-1.461432343|-34.12740785|66.51766234|63.79609555|463.6097566000001|1640.195062|-10.66380249|0.3452719489999999|15.09148245|0.8868392740000001|5915.214567|212.6814716|-554.5177292999999|0.022019681|-190.6195379|641.1445234|13.56373757|0.0|1.0|1.0|3.38|21.0|98.72|1.25|1.0|0.0|115.63|0.0|6.0|-3.13|30.0|5.0|0.0|1.0|-3.35|0.000743|296.0|0.0|0.0|1.05e-05|2.99|-1293.333712|215.82|0.40593|4.3005|-0.2219699999999999|0.0395418|7.7447|7.7447
9_a4|0|7.535296702|1|2.130445484|-0.211556011|-0.00136737|5.4161004020000005|0.016639331|2|0.040449735|-0.019160308|2.137757657|-0.064266379|0.010709527|-0.091393763|10.92992723|1|-0.030976753|-0.0475186259999999|-0.172904817|0.625717993|0.801082857|-0.151437311|0.861113198|1|0.937102792|-0.069566741|-28.63837014|4.918284148|13.6577411|0.062897208|-0.025885299|-20.60179129|2.676487872|-1.113067849|-15.58475436|43.71760622|33.55665428|509.9632679|2012.840082|-7.665782805|0.207109566|10.21134541|0.777625327|5387.230364999999|112.7072422|-329.6286606|0.010768243|-318.7769026|489.7528555|5.859985199|1.0|0.0|1.0|3.18|21.0|43.6|3.15|2.0|0.0|105.09|0.0|2.0|-4.76|26.0|3.0|1.0|1.0|-5.15|1.73e-05|0.0062299999999999|0.0|0.0|2.49e-06|3.87|-1489.554198|262.21|0.5182100000000001|4.4343|-0.22204|0.02116575|7.3188|7.3188
12a_a40|0|7.515889085|0|1.784989449|0.021610099|-0.00431394|5.4161004020000005|-0.012791297|0|0.036587302|0.17758258|0.8332127109999999|-0.14667395|0.01039129|0.100414476|10.31197265|2|0.298197213|0.018655637|-0.4764003679999999|0.58630452|0.718281767|0.023863832|0.7867243829999999|1|0.940879765|-0.074840643|-32.81611621|6.001293955|107.5277007|0.059120235|-0.033799|-19.46913691|3.060902482|-1.047769006|-16.73754566|43.65970865|38.81741016|479.8867095|600.1247016|-8.792513441|0.14863036|14.43505064|0.908597808|4873.458436|75.8074911|-272.5679167|0.010759845|-358.4254366|323.26151960000004|5.487955617999999|1.0|0.0|0.0|3.2|20.0|58.43|4.34|1.0|0.0|91.76|0.0|2.0|-6.41|22.0|2.0|1.0|1.0|-5.95|3.86e-07|0.000134|0.0|1.0|2.13e-05|5.01|-2097.826771|400.39|0.6998800000000001|2491.0|-0.2091|0.0104658999999999|5.7501|5.7501
3a_a12|0|0.0|1|0.0|0.13714555|-0.007671441|0.0|-0.042445446|2|0.032544803|-0.1231529169999999|0.0|-0.322200517|-0.0025830939999999|-0.062973953|10.95455336|0|-0.205054123|-0.072889493|-0.5274624179999999|0.943290857|0.7038021990000001|-0.021522321|0.759068438|0|0.871985494|-0.090803706|-34.84701355|4.615711776|71.11710277|0.128014506|-0.034924502|-21.73969523|2.258466332|-1.362055589|-17.05063286|52.21461165|39.46272532|426.6622302|1050.730179|-8.361421244|0.2189499039999999|11.01449587|0.859002624|4230.717811|107.1321197|-326.0954285|0.015909241|-275.0354486|381.0058252|7.784386645|1.0|1.0|1.0|3.84|18.0|37.28|3.09|0.0|0.0|97.52|0.0|3.0|-3.6|23.0|3.0|1.0|1.0|-4.06|0.00025|0.0745|0.0|0.0|9.33e-06|3.33|-951.3711872|292.86|-0.34688|1.3824|-0.22157|0.023184956|6.7122|6.7122
18b_a25|0|6.842683282|0|1.824998189|-0.147813831|-0.003259453|4.727387819|0.0131826839999999|2|0.038137255|-0.018632104|2.003993644|-0.189048258|0.006181503|0.014055398|10.31286058|1|-0.032776381|-0.034703635|-0.303383008|0.721100414|0.7723870909999999|-0.026045966|0.8333962429999999|1|0.936253893|-0.078644297|-44.30110081|8.972372556|80.36582704|0.063746107|-0.0305838929999999|-38.7252349|6.296086869|-1.6515302369999998|-31.08693686|64.81723515|53.27347337|656.9874135|2327.4502850000003|-15.05981357|0.215220531|17.09119768|0.974811521|6973.180791|151.02439719999998|-813.229933|0.013724883|-399.6704921|809.2903831|9.631015182|1.0|1.0|1.0|3.58|27.0|111.51|2.2|2.0|1.0|138.56|0.0|6.0|-6.54|34.0|4.0|0.0|1.0|-5.71|2.87e-07|0.000132|0.0|0.0|6.690000000000001e-08|4.32|-1767.52411|223.65|0.36733|2.8141|-0.22145|0.03002332|7.2924|7.2924
9_a15|0|0.0|0|0.0|-0.217598467|-0.009923019|0.0|-0.042227775|1|0.04022792|0.096418279|0.0|-0.506073953|1.7800000000000002e-05|0.05688176|10.95880687|0|0.140072812|-0.203104439|-0.344978312|0.85357243|0.7059441040000001|0.088615068|0.742680335|0|0.846156316|-0.11668349|-41.10356167|18.10574464|105.5304352|0.153843684|-0.028575549|-36.29225274|10.09761131|-1.400201879|-22.92354152|85.14415759|59.20930631|471.903131|1689.926339|-8.88789863|0.48742253|10.00547485|0.8240935659999999|5375.400861|271.83655510000006|-435.5070329|0.03598612|-14.02896218|532.0914339999999|20.06953345|1.0|1.0|1.0|3.16|18.0|61.84|1.96|2.0|0.0|104.74|0.0|7.0|-5.25|27.0|5.0|1.0|1.0|-4.81|5.63e-06|0.00206|0.0|0.0|9.86e-06|3.36|-1223.705126|285.37|0.6512399999999999|1.4625|-0.1824|0.01773342|6.9706|6.9706
