molecula|MATS1c|PNSA2|molecula|BIC2|Log S (Ali)|GeomDiameter|Oscillator Force (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|PNSA5|PPSA5|Log Po/w WLOGP|ATSC1c|WPSA3|Log S (SILICOS-IT)|Area (grid)|Total Energy (water) (Hartree)|AATSC1i|pIC50
12u_a30|-0.467189145|-1245.478147|12u_a30|0.83236194|-6.58|14.01586754|0.1502|-2494.736802|-0.20146|-65.55148142|9.709034401|3.92|-0.367578706|6.982033926000001|-7.8|705.15|-2494.962309|-0.0857954809999999|7.4647
19_a47|-0.439165562|-868.1332196000001|19_a47|0.823945134|-3.67|13.17443625|0.3243|-1335.580357|-0.2117099999999999|-57.87554797|18.25682461|3.84|-0.4380552029999999|8.228498913|-6.92|571.23|-1335.75742|-0.126992366|7.3
13n_a6|-0.57091314|-1426.464192|13n_a6|0.7767360059999999|-4.64|16.76075427|0.1945|-1423.451366|-0.20994|-75.07706271|13.66031867|3.76|-0.631323273|8.36448634|-9.67|727.69|-1423.765005|-0.118693789|7.1249
16h_a32|-0.71364354|-1157.597535|16h_a32|0.832040698|-6.48|12.42028916|0.2914|-1955.772465|-0.2|-77.17316899|12.98212548|4.6|-0.7828009570000001|8.461051377999999|-7.0|679.82|-1955.99895|-0.219947482|8.0655
3h_a32|-0.531669815|-829.1363044|3h_a32|0.7926338540000001|-8.23|13.71739929|0.2926|-1790.440663|-0.20059|-55.27575363|7.357575822|6.24|-0.269379119|4.372100625|-8.47|676.22|-1790.6908030000002|-0.122769653|8.1549
46_a18|-0.448177615|-1412.796104|46_a18|0.729629263|-5.68|16.47206875|0.4249|-1532.493789|-0.18219|-54.33831169|9.36454702|3.3|-0.3872848129999999|4.5299444310000005|-8.82|765.33|-1532.992457|-0.224171123|6.7305
2_a47|-0.444853768|-714.8215685|2_a47|0.671819147|-5.46|9.369924133|0.2143|-1010.364507|-0.20731|-47.65477123|8.158522603|4.75|-0.3581612489999999|2.112397382|-7.82|536.13|-1010.540464|-0.0274111779999999|6.2
34_a20|-0.4478820739999999|-1149.982435|34_a20|0.74801464|-5.14|14.7802149|0.0766|-1352.041015|-0.21284|-57.49912174|10.03525243|4.62|-0.328567476|5.898367836|-9.18|711.19|-1352.31921|0.057022334|7.2147
12w_a36|-0.604676196|-1597.782567|12w_a36|0.828393514|-5.2|15.701847400000002|0.4508|-1644.953222|-0.21034|-79.88912835|19.62970663|4.04|-0.917874106|10.87965823|-7.14|712.88|-1645.202839|-0.3344729369999999|7.6383
16_a47|-0.3379683979999999|-674.7452647999999|16_a47|0.812131575|-4.34|13.01476838|0.0909|-1166.901251|-0.22568|-48.19609034|12.16814835|5.19|-0.23280014|5.0150344780000005|-8.17|534.69|-1167.046301|-0.0574194159999999|9.0
27b_a34|-0.463926296|-1227.6639|27b_a34|0.7722228729999999|-5.23|15.39406063|0.0252|-1349.811401|-0.20649|-72.21552354|15.02503259|4.11|-0.549928192|13.44721755|-8.19|691.97|-1350.055377|-0.322091086|6.1871
12f_a31|-0.551471017|-1319.832035|12f_a31|0.8167107029999999|-5.98|19.05849748|0.2664|-1696.466804|-0.19211|-82.48950216|15.04120547|4.48|-0.698273995|13.44201623|-8.02|755.33|-1696.785527|-0.205011573|6.8861
11_a27|-0.488734846|-852.6444161000001|11_a27|0.814843016|-3.68|9.562117063|0.0793|-1122.190727|-0.16205|-50.15555389|6.714661907000001|1.67|-0.344117757|4.524597532|-6.09|571.4|-1122.456105|-0.067428705|8.301
17b_a50|-0.237489143|-1156.773821|17b_a50|0.7621727979999999|-4.75|16.11918162|0.1758|-1336.833957|-0.19879|-52.58062823|7.077456382|4.92|-0.144000296|6.247196459|-7.54|752.09|-1337.1910779999998|-0.357011777|6.9136
12ay_a36|-0.438622276|-1282.718286|12ay_a36|0.78699829|-4.54|11.82248632|0.1464|-1311.282556|-0.2031599999999999|-64.13591431|10.15751916|2.5|-0.404030255|7.569978132|-7.34|674.33|-1311.576473|-0.169994208|7.7447
9_a4|-0.172904817|-605.7219363|9_a4|0.801082857|-4.76|10.21134541|0.0584|-1489.36688|-0.22204|-37.85762102|5.859985199|5.07|-0.064266379|2.676487872|-8.16|586.24|-1489.554198|-0.076824065|7.3188
13f_a6|-0.466314952|-1123.527884|13f_a6|0.77199166|-5.11|15.13042752|0.0048|-1347.018087|-0.2059099999999999|-62.41821579999999|13.19352214|4.53|-0.381170169|8.368715213|-10.18|711.29|-1347.301285|-0.223618825|7.3768
17_a47|-0.3004189439999999|-911.2591113|17_a47|0.75807704|-5.4|13.10144249|0.4308|-1254.737546|-0.22479|-50.62550618|9.708576558|5.44|-0.2032813319999999|4.806157636|-10.1|656.78|-1254.985125|-0.031505291|8.3
14n_a23|-0.404569286|-1114.099858|14n_a23|0.802854174|-5.63|16.33144958|0.4229|-1744.1828670000002|-0.2077099999999999|-55.70499288|16.3874892|4.03|-0.376950283|12.34358104|-7.51|710.48|-1744.450916|-0.199540201|9.2441
12i_a36|-0.608318386|-1588.867662|12i_a36|0.820041835|-5.2|13.98728916|0.1516|-1644.954647|-0.20475|-75.66036485|14.45246358|4.04|-0.929568494|8.195085212|-7.14|666.79|-1645.2030949999998|-0.3344729369999999|7.9208
17e_a50|-0.229030473|-1168.300905|17e_a50|0.7409645029999999|-4.87|16.70124474|0.1785|-1374.927998|-0.19805|-50.7956915|7.135108233|4.68|-0.141076059|6.227183052000001|-7.33|757.34|-1375.295877|-0.310566368|6.8097
16_a20|-0.458484451|-972.4623811|16_a20|0.7478675859999999|-6.06|15.24926152|0.1958|-1275.636924|-0.20722|-51.18223058|8.84230625|5.46|-0.254072625|5.023018225|-10.52|686.59|-1275.900951|-0.117308016|7.585
6c_a31|-0.582545668|-1359.540251|6c_a31|0.790900932|-6.09|14.63492011|0.5028|-1691.734564|-0.19169|-79.97295595|13.44788285|4.26|-0.790027307|12.71919216|-7.72|667.01|-1691.984862|-0.009333123|6.4685
14a_a10|-0.168193178|-922.2903058|14a_a10|0.7348225290000001|-4.21|18.88856367|0.0005|-1489.42155|0.19621|-51.23835032|15.9041322|3.36|-0.147427016|7.140714112|-8.18|800.01|-1489.655581|-0.344811314|7.1308
17f_a50|-0.204651539|-874.5930167000001|17f_a50|0.7851209440000001|-3.58|13.65716648|0.1708|-1218.966516|-0.20148|-46.03121141|9.947921993|3.83|-0.125733326|6.206439227000001|-6.38|653.63|-1219.2481369999998|-0.407467272|6.4001
3c_a32|-0.5427297289999999|-533.7658031000001|3c_a32|0.839409251|-6.18|9.717148607|0.5017|-1633.297494|-0.1970599999999999|-48.52416391|9.416090047|4.68|-0.270034997|3.995552912|-6.89|544.22|-1633.443791|-0.145525719|8.0458
1e_a5|-0.201027861|-579.5524467|1e_a5|0.771487328|-4.25|12.39753333|0.1355|-990.471803|-0.22291|-36.22202792|8.161620868|4.51|-0.084933308|2.317577542|-8.41|560.58|-990.6320386|0.0578378779999999|6.719
6a_a31|-0.568500407|-1113.557793|6a_a31|0.784022685|-5.22|14.408653400000002|0.6404|-1613.1416|-0.19843|-74.23718620000001|18.29245122|3.69|-0.779425376|11.79563339|-6.96|607.79|-1613.34153|0.001117583|5.9586
9d_a40|-0.4887998529999999|-553.912646|9d_a40|0.7572844040000001|-6.13|15.06105494|0.4025|-1677.429981|-0.20781|-36.92750973|4.49467719|5.09|-0.146575228|2.854868966|-7.0|542.19|-1677.551678|0.019621984|6.9706
14i_a23|-0.569707595|-1386.567643|14i_a23|0.8025091329999999|-5.21|15.53342127|0.3639|-1798.371346|-0.23121|-66.02703063|13.18112713|3.12|-0.558153376|10.01786784|-6.96|715.68|-1798.64228|-0.033435987|8.4622
11b_a50|-0.266743077|-546.5465781|11b_a50|0.800774662|-3.58|9.979494111|0.0711|-1045.798634|-0.19501|-36.43643854|11.28530137|3.73|-0.13377846|5.295379767|-5.87|560.06|-1045.98235|-0.277408878|5.7696
7_a1|-0.441054548|-568.3036318|7_a1|0.801577133|-3.16|9.278054953|0.2961|-1009.350293|-0.19167|-47.35863598|14.36764539|3.29|-0.421687222|8.342261787|-5.64|515.2|-1009.509475|-0.391298966|6.3372
47p_a18|-0.441700685|-1528.087796|47p_a18|0.726294118|-5.67|19.41290064|595.0|-1493.338659|-0.18746|-61.12351185|8.070036862|3.34|-0.3775970529999999|4.377217987|-9.03|795.43|-1493.759811|-0.261349889|7.1938
21b_a23|-0.481470603|-1223.442332|21b_a23|0.7717839409999999|-6.1|16.20152864|0.2333|-1761.230923|-0.23434|-58.25915868|9.421307298|4.2|-0.326506055|7.117014296|-7.84|735.65|-1761.498874|-0.130528352|7.0691
8g_a8|-0.508072694|-1509.912147|8g_a8|0.734188081|-5.3|14.28792131|0.3904|-1450.728709|-0.21391|-79.46906035|10.80625499|3.89|-0.731356723|11.68315869|-7.4|635.27|-1450.9549470000002|0.162134281|5.3768
15c_a10|-0.1742732839999999|-855.5829431|15c_a10|0.7351096359999999|-3.85|15.6886947|0.0|-1450.139335|-0.19463|-50.32840842|16.25826809|2.97|-0.153072705|7.077912953999999|-7.79|762.21|-1450.241475|-0.35845963|7.0
12p_a36|-0.440709431|-1228.123041|12p_a36|0.828371596|-3.89|14.3885803|0.1841|-1331.947748|-0.21131|-68.22905781|12.17776516|2.44|-0.432950771|8.006403882999999|-6.86|660.71|-1332.182868|-0.217394466|8.0458
47c_a18|-0.455055055|-1889.265906|47c_a18|0.758269842|-5.73|18.73268473|0.5869|-1664.201034|-0.17331|-75.57063623|13.19009806|2.87|-0.537230966|10.25333491|-9.18|850.89|-1664.753129|-0.320309303|8.5229
8f_a12|-0.560548116|-955.746511|8f_a12|0.7475224290000001|-5.7|13.00131176|0.2466|-1480.955408|-0.2124|-56.220383|6.836832748|3.41|-0.3981937339999999|4.290980116|-8.42|606.97|-1481.146454|-0.125424286|6.1898
8h_a8|-0.53822084|-1262.594204|8h_a8|0.6971223040000001|-5.21|13.58738632|272.0|-1361.455676|-0.21819|-66.4523265|4.492304417|4.72|-0.485274006|3.871662077|-7.95|608.39|-1361.651799|0.254819201|4.9359
19_a4|-0.245630631|-669.2264932|19_a4|0.774746438|-3.81|11.01887515|0.3806|-1446.760398|-0.22298|-41.82665583|7.912166787999999|4.32|-0.105763614|3.946149569|-6.09|583.39|-1446.939719|-0.042058265|4.71
19i_a38|-0.430016467|-1249.2965869999998|19i_a38|0.836170906|-4.25|12.04523072|0.1886|-1431.181148|-0.2052|-69.40536597|13.5801364|3.11|-0.4561702689999999|8.479305267|-7.12|641.31|-1431.415351|-0.250781298|7.9031
19a_a22|-0.496053375|-1468.267194|19a_a22|0.777600172|-4.38|15.30120355|0.0623|-1536.756515|-0.21478|-69.91748544|19.31738094|3.41|-0.548716971|13.82990734|-8.76|740.07|-1537.071348|-0.0611158559999999|7.3188
9o_a24|-0.38043264|-971.8432428|9o_a24|0.785672769|-4.49|11.83284872|0.0288|-1387.887227|-0.22353|-51.14964436|15.09096602|4.36|-0.387865233|6.1994599720000005|-7.91|611.03|-1388.147972|0.00294424|6.3507
12d_a40|-0.552689736|-679.5935638999999|12d_a40|0.7769829840000001|-6.25|14.88744155|115.0|-2153.071733|-0.19369|-48.54239742|6.596929268999999|5.02|-0.288158151|3.286773518|-6.84|552.57|-2153.197255|0.224167029|7.7212
16f_a32|-0.697693907|-1230.764939|16f_a32|0.852938445|-6.95|14.28728752|0.2931|-1995.054457|-0.2|-76.92280867|15.90558963|4.99|-0.77158995|11.7022626|-7.77|722.06|-1995.307736|-0.211019184|8.041
12ap_a36|-0.436880644|-1253.939017|12ap_a36|0.832758813|-3.99|16.37284224|0.3982|-1324.95298|-0.21788|-69.6632787|13.50019441|1.76|-0.424579308|9.36249036|-6.66|691.41|-1325.199863|-0.175397741|7.4949
34_a47|-0.2829549719999999|-698.8490993|34_a47|0.833786184|-3.57|12.96364153|0.1718|-1162.283641|-0.21536|-49.91779281|12.74960652|4.52|-0.191253079|6.048527453999999|-7.47|585.79|-1162.4815230000002|-0.317014709|8.7
3m_a32|-0.49476131|-729.9606772999999|3m_a32|0.817967125|-5.94|13.31775015|0.2952|-1863.279862|-0.2056599999999999|-56.15082133|11.00984957|5.35|-0.3082152019999999|4.801577352|-7.38|641.52|-1863.502681|-0.086806406|7.6383
12s_a36|-0.434472457|-1227.012177|12s_a36|0.8060798779999999|-4.16|13.98635088|0.0002|-1272.00109|-0.20467|-64.57958827|11.76167282|2.19|-0.4023692|8.106112169|-6.97|683.24|-1272.270833|-0.1763783589999999|8.0458
17a_a22|-0.3626566539999999|-1201.24073|17a_a22|0.7562495659999999|-4.75|16.63169381|0.0085|-1407.8711|-0.21338|-60.0620365|13.19906822|4.93|-0.314134834|6.55749888|-9.13|731.19|-1408.300966|-0.126659773|7.0862
13_a47|-0.316563793|-635.4998528|13_a47|0.794037882|-4.24|13.33103985|0.3382|-1067.665127|-0.22065|-45.39284663|11.99338291|4.63|-0.20197533|4.705524762|-7.9|542.62|-1067.820961|-0.0233277889999999|7.8
12_a1|-0.487073772|-972.562841|12_a1|0.749817035|-4.98|14.34104294|0.2821|-1215.922313|-0.19916|-60.78517756|14.21231622|4.41|-0.516204114|11.37734536|-8.2|607.42|-1216.12881|-0.173618873|5.5302
3_a47|-0.457330633|-745.6887227000001|3_a47|0.720319618|-5.54|10.84023999|0.2182|-1469.969304|-0.2119|-49.71258151|8.511255722000001|5.4|-0.367098851|2.367459086|-8.42|556.65|-1470.137664|-0.024240921|6.5
21c _a23|-0.596546056|-1543.4254039999998|21c _a23|0.782543953|-5.63|16.83467928|0.3329999999999999|-1837.67081|-0.22981|-70.15570019|9.5615256|3.42|-0.576752175|7.09164338|-7.33|747.88|-1837.964768|-0.036896213|7.1752
14u_a23|-0.4086345999999999|-1155.04721|14u_a23|0.787538583|-5.63|14.12094979|0.0008|-1744.1781010000002|-0.21613|-57.75236052|15.75112771|4.03|-0.385981432|11.3374334|-7.51|712.54|-1744.446261|-0.199540201|8.2449
12a_a50|-0.247407423|-468.2627037|12a_a50|0.795582575|-3.16|9.648744341|0.1807|-1006.498352|-0.20172|-33.44733598|13.83188822|3.42|-0.126263256|5.333473207|-5.49|545.54|-1006.659456|-0.291865836|7.1249
3a_a49|-0.421478185|-880.9741697000001|3a_a49|0.8145214209999999|-3.06|12.49907878|0.0793|-1253.756918|-0.2171|-51.82200998|12.38177532|2.81|-0.337858497|5.558553447|-7.19|635.89|-1254.012043|0.003978478|7.1938
12z_a36|-0.433580807|-1225.757112|12z_a36|0.826316772|-3.99|14.78435842|0.4423|-1324.951498|-0.2139199999999999|-68.09761735|14.97465267|1.76|-0.421948174|10.28066212|-6.66|686.33|-1325.195958|-0.175397741|8.301
6e_a31|-0.579941248|-1277.075416|6e_a31|0.78240875|-5.63|14.40145519|0.5103|-1652.445002|-0.18844|-79.81721349|13.86851128|4.0|-0.784597028|12.13134981|-7.33|634.34|-1652.669408|-0.004825446|6.4318
7g_a8|-0.418049442|-1210.7274960000002|7g_a8|0.7363841520000001|-5.78|14.3346384|0.5165|-1374.291597|-0.22129|-67.26263865|11.15541466|4.66|-0.481134236|11.43714084|-7.91|620.67|-1374.493069|0.046246982|4.6772
18a_a25|-0.2936794219999999|-1088.538099|18a_a25|0.7385460309999999|-6.33|14.59524518|0.0027|-1674.982248|-0.21323|-51.83514755|7.615762647|5.72|-0.170732995|4.188358905|-9.78|694.17|-1675.274716|-0.06333068|7.0269
12j_a30|-0.456342646|-1216.65955|12j_a30|0.795446883|-5.66|15.41574553|0.1516|-1614.831741|-0.1987799999999999|-60.832977500000005|8.71869951|2.93|-0.354848778|6.520746879|-7.01|695.8|-1615.096172|-0.09353607|8.058
18d_a30|-0.4624430539999999|-1175.558798|18d_a30|0.815003426|-5.39|12.69833771|0.3788|-1674.785879|-0.19673|-65.3088221|10.49188139|3.18|-0.385441836|7.147133584|-6.9|669.66|-1675.020297|-0.120380857|7.6737
27a_a34|-0.53047808|-1640.9634529999998|27a_a34|0.779284547|-4.96|15.91204178|0.0203|-1861.468024|-0.20615|-86.36649751|14.40875302|3.97|-0.7320090459999999|13.06088842|-7.61|737.7|-1861.741982|-0.264978526|6.6198
17d_a50|-0.2294807539999999|-1064.839192|17d_a50|0.748516466|-4.5|12.62170017|0.1819|-1335.649722|-0.19967|-48.40178147|9.139672835|4.29|-0.140830095|7.31681784|-7.07|727.15|-1335.989008|-0.323333765|7.1308
26_a47|-0.5899218279999999|-945.3464183|26_a47|0.845040087|-4.86|13.22794532|77.0|-1695.9387359999998|-0.22921|-59.08415114|14.3059247|4.68|-0.544056455|7.0517889060000005|-7.22|592.84|-1696.096597|-0.079370393|7.9
10_a27|-0.487435299|-694.1361252|10_a27|0.804375252|-3.57|12.9316403|0.4452|-1082.956472|-0.21785|-46.27574168|8.782938574|2.97|-0.282866526|4.998521009|-6.24|573.31|-1083.137871|-0.341622797|7.1612
12r_a30|-0.44083509|-1279.67656|12r_a30|0.83236194|-5.49|13.94386247|0.1522|-1774.009422|-0.20138|-71.0931422|10.96881384|3.74|-0.400352091|7.995393191000001|-7.16|679.64|-1774.236548|-0.145315868|7.5317
5_a15|-0.340979744|-1177.78105|5_a15|0.704479781|-6.16|15.1701491|0.0199|-1470.487858|-0.18553|-73.61131563|27.05181494|6.01|-0.54157893|18.03465935|-9.65|737.16|-1470.816175|-0.28098676|7.8861
12e_a36|-0.43688276|-1220.428718|12e_a36|0.7975411790000001|-4.16|12.69013737|0.0006|-1271.999945|-0.20151|-64.2330904|11.26845175|2.19|-0.404736007|7.71202397|-6.97|673.57|-1272.2668210000002|-0.1763783589999999|7.8539
5e_a40|-0.391074665|-512.0224486000001|5e_a40|0.8092726020000001|-4.78|12.51197289|0.5262|-1637.115238|-0.2201699999999999|-42.66853738|6.144645946|3.74|-0.162528785|4.489363277|-4.65|493.19|-1637.197299|0.010397494|7.6021
12af_a36|-0.505160213|-1391.529319|12af_a36|0.813346624|-3.54|15.59375751|0.0035|-1440.675702|-0.19246|-73.23838519|18.01667275|1.65|-0.6038322939999999|10.57220682|-6.93|737.4|-1440.982935|-0.213993335|7.8239
12l_a36|-0.428857427|-1263.1838810000002|12l_a36|0.8174432229999999|-4.57|13.88638723|0.4524|-1324.954011|-0.20973|-70.17688229|13.59224175|1.76|-0.4203659179999999|9.330278191|-6.66|686.83|-1325.194654|-0.175397741|7.699
AKLKII_a46|-0.270506095|-550.9360419|AKLKII_a46|0.758995484|-3.24|11.22955511||||-42.37969553|7.390123534|3.39|-0.129865138|2.335284369|-7.21|||-0.066245471|6.7423
17a_a6|-0.5624663560000001|-1363.383649|17a_a6|0.7722228729999999|-5.81|16.13665395|0.0101|-1349.830672|-0.18178|-71.75703418|12.99374518|4.32|-0.686067347|13.40315088|-9.01|696.96|-1350.102634|-0.180339002|7.6198
12b_a50|-0.246831987|-465.6232233|12b_a50|0.804535572|-3.16|10.05480253|0.0777|-1006.501585|-0.19425|-33.25880166|13.86849326|3.42|-0.125985651|5.43117764|-5.49|539.15|-1006.664619|-0.291865836|5.3242
7b_a10|-0.1874708719999999|-599.3081212000001|7b_a10|0.764865564|-5.28|8.771658176|0.0899|-1450.075119|-0.21225|-37.45675757|6.46179973|3.03|-0.07459988|2.6314862480000003|-6.99|562.31|-1450.09312|-0.082499103|4.7033
