molecula|Brenk|MATS8s|Contribution (HOMO-LUMO transition)|nARing|DPSA4|FNSA3|FPSA3|Consensus Log P|AATSC1c|pIC50|RPSA|TPSA_x|Num. of Aromatic heavy atoms|pIC50
12aa_a36|0.0|0.156337925|0.6931|2|38.58180913|-0.1066659309999999|0.023617545|1.15|-0.011588438|8.0458|0.3110547589999999|212.7097172|17.0|8.0458
12ba_a36|0.0|0.041478447|0.70432|2|35.76372225|-0.083210415|0.0246090489999999|1.57|-0.0075620109999999|7.6778|0.150261874|101.229662|17.0|7.6778
16i_a32|0.0|0.134577711|0.70222|0|33.38593207|-0.0857355019999999|0.022335011|3.96|-0.0146198339999999|8.2596|0.198505292|129.7354415|19.0|8.2596
9a_a36|0.0|-0.019008343|0.68682|2|31.95428497|-0.073689118|0.0236784079999999|1.95|-0.007853595|7.8861|0.1734403769999999|106.0201967|17.0|7.8861
14e_a23|1.0|0.133270225|0.63922|0|34.39302091|-0.073376247|0.018022127|4.5|-0.008865361|8.5214|0.074607942|51.92870134|26.0|8.5214
1o_a5|0.0|-0.003561205|0.5492100000000001|0|22.08761368|-0.079346457|0.01325562|2.95|-0.002633927|7.4559|0.11569628|62.16682117|23.0|7.4559
1a_a5|0.0|0.11504495|0.54123|1|19.19815378|-0.071887159|0.008036994|1.75|-0.001785522|6.9706|0.166361767|83.77332129999999|18.0|6.9706
12d_a31|0.0|-0.00658148|0.7006600000000001|1|36.15974873|-0.0938723509999999|0.0296918329999999|3.76|-0.012448252|6.2924|0.294550252|208.9297871|16.0|6.2924
19_a47|0.0|-0.024256505|0.68924|0|32.40636867|-0.105205489|0.026805875|2.34|-0.00973456|7.3|0.360357109|199.6541807|21.0|7.3
18c_a22|1.0|-0.032031791|0.60449|0|29.21094233|-0.057956428|0.019843706|3.72|-0.003749104|7585.0|0.068926461|47.68404831|27.0|7585.0
8_a47|0.0|-0.035681436|0.6877800000000001|1|25.35407034|-0.075955381|0.008687692|5.03|-0.007835945|7.3|0.150243126|87.2263982|22.0|7.3
21b_a23|1.0|0.131951284|0.70139|0|29.53101081|-0.0596425779999999|0.014481931|3.57|-0.005936474|7.0691|0.0692712809999999|48.56114386|26.0|7.0691
12ad_a36|0.0|0.1563642469999999|0.67215|2|39.44011905|-0.082404548|0.030769062|1.76|-0.01083262|7.7696|0.239732231|169.7321223|17.0|7.7696
14t_a23|1.0|0.113493155|0.68886|0|27.11827225|-0.0553915009999999|0.017433037|3.78|-0.005383494|8.3979|0.079043164|51.51331913|26.0|8.3979
12a_a40|0.0|0.023863832|0.6998800000000001|0|20.24838026|-0.064340227|0.011766311|4.78|-0.00431394|5.7501|0.059120235|30.15370934|20.0|5.7501
A7701_a51|0.0|0.00552665||0|17.56790307|-0.071384149|0.007404204|3.12|-0.002377784|7.6021|0.134885227|62.31656919|21.0|7.6021
