molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|TPSA_x|WNSA5|WPSA3|FNSA1|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|TPSA_y|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
7f_a10|0|0|0|0.0|-4.8022906380000006|1|7.535296702|1|1.240141822|1.924772416|-0.011104817|-0.2347037789999999|2|0.037386831|-0.104120245|0.740070757|-0.5663456689999999|0.00189949|-0.000498274|10.92948443|-0.0971900919999999|1|0.0030999659999999|-0.058093287|-0.172751862|2|0.5371733989999999|0.796084921|-0.009545801|0.8499946070000001|0.5209683970000001|1|0.931773786|-0.064238302|-0.095196098|0.7359022890000001|0.00797443|38.0022453|-29.53487321|2.474090768|0.8217865520000001|60.16185231|-20.30728086|40.22275023|2803.359424|519.0013298|-954.4422004|-11.31122804|0.178213448|0.6738319429999999|99.26552746|-531.6277179|0.012813716|-358.4725202|527.8079877|7.137285626000001|1.0|1.0|1.0|52.83|2.64|2.0|0.0|1.0|-5.54|30.0|7.0|-5.47|1.0|0.0|0.0|4.39|-5.6|2.9e-06|2.52e-06|0.00103|4.7|0.0|0.0|7.38e-09|3.03e-06|-0.0613|5.7757|4.93|3.6256|-1442.216293|-1442.200124|597.28|1034.38|214.67|426.07|0.34467|-1442.001311|2.2631|0.01616879|141.0|6.8508|6.8508
27b_a34|0|0|0|0.0|0.0|1|7.412764017000001|1|1.4335271040000002|2.013418486|-0.010183855|-0.016803292|1|0.042739018|-0.106245942|0.0|-0.549928192|-0.001438963|-0.029622037|10.95430634|-0.027175221|1|0.001228116|-0.194619338|-0.322091086|1|0.820914556|0.7722228729999999|0.00102838|0.8299950709999999|0.770240631|0|0.783431788|-0.08757938|-0.109683855|0.3307451819999999|0.031021066|142.58786569999998|-47.54648562|13.44721755|0.712312759|87.24055613|-24.553278|78.08618045|2835.31543|515.8091561000001|-1227.6639|-16.16580511|0.287687241|0.687123753|189.4124225|-808.2902556|0.022820627|-279.5721769|627.4287311|15.02503259|1.0|1.0|1.0|84.99|1.83|2.0|0.0|1.0|-5.23|31.0|5.0|-6.14|0.0|0.0|1.0|3.46|-4.96|5.92e-06|1.1e-05|0.00449|3.75|0.0|0.0|6.53e-09|2.67e-06|-0.04121|4.8168|4.33|4.0935|-1350.055377|-1350.018975|691.97|1174.68|257.4|577.39|0.47412|-1349.811401|11.8546|0.03640275|0.65|6.1871|6.1871
18_a47|1|1|1|2.969619451|0.0|0|6.605297921|0|1.414391819|0.0|-0.004337918|-0.06345679|3|0.037919622|-0.026357805|1.5913490630000002|-0.2342475789999999|0.0008454789999999|0.018164141|10.93838451|-0.016728205|1|0.0015586929999999|-0.02470455|-0.053119347|3|0.646771311|0.792196273|-0.059779939|0.851462739|0.630969651|1|0.777824025|-0.078937385|-0.084415066|0.454324931|0.014741763|139.1786571|-33.12615721|5.784962137000001|0.7327484470000001|63.72933669|-19.03697822|58.68383399|2800.3745940000003|487.2556678|-951.8489108|-11.9254166|0.267251553|0.7608026529999999|167.41554630000002|-596.2708299|0.017318402|-291.6032324|628.5247532999999|10.84884165|1.0|0.0|1.0|79.38|2.63|2.0|0.0|0.0|-5.5|31.0|5.0|-5.87|1.0|0.0|1.0|4.16|-5.37|3.13e-06|4.29e-06|0.00176|4.13|0.0|0.0|4.34e-11|1.78e-08|-0.04964|4.2668|3.32|4.2222|-1354.221126|-1354.180815|652.12|1130.76|290.58|487.81|0.4659|-1353.979194|3.4464|0.04031146|3.0|8.6|8.6
3a_a12|0|0|0|0.0|0.0|0|0.0|1|1.28383802|0.0|-0.007671441|-0.042445446|2|0.032544803|-0.1231529169999999|0.0|-0.322200517|-0.0025830939999999|-0.062973953|10.95455336|-0.0161799839999999|0|-0.001011111|-0.072889493|-0.1213636769999999|1|0.943290857|0.7038021990000001|-0.021522321|0.759068438|0.8847197109999999|0|0.871985494|-0.07121814|-0.090803706|0.241900756|0.009433302|62.63745781|-21.73969523|2.258466332|0.781050096|52.21461165|-17.08854808|39.46272532|2045.857684|426.6622302|-666.453375|-8.361421244|0.2189499039999999|0.859002624|107.1321197|-326.0954285|0.015909241|-275.0354486|381.0058252|7.784386645|1.0|1.0|1.0|37.28|3.09|0.0|0.0|1.0|-3.6|23.0|3.0|-5.88|0.0|1.0|1.0|2.98|-4.06|0.00025|8.8e-05|0.0263|3.15|0.0|0.0|3.13e-08|9.33e-06|-0.06829|4.2336|3.33|3.7304|-951.3711872|-951.3480023|528.84|875.71|292.86|383.08|-0.34688|-951.217594|1.3824|0.023184956|194.0|6.7122|6.7122
8a_a32|1|1|1|3.217128449|0.0|0|7.773594467000001|0|0.609420757|0.0|-0.010151321|-0.056633919|0|0.04008547|-0.0281981579999999|2.059960334|-0.497414715|-0.003484915|-0.020716518|10.31100269|-0.128684642|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.788133615|0.845443342|-0.184419911|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|0.221908108|0.018321589|116.298071|-43.03057598|7.205629442999999|0.7490845290000001|79.73671389|-22.37464674|63.83886888|2574.085885|510.8273411|-1029.23375|-14.03170956|0.250915471|0.923166883|157.3554684|-645.4586397|0.017733503|-312.4144752|557.1050635|11.12113054|1.0|1.0|1.0|140.04|1.37|2.0|1.0|1.0|-6.82|27.0|4.0|-5.76|1.0|0.0|1.0|4.07|-4.99|1.5199999999999998e-07|1.02e-05|0.00406|4.17|0.0|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|4.98|3562.0|-1880.767206|-1880.732222|667.29|1110.23|348.07|566.07|0.70316|-1880.536478|4.8933|0.03498398|45.0|7.3468|7.3468
12w_a36|1|0|0|3.3131307480000003|-4.750262163|0|7.412764017000001|2|1.24014105|0.0|-0.015825416|-0.297354748|2|0.041555556|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|10.96020797|-0.010726574|1|-0.007897954|-0.1187503719999999|-0.3344729369999999|1|0.647732719|0.828393514|-0.098657593|0.8792981679999999|0.624142499|0|0.828363244|-0.086826396|-0.111267166|0.532980165|0.021104445|123.23411609999998|-57.35989379|10.87965823|0.70536279|99.51883498|-29.58856606|77.49366829|3230.870697|594.7596206000001|-1597.782567|-21.24440511|0.29463721|0.8769828040000001|211.5476713|-1147.197876|0.0273396629999999|-294.8983941|672.4630346|19.62970663|1.0|1.0|0.0|78.43|2.04|2.0|0.0|1.0|-5.2|34.0|8.0|-6.4|0.0|0.0|0.0|2.65|-5.07|6.26e-06|8.6e-06|4.0|3.86|0.0|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|3.8881|-1645.202839|-1645.169951|712.88|1198.72|318.88|552.55|0.69466|-1644.953222|5043.0|0.0328886|23.0|7.6383|7.6383
12h_a36|1|0|0|3.468184524|0.0|0|7.412764017000001|2|1.297043828|0.0|-0.0086750619999999|-0.041228471|2|0.039061728|0.059920602|0.0|-0.503153567|0.00127667|-0.003014954|10.96020037|-0.051080247|1|0.003077071|-0.1430106119999999|-0.239932418|1|0.8913597320000001|0.820041835|-0.10861416|0.87043328|0.84179881|0|0.819614525|-0.073572836|-0.10720355|0.3726296|0.027905055|118.1187282|-45.96672487|11.96512593|0.665254541|87.85958486|-23.39942087|66.44902736|2845.467486|536.6941285|-1263.568727|-15.32224162|0.3347454589999999|0.8675704009999999|219.1956304|-827.4010477|0.026971557|-216.42159590000003|679.7230552999999|17.66132225|1.0|0.0|0.0|78.43|1.72|1.0|0.0|1.0|-3.95|31.0|5.0|-6.93|0.0|0.0|0.0|1.81|-4.07|0.000113|8.499999999999999e-05|35.0|2.65|1.0|0.0|2.03e-07|8.340000000000001e-05|-0.05013|5.1998|2.92|3.4554|-1347.481013|-1347.451759|697.29|1177.89|238.44|535.67|0.34589|-1347.199963|6754.0|0.02925492|14.0|7.8539|7.8539
1e_a5|1|0|0|2.953259375|0.0|0|6.605297921|0|1.427503886|0.0|-0.001975193|-0.009075016|2|0.027873016|-0.080321049|0.0|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|0.007357977|0.034752304|0.0578378779999999|2|0.71274658|0.771487328|0.045376705|0.834250802|0.6977404359999999|0|0.8805795|-0.06795194|-0.069725333|0.373935381|0.008587563|62.03846573|-18.81719677|2.317577542|0.7473936259999999|44.38364879|-14.48881117|39.76196174|2107.092939|457.4574833|-579.5524467|-7.526878708|0.2526063739999999|0.932665879|131.2279879|-301.0751483|0.0157106539999999|-257.0399733|409.0289917|8.161620868|1.0|0.0|1.0|54.46|2.13|0.0|0.0|1.0|-4.25|24.0|3.0|-5.77|0.0|1.0|1.0|3.44|-4.45|5.5700000000000005e-05|3.5600000000000005e-05|0.0111|3.43|0.0|0.0|3.87e-09|1.21e-06|-0.04186|4746.0|3.17|4.4292|-990.6320386|-990.6006645|560.58|935.47|261.24|427.87|0.56258|-990.471803|1916.0|0.0313740589999999|191.0|6719.0|6719.0
SB431542_a8|1|0|0|3.172627551|0.0|1|7.535296702|1|1.401734117|1.4114120369999998|-0.014434378|-0.1950388569999999|1|0.041909722|0.096884952|0.0|-0.721718925|-0.0075336219999999|-0.029382296|10.94951956|-0.0453332859999999|1|-0.005306541|0.055198015|0.089375589|1|0.76592324|0.762577159|0.229470029|0.8220300859999999|0.7318727540000001|0|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|0.034730361|260.1744351|-44.6389196|12.44282236|0.7608280590000001|89.64885355|-29.18257067|97.60813043|2801.428659|338.38158389999995|-1342.398251|-17.46740332|0.239171941|0.908729075|143.157805|-803.5005528|0.025179219|-312.2404091|529.053307|15.07117296|0.0|1.0|0.0|112.23|1.9|1.0|0.0|1.0|-4.4|30.0|5.0|-7.04|0.0|0.0|0.0|2.58|-4.14|3.99e-05|7.28e-05|0.0292|2.4|0.0|0.0|1.74e-07|6.96e-05|||||||||||||||79.08|4.1019|4.1019
3o_a32|1|1|1|3.644417045|0.0|0|7.773594467000001|1|0.609420753|0.0|-0.006253394|-0.014299905|1|0.035643275|-0.064818511|2.240993002|-0.306416317|-0.001411347|-0.117781901|10.3110027|-0.090297882|3|0.000243592|-0.061774721|-0.11221537|0|0.90022001|0.8214857240000001|-0.074509084|0.872498916|0.840991936|1|0.8377808240000001|-0.073742105|-0.095457829|0.252703854|0.012519666|93.52833522|-31.73171751|4.161738248|0.7850948190000001|62.56936516|-18.34557429|49.73468603|2488.133192|483.0270239|-825.5508427999999|-10.57723917|0.214905181|0.835165165|123.9047338|-475.9757626|0.0130649069999999|-328.7458915|541.0877621000001|7.532642302|1.0|1.0|1.0|122.97|1.58|1.0|0.0|1.0|-5.72|26.0|4.0|-6.17|0.0|0.0|1.0|3.74|-4.73|1.89e-06|1.87e-05|0.00714|3.46|0.0|0.0|5.35e-08|2.04e-05|-0.05413|3.5333|2.35|3.5333|-1805.504508|-1805.473626|620.56|1049.14|350.9|464.85|0.70216|-1805.277864|3.2729|0.03088166|0.24|6.6198|6.6198
