molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|TPSA_x|WNSA5|WPSA3|FNSA1|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|TPSA_y|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12ah_a36|1|0|0|3.456839001|0.0|0|7.412764017000001|2|1.297013411|0.0|-0.007648622|-0.043678703|2|0.043848238|0.078459408|0.0|-0.41302559|0.0005016269999999|-0.083956827|10.95983779|-0.050147748|1|0.0010871589999999|-0.103922055|-0.177407665|1|0.8941919290000001|0.835013502|0.011674455|0.8910146309999999|0.8065052890000001|0|0.828405275|-0.0758457179999999|-0.1059368909999999|0.271553945|0.0184777819999999|110.8777131|-44.23111357|7.714903458999999|0.768906425|80.02464883|-24.6427998|60.9481085|2786.56479|535.2826672|-1232.13999|-15.92320089|0.231093575|0.8802726820000001|149.3235124|-796.1600443|0.017909528|-347.5133554|629.5017194000001|11.57242717|1.0|0.0|0.0|69.2|2.51|1.0|0.0|1.0|-4.44|30.0|4.0|-6.49|0.0|1.0|1.0|2.34|-4.59|3.64e-05|2.55e-05|0.0106|3.31|0.0|0.0|6.65e-08|2.77e-05|-0.05637|5.2259|3.79|3.7792|-1692.545871|-1692.512868|682.21|1148.39|237.25|532.36|0.40051|-1692.3109559999998|5.4979|0.03300341|11.0|7.9586|7.9586
17g_a50|0|1|1|0.0|0.0|2|7.934155233999999|2|1.320916184|4.377239517|-0.002050512|0.052557574|2|0.029160757|-0.05611228|2.236579664|-0.13328325|0.012079|-0.022378911|10.94501702|-0.1155555559999999|2|0.01245647|-0.200725906|-0.323333765|1|0.754575205|0.738521694|-0.10642733|0.7787714459999999|0.7276268779999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|52.94662161|-31.48270383|6.48022912|0.749948388|56.28102287|-17.29736764|41.85775712|2821.3922|614.4183967|-1037.842058|-11.54365807|0.250051612|0.879688945|166.8756987|-692.6194843|0.013645282|-333.6136209|829.3813984|9.106383854|0.0|1.0|1.0|51.77|2.71|2.0|0.0|1.0|-4.46|32.0|4.0|-6.28|0.0|1.0|0.0|3.63|-4.86|3.4899999999999995e-05|1.39e-05|0.0059|3.68|0.0|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|4.0458|3.22|4.0458|-1335.976491|-1335.946919|725.92|1259.05|306.45|559.45|0.6623600000000001|-1335.631756|7.0584|0.02957267|246.0|6.6091|6.6091
2_a49|0|0|0|0.0|0.0|1|7.535296702|1|1.3438506419999998|2.12788659|-0.004112807|-0.03981057|2|0.038726287|-0.100166139|1.999073077|-0.189189114|0.004524556|-0.041202373|10.92973199|0.005918367|1|0.004580676|0.032521855|0.055400364|2|0.802447754|0.79056501|0.084099874|0.851413454|0.7701578720000001|1|0.81348014|-0.08647612|-0.079176085|0.41397907|0.01105681|95.04720801|-20.55997527|2.871166625|0.7154059890000001|49.26352575|-14.409545199999998|49.7010488|2244.518609|414.5350312|-605.2008985|-7.34284831|0.284594011|0.8320497920000001|145.02405359999997|-308.399629|0.017498253|-219.534132|439.9973344|8.91679918|0.0|0.0|1.0|69.62|1.88|0.0|0.0|1.0|-3.53|25.0|3.0|-6.57|0.0|1.0|1.0|2.76|-3.89|0.000292|0.000129|0.0421|2.43|0.0|0.0|1.51e-07|4.94e-05|-0.04372|5.4614|1.79|3743.0|-1046.018455|-1045.981819|553.52|941.6|227.02|371.96|0.34449|-1045.810794|4.8986|0.0366366999999999|59.0|7.2291|7.2291
1j_a5|1|0|0|2.9426852410000004|0.0|0|6.605297921|0|1.427567371|0.0|-0.003981454|-0.010620031|2|0.025987654|-0.115553003|0.0|-0.175183967|0.00683534|-0.07622096|10.9487794|-0.032333695|1|0.006957291|-0.010807075|-0.0178558139999999|2|0.74740095|0.7862755770000001|-0.084090414|0.848473695|0.717355058|0|0.847163872|-0.073803258|-0.074505844|0.35883584|0.019690225|82.09385267|-21.49609451|5.680936139|0.616489567|54.3827755|-14.64139152|50.21875634|2242.805131|455.0425806|-600.2970524|-7.86442482|0.383510433|0.883543443|205.997426|-322.4414176|0.026739895|-125.1415813|422.96706330000006|14.36297201|1.0|1.0|1.0|63.69|1.57|0.0|0.0|1.0|-4.03|25.0|4.0|-6.15|0.0|1.0|1.0|3.19|-4.2|9.27e-05|6.29e-05|0.0206|3.03|0.0|0.0|7.190000000000001e-09|2.36e-06|-0.03832|4.4331|2.61|4.1205|-1065.849941|-1065.817476|572.47|959.39|279.68|445.81|0.66182|-1065.671975|2.2503|0.03246499|24.0|7.6198|7.6198
11g_a5|1|0|0|2.9590700880000003|0.0|1|7.139660336|0|1.388236041|1.984996534|-0.004593347|0.009272269|2|0.020943152|-0.083337229|0.0|-0.252634073|0.00599982|-0.137618073|10.94877951|-0.007175378|2|0.006964153|-0.137739838|-0.233590516|2|0.777565622|0.814159231|-0.075382189|0.8737292720000001|0.73551511|0|0.837943738|-0.067247149|-0.076326887|0.396049407|0.023215707|106.4990972|-32.96383785|10.02633335|0.543581314|71.21847290000001|-16.72000506|59.4498014|2823.738452|550.6745046|-852.7202582999998|-10.98794595|0.456418686|0.944734523|299.94631180000005|-560.3852433999999|0.03204398|-57.28097817|648.1198739|21.05845771|1.0|1.0|1.0|81.51|1.06|1.0|0.0|1.0|-4.12|31.0|5.0|-6.84|0.0|0.0|0.0|2.96|-4.31|7.65e-05|4.88e-05|0.0199|2.75|0.0|0.0|9.229999999999999e-10|3.770000000000001e-07|-0.04322|4.5106|2.3|4.2083|-1330.189793|-1330.144218|693.48|1180.25|274.87|542.13|0.56924|-1329.927772|3.2282|0.04557484|0.03|7.5229|7.5229
15_a15|0|0|0|0.0|0.0|0|0.0|1|1.435688991|0.0|-0.006378587|-0.031457366|3|0.029814815|-0.063032481|0.0|-0.395472407|0.001806571|0.000676845|10.95980315|0.0020555079999999|0|0.003766915|-0.173728081|-0.272482143|2|0.843715005|0.724319314|0.007958332|0.7725348679999999|0.796300317|0|0.8972060479999999|-0.061884697|-0.091075463|0.7028760070000001|0.020649569|68.29723829999999|-40.20430373|9.115534766|0.702544178|73.99578515|-20.86598874|54.83651811|3027.719888|596.1118717|-1210.227347|-13.86355301|0.297455822|0.772181523|197.6323578|-804.0860746000001|0.0202953539999999|-269.1443943|830.7967967000001|13.48441779|1.0|1.0|0.0|59.51|2.52|2.0|0.0|1.0|-6.32|34.0|4.0|-5.26|1.0|0.0|0.0|4.64|-6.1|4.77e-07|7.970000000000001e-07|0.000357|5.32|0.0|0.0|1.27e-09|5.7e-07|-0.03786|3.6968|5.04|2582.0|-1450.7538470000002|-1450.725355|700.82|1265.55|335.38|573.46|0.67524|-1450.398033|1.6365|0.02849263|109.0|6.9626|6.9626
12ab_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604983638|0.0|-0.008528077|-0.030346359|2|0.043854875|0.018023992|0.0|-0.520212725|0.003529389|0.038312857|10.31162784|0.01563558|1|0.005111479|-0.12254489|-0.207153446|1|0.8397577820000001|0.809127478|0.078325164|0.855880335|0.794193541|0|0.7997534890000001|-0.082740301|-0.1008879709999999|0.4605456229999999|0.031588146|140.93076580000002|-49.97135112|15.64609074|0.603952976|92.49334877|-22.42218278|80.46280277|3118.431712|562.8556061|-1278.064418|-15.78042667|0.3960470239999999|0.856003642|278.7324985|-899.4843201|0.030534507|-146.321375|792.3440337000001|21.48976996|1.0|1.0|1.0|100.11|2.2|2.0|0.0|1.0|-5.61|33.0|6.0|-6.39|0.0|0.0|0.0|2.52|-5.0|2.47e-06|9.94e-06|0.00456|3.81|0.0|0.0|1.47e-07|6.720000000000001e-05|-49.0|4.8018|3.34|3.4919|-1804.824495|-1804.79081|753.75|1275.19|258.2|613.7|0.46561|-1804.523449|6.9089|0.03368522|17.0|7.7825|7.7825
4o_a46|0|0|0|0.0|0.160026534|1|7.825245291|1|1.13463699|2.138144369|-0.000627744|0.042766097|1|0.043320988|-0.2363624889999999|0.0|-0.032014955|0.010870588|-0.203025042|10.93828256|-0.06855792|1|0.010144781|-0.018058762|-0.028735607|1|0.626333846|0.7699448320000001|-0.121466731|0.8176134690000001|0.6418406720000001|0|0.950732618|-0.0648126359999999|-0.06570509|0.372146122|0.00972341|27.01882145|-19.76117845|2.9243708|0.7510206490000001|42.00638612|-12.01115223|40.87645867|2195.436986|521.3931342|-576.535307|-6.587059484|0.248979351|0.855222204|136.5432529|-316.1788552|0.0108913189999999|-275.3254498|544.7877262000001|5.972929428|1.0|1.0|1.0|54.5|2.72|1.0|0.0|1.0|-4.91|26.0|3.0|-5.51|0.0|1.0|1.0|3.92|-4.87|1.23e-05|1.34e-05|0.0045899999999999|4.06|0.0|0.0|5.5e-08|1.88e-05|-0.04627|4.3255|3.76|4.3255|-1070.456878|-1070.428722|581.59|1022.29|286.64|501.08|0.6843|-1070.223416|3.4494|0.02815574|162.0|6.7905|6.7905
21_a12|0|0|0|0.0|0.0|0|6.605297921|1|0.609915045|0.0|-0.008833375|-0.058516436|3|0.037992832|-0.213225401|0.0|-0.362168355|-0.003879878|-0.01367083|10.31140747|-0.0546514309999999|1|-0.001825446|-0.116098308|-0.211367878|2|0.923855679|0.835359152|-0.061915124|0.89838263|0.859899236|0|0.84827776|-0.068775342|-0.100098765|0.192026642|0.012230115|76.35009799|-25.34833425|3.097071518|0.770818357|59.10840872|-18.55810005|40.76379649|2185.835701|426.8727514|-705.2078018999999|-9.338859985|0.229181643|0.8993077970000001|115.3294396|-354.8766794|0.017360942|-272.5639702|380.2468615|8.736422872|1.0|1.0|1.0|78.41|1.82|0.0|0.0|1.0|-3.82|23.0|4.0|-6.45|0.0|0.0|1.0|2.68|-3.76|0.00015|0.000173|0.0551|2.53|0.0|0.0|1.67e-07|5.3200000000000006e-05|-0.0546899999999999|4.6851|2.56|3.9971|-1327.479547|-1327.451966|539.67|893.17|264.64|397.31|0.59386|-1327.347724|2327.0|0.02758166|22.0|7.6576|7.6576
7e_a8|1|0|0|3.038052327|0.0|1|7.05012252|0|1.394799915|1.3496955309999998|-0.006027596|-0.052939815|0|0.043758865|-0.03633378|0.0|-0.289324602|0.0024398329999999|-0.11032771|10.94332434|-0.0446343779999999|1|0.002669179|0.034227147|0.07125309|0|0.5897105770000001|0.732001738|-0.023521398|0.790500031|0.577394732|0|0.8291560379999999|-0.08608941|-0.0886889709999999|0.286669793|0.0215993429999999|102.177831|-31.72369068|7.725998682999999|0.776001552|64.23177694|-22.39586026|64.40615805|2605.914474|495.8990914|-1007.813711|-13.39444718|0.223998448|0.902163597|133.9683023|-602.7501229|0.018708212|-330.14031780000005|519.5762494|11.18895001|1.0|1.0|0.0|70.81|3.54|2.0|0.0|1.0|-5.75|29.0|4.0|-5.43|0.0|0.0|1.0|4.31|-5.41|1.78e-06|3.87e-06|0.00149|4.54|0.0|0.0|5.07e-09|1.95e-06|-0.0697|3.8142|6.32|3.2363|-1300.495519|-1300.467069|622.23|1060.05|325.06|544.55|0.6998300000000001|-1300.271093|9.0006|0.02845071|35.1|4.4547|4.4547
12s_a36|1|0|0|3.486136149|0.0|0|7.412764017000001|2|1.297044029|0.0|-0.007059109|-0.045035034|2|0.042804233|0.037454164|0.0|-0.4023692|0.002951176|0.0056370119999999|10.95352614|-0.050363149|1|0.003962098|-0.104118159|-0.1763783589999999|1|0.90414347|0.8060798779999999|-0.118671653|0.856677627|0.856274847|0|0.8303378090000001|-0.07216709|-0.1000534719999999|0.4314309979999999|0.019457471|109.5085883|-41.6829437|8.106112169|0.754198383|76.34126108|-23.15117315|59.13914165|2710.355028|535.942162|-1227.012177|-14.94294208|0.245801617|0.853487672|158.6528381|-791.9759303|0.018222417|-328.1450742|662.0530478999999|11.76167282|1.0|0.0|0.0|69.2|2.24|1.0|0.0|1.0|-4.16|30.0|4.0|-6.55|0.0|1.0|0.0|2.14|-4.3|6.929999999999999e-05|5.05e-05|0.02|3.04|0.0|0.0|1.08e-07|4.270000000000001e-05|-0.04908|3.8751|3.48|3.7604|-1272.270833|-1272.236664|683.24|1150.67|319.95|523.72|0.6843600000000001|-1272.00109|6.6068|0.03416928|9.0|8.0458|8.0458
IN1233_a59|1|0|0|3.463603867|0.0|0|6.842683282|0|1.400923654|0.0|-0.008841844|-0.12050413|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|-0.054458882|1|-0.004071701|0.001996439|0.003282792|2|0.809917509|0.74801464|-0.107446431|0.80310139|0.778639593|1|0.7613246490000001|-0.092761756|-0.095213818|0.356444983|0.010831674|158.8351574|-42.16752524|4.79704394|0.810795898|72.32484741|-23.91074854|68.94000009|2809.840422|506.6510632|-1267.269673|-15.91227368|0.1892041019999999|0.936631949|125.91272279999998|-843.3505049|0.0134658889999999|-413.6607749|712.1606951|8.961363774|1.0|1.0|1.0|97.55|2.06|2.0|0.0|0.0|-5.59|32.0|4.0|-6.13|0.0|0.0|1.0|3.78|-5.16|2.54e-06|6.91e-06|0.0029|3.85|0.0|0.0|9.93e-11|4.17e-08|-0.05605|5.2194|5.35|3.5355|-1352.351584|-1352.326849|703.47|1204.16|237.54|531.14|0.51285|-1352.073755|5.4004|0.02473496|34.0|7.4685|7.4685
41_a47|0|1|1|0.0|0.0|1|6.842683282|0|1.420292383|1.840145925|-0.004083905|-0.072088843|3|0.042537538|-0.080388467|1.601942802|-0.187859623|0.003530307|0.024881402|10.98214139|0.075316535|1|0.0047106|-0.1430639269999999|-0.317014709|3|0.62974551|0.8417952740000001|0.08640454|0.900915114|0.609110565|1|0.823168463|-0.061101947|-0.0899793719999999|0.245948366|0.018348892|99.86584673|-28.69838714|5.852270304|0.653147815|63.84353454|-16.54473457|44.86996758|2374.594252|464.8854878|-711.4235867000001|-9.34366093|0.346852185|0.8084689140000001|195.8852341|-401.77742|0.023067788|-172.98086630000003|439.9906467|13.02756406|1.0|1.0|1.0|68.52|1.75|0.0|0.0|1.0|-3.57|26.0|5.0|-6.66|0.0|1.0|1.0|3.06|-3.9|0.000267|0.000125|0.0436|2.49|0.0|0.0|3.36e-08|1.17e-05|-0.05053|4.0167|2.41|3.7144|-1162.492089|-1162.462261|603.1|995.43|308.67|471.9|0.6779|-1162.288187|4.9162|0.02982752|0.01|8.0|8.0
3l_a32|1|1|1|3.672194822|0.0|0|7.773594467000001|0|0.609420748|0.0|-0.0054004|0.0043645509999999|0|0.035643275|-0.039331295|2.259257465|-0.270019992|0.0016954029999999|-0.09393062|10.31100268|-0.107818594|3|0.002942329|-0.04980249|-0.087213805|0|0.820540279|0.751853889|-0.136589369|0.7973741999999999|0.776480242|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|0.012244965|66.55229892|-29.90181954|4.141107366|0.788236719|58.10243176|-16.76685351|47.42414825|2453.759435|514.9875423000001|-771.2752615|-9.750593329|0.211763281|0.8302637909999999|123.148785|-448.5272931|0.011493763|-335.2422712|565.7000781|6.6840809960000005|1.0|1.0|1.0|110.94|2.64|2.0|0.0|1.0|-7.6|26.0|3.0|-4.71|1.0|0.0|1.0|5.04|-6.01|2.52e-08|9.7e-07|0.0003689999999999|5.51|0.0|0.0|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|4.21|3.5319|-1789.475625|-1789.4501510000002|629.26|1062.47|351.04|468.81|0.70282|-1789.242839|3.3955|0.02547484|12.0|7.9208|7.9208
19c_a38|1|0|0|3.332128134|0.0|0|7.412764017000001|2|1.297043851|0.0|-0.008177185|-0.04575843|2|0.04508642|0.02192428|0.0|-0.449745181|-0.004442319|-0.0725602509999999|10.95429182|-0.0431896509999999|1|-0.002443797|-0.09493054|-0.20848518|1|0.7163622890000001|0.846765471|0.073931688|0.908721232|0.6885713729999999|0|0.7591916240000001|-0.0918007669999999|-0.108301657|0.396635872|0.024315945|151.612258|-42.92996714|9.638658988|0.7187071909999999|82.74311399|-24.06579196|73.10674676|2967.98627|477.9848537|-1227.35539|-15.15175311|0.281292809|0.914989047|177.10114030000005|-772.7394084|0.023120664|-275.39483110000003|640.025745|14.55670345|1.0|1.0|1.0|105.02|1.76|1.0|0.0|1.0|-4.35|32.0|5.0|-7.13|0.0|0.0|0.0|2.57|-4.12|4.46e-05|7.55e-05|0.0322|2.5|0.0|0.0|1.2099999999999998e-07|5.14e-05|-0.05691|5.8832|3.23|3.8322|-1424.42734|-1424.3899310000002|652.09|1138.6|210.74|517.28|0.2597|-1424.1880119999998|2495.0|0.03740877|9.0|8.0348|8.0348
12ad_a36|1|0|0|3.428443248|0.0|0|7.412764017000001|2|1.297042846|0.0|-0.01083262|-0.073048351|2|0.040787037|0.046496301|0.0|-0.649957196|-0.001148437|-0.0072527669999999|10.95445455|0.010723827|1|0.000906224|-0.136151085|-0.227404687|1|0.817851296|0.832674224|0.1563642469999999|0.8846605|0.7767870459999999|0|0.760267769|-0.082404548|-0.107772644|0.423689705|0.030769062|169.7321223|-54.02363038|15.4237324|0.656407461|96.81391944|-25.88878839|80.12771975|3041.082692|538.2749789|-1449.77215|-18.32944602|0.343592539|0.912420081|243.2659577|-1026.448977|0.028968808|-221.4751857|735.3783268|20.51012207|1.0|0.0|0.0|95.5|1.89|1.0|0.0|1.0|-4.18|33.0|6.0|-7.18|0.0|0.0|0.0|1.76|-4.08|6.579999999999999e-05|8.36e-05|0.0367|2.53|0.0|0.0|2.42e-07|0.000106|-0.05406|5733.0|4.5|3.8512|-1460.8311199999998|-1460.794632|737.53|1236.64|216.26|588.2|0.27316|-1460.5468529999998|5.3349|0.03648828|17.0|7.7696|7.7696
19_a3|1|0|0|2.917217813|0.0|0|6.605297921|0|1.4316666480000002|0.0|-0.003417504|-0.030657|3|0.0386379929999999|-0.008897473|1.744747103|-0.129865138|0.006821053|0.156485495|10.96959256|0.036226415|1|0.006731579|-0.037291767|-0.066245471|3|0.718266758|0.758995484|-0.0150769919999999|0.8264237520000001|0.687139108|1|0.853017902|-0.067674689|-0.087730634|0.225451546|0.0116401719999999|68.43484547|-19.01853079|2.523394126|0.75798185|48.55416845|-15.17188084|36.92898885|2000.66399|397.1650228|-531.0158295|-7.064025721|0.24201815|0.911365749|112.6836188|-247.2409002|0.016552404|-240.2326308|314.0966684|7.706796952|1.0|0.0|1.0|67.35|1.18|0.0|0.0|1.0|-3.24|22.0|4.0|-6.5|0.0|1.0|1.0|2.45|-3.58|0.000578|0.000266|0.0764|2.19|0.0|0.0|6.18e-08|1.7800000000000002e-05|-0.05757|3945.0|2.43|3945.0|-929.2818523|-929.2608626|499.93|832.23|314.28|362.92|0.67351|-929.14689|2191.0|0.020989746|23.0|7.6383|7.6383
25b_a34|0|0|0|0.0|0.0|1|7.412764017000001|1|1.290860233|1.94553288|-0.015658012|-0.0929479709999999|1|0.04037037|-0.150946163|0.0|-0.861190687|-0.00378755|-0.112970844|10.95957635|-0.061390533|1|-0.000223677|-0.278635968|-0.435821207|1|0.832166825|0.7969500890000001|0.08214612|0.83883012|0.787858064|0|0.656573108|-0.1030760719999999|-0.137924163|0.5020264870000001|0.030138301|214.470853|-53.79083879|11.75402804|0.76274549|98.0416108|-26.50275222|83.19266998|2611.55928|410.0313565|-1378.143115|-16.55102732|0.23725451|0.723855085|148.1659658|-860.6534206|0.019067452|-328.1702779|595.8522372|11.90766609|0.0|1.0|1.0|90.3|1.56|1.0|0.0|1.0|-3.82|29.0|5.0|-7.07|0.0|0.0|0.0|2.58|-3.69|0.00015|0.000202|0.0796|2.29|0.0|0.0|3.8100000000000004e-07|0.00015|-0.03539|4.2253|5.06|4.2253|-1313.388114|-1313.361559|668.48|1136.16|293.43|562.84|0.6925600000000001|-1313.132261|7.0586|0.02655501|2.08|5.6819|5.6819
12o_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604984133|0.0|-0.0068750669999999|-0.028326022|2|0.040899471|-0.089996613|0.0|-0.364378536|0.00372838|0.019094532|10.31162888|-0.087019298|1|0.003603419|-0.051371057|-0.090173435|1|0.8264832879999999|0.815003426|-0.054392357|0.870930234|0.7463962120000001|0|0.844344883|-0.076908942|-0.0975052409999999|0.402022325|0.015460222|100.1600333|-40.37291185|6.401442327000001|0.8131344979999999|71.87393121|-24.32856749|59.43716284|2860.371518|543.3140456|-1192.099807|-15.65480256|0.186865502|0.885533983|120.2431068|-767.0853252|0.0141914589999999|-402.9878652|652.8825454|9.131836103|1.0|1.0|0.0|81.65|3.31|2.0|0.0|1.0|-5.93|30.0|4.0|-5.75|0.0|0.0|1.0|3.11|-5.44|1.19e-06|3.61e-06|0.00156|4.49|0.0|0.0|6.03e-08|2.61e-05|-0.05085|5.1935|4.45|3.4817|-2035.37262|-2035.338699|687.92|1162.63|238.73|528.25|0.3493699999999999|-2035.139147|5559.0|0.03392126|16.0|7.8097|7.8097
9g_a40|0|0|0|0.0|0.0|1|7.515889085|0|0.604992427|1.849105962|-0.0054957819999999|-0.0220464379999999|0|0.043730159|0.07954859|0.895670535|-0.225327061|0.011921308|0.139758613|10.31197177|-0.145879501|2|0.0115573539999999|-0.037217966|-0.062672355|0|0.694156166|0.764275277|-0.384131901|0.821935848|0.665414608|1|0.90454157|-0.063539055|-0.079033043|0.002717414|0.021367335|50.29077056|-21.93596333|5.930596229|0.740240206|51.16627179|-16.43578193|44.73159432|2169.234651|476.5434822|-624.5597134|-8.658932892000001|0.259759794|0.909806709|136.8503571|-329.0394499|0.018087202|-253.1335385|384.6422631|9.528957565|0.0|0.0|1.0|72.28|0.64|0.0|0.0|1.0|-2.49|23.0|4.0|-7.17|0.0|1.0|0.0|1.93|-3.09|0.00323|0.0008179999999999|247.0|1.37|0.0|0.0|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.83|3.0778|-1332.487689|-1332.476347|559.04|923.42|402.84|469.6|0.70233|-1332.31775|3.4787|0.01134289|3548.0|5.45|5.45
19_a15|0|0|0|0.0|0.0|0|0.0|0|0.300209223|0.0|-0.009832375|-0.558905888|1|0.040555556|0.037722611|0.0|-0.4621216379999999|-0.012350591|-0.04003124|10.31928434|-0.032407407|0|-0.00534669|-0.0283109839999999|-0.045543362|1|0.7981860159999999|0.722297906|0.042424078|0.770451673|0.7358168620000001|0|0.691069123|-0.0946599869999999|-0.112106433|0.355677322|0.00527267|178.5363184|-37.44217335|1.761006946|0.922135562|68.10965742|-24.47553536|57.75275299|2625.952212|399.3803987|-1101.399091|-14.14482104|0.077864438|0.681885245|44.99916039|-636.516947|0.005747326|-487.9183964|490.1808545|3.321475588|1.0|1.0|1.0|102.69|1.64|1.0|0.0|1.0|-5.12|26.0|5.0|-6.22|0.0|0.0|1.0|2.88|-4.39|7.56e-06|4.1200000000000005e-05|0.0152|3.29|0.0|0.0|7.28e-08|2.69e-05|-0.0372399999999999|4.1742|7.53|4.1742|-1523.404372|-1523.361214|601.23|1030.77|297.03|519.04|0.68945|-1523.196562|6.7515|0.04315771|72.0|7.1427|7.1427
8b_a32|1|1|1|3.419952523|0.0|0|7.765993078999999|0|0.609420757|0.0|-0.009362305|-0.057200812|0|0.03995614|-0.008128765|2.123714284|-0.458752924|-0.003484915|-0.024375676|10.31100269|-0.0684566009999999|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.788133615|0.845443342|0.060636167|0.8966299409999999|0.7507116140000001|1|0.788218098|-0.0850068559999999|-0.108971309|0.253018806|0.016711528|132.9495116|-42.94454179|6.585851946|0.669149204|81.73293254|-19.33283713|63.85535908|2573.703546|494.8166492|-889.3105078|-12.13650094|0.330850796|0.845546757|207.6969342|-558.2790432999999|0.021225152|-212.3722924|557.1050635|13.32443194|1.0|1.0|1.0|140.04|1.1|1.0|1.0|1.0|-5.83|27.0|4.0|-6.44|1.0|0.0|1.0|3.61|-4.39|1.47e-06|4.06e-05|0.0161|3.22|0.0|0.0|2.23e-08|8.86e-06|-0.05404|3.5442|4.22|3.5442|-1880.77142|-1880.735397|671.54|1114.24|349.82|558.16|0.70285|-1880.539698|846.0|0.03602276|12.0|7.9208|7.9208
12ab_a36|1|0|0|3.458948649|0.0|0|7.412764017000001|2|1.297042596|0.0|-0.007034881|0.000258844|2|0.039951691|0.035377607|0.0|-0.408023082|0.000939229|-0.032623802|10.9540584|-0.029080933|1|0.002112069|-0.096853381|-0.169341326|1|0.86559137|0.831136366|-0.0852411419999999|0.888163057|0.8196353679999999|0|0.8410557559999999|-0.079202413|-0.095025338|0.452078227|0.024102201|109.6369437|-45.21303385|11.46782191|0.679025324|82.3666474|-23.06276515|71.2577056|2902.39241|580.1454645|-1245.389318|-15.90828969|0.320974676|0.941700118|221.4026852|-859.0476432|0.024384271|-246.9770378|708.5476357999999|16.81984117|1.0|0.0|0.0|92.99|1.59|1.0|0.0|1.0|-3.92|32.0|5.0|-7.21|0.0|0.0|0.0|1.8|-3.91|0.0001199999999999|0.000122|0.0515|2.33|0.0|0.0|8.95e-08|3.76e-05|-0.0523799999999999|3.8845|3.23|3.8845|-1364.509957|-1364.468283|712.73|1201.64|319.17|564.58|0.69294|-1364.236757|3.6976|0.04167456|11.0|7.9586|7.9586
12j_a36|1|0|0|3.502198129|0.0|0|7.412764017000001|2|0.6293514410000001|0.0|-0.007086381|-0.0446165029999999|2|0.039061728|0.091496219|0.0|-0.41101009|0.00285431|0.039869055|10.33556498|-0.051080247|1|0.003710345|-0.07550872|-0.133106642|1|0.906423012|0.820041835|-0.1241793309999999|0.87043328|0.855081905|0|0.852586292|-0.069970795|-0.105480639|0.362692602|0.018160631|97.35760604|-46.00836307|7.921272637|0.7758129420000001|80.59149538|-24.51120192|58.20533756|2881.20453|563.0803357000001|-1323.6049039999998|-16.18812775|0.224187058|0.8425708820000001|148.06163930000002|-874.1588982999999|0.016546717|-364.314663|725.9470896|10.92807939|1.0|1.0|1.0|94.5|2.51|1.0|0.0|1.0|-4.85|31.0|4.0|-6.64|0.0|0.0|0.0|2.33|-4.51|1.4300000000000002e-05|3.09e-05|0.0132|3.19|0.0|0.0|8.95e-08|3.83e-05|-0.05098|5.2072|3.37|3.7807|-1670.448063|-1670.420129|694.28|1198.96|238.1|536.01|0.37116|-1670.184251|6.4451|0.02793415|0.01|8.0|8.0
