molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
12q_a30|7.412764017000001|2|-0.19897|0.144208934|-1987.847256|5.351858133|-0.27228842|1|0|6.868090132000001|0.473741611|576.3319634|122.2240555|-437.0000797|0.0|4.43|1.0|0.0|9.63e-05|0.000579|5.0573|5.52|-1988.033527|-1987.999444|7.4449
19_a20|6.842683282|0|-0.2067|0.071176085|-1368.190746|4.727387819|-0.130949446|3|1|5.890223441|0.483310517|495.7134289|133.9919257|-389.0666676|2.49|4.97|1.0|0.0|0.00541|0.0112|3.3616|5.01|-1368.413151|-1368.378274|5585.0
7_a15|0.0|0|-0.18454|-0.2269896539999999|-1184.224637|0.0|-0.038088878|1|0|11.27499976|0.396557391|466.9990754|306.0056033|56.98518567|3.14|3.38|1.0|0.0|0.00516|0.0113|4.4386|2.78|-1184.385377|-1184.367098|6644.0
9h_a24|7.153833802|0|-0.22593|-0.203768024|-945.200628|5.209486153|2.01e-05|2|0|4.123788393|0.477589721|417.7355164|202.1279819|-68.41568372|1.96|2.42|1.0|0.0|423.0|166.0|5.1739|1.16|-945.2642633|-945.2337612|7.1135
IN1166_a11|6.842683282|0|-0.21098|-0.089778965|-1347.073528|4.727387819|-0.008507023|2|1|9.546719887|0.463497159|596.0640225999999|211.0745642|-268.3203251|2.79|5.01|0.0|0.0|0.00323|0.00688|4.9857|3.36|-1347.298558|-1347.256659|7.9318
4d_a49|7.535296702|1|-0.2219699999999999|-0.06085453|-1293.107454|5.4161004020000005|-0.058204482|2|1|5.16986937|0.470013152|463.6097566000001|212.6814716|-190.6195379|2.68|3.16|1.0|0.0|296.0|0.18|5.7447|2.99|-1293.333712|-1293.29417|7.7447
9a_a40|7.515889085|0|-0.20303|-0.028285975|-1217.873686|5.4161004020000005|-0.020455825|0|1|2.579562688|0.493941591|453.3484005|63.59419322|-356.33157|3.28|4.58|1.0|0.0|0.000944|0.00243|4.7066|4.07|-1217.955997|-1217.9449|6.6696
19_a3|6.605297921|0|-0.2206|-0.206312209|-929.193831|4.59511985|-0.030657|3|1|2.523394126|0.476813896|397.1650228|112.6836188|-240.2326308|1.6|3.9|1.0|0.0|166.0|0.0764|3945.0|2.43|-929.2818523|-929.2608626|7.6383
12b_a50|7.927685046000001|1|-0.19425|-0.19841119|-1006.550688|5.82008293|-0.0016330379999999|1|1|5.43117764|0.430791247|465.4891075000001|214.5713436|-73.59089223|2.45|2.59|2.0|0.0|215.0|45.0|4.7089|2.47|-1006.664619|-1006.641541|5.3242
7g_a8|7.535296702|1|-0.22129|-0.092384028|-1374.3479960000002|5.4161004020000005|-0.067360394|0|0|11.43714084|0.470618047|419.1502102|115.825531|-367.6690814|3.32|4.94|1.0|0.0|0.000667|0.00143|3.7874|6.26|-1374.493069|-1374.4533210000002|4.6772
