molecula|SddssS|SaaNH|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1c|MATS8s|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
47n_a18|0.0|0.0|0|1.251175627|0.0487694459999999|-0.007614955|4.844187086|-0.057061805|0.032169312|0.017491759|0.0|-0.003276575|10.94702025|-0.048404296|0|0.001705837|-0.529441732|-0.09714337|0.711628292|0|0.792429396|-0.091185806|0.288989992|0.0106152389999999|-75.24728669|8.759783644|61.29571241|0.207570604|171.2889916|-0.031974244|7.228646444|47.476904100000006|-2.4620167580000003|-54.00070374|-26.38541222|74.19865731|2052.393389|-21.77346199|0.216078071|10.43689152|0.932611327|7909.580851999999|178.30942439999998|-1676.556573|33.65821422|0.01357247|-468.58948260000005|2591.682495|11.20011508|1.0|0.0|1.0|1.0|3.0|0.0|0.31|3.67|3.31|105.6|3.0|162.18|0.0|2.76|-5.24|9.48e-07|0.000511|5.7e-06|4.1|0.0|1.7500000000000002e-10|-0.0525299999999999|-1743.299948|879.92|387.11|387.11|0.6914600000000001|0.6914600000000001|0.5056|-0.13138|2.4754|-1740.663577|3.3568|7.1938|7.1938
12a_a36|0.0|3.4715209280000003|0|1.297044783|-0.0632801509999999|-0.007471648|5.351858133|-0.0427777779999999|0.040166667|0.078063311|0.0|-0.070252245|10.96083376|-0.065913514|1|0.003199301|-0.432975237|-0.012112722|0.855821486|0|0.820684627|-0.104828755|0.436020272|0.019595485|-64.36949846|12.03249549|109.9069212|0.179315373|110.1075804|-0.037738352|7.388485123|5.277117996|-1.886917597|-28.71401279|-23.17301945|58.79461567|2258.5909920000004|-14.22926022|0.244684566|6.600635115|0.888377722|5710.355735|150.24716030000002|-711.4630111|30.67992313|0.019102103|-313.5499672|1533.996157|11.72953701|0.0|0.0|1.0|0.0|2.0|0.0|0.14|2.72|1.88|69.2|1.0|123.75|0.0|1.86|-4.0|0.000164|0.0625|0.000101|2.68|0.0|2.56e-07|-0.04946|-1232.916523|653.94|338.0|323.35|0.67869|0.6997|0.0012|-0.1519299999999999|6.3637|-1232.764108|8.5603|7.8861|7.8861
7l_a46|0.0|0.0|1|1.160371354|-0.2644255789999999|-0.00090473|5.533389489|0.017668261|0.04006734|-0.203375108|0.0|-0.074511843|10.9642261|0.050638298|1|0.0125870169999999|-0.1082221709999999|-0.1237456669999999|0.6539666829999999|0|0.907148114|-0.06289606|0.253138137|0.011594057|-30.34397256|5.5935102720000005|8.13531199|0.092851886|44.79605077|-0.022013621|2.698568452|51.39110437|-0.880544835|-13.17144326|-10.620390400000002|32.8948756|1246.417766|-5.1237682730000005|0.32532919|5.273701985|0.863142947|4046.614178|156.9538706|-204.9507309|15.74158869|0.016330867|-168.5385796|629.6635476|7.878766604|1.0|0.0|1.0|1.0|0.0|2.64|0.28|3.59|3.59|43.6|0.0|86.96|1.0|2.86|-3.72|0.000668|0.1939999999999999|0.0001889999999999|2.61|0.0|5.19e-07|-0.03324|-915.5830363|517.29|272.71|272.71|0.68834|0.68834|0.2024|-0.18993|3.3119|-915.493986|3.9009|5.7122|5.7122
5b_a50|0.0|0.0|2|1.397278957|-0.253064589|-0.00141071|5.82008293|-0.003549558|0.034845679|-0.052494624|2.473508677|-0.137595558|10.9325725|-0.113846154|2|0.012290091|-0.140506919|0.019856551|0.6642694929999999|1|0.958606481|-0.061164973|0.271653991|0.012204641|-31.07327358|6.200250541|6.656963127999999|0.041393519|21.02890062|-0.02140774|3.149876031|60.5565203|-0.8563096170000001|-10.62231784|-10.87564575|27.10933752|1452.442728|-5.525088972000001|0.411250953|5.543302677000001|0.8058479690000001|4577.809819|208.925351|-221.0035589|18.47246431|0.023005632|-90.17329003|738.8985723999999|11.68741316|1.0|0.0|1.0|1.0|0.0|2.91|0.1|3.15|4.02|35.64|0.0|96.89|1.0|3.11|-4.19|0.000335|105.0|6.47e-05|3.06|0.0|1.37e-06|-0.0256899999999999|-990.5849031|547.35|308.25|220.09|0.4270899999999999|0.66968|0.1094|-0.16683|4.4181|-990.487545|6.1284|4.9126|4.9126
3h_a32|0.0|3.579396967|0|0.609420752|0.01077056|-0.005281944|5.733341277|-0.008243901|0.037731481|0.014517903|2.243113495|-0.003152613|10.31100268|-0.111111111|3|0.003284804|-0.531669815|-0.169197453|0.8030743229999999|1|0.87880263|-0.0882883959999999|0.30907784|0.0111539339999999|-55.27575363|6.98327435|76.38838542|0.12119737|75.87946135|-0.027590124|4.372100625|0.0|-1.324325944|-28.15732254|-17.27367301|51.95714963|2911.160989|-10.81473143|0.226505997|8.107034244|0.692036677|5187.525619|141.8112711|-519.1071084|22.33200639|0.011751781|-342.4592076|1071.936307|7.357575822|1.0|1.0|1.0|1.0|1.0|3.88|0.35|8.11|6.24|110.94|2.0|112.28|1.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|6.12|0.0|3.37e-09|-0.05318|-1790.663897|676.22|348.74|348.74|0.70257|0.70257|0.2926|-0.1474099999999999|3.5952|-1790.5004850000005|5.8749|8.1549|8.1549
3p_a32|0.0|3.456037415|0|0.609420752|0.007752757|-0.008735261|6.008813185|-0.028895521|0.036666667|-0.050639647|2.1365141480000003|-0.111150118|10.31100269|-0.074544773|3|0.000920756|-0.53666614|0.058054833|0.6956696440000001|1|0.8195708759999999|-0.098773656|0.366898545|0.021264377|-58.13283248|12.5150622|40.28175307|0.180429124|106.1908248|-0.029183126|7.365688817|57.82331968|-1.28405753|-24.56127372|-17.1756096|54.24719019|3037.061498|-10.10863498|0.380032117|6.243062200000001|0.713035367|5960.446219|223.6663527|-444.779939|27.70403125|0.025390655|-141.21321609999998|1218.977375|14.94356622|0.0|1.0|1.0|1.0|1.0|2.6|0.26|6.06|3.71|131.25|1.0|112.37|1.0|3.23|-4.25|7.78e-06|0.00308|5.629999999999999e-05|2.7|0.0|1.62e-07|-0.04963|-1879.527843|626.32|340.28|340.28|0.7017100000000001|0.7017100000000001|0.3083|-0.15055|4.3094|-1879.406962|5.4496|7585.0|7585.0
4m_a46|0.0|0.0|1|1.134637002|-0.245599013|-0.000686578|5.587248657999999|0.051308728|0.041865079|-0.302054595|0.0|-0.142061192|10.94319657|0.007901235|1|0.010359417|-0.098201489|-0.099662698|0.626578283|0|0.948973877|-0.0672468|0.373463876|0.010905551|-35.43866734|5.74716122|6.161736337000001|0.051026123|26.89046601|-0.0224155999999999|3.028720082|35.77391986|-1.008702005|-18.69640205|-11.81288911|41.22460182|1639.260563|-6.225322922999999|0.266763619|5.329061873000001|0.8622201970000001|4750.325312|140.5828543|-280.1395315|16.11061509|0.012232753|-245.828396|724.9776792|6.446588969|0.0|1.0|1.0|1.0|0.0|2.9|0.29|4.25|4.63|54.5|1.0|98.69|1.0|3.59|-4.57|2.99e-05|0.00981|2.68e-05|3.69|0.0|1.31e-07|-0.04808|-1031.109224|558.63|285.18|205.21|0.38389|0.68505|0.1557|-0.18308|3.9226|-1030.980844|5.2326|5.8901|5.8901
8b_a32|0.0|3.419952523|0|0.609420757|0.113639567|-0.009362305|5.733341277|-0.057200812|0.03995614|-0.008128765|2.123714284|-0.024375676|10.31100269|-0.0684566009999999|3|-0.001662219|-0.577864293|0.060636167|0.7507116140000001|1|0.788218098|-0.108971309|0.253018806|0.016711528|-68.4085006|10.49093175|102.4297669|0.211781902|132.9495116|-0.03079624|6.585851946|68.21751748|-1.4166270230000002|-33.50038167|-19.33283713|63.85535908|2275.886421|-12.13650094|0.330850796|8.10555784|0.845546757|5619.400983|207.6969342|-558.2790432999999|28.89166873|0.021225152|-212.3722924|1329.016762|13.32443194|1.0|1.0|1.0|1.0|2.0|3.04|0.26|6.49|4.19|140.04|1.0|110.47|1.0|3.61|-4.39|1.47e-06|0.000583|4.06e-05|3.22|0.0|2.23e-08|-0.05404|-1880.735397|671.54|349.82|349.82|0.70285|0.70285|0.2943|-0.14717|846.0|-1880.602014|1.2797|7.9208|7.9208
12o_a36|0.0|3.444418304|0|1.297042837|0.01340619|-0.0100574069999999|5.351858133|-0.079716275|0.040770975|0.03842353|0.0|-0.059733192|10.96036596|-0.010904454|1|-0.000472698|-0.5110239679999999|0.141570244|0.817582774|0|0.7592112809999999|-0.10624773|0.514457955|0.023402195|-76.51720886|16.85373064|55.47133795|0.2407887189999999|173.4105814|-0.03541591|12.13767506|112.1259723|-2.018706878|-42.554984000000005|-25.50573629|75.94332024|2778.220342|-18.36865355|0.333537155|7.322888607|0.885724665|6622.134304|240.2059039|-1047.013252|38.27030489|0.026586303|-239.7655413|2181.407379|19.1468529|0.0|0.0|1.0|0.0|3.0|0.0|0.17|2.38|1.65|98.3|1.0|138.06|0.0|1.47|-3.64|0.000292|128.0|0.000227|1.85|0.0|1.1800000000000001e-07|-0.05456|-1440.926241|728.07|320.16|238.77|0.36719|0.67273|0.2888|-0.15695|4.9237|-1440.734965|6.6471|7.3979|7.3979
4q_a46|0.0|0.0|1|1.131262631|-0.2520920439999999|-0.001250008|5.587248657999999|0.004704245|0.0462962959999999|-0.012611536|0.0|-0.155661124|10.96363644|-0.081623022|1|0.012222698|-0.125840557|-0.15266708|0.703627625|0|0.913550004|-0.070035423|0.258420996|0.014510206|-39.09149156|8.099124333999999|38.31894407|0.086449996|48.25357162|-0.021010627|4.520667361|72.14599138|-1.050531344|-16.25388148|-11.72744747|37.21920695|1491.412605|-6.545879136|0.38044274|6.038093227999999|0.952269544|4992.497361|212.350744|-327.2939568|18.92875482|0.018430997|-133.46593529999998|946.4377411|10.28758193|1.0|1.0|1.0|1.0|0.0|3.16|0.38|4.09|4.09|52.83|0.0|102.63|0.0|3.15|-3.89|0.000389|135.0|0.000129|2.65|0.0|1.14e-07|-0.03042|-1108.729426|606.7333|273.72|273.72|0.69002|0.69002|0.1432|-0.1903|2.7026|-1108.566571|3.2968|6129.0|6129.0
