molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|GATS1pe|RASA|FNSA3|PBF|PNSA5|RNCS|TPSA_x|WNSA5|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|Dipole (water)|IC50|pIC50|pIC50
4d_a46|0|0|0|0.173086735|1|7.825245291|1|1.134637067|2.146507937|-0.1397563859999999|-0.001749881|5.587248657999999|-0.017469934|2|0.047736111|-0.131948546|0.0|-0.085744171|0.0116902869999999|10.96333164|-0.076521434|1|1|-0.206000242|-0.0814707009999999|2|0.764741337|-0.213089038|0.623144956|0.936057958|-0.056384895|0.290035518|-38.85529917|8.241078584|35.10521457|-21.33218735|-1.132361533|43.60839351|-13.51488667|35.70643728|0.441136013|2181.291783|-621.6847867|2233.65548|-7.419891252999999|0.186572035|10.30138878|-341.3149976|16.6147308|0.0086574759999999|0.0|1.0|1.0|0.0|0.35|-7.41|5.11|43.6|2.84|1.0|101.75|-4.93|25.0|-5.4|352.86|0.0|1.0|4.11|-5.11|1.18e-05|0.00416|7.8e-06|0.00275|4.3|0.0|3.88e-08|4.4265|4.18|4.4265|-1453.840712|-1453.817782|1009.78|503.76|0.69884|-1453.635434|3.7104|517.0|6.2865|6.2865
16b_a32|1|1|1|0.0|0|7.765993078999999|0|0.2980105389999999|0.0|0.0873104119999999|-0.008469352|5.733341277|-0.3723824429999999|0|0.041958333|-0.012739425|2.033356859|-0.423467596|-0.008277865|10.31100078|-0.0657820279999999|3|3|-0.023602065|-0.1202046419999999|0|0.852956281|0.056127969|0.6762731040000001|0.7465375040000001|-0.088716278|0.559199331|-69.39772428|53.96132589|162.40756509999997|-44.4669946|-1.624590613|80.37824892|-22.14820988|66.97508778|0.414997448|3037.795494|-1040.965864|3264.235184|-14.19159402|0.252363732|11.05406524|-667.0049190000001|29.62431176|0.017136832|0.0|1.0|1.0|2.0|0.28|-7.6|4.88|165.49|0.41|0.0|114.43|-6.28|28.0|-6.72|433.57|1.0|1.0|3.26|-4.55|5.19e-07|0.000225|2.84e-05|0.0123|3.14|0.0|2.54e-08|3.6211|6.37|3.6211|-2315.990437|-2315.951437|1137.73|567.01|0.70233|-2315.757928|7.0093|17.0|7.7696|7.7696
13d_a6|1|0|0|0.0|0|7.412764017000001|1|1.424214188|0.0|-0.045686501|-0.010665225|5.351858133|-0.0122495089999999|1|0.041728395|0.077158715|0.0|-0.607917822|-0.003346018|10.95129636|-0.10528143|1|1|0.126028544|-0.106686991|1|0.786837131|-0.027209556|0.7995080809999999|0.78862121|-0.092581323|0.19992155|-75.40072983|156.67194009999997|143.9350986|-51.34295409|-2.103893962|88.02705449|-27.03045032|84.01035117|0.4128711229999999|2882.382522|-1432.613867|3075.022992|-18.40596467|0.230567155|15.47559904|-975.5161277|35.13035671|0.018542644|1.0|1.0|1.0|2.0|0.16|-9.4|4.57|95.85|1.5|0.0|121.6|-5.95|32.0|-5.88|423.47|0.0|1.0|3.74|-5.27|1.11e-06|0.000471|5.42e-06|0.00229|4.23|0.0|3.96e-10|4.85|4.5|3.6298|-1389.403308|-1389.374844|1219.11|598.06|0.58381|-1389.125098|14.0012|0.36|6.4437|6.4437
4_a27|0|0|0|0.0|2|6.823286122000001|0|1.4008954130000002|3.294369174|0.082486268|-0.006181204|4.727387819|-0.058641975|2|0.0456410259999999|-0.273119343|1.274166982|-0.278154179|0.00991794|10.93736915|-0.01660383|1|1|-0.459570857|-0.2030237389999999|2|0.7853766809999999|-0.07759915|0.614205449|0.852604338|-0.057748369|0.3485918529999999|-40.79296366|8.590238252999999|76.31512503|-21.12083948|-1.181818|51.33640873|-14.56891559|40.33074472|0.444169714|2273.715366|-611.8944548999999|1213.060761|-7.543156957000001|0.317514326|10.82331334|-316.8125922|21.34684457|0.020363697|0.0|1.0|1.0|0.0|0.16|-6.22|2.8|65.6|2.66|0.0|97.55|-3.57|25.0|-6.51|331.37|0.0|1.0|2.8|-3.99|0.000266|0.0882|0.000102|0.0339|2.55|0.0|6.04e-07|5.5485|4.63|4.1288|-1083.138303|-1083.119531|946.77|445.65|0.36899|-1082.963712|3.9202|4.0|8.3979|8.3979
19_a47|0|1|1|0.0|1|6.842683282|0|1.402889494|1.445775615|-0.038804671|-0.00973456|4.727387819|-0.227538423|2|0.032764858|0.027033021|1.174354482|-0.4380552029999999|-0.013020816|10.95058274|0.0604168609999999|1|1|0.074201869|-0.046265509|2|0.823945134|-0.024256505|0.614975047|0.639642891|-0.105205489|0.270767873|-57.87554797|335.10989930000005|199.6541807|-32.06567824|-1.566899206|76.13237258|-20.66983856|73.14028211|0.463378097|2612.978054|-868.1332196000001|1238.799875|-11.45202794|0.362167395|13.17443625|-480.9851737|32.40636867|0.03295186|1.0|1.0|1.0|2.0|0.05|-6.92|3.84|98.72|1.67|0.0|99.2|-3.67|28.0|-7.22|380.35|0.0|1.0|2.34|-3.66|0.000214|0.0816|0.000217|0.0824|1.97|0.0|1.2099999999999998e-07|3.8423|3.51|3.8423|-1335.75742|-1335.725639|974.59|412.31|0.68924|-1335.580357|6.3247|0.05|7.3|7.3
2_a20 (SB-505124)|1|0|0|-0.09011519|0|7.434257382|1|1.183764955|0.0|-0.006955944|-0.010175551|5.351858133|-0.076310057|1|0.05042042|0.013612077|0.0|-0.498602014|0.001622309|10.95129567|-0.137383329|1|1|0.02072518|-0.150708132|1|0.725030162|0.082053195|0.790275077|0.7694360659999999|-0.083565835|0.214264156|-64.55966745|122.8758934|126.8667205|-35.52365346|-1.759933279|70.87109323|-21.05206547|61.69969596|0.475937029|2195.369524|-968.3950117|1709.9571620000002|-11.58380004|0.1680806939999999|11.3574908|-532.854802|25.30541763|0.011470204|1.0|1.0|1.0|1.0|0.3|-7.22|4.47|60.03|2.06|0.0|97.55|-5.24|25.0|-5.31|335.4|0.0|1.0|3.81|-4.91|5.72e-06|0.0019199999999999|1.22e-05|0.0040799999999999|4.27|0.0|6.070000000000002e-08|3.6404|4.57|3.6404|-1089.371784|-1089.358727|995.68|505.82|0.69947|-1089.147716|3.9392|169.0|6.7721|6.7721
12m_a36|1|0|0|0.0|0|7.412764017000001|2|1.297043522|0.0|0.013543656|-0.011502861|5.351858133|-0.133854569|2|0.03912037|0.14264424|0.0|-0.667165917|-0.006653538|10.95440733|-0.038386106|1|1|0.245908938|-0.052743904|1|0.825587924|-0.075712087|0.849217847|0.711961428|-0.10031651|0.4493096629999999|-81.19927925|42.78660249|193.174369|-54.45666327|-2.300418875|96.11918789|-28.57011677|82.51872026|0.465323422|2925.315028|-1542.786306|2637.948424|-19.16067782|0.252881876|13.67704354|-1034.676602|38.24042793|0.0222467879999999|0.0|0.0|0.0|3.0|0.13|-6.14|0.98|112.29|1.28|0.0|131.85|-4.1|32.0|-7.39|424.46|0.0|0.0|1.26|-3.8|7.96e-05|0.0338|0.000159|0.0676|2.11|0.0|7.19e-07|3.8658|3.88|3.8658|-1401.654499|-1401.6158890000002|1177.15|505.51|0.69382|-1401.385923|9.1003|0.03|7.5229|7.5229
4o_a46|0|0|0|0.160026534|1|7.825245291|1|1.13463699|2.138144369|-0.24479566|-0.000627744|5.587248657999999|0.042766097|1|0.043320988|-0.2363624889999999|0.0|-0.032014955|0.010870588|10.93828256|-0.06855792|1|1|-0.376106593|-0.018058762|1|0.7699448320000001|-0.121466731|0.6418406720000001|0.950732618|-0.0648126359999999|0.372146122|-36.03345669|5.821925821000001|27.01882145|-19.76117845|-1.051281434|42.00638612|-12.01115223|40.87645867|0.460981009|2195.436986|-576.535307|1705.3950960000002|-6.587059484|0.248979351|10.25486577|-316.1788552|15.99310518|0.0108913189999999|0.0|1.0|1.0|0.0|0.32|-7.26|4.94|54.5|2.72|0.0|103.66|-4.91|26.0|-5.51|342.44|0.0|1.0|3.92|-4.87|1.23e-05|0.00422|1.34e-05|0.0045899999999999|4.06|0.0|5.5e-08|4.3255|3.76|4.3255|-1070.456878|-1070.428722|1022.29|501.08|0.6843|-1070.223416|4.8244|162.0|6.7905|6.7905
1n_a5|1|0|0|0.0|0|6.605297921|0|1.427557749|0.0|-0.1387762669999999|-0.007315978|4.59511985|-0.0533837329999999|2|0.024388889|0.002508727|0.0|-0.3365350029999999|0.004367323|10.94528897|-0.047910067|1|1|0.004115733|-0.00966135|2|0.77828693|-0.013686011|0.656280207|0.785210014|-0.082180848|0.428980979|-47.04056285|63.58796786|123.2912732|-27.00168194|-1.311215832|63.57058627|-17.50346525|60.44890447|0.483868192|2437.279452|-752.6490056|889.4388375|-10.04713747|0.372248254|15.27080096|-432.02691110000006|27.88278228|0.028797525|1.0|1.0|1.0|1.0|0.05|-8.07|3.99|80.76|1.72|0.0|101.77|-4.27|27.0|-6.41|356.38|0.0|1.0|3.14|-4.18|5.41e-05|0.0193|6.56e-05|0.0234|2.91|0.0|8.43e-09|4.3838|4.19|4.3838|-1179.209088|-1179.169527|1017.23|481.06|0.44786|-1179.018429|0.7104|27.0|7.5686|7.5686
14_a1|1|0|0|0.0|0|7.423568444|1|1.430935835|0.0|0.043282217|-0.015636898|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.011639964|10.94959842|-0.0492229479999999|1|1|0.164429684|-0.020716495|1|0.7462411859999999|-0.08530265|0.795744863|0.593170871|-0.12658238|0.206941175|-72.59355177|161.1772893|240.9270705|-42.99041175|-2.083883365|87.02320758|-27.42423067|94.53410059|0.47517581|2678.985809|-1234.09038|1876.042189|-16.24082222|0.246642602|14.21658628|-730.8369997000001|36.40268318|0.0243658979999999|1.0|1.0|1.0|2.0|0.05|-7.69|3.63|103.12|1.54|0.0|106.85|-4.52|29.0|-6.73|384.39|0.0|1.0|2.85|-4.25|3.03e-05|0.0116|5.660000000000001e-05|0.0218|2.7|0.0|2.03e-08|3.8344|4.57|3.3061|-1292.588129|-1292.55322|1049.56|464.08|0.6572600000000001|-1292.359534|5.3099|94.0|7.0269|7.0269
