molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|GATS1pe|RASA|FNSA3|PBF|PNSA5|RNCS|TPSA_x|WNSA5|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|Dipole (water)|IC50|pIC50|pIC50
1m_a5|1|0|0|0.0|0|6.605297921|0|1.3047206409999998|0.0|-0.252787668|-0.002410445|4.59511985|-0.005518104|2|0.026339869|-0.07112464|0.0|-0.096417794|0.006422789|10.94856032|-0.011848312|1|1|-0.118494698|0.042813643|2|0.7824502320000001|0.077347244|0.63664685|0.8823955520000001|-0.070959368|0.429612762|-37.65438054|154.6334216|61.95289543|-19.83596661|-1.072182971|46.74648368|-15.26528941|42.13785007|0.482646195|2183.167528|-564.8157081|841.0375686000001|-8.041608085|0.26152627|13.35855701|-297.5394992|20.67140479|0.0172594319999999|1.0|0.0|1.0|1.0|0.0|-8.63|4.85|54.46|2.4|0.0|95.5|-4.52|24.0|-5.71|332.79|0.0|1.0|3.63|-4.74|2.99e-05|0.00996|1.82e-05|0.00607|3.69|0.0|2.35e-09|4.6678|3.48|4.3983|-1410.912452|-1410.88022|926.13|423.2|0.4527899999999999|-1410.783167|2.4582|43.0|7.3665|7.3665
18_a4|0|0|0|0.0|1|7.535296702|1|1.3998285519999998|1.904090136|-0.181683336|-0.004533883|5.4161004020000005|-0.164169913|1|0.042924837|0.049240675|0.0|-0.181355303|0.000379379|10.94611841|-0.063708832|1|1|0.108754635|0.006968314|1|0.793041267|0.102914528|0.615655659|0.7755960390000001|-0.094231531|0.269470313|-42.33787448|203.5264327|110.7087804|-20.88721799|-1.287267373|50.98777224|-17.16400317|55.21809494|0.405586004|2069.649003|-635.0681172000001|1573.744396|-8.467791078|0.2305616919999999|10.31843368|-313.3082699|22.30718562|0.0175331289999999|1.0|0.0|0.0|1.0|0.11|-5.53|3.43|50.94|2.2|0.0|86.22|-2.95|23.0|-6.58|307.32|0.0|1.0|2.78|-3.51|0.00113|349.0|0.000312|0.0959|2.24|0.0|2.96e-06|4.5152|3.02|4.2045|-1033.480025|-1033.454769|870.74|404.27|0.52475|-1033.349218|3498.0|2.62|5.5817|5.5817
13p_a6|1|0|0|0.0|0|6.842683282|0|1.424099253|0.0|0.024837222|-0.010395243|4.727387819|-0.1144898999999999|2|0.042959184|0.072850973|1.633493259|-0.634109842|-0.008008339|10.95053423|-0.072853186|1|1|0.123575608|-0.068532678|2|0.784414352|-0.059663359|0.8244206940000001|0.7265205579999999|-0.099405155|0.196002517|-76.17631587|80.30786544|194.0233618|-54.04422654|-2.14743793|89.17529231|-26.72853188|82.79893305|0.412828992|3016.078786|-1523.526317|3833.042283|-18.9628865|0.23994258|14.91957306|-1080.8845310000002|35.16646396|0.018322293|1.0|1.0|1.0|3.0|0.12|-10.06|4.01|122.47|1.01|0.0|132.01|-5.09|34.0|-7.01|449.51|0.0|1.0|2.96|-4.55|8.11e-06|0.00365|2.79e-05|0.0125|2.86|0.0|8.73e-11|4.7973|4.73|2.9837|-1463.08132|-1463.0432449999998|1283.98|573.39|0.47508|-1462.740542|12163.0|92.0|7.0362|7.0362
5_a47|0|0|0|0.0|0|0.0|0|1.304329328|0.0|0.019688132|-0.009295857|0.0|-0.188550227|2|0.037492877|0.003858593|1.284688504|-0.390426|-0.012670377|10.9367109|0.045246333|0|0|0.0083528919999999|-0.019811664|2|0.795032176|0.065981732|0.675164258|0.807957755|-0.087763105|0.526509524|-52.90420509|104.9032216|101.3974575|-27.93318665|-1.502972943|62.14504725|-20.34777119|51.58499074|0.4736061789999999|2368.870941|-793.5630764|1349.003107|-10.74353333|0.218428796|11.13432113|-418.9977997|26.03444329|0.017501741|1.0|0.0|1.0|2.0|0.0|-8.68|5.96|58.04|3.26|0.0|101.51|-5.65|26.0|-5.19|365.79|1.0|1.0|4.29|-5.5|2.25e-06|0.000824|3.18e-06|0.00116|4.7|0.0|2.07e-09|3.7083|4.37|3.7083|-1569.369195|-1569.333281|951.68|401.16|0.69291|-1569.20723|3.8816|0.02|7.7|7.7
25_a47|0|1|1|0.0|1|6.86171134|0|1.30432753|1.234859637|0.037667531|-0.010144825|4.727387819|-0.1084905069999999|2|0.043695652|-0.055724653|1.087932079|-0.486951604|-0.003963349|10.94972207|0.002716049|1|1|-0.120903298|-0.108691353|2|0.8462332770000001|-0.077710529|0.622598899|0.786958319|-0.073339312|0.574771479|-53.40631957|11.20142696|129.3338553|-32.42203672|-1.407553754|71.17072517|-18.98891362|56.80080434|0.4760601829999999|2704.5905190000003|-854.5011131000001|1514.111398|-11.52783528|0.376125772|13.26689626|-518.7525876|30.43708613|0.029261935|1.0|1.0|1.0|2.0|0.1|-8.01|4.95|84.73|3.08|0.0|109.7|-4.99|29.0|-6.3|410.83|0.0|1.0|3.62|-4.82|1.01e-05|0.00417|1.52e-05|0.00626|3.53|0.0|9.79e-09|4.8002|4.78|3.9878|-1735.414386|-1735.385814|1062.81|491.7|0.53663|-1735.2218059999998|5.1625|16.0|7.8|7.8
4_a18 (SD-208)|0|0|0|0.0|0|0.0|2|1.304335262|0.0|0.055002235|-0.012457606|0.0|-0.113324634|3|0.040864198|-0.020226647|0.0|-0.498304229|-0.018723101|10.95382003|-0.056245435|0|0|-0.047745689|-0.15379315|1|0.83508768|-0.058455902|0.721664823|0.77909674|-0.077885485|0.115284206|-51.27494074|103.6318511|113.7529353|-26.40375252|-1.2944582059999998|69.63488061|-18.01551972|51.01127638|0.454067432|2395.526727|-666.5742296|1822.914738|-9.276994128|0.397970979|11.42979655|-343.2487827|29.9246699|0.035654206|1.0|1.0|1.0|1.0|0.0|-8.15|4.44|76.48|2.02|0.0|92.87|-4.29|25.0|-6.31|352.75|0.0|1.0|3.11|-4.38|5.12e-05|18.0|4.14e-05|0.0146|3.02|0.0|7.06e-09|5.1755|2.58|3.2777|-1542.296276|-1542.276332|895.83|396.17|0.4646|-1542.15786|5.2085|0.08|7.0969|7.0969
8a_a31|1|0|0|0.0|0|7.765993078999999|1|0.610138387|0.0|-0.039027368|-0.015034136|5.733341277|-0.158899731|0|0.043817204|-0.1480271209999999|0.0|-0.586331322|-0.013230176|10.31170053|-0.01861065|2|2|-0.258538098|-0.054025775|0|0.837862749|0.0502030679999999|0.883113019|0.594139864|-0.122293189|0.272259026|-67.46619355|131.2406629|200.6591816|-33.35560699|-1.501053781|82.32407724|-20.61467025|79.02944672|0.4512945479999999|2128.209198|-742.1281291|1443.955093|-10.19199103|0.333562641|10.63792161|-366.9116769|30.93264504|0.030052065|1.0|0.0|1.0|2.0|0.2|-5.33|2.54|114.29|0.36|0.0|83.83|-3.57|22.0|-7.11|314.36|0.0|1.0|2.13|-3.11|0.000269|0.0846|0.000773|243.0|1.56|0.0|4.62e-06|3.8097|1.53|3.8097|-1347.541429|-1347.507102|872.11|396.15|0.7027100000000001|-1347.3959220000002|5.3042|0.79|6.1024|6.1024
12w_a36|1|0|0|-4.750262163|0|7.412764017000001|2|1.24014105|0.0|0.081390556|-0.015825416|5.351858133|-0.297354748|2|0.041555556|0.041058884|0.0|-0.917874106|-0.011700732|10.96020797|-0.010726574|1|1|0.115646674|-0.1187503719999999|1|0.828393514|-0.098657593|0.624142499|0.828363244|-0.086826396|0.532980165|-79.88912835|112.947763|123.23411609999998|-57.35989379|-2.225343322|99.51883498|-29.58856606|77.49366829|0.4672300679999999|3230.870697|-1597.782567|2602.5207|-21.24440511|0.29463721|15.701847400000002|-1147.197876|41.94801097|0.0273396629999999|0.0|1.0|0.0|2.0|0.17|-7.14|4.04|78.43|2.04|0.0|130.43|-5.2|34.0|-6.4|465.43|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|8.6e-06|4.0|3.86|0.0|7.24e-08|3.8881|4.86|3.8881|-1645.202839|-1645.169951|1198.72|552.55|0.69466|-1644.953222|7.0746|23.0|7.6383|7.6383
A8301_a51|0|0|0|0.0|1|6.86171134|0|1.197963627|1.700610355|0.0245770529999999|-0.00449765|4.727387819|-0.028789626|2|0.039058957|0.078523314|1.987294898|-0.242873103|0.00740124|10.31321735|-0.1227504419999999|1|1|0.135886548|-0.0357324579999999|2|0.6959300979999999|-0.013846396|0.7234449559999999|0.934739895|-0.055295165|0.339244706|-50.67621589|36.55933899|42.37868986|-32.90818536|-1.6387915469999998|56.90163721|-21.28401067|41.20144811|0.4799553379999999|2799.106729|-1064.200534|2461.663545|-13.82143785|0.145040365|13.24988678|-691.0718926|24.89475504|0.009586697|1.0|1.0|1.0|1.0|0.04|-9.38|5.52|87.72|3.35|1.0|129.04|-6.6|31.0|-5.31|421.52|0.0|1.0|4.58|-5.93|2.5e-07|0.000105|1.17e-06|0.000495|5.02|0.0|4.12e-10|||||||||||12.0|7.9208|7.9208
2_a1|0|0|0|0.0|1|7.535296702|1|1.348828131|2.233384354|-0.049975995|-0.004621682|5.4161004020000005|-0.014296455|1|0.0409444439999999|-0.1056298369999999|0.0|-0.175623923|0.001576763|10.9520472|0.101798469|1|1|-0.237981258|-0.145015842|1|0.795932678|0.079586368|0.5574897879999999|0.808210065|-0.0622285999999999|0.220315042|-35.17029414|6.281701359|87.29479691|-16.00805425|-0.927245426|43.24570924|-12.05838656|33.45925305|0.39830426|1884.85038|-422.0435297|1378.496713|-5.488475744|0.305595997|8.779158091000001|-192.096651|17.36508791|0.017741989|1.0|0.0|1.0|0.0|0.18|-6.18|4.12|30.71|2.49|0.0|79.77|-3.06|21.0|-6.04|279.31|0.0|1.0|3.21|-3.78|0.000871|243.0|0.000167|0.0466|2.76|0.0|6.64e-07|4.0877|3.31|4.0877|-920.2093796|-920.184721|807.98|355.79|0.7007899999999999|-920.078239|5.2754|5.8|5.2366|5.2366
13c_a6|1|0|0|0.0|0|7.412764017000001|1|1.424213869|0.0|-0.046663393|-0.010619065|5.351858133|-0.0122495089999999|1|0.040821256|0.049627353|0.0|-0.605286688|-0.003346018|10.95129637|-0.0942387559999999|1|1|0.081059709|-0.106686991|1|0.780680481|0.085414885|0.7995080809999999|0.786809832|-0.093635525|0.22875443|-75.71763296|157.60887419999997|145.12291069999998|-51.54254258|-2.11340057|88.21184769|-27.1440571|84.53371376|0.466844407|2880.850692|-1438.635026|3135.546462|-18.47751526|0.2279674589999999|15.07660437|-979.308309|35.15921372|0.018354398|1.0|1.0|1.0|2.0|0.16|-9.4|4.57|95.85|1.5|0.0|121.6|-5.95|32.0|-5.88|423.47|0.0|1.0|3.64|-5.27|1.11e-06|0.000471|5.42e-06|0.00229|4.23|0.0|3.96e-10|5.992000000000001|4.5|3.6519|-1389.39897|-1389.371325|1217.77|596.15|0.48478|-1389.122252|9.2467|73.0|7.1367|7.1367
9_a47|0|0|0|0.0|0|0.0|0|1.3818994059999998|0.0|0.00410268|-0.008501246|0.0|-0.1789147139999999|2|0.037492877|-0.043270202|1.323246814|-0.382556052|-0.009607222|10.93671087|0.045804989|0|0|-0.091848897|-0.021556658|2|0.792070785|0.046690958|0.689770023|0.805149969|-0.084368438|0.492394184|-50.70744657|107.3271659|101.9336202|-26.52703503|-1.550867715|58.96976407|-19.3171225|49.12766732|0.482896681|2292.652212|-811.319145|1333.091472|-10.10553715|0.209348023|10.93281031|-424.4325604|24.43189048|0.015793737|1.0|0.0|1.0|2.0|0.05|-8.47|5.61|58.04|2.99|0.0|101.46|-5.37|26.0|-5.26|345.37|0.0|1.0|4.09|-5.2|4.29e-06|0.00148|6.3e-06|0.00218|4.43|0.0|3.4000000000000003e-09|5.7429|4.06|3.7183|-1149.090086|-1149.055456|959.59|406.35|0.3885099999999999|-1148.896866|3.4815|25.0|7.6|7.6
37_a18|0|0|0|0.0|0|7.03438793|2|1.251176176|0.0|-0.0013530679999999|-0.005351023|4.844187086|-0.018808538|1|0.036746032|-0.018268775|0.0|-0.385273662|0.002300582|10.94702064|-0.011713125|0|0|-0.0276034839999999|-0.1483628609999999|0|0.725028151|0.020848396|0.699483099|0.831783747|-0.068500679|0.385121249|-54.7389628|12.63119843|123.0060763|-40.02719655|-1.946306811|65.15554136|-20.92960342|56.74339533|0.488368082|3055.795406|-1423.213033|1571.7484060000002|-15.30451633|0.2351233969999999|18.49074823|-1040.70711|27.36337253|0.0142451319999999|1.0|0.0|1.0|2.0|0.3|-8.82|3.3|76.5|3.33|1.0|151.14|-5.68|36.0|-6.14|480.6|0.0|0.0|2.93|-5.47|2.08e-06|0.000999|3.35e-06|0.00161|4.36|0.0|1.51e-09|3.2127|8.11|3.2127|-1532.997117|-1532.974371|1395.35|673.45|0.69305|-1532.553949|3.0375|35.0|7.4559|7.4559
1a_a5|0|0|0|0.0|0|6.605297921|1|1.189701889|0.0|-0.271170445|-0.001785522|4.59511985|0.009305578|2|0.021346801|-0.075791863|0.0|-0.078562954|0.005921049|10.9502215|-0.004213083|0|0|-0.123867037|0.069867374|2|0.7427901179999999|0.11504495|0.808272639|0.833638233|-0.071887159|0.3602068089999999|-38.07869556|83.60943679|83.77332129999999|-19.17495143|-1.134282187|46.38422909|-13.93123008|40.24669785|0.455258786|1940.139869|-571.1804334|902.6910106|-7.015226132|0.274345323|11.38004491|-287.62427139999994|19.19815378|0.016493595|1.0|0.0|1.0|1.0|0.16|-7.15|1.42|37.81|2.09|0.0|93.49|-2.6|23.0|-6.58|298.34|0.0|0.0|1.75|-3.44|0.00253|755.0|0.000365|109.0|2.17|0.0|7.13e-08|4.6707|2.85|2.8332|-951.1394906|-951.110826|882.1|386.8|0.44868|-951.178584|6.7017|107.0|6.9706|6.9706
8d_a32|1|1|1|0.0|0|7.765993078999999|0|0.609420756|0.0|0.143684876|-0.010604502|5.733341277|-0.089662873|0|0.0388738739999999|0.062782795|2.146260246|-0.519620595|-0.006974711|10.31100269|-0.0682721729999999|3|3|0.113030335|0.001558357|0|0.825978584|-0.054095278|0.789198712|0.7107041559999999|-0.109612139|0.261692269|-69.11005922|321.2496412|181.8092016|-43.43251025|-1.539556512|81.54594837|-21.03349629|78.89798692|0.47012654|2556.198518|-967.5408291|2371.595484|-13.21859008|0.2914328639999999|15.29958432|-608.0551435|29.684549600000004|0.019788058|0.0|1.0|1.0|2.0|0.26|-7.26|4.32|154.03|1.1|0.0|110.38|-6.08|27.0|-6.47|397.52|1.0|1.0|3.57|-4.36|8.41e-07|0.000334|4.36e-05|0.0173|3.17|0.0|5.51e-08|3.5588|4.26|3.5588|-1880.773727|-1880.733071|111.16|540.98|0.7026100000000001|-1880.540067|1873.0|8.0|8.0809|8.0809
19e_a38|1|0|0|0.0|0|7.412764017000001|2|1.297043576|0.0|-0.082311936|-0.007550899|5.351858133|-0.10490608|2|0.04508642|0.021678225|0.0|-0.4379521229999999|-0.001197042|10.94917392|-0.038386106|1|1|0.045449529|-0.091460175|1|0.839953955|0.04818471|0.700181525|0.776562593|-0.083623427|0.552393659|-68.82539051|118.734325|150.553721|-46.37503972|-2.042881001|82.37885703|-25.49088538|70.62168376|0.4655978389999999|2920.436229|-1376.50781|3426.997928|-17.17594064|0.250809026|12.34352977|-927.5007945|34.02454948|0.020114756|0.0|1.0|1.0|3.0|0.12|-7.28|3.09|81.23|2.75|0.0|135.78|-4.94|32.0|-6.39|427.48|0.0|1.0|3.3|-4.72|1.15e-05|0.0049|1.89e-05|0.00807|3.55|0.0|5.27e-08|5.2322|4.08|3.8587|-1409.582478|-1409.547647|1183.12|532.67|0.41961|-1409.315831|8.0952|0.01|8.0083|8.0083
12ax_a36|1|0|0|0.0|0|7.412764017000001|2|1.280791885|0.0|-0.0943348109999999|-0.007681676|5.351858133|-0.040458296|2|0.043383838|0.075802407|0.0|-0.414810497|-0.001012333|10.958822|-0.034663063|1|1|0.128253871|-0.101451485|1|0.836170906|-0.0394369539999999|0.771220556|0.846837721|-0.073739612|0.375647684|-72.11700812|36.17982162|102.4490387|-48.23849712|-1.940680931|84.58859134|-25.96212292|62.11847297|0.488501696|2926.929456|-1298.106146|2471.295987|-17.36585896|0.235146956|14.78635841|-868.2929481000001|33.94393618|0.018645135|0.0|1.0|0.0|2.0|0.14|-7.76|3.19|69.2|2.99|0.0|133.77|-5.08|31.0|-6.26|450.32|0.0|1.0|2.82|-5.18|8.27e-06|0.00372|6.55e-06|0.00295|3.93|0.0|1.74e-08|5.2372|4.42|3.8889|-2152.130959|-2152.100515|1182.31|552.0|0.39564|-2151.910753|6.0402|12.0|7.9208|7.9208
22_a4|0|0|0|0.0|1|7.535296702|1|1.399866564|1.987636054|-0.043165663|-0.006436201|5.4161004020000005|-0.115883451|1|0.044357639|0.004808337|0.0|-0.257448045|0.004765062|10.94586213|-0.023072107|1|1|0.00771584|0.021636871|1|0.7797803109999999|0.086940934|0.755510052|0.8612031509999999|-0.09491995|0.242642229|-43.23011833|162.9809584|66.70156956|-20.77508795|-1.349339509|48.65880447|-17.52572365|50.75888571|0.4359219589999999|1950.173729|-648.451775|1477.437886|-8.422332951|0.155532959|9.742413394|-311.62631919999995|20.75359108|0.011296354|1.0|0.0|0.0|1.0|0.11|-5.24|3.54|50.94|2.09|0.0|87.12|-3.77|22.0|-5.91|289.33|0.0|1.0|2.81|-3.98|0.000172|0.0497|0.000104|0.0301|3.03|0.0|5.77e-06|4.468999999999999|3.38|4.0537|-934.2706743999998|-934.240411|860.77|400.29|628.0|-934.12356|5.4110000000000005|47.0|7.3279|7.3279
20b_a10|0|0|0|0.0|1|7.535296702|1|1.343837209|2.103422978|0.048567614|-0.007463406|5.4161004020000005|-0.073703704|2|0.035818182|-0.030238422|1.854149459|-0.447804373|0.001965496|10.92966143|-0.013623188|1|1|-0.049452599|0.019531637|2|0.761071345|0.052265135|0.6980623109999999|0.75259177|-0.094975935|0.6741049840000001|-56.53849503|81.39248686|158.09355980000004|-36.12803002|-1.85807612|67.46831286|-21.58742537|69.02087825|0.454087415|3085.433676|-1187.308396|2257.777328|-13.79433873|0.238378673|13.838742600000002|-758.6886304|28.34404003|0.0171045989999999|1.0|1.0|1.0|1.0|0.11|-8.93|5.0|95.92|2.41|0.0|129.73|-5.22|34.0|-6.53|447.49|0.0|1.0|3.66|-5.09|6.05e-06|0.00271|8.13e-06|0.00364|3.52|0.0|1.1699999999999999e-09|5.9354|4.88|3.9013|-1465.62724|-1465.587932|1218.74|482.93|0.3246|-1465.333983|7.7954|1.1|5.9586|5.9586
8f_a12|0|1|1|0.0|0|6.580639137|1|0.609895166|0.0|0.110310585|-0.008295703|4.59511985|-0.062406088|2|0.038347953|-0.013400998|2.177023629|-0.3981937339999999|-0.002596875|10.31134658|-0.024023866|1|1|-0.023769395|-0.070713228|1|0.7475224290000001|-0.13747286|0.8409290840000001|0.869823177|-0.072634742|0.285353468|-56.220383|83.13642146|73.97552223|-31.9483307|-1.6818542230000002|63.05721575|-21.72151161|48.82707007|0.460344828|2541.921472|-955.746511|1448.568734|-12.34367323|0.161876566|13.00131176|-543.1216218999999|25.9168408|0.012030968|1.0|1.0|1.0|1.0|0.1|-8.42|3.41|78.41|3.1|0.0|115.66|-5.7|27.0|-5.47|369.44|0.0|1.0|3.82|-5.24|1.99e-06|0.000735|5.72e-06|0.00211|4.34|0.0|3.79e-09|4.1744|4.19|3.6536|-1481.146454|-1481.115891|1020.81|441.97|0.59107|-1480.955408|1.4701|646.0|6.1898|6.1898
14b_a23|0|1|1|0.0|2|7.423568444|0|1.197963628|3.2475997860000003|0.065240838|-0.006248709|5.351858133|-0.071396109|2|0.043538647|0.0519489729999999|0.716540473|-0.318684138|0.007671236|10.31321824|-0.047410593|2|2|0.121308009|-0.073945564|2|0.793551289|-0.00399443|0.5935522360000001|0.8462596590000001|-0.063267638|0.228282196|-53.44429544|40.76245006|99.66542762|-34.64639496|-1.64882535|64.97993029|-22.74225338|54.274732400000005|0.450973737|2943.803333|-1068.885909|2280.830615|-14.74314679|0.225640295|14.26820636|-692.9278992000001|29.36910744|0.01779446|0.0|1.0|1.0|1.0|0.05|-7.67|4.58|105.02|3.4|1.0|120.24|-5.58|31.0|-6.31|429.47|0.0|0.0|3.78|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|3.68|0.0|2.14e-08|3706.0|3.72|3706.0|-1729.161608|-1729.139722|1142.37|525.66|0.58097|-1728.9300010000002|9.7544|4.0|8.3536|8.3536
12e_a31|1|0|0|0.0|0|7.765993078999999|1|0.610134116|0.0|0.052663358|-0.011519192|5.733341277|-0.044316064|0|0.037098765|0.0113193469999999|0.0|-0.70267073|-0.002475146|10.3116965|-0.015755876|2|2|0.01824365|-0.08867626|0|0.7761616020000001|-0.039273975|0.76012894|0.721526766|-0.0939597569999999|0.2642991189999999|-79.96257188|166.1479229|202.5115275|-58.15044546|-2.089171358|95.1187282|-26.65419063|87.71292755|0.474858042|3040.353774|-1519.288866|1899.851187|-19.38348182|0.274879568|19.50674899|-1104.858464|36.75829484|0.020841203|1.0|1.0|1.0|2.0|0.24|-9.31|5.4|117.37|2.21|0.0|129.38|-6.66|33.0|-5.93|460.55|0.0|1.0|4.5|-5.42|2.16e-07|9.96e-05|3.83e-06|0.00176|4.48|0.0|4.93e-10|5.3264|6.33|3.8391|-1809.899887|-1809.85374|1308.13|640.03|0.55114|-1809.581226|3.4818|0.17|6.7696|6.7696
12bc_a36|1|0|0|0.0|0|7.412764017000001|2|1.284647662|0.0|-0.058020733|-0.007661816|5.351858133|-0.042515909|2|0.04625323|0.068351685|0.0|-0.413738077|-0.001012333|10.95883416|-0.027636036|1|1|0.115647623|-0.101451485|1|0.836170906|0.006621918|0.771220556|0.834305498|-0.077192869|0.326764696|-71.97763346|83.35308244|111.3483497|-48.36968394|-1.927943855|83.97121855|-25.91194805|64.13376391|0.467645467|2927.476132|-1295.597402|2623.395239|-17.41308622|0.22853193|15.54183457|-870.6543108999999|33.5878425|0.017847333|0.0|1.0|0.0|2.0|0.14|-7.76|3.19|69.2|2.99|0.0|133.77|-5.08|31.0|-6.26|450.32|0.0|1.0|2.82|-5.18|8.27e-06|0.00372|6.55e-06|0.00295|3.93|0.0|1.74e-08|5.2189|4.42|3.8696|-2152.134749|-2152.100551|1188.37|563.76|0.35775|-2151.9100780000003|9.2445|8.0|8.0969|8.0969
12s_a36|1|0|0|0.0|0|7.412764017000001|2|1.297044029|0.0|-0.057853364|-0.007059109|5.351858133|-0.045035034|2|0.042804233|0.037454164|0.0|-0.4023692|0.002951176|10.95352614|-0.050363149|1|1|0.063448144|-0.104118159|1|0.8060798779999999|-0.118671653|0.856274847|0.8303378090000001|-0.07216709|0.4314309979999999|-64.57958827|110.6090028|109.5085883|-41.6829437|-1.901015959|76.34126108|-23.15117315|59.13914165|0.4604765839999999|2710.355028|-1227.012177|2294.468358|-14.94294208|0.245801617|13.98635088|-791.9759303|30.69639722|0.018222417|0.0|0.0|0.0|2.0|0.17|-6.97|2.19|69.2|2.24|0.0|128.72|-4.16|30.0|-6.55|395.46|0.0|0.0|2.14|-4.3|6.929999999999999e-05|0.0274|5.05e-05|0.02|3.04|0.0|1.08e-07|3.8751|3.48|3.7604|-1272.270833|-1272.236664|1150.67|523.72|0.6843600000000001|-1272.00109|8.7738|9.0|8.0458|8.0458
12ac_a36|1|0|0|0.0|0|7.412764017000001|2|1.297043188|0.0|-0.050997272|-0.007639626|5.351858133|-0.073735973|2|0.042560386|0.03586247|0.0|-0.450737917|0.000584134|10.95345846|-0.0121300989999999|1|1|0.060445359|-0.098698552|1|0.811459853|0.135371136|0.770400825|0.779673368|-0.080202334|0.4712820929999999|-72.4798052|118.0445703|152.9742102|-50.32319912|-1.98344149|86.51036063|-25.03847816|70.61872461|0.44477577|2902.588755|-1377.116299|2455.459827|-17.38437788|0.268353853|14.63702516|-956.1407834|34.22211444|0.020208014|0.0|0.0|0.0|2.0|0.17|-6.89|2.09|86.27|1.59|0.0|133.95|-3.81|32.0|-7.21|423.47|0.0|0.0|1.84|-3.95|0.000154|0.0653|0.000112|0.0476|2.36|0.0|1.29e-07|3.8843|4.84|3.8594|-1385.606133|-1385.566143|1200.61|554.84|0.56186|-1385.3211789999998|5.4387|13.0|7.8861|7.8861
9s_a24|1|0|0|0.0|0|6.605297921|1|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|4|0.023585859|-0.050919714|0.0|-0.190782186|0.006748865|10.96129902|0.013901071|1|1|-0.0897306019999999|-0.204128966|3|0.773544454|0.030228027|0.748077475|0.8833498320000001|-0.049825449|0.483170382|-39.48555839|33.24649431|72.43525688|-24.51900941|-0.953816666|61.19761205|-12.08741583|41.36694069|0.47085169|2747.809842|-592.2833757999999|969.5210193|-7.505819207999999|0.554839231|17.24354813|-367.7851412|27.15292246|0.03496522|1.0|1.0|1.0|1.0|0.04|-8.11|4.29|77.21|0.81|0.0|115.67|-3.36|30.0|-7.2|393.44|0.0|0.0|2.63|-4.06|0.000434|171.0|8.71e-05|0.0343|2.11|0.0|7.73e-09|3.0726|1.82|2.6707|-1271.031372|-1270.994965|1121.42|521.4|0.69475|-1270.738032|7.0312|32.0|7.4949|7.4949
5d_a40|0|0|0|0.0|1|8.149890544|1|0.6049133329999999|1.601200869|-0.071479892|-0.005662681|6.167516491000001|0.0418378229999999|0|0.044526749|-0.1031436519999999|0.716041667|-0.1868684619999999|0.007200253|10.31198333|0.029272031|2|2|-0.259985037|-0.0038660009999999|0|0.8092726020000001|0.145024458|0.483934049|0.754010052|-0.086193996|0.049855551|-43.26473143|181.4728912|112.88660690000002|-19.85450535|-1.131332331|49.97858532|-17.30589257|49.66367051|0.479931934|1974.583878|-519.1767771000001|511.3769101|-7.94180214|0.188819426|12.09256826|-238.2540642|21.3342049|0.014630084|0.0|1.0|0.0|0.0|0.21|-4.32|3.64|75.5|2.25|1.0|74.11|-4.23|20.0|-5.94|287.31|0.0|1.0|3.1|-3.82|5.9e-05|17.0|0.000152|0.0436|2.98|0.0|4.7600000000000005e-05|3.7374|4.61|3.7374|-1276.833831|-1276.817151|765.69|365.74|0.69613|-1276.751174|9.2439|19.0|7.7212|7.7212
