molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|AATSC1c|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|WNSA5|RPCS|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
7_a4|0.0|0|0|0|0.0|1|7.535296702|1|-0.001729561|5.4161004020000005|-0.003297033|-0.07290303|2.048170299|-0.076100699|0.008409909|-0.125778587|0.04206117|1|1|0.008242591|-0.162314698|-0.094000778|-0.174410426|0.527072036|0.8046449179999999|0.022270259|0.0707653759999999|0.87010589|1|0.825830607|-0.0650223009999999|0.470973822|0.01470626|-32.72992462|7.402610584|14.01468959|-18.06277106|79.08210981|44.34066533|-13.45652664|40.13253521|0.437317462|2286.169166|-538.2610657|1915.566579|0.7772010559999999|5022.496714|141.9530115|18.74189807|0.016800137|749.6759227000001|8.456594282000001|1.0|1.0|1.0|0.0|0.15|21.0|43.6|0.0|0.0|1.0|-3.81|4.0|330.36|1.0|3.56|0.000156|0.0514|3.92e-05|3.22|0.0|0.0|3.49e-08|1.15e-05|-0.05217|4.0379|2.91|4.0379|538.92|915.46|307.05|365.73|0.59702|-0.2219199999999999|0.02317758|-1089.753885|4926.0|6821.0|6821.0
47j_a18|0.0|0|0|0|0.0|0|7.03438793|1|-0.007807275|4.844187086|-0.068902246|-0.048528478|0.0|-0.569931053|0.00031105|-0.006923502|0.0033281|0|0|0.002317206|-0.073551529|-0.331885553|-0.48833504|0.783538352|0.7444236670000001|-0.002262399|0.005740124|0.77844379|0|0.80651845|-0.073041469|0.476575952|0.015967126|-56.816779|12.42035127|95.57657747|-57.32800549|99.50526447|86.31641604|-26.32095773|69.23713027|0.481373558|3172.831382|-1842.467041|2064.803327|0.928170101|7316.123159000001|183.246715|34.43235841|0.016220875|2410.265089|12.6177344|1.0|1.0|1.0|3.0|0.28|18.0|97.76|3.0|1.0|1.0|-5.83|4.0|499.6|0.0|2.39|1.49e-06|0.000743|7.32e-06|4.07|1.0|0.0|1.63e-09|8.159999999999999e-07|-0.04423|3.1054|8.09|3.1054|839.37|1459.55|399.25|776.31|0.6983600000000001|-0.17273|0.03246539|1625.053346|5.2118|7.4559|7.4559
18a_a22|0.0|0|0|0|0.0|1|6.842683282|0|-0.003488994|4.727387819|-0.018344659|0.033735832|1.6891461019999998|-0.19538364|0.007066388|-0.021976395|-0.015194063|1|1|0.007079018|0.059645624|-0.147724859|-0.296897301|0.760537197|0.7329701259999999|-0.042139855|-0.027029438|0.7881113679999999|1|0.926535704|-0.050645213|0.573315195|0.01713283|-34.36220678|11.62443251|29.59800426|-35.04152115|18.5219848|64.80092090000001|-19.86401135|45.98663929|0.487405342|2898.068989|-1032.92859|2213.859172|0.950859191|6630.646100999999|196.4447473|27.95908297|0.0193879289999999|1453.872315|13.15449139|1.0|1.0|1.0|1.0|0.08|27.0|100.61|2.0|0.0|1.0|-5.59|4.0|436.53|0.0|3.9|2.59e-06|0.00113|6.98e-06|3.78|0.0|0.0|3.95e-10|1.73e-07|-0.0706799999999999|5.0214|3.69|3.4832|695.35|1211.84|355.95|531.16|0.68577|-0.21148|0.01932946|-1691.097989|5.3946|7.8861|7.8861
12ad_a36|0.0|1|0|0|3.428443248|0|7.412764017000001|2|-0.01083262|5.351858133|-0.073048351|0.046496301|0.0|-0.649957196|-0.001148437|-0.0072527669999999|0.010723827|1|1|0.000906224|0.077659878|-0.227404687|-0.478461478|0.817851296|0.832674224|0.1563642469999999|0.018207862|0.8846605|0|0.760267769|-0.082404548|0.423689705|0.030769062|-58.34300549|21.78471426|94.12528108|-54.02363038|81.68309557|96.81391944|-25.88878839|80.12771975|0.477102332|3041.082692|-1449.77215|2474.175727|0.912420081|6569.653402|243.2659577|39.44011905|0.028968808|2208.646667|20.51012207|1.0|1.0|0.0|2.0|0.17|17.0|95.5|1.0|0.0|1.0|-4.18|6.0|439.47|0.0|1.76|6.579999999999999e-05|0.0289|8.36e-05|2.53|0.0|0.0|2.42e-07|0.000106|-0.05406|5733.0|4.5|3.8512|737.53|1236.64|321.93|588.2|0.67215|-0.21044|0.03648828|-1460.610659|6.8996|7.7696|7.7696
12e_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|-0.0077937519999999|5.351858133|-0.029595542|-0.010682095|0.0|-0.444243861|0.0043261129999999|0.005418617|-0.055954785|1|1|0.0053380919999999|-0.018475151|-0.154412059|-0.417089226|0.838579475|0.8246767140000001|0.002248768|-0.097868612|0.876441789|0|0.816703705|-0.07914783|0.407218612|0.024254701|-52.50202674|16.08914569|106.2790684|-43.14823836|0.0|80.10232244|-23.31866823|68.59117243|0.46715936|2920.484542|-1235.889416|2392.685958|0.8767337279999999|6421.289402|194.2788429|32.97692061|0.022696477|1747.776792|15.05551106|1.0|1.0|1.0|1.0|0.17|17.0|90.88|2.0|0.0|1.0|-5.44|5.0|428.51|0.0|2.57|3.59e-06|0.00154|1.19e-05|3.84|0.0|0.0|1.84e-07|7.87e-05|-0.05044|5.0412|3.58|3.4747|709.98|1201.05|356.82|562.76|0.68605|-0.19804|0.03344515|-1690.092998|6.1598|7.9431|7.9431
3h_a32|0.0|1|1|1|3.579396967|0|7.765993078999999|0|-0.005281944|5.733341277|-0.008243901|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|-0.111111111|3|3|0.003284804|0.025035542|-0.122769653|-0.531669815|0.84279263|0.7926338540000001|-0.169197453|-0.2|0.834881529|1|0.87880263|-0.07183387|0.30907784|0.0111539339999999|-44.97387528|6.98327435|76.38838542|-34.60714056|0.0|62.63332945|-17.27367301|51.95714963|0.4089962629999999|2398.020434|-829.1363044|2911.160989|0.692036677|5187.525619|141.8112711|22.33200639|0.011751781|1071.936307|7.357575822|1.0|1.0|1.0|1.0|0.35|19.0|110.94|2.0|0.0|1.0|-8.23|3.0|382.55|0.0|5.4|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|6.12|0.0|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|4.61|3.5552|676.22|1127.45|348.74|578.86|0.70257|-0.20059|0.02690554|-1790.5004850000005|5.8749|8.1549|8.1549
9_a27|0.0|1|0|0|2.627701427|1|6.842683282|0|-0.0073742819999999|4.727387819|-0.050617284|-0.152086653|1.233610009|-0.331842668|0.00611794|-0.051160217|-0.0447599329999999|1|1|0.00651856|-0.2559122789999999|-0.171520296|-0.541535578|0.677253824|0.8214321609999999|0.017503266|-0.071974951|0.8806964490000001|1|0.7988644709999999|-0.078270599|0.36853691|0.019589991|-40.3551562|10.10030794|128.27738490000002|-23.50038785|65.12542467|53.0685473|-17.36382286|50.45546414|0.466349763|2256.4955670000004|-729.2805601|1463.168883|0.873886547|4962.727436|108.6440173|21.99956856|0.014524299|923.9818797|7.488512291|1.0|0.0|1.0|1.0|0.16|21.0|76.46|0.0|0.0|1.0|-4.06|4.0|331.37|1.0|2.99|8.66e-05|0.0287|8.28e-05|2.8|0.0|0.0|8.69e-08|2.88e-05|-0.0471|5.5421|4.67|4.1673|549.64|945.35|297.52|425.08|0.59444|-0.2187|0.02461151|-1083.017359|4.0436|8699.0|8699.0
17b_a50|0.0|0|1|1|0.0|2|7.934155233999999|1|-0.002181823|5.82008293|0.013050204|0.035558152|2.206759705|-0.144000296|0.012409091|-0.152660972|-0.15040528|2|2|0.012686493|0.05636897|-0.357011777|-0.237489143|0.7715057479999999|0.7621727979999999|-0.1585336269999999|-0.257646121|0.799772151|1|0.931849183|-0.047785496|0.4220781729999999|0.0128994089999999|-33.25475672|8.976922737999999|9.9094658|-36.59177249|86.9549829|59.65808461|-18.65764227|42.23167946|0.4835366239999999|2765.537065|-1156.773821|1948.148592|0.936245718|6059.076348|136.82673369999998|23.22374317|0.010169967|1439.872076|7.077456382|1.0|1.0|1.0|0.0|0.35|20.0|51.77|3.0|0.0|1.0|-4.75|4.0|426.56|1.0|3.87|1.7899999999999998e-05|0.00763|1.22e-05|3.96|0.0|0.0|2.87e-08|1.22e-05|-0.0318|4.2447|3.77|4.0418|752.09|1300.3|306.75|647.75|0.66195|-0.19879|0.02640483|-1336.899093|8.4096|6.9136|6.9136
3d_a49|0.0|0|0|0|0.0|1|7.535296702|1|-0.003398408|5.4161004020000005|-0.3456333889999999|-0.087308534|1.775376197|-0.173318804|-0.00918253|-0.068390038|0.017871379|1|1|-0.004253844|-0.149675594|-0.129666234|-0.202380888|0.914407252|0.808676284|0.01450704|0.029549308|0.863438637|1|0.733071652|-0.099295364|0.464410121|0.009601398|-57.52001036|5.561916586000001|137.78978830000003|-31.67236018|0.0|65.59130031|-20.93944137|63.08192694|0.486368221|2809.9605100000003|-984.1537446|1660.7054380000002|0.946920034|6018.145364|140.9844521|27.67490257|0.018844179|1300.720421|10.91609228|1.0|1.0|1.0|3.0|0.15|21.0|121.39|1.0|0.0|1.0|-5.19|5.0|392.45|0.0|1.85|6.42e-06|0.00252|3.6200000000000006e-05|2.98|0.0|0.0|7.1e-07|0.000278|-0.05766|5.1844|4.02|3.8907|615.3|1044.19|318.67|455.47|0.67215|-0.21913|0.04373784|-1594.435881|2.3278|5.6308|5.6308
21c _a23|0.0|0|1|1|0.0|2|7.525639975|0|-0.009944003|5.4161004020000005|-0.135572353|0.0645437059999999|0.731360766|-0.576752175|0.003456487|-0.092608459|-0.039311241|2|2|0.0035741379999999|0.118226959|-0.036896213|-0.596546056|0.7641222459999999|0.782543953|0.149511954|-0.060079444|0.838980345|1|0.790596437|-0.08365474|0.2571258939999999|0.014036138|-59.46209153|9.976937758|323.3651097|-49.86692499|94.32302529|79.71722579|-28.58195193|69.43902929|0.468609427|3161.1237530000003|-1543.4254039999998|2628.628799|0.881854988|7227.157398|117.597286|34.24804117|0.013451712|1849.394223|9.5615256|0.0|1.0|1.0|2.0|0.08|26.0|148.11|1.0|1.0|1.0|-5.63|5.0|468.53|0.0|3.0|2.35e-06|0.0011|1.92e-05|2.86|0.0|0.0|4.69e-08|2.2e-05|-0.07892|3.6649|4.47|3.6649|747.88|1275.12|338.3|587.02|0.5885699999999999|-0.22981|0.03257532|-1837.736174|8.3979|7.1752|7.1752
