molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|AATSC1c|SRW07|AATSC1s|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|WNSA5|RPCS|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
3i_a32|0.0|1|1|1|2.417426304|0|7.78113851|0|-0.012358668|5.733341277|-0.363243817|-0.21362765|1.711001131|-0.4449120629999999|-0.0131506889999999|-0.26785886|0.022524712|3|3|-0.0106761939999999|-0.8373173840000001|-0.212967423|-0.537667101|0.565740817|0.833699527|-0.337053202|0.030060554|0.902293804|1|0.893827987|-0.093279684|0.259644227|0.015296821|-49.17963359|8.064907632|60.99385995|-31.48976464|0.201037767|71.27609889|-23.52884474|57.24454122|0.422644726|2471.4299920000003|-776.4518766|2141.3084710000003|0.732035793|5656.349227000001|120.8809386|30.52825775|0.021905206|1007.432506|11.54903146|1.0|1.0|1.0|1.0|0.13|19.0|110.94|2.0|0.0|1.0|-6.27|6.0|366.38|0.0|4.37|5.37e-07|0.000197|6.85e-06|4.23|0.0|0.0|1.0900000000000001e-07|4.01e-05|-0.06518|3642.0|3.38|3642.0|530.5|876.0|340.43|418.24|0.70322|-0.21278|0.02199999|-1891.790935|3.8572|8.2366|8.2366
20_a4|0.0|0|0|0|0.0|1|7.535296702|1|-0.003103385|5.4161004020000005|-0.00123671|-0.061689675|0.0|-0.124135414|0.012265062|-0.1473674569999999|-0.059498265|1|1|0.012025268|-0.098992154|-0.103098674|-0.211751813|0.691307598|0.7797803109999999|0.246357638|-0.105783279|0.8404413829999999|0|0.918147288|-0.060595472|0.210083785|0.022933651|-29.16642156|11.03865532|63.27373076|-16.72448692|68.49419443|46.45917085|-13.14728679|40.20507689|0.421704107|1982.961908|-486.4496111|1379.418733|0.729218575|4085.683488|171.5531319|20.4281979|0.024334176|755.8433223999999|11.71277006|1.0|1.0|1.0|0.0|0.11|17.0|39.94|0.0|0.0|2.0|-3.46|3.0|289.33|1.0|2.97|0.000346|0.1|0.000134|2.96|0.0|0.0|2.79e-06|0.000806|-0.03048|5.1778|2.73|4.0419|517.72|861.05|306.74|402.27|0.66028|-0.19747|0.022349042|-934.150871|5.5779|6.1898|6.1898
13n_a6|0.0|1|0|0|3.425442623|0|6.842683282|0|-0.010884884|4.727387819|-0.135152403|0.058267173|1.628408574|-0.631323273|-0.0093684169999999|-0.06507689|-0.033224059|1|1|-0.00687003|0.100294804|-0.118693789|-0.57091314|0.870730542|0.7767360059999999|-0.064779873|-0.056293641|0.832753533|1|0.70890216|-0.100363599|0.307384948|0.017758385|-68.88015714|12.18768927|90.97854097|-51.52585133|103.012404|88.73738138|-26.41600355|81.06784641|0.47066442|2952.259627|-1426.464192|2535.307313|0.889160748|6386.381394|172.28545730000002|35.2699138|0.019904118|1904.575345|13.66031867|1.0|1.0|1.0|3.0|0.08|27.0|122.47|1.0|0.0|1.0|-4.64|5.0|435.48|0.0|2.62|2.27e-05|0.00987|5.24e-05|2.43|0.0|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|4.27|3.3510000000000004|727.69|1232.6|369.99|548.09|0.64027|-0.20994|0.05026727|-1423.514154|10.1967|7.1249|7.1249
12bc_a36|0.0|1|0|0|3.43846811|0|7.412764017000001|2|-0.007661816|5.351858133|-0.042515909|0.068351685|0.0|-0.413738077|-0.001012333|-0.079009683|-0.027636036|1|1|-0.00097037|0.115647623|-0.1716508239999999|-0.442519304|0.884841888|0.836170906|0.006621918|-0.045186455|0.892249657|0|0.834305498|-0.077192869|0.326764696|0.01824287|-51.87437401|12.2593899|83.35308244|-48.36968394|0.0|83.97121855|-25.91194805|64.13376391|0.467645467|2927.476132|-1295.597402|2623.395239|0.878447423|6587.689277|153.57572439999998|33.5878425|0.017847333|1679.392125|11.99358509|1.0|1.0|0.0|2.0|0.14|17.0|69.2|2.0|0.0|1.0|-5.08|4.0|450.32|1.0|2.82|8.27e-06|0.00372|6.55e-06|3.93|0.0|0.0|1.74e-08|7.83e-06|-0.05828|5.2189|4.42|3.8696|705.12|1188.37|320.4|563.76|0.69094|-0.21499|0.03419831|-2151.971485|9.2445|8.0969|8.0969
7s_a46|0.0|0|0|0|0.0|1|7.727094485|1|-0.005351046|5.533389489|-0.076841616|-0.210750635|0.0|-0.240797051|0.0060802|-0.005405515|-0.020953253|1|1|0.005577925|-0.327656845|0.018964141|-0.3638523629999999|0.778692012|0.770312275|-0.036284605|-0.030371026|0.8182543959999999|0|0.858788462|-0.096723151|0.249893305|0.008871171|-48.61321955|4.458665639|166.3052939|-20.9694955|0.0|47.36217237|-15.894055599999998|53.07188519|0.433822088|1982.695462|-667.5503351|1619.4591|0.7662292690000001|4245.390306|90.5248694|19.38565529|0.01122216|814.1975221|5.640276426000001|0.0|1.0|1.0|1.0|0.26|17.0|50.94|0.0|0.0|1.0|-4.07|3.0|305.37|1.0|3.12|8.590000000000001e-05|0.0262|5.76e-05|3.32|0.0|0.0|8.39e-07|0.000256|-0.02024|5.2972|3.54|4293.0|539.99|916.7|288.81|446.63|0.69976|-0.19947|0.036050328|-974.664103|3.6655|5.7022|5.7022
6b_a40|0.0|0|0|0|0.0|1|8.421342866|1|-0.014861289|6.401917197|-0.069975812|-0.137534783|0.6899826|-0.698480566|-0.003851208|0.0986825569999999|-0.226457281|2|2|-0.004728928|-0.248560671|-0.033583055|-0.630957955|0.691778838|0.842573207|0.003163118|-0.307881994|0.90571269|1|0.753431574|-0.107699967|0.417254814|0.014588568|-72.13527644|9.771129787|176.8246355|-53.15460718|34.43877986|87.29061302|-33.22101012|81.90640622|0.442509019|3214.047452|-1428.503435|4049.386572|0.793750992|8482.600495|81.61884754|37.83107469|0.011838681|1626.736212|7.929311055|1.0|0.0|1.0|1.0|0.21|14.0|173.43|2.0|1.0|2.0|-8.41|5.0|511.42|0.0|4.21|3.86e-09|1.98e-06|6.55e-07|5.03|1.0|1.0|6.21e-06|0.00318|-0.09533|3.1026|8.98|3.1026|687.2|1183.07|399.62|552.01|0.69429|-0.21904|0.03026498|-3290.648012|11.3203|7.5229|7.5229
14f_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.006791105|5.351858133|-0.027380305|0.056215377|0.745818086|-0.373510774|0.010561248|-0.0555907109999999|-0.041351617|2|2|0.010508236|0.101910723|-0.199540201|-0.399688849|0.756252127|0.796412133|0.070514687|-0.06885759|0.854683662|1|0.894162392|-0.059927056|0.2096108239999999|0.027134452|-40.51498423|18.34483401|96.47955427|-38.58595734|96.60179161|74.08536976|-21.26277654|58.85981824|0.478733036|3014.916135|-1084.401604|2322.5224120000003|0.918402793|6768.918745|225.9578225|31.93672236|0.025162423|1628.77284|17.01160115|0.0|1.0|1.0|1.0|0.09|26.0|114.25|2.0|0.0|1.0|-5.63|5.0|441.51|0.0|3.46|2.32e-06|0.0010199999999999|9.57e-06|3.55|0.0|0.0|3.11e-08|1.3699999999999998e-05|-0.07163|5.8184|3.23|3.5753|711.98|1210.19|346.78|572.35|0.6733399999999999|-0.21743|0.02255331|-1744.2443850000002|9.1089|8.6459|8.6459
9c_a31|0.0|1|0|0|3.410619646|0|7.765993078999999|1|-0.013082561|5.733341277|-0.055520387|-0.0384827639999999|0.0|-0.6933757159999999|-0.003618466|-0.1047269419999999|-0.062737615|2|2|-0.000813398|-0.062065125|-0.223856622|-0.546598398|0.8083148840000001|0.842823186|-0.000533581|-0.108617754|0.8856644770000001|0|0.6746901059999999|-0.103325018|0.287455956|0.030296721|-65.84728287|19.30758668|153.5739377|-52.02424796|552.8237349999999|97.22026028|-22.85764436|85.15486955|0.4558841429999999|2592.448925|-1142.882218|2242.189942|0.837843885|5658.985169|209.8466636|34.07943198|0.024456662|1703.9715989999995|15.58581614|1.0|1.0|1.0|2.0|0.35|16.0|117.37|2.0|0.0|1.0|-5.23|5.0|398.48|0.0|3.32|5.85e-06|0.00233|6.94e-05|3.1|0.0|0.0|5.79e-08|2.31e-05|-0.03249|3849.0|4.94|3849.0|691.3|1147.93|322.12|588.58|0.7007399999999999|-0.19224|0.04177078|-1617.9568470000002|2.2323|6.3768|6.3768
14ad_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.00790478|5.351858133|-0.028065075|0.118047355|0.735584095|-0.4663820279999999|0.008996289|-0.05348283|-0.031279567|2|2|0.009675528|0.2086248289999999|-0.253318853|-0.376350719|0.7763406840000001|0.7830067820000001|0.165157698|-0.050707765|0.8356326820000001|1|0.887131635|-0.059168372|0.224009311|0.033831691|-42.29008971|24.18091285|52.63180108|-43.85199724|114.237062|85.20135045|-21.19489662|66.47100256|0.46995189|3209.330728|-1165.7193140000002|2339.533586|0.8866211979999999|7308.229822|303.1354708|36.80430179|0.033365494|2024.236598|23.84770234|0.0|1.0|1.0|1.0|0.12|26.0|123.48|2.0|0.0|1.0|-5.8|6.0|471.53|0.0|3.39|1.6e-06|0.000753|8.22e-06|3.52|0.0|0.0|2.49e-08|1.17e-05|-0.06925|3.3867|2.99|3.3867|747.83|1287.26|366.09|618.01|0.6956600000000001|-0.20659|0.01481488|-1858.733603|6.7584|8.3595|8.3595
13b_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|-0.011016128|5.351858133|-0.118776867|-0.035340334|0.0|-0.627919307|-0.003436924|0.042845487|-0.0463169629999999|1|1|-0.002215642|-0.062905093|0.006103754|-0.564815317|0.841060094|0.836520136|-0.045844862|-0.0771674659999999|0.892104517|0|0.694101802|-0.109962789|0.3529073379999999|0.018555474|-74.24619275|12.52854078|385.2420923|-51.76819834|105.341977|88.26741491|-28.93268471|86.77473353|0.454574838|3002.926824|-1533.432289|2319.48655|0.8334321|6627.406474|134.8423681|36.15271139|0.017174033|1916.093704|11.59580043|1.0|1.0|0.0|2.0|0.13|17.0|124.74|1.0|0.0|1.0|-5.01|5.0|441.51|0.0|1.91|9.68e-06|0.00427|5e-05|2.74|0.0|0.0|6.520000000000001e-07|0.000288|-0.05434|5.0501|4.54|3.5056|721.48|1210.94|353.68|544.04|0.6862699999999999|-0.20313|0.0455651|-1744.281763|5.3762|7.5901|7.5901
14z_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.005892861|5.351858133|-0.024897956|0.038811869|0.729326158|-0.30053593|0.009174505|-0.0438568409999999|-0.0229244|2|2|0.007229683|0.0708381429999999|-0.125978901|-0.46459002|0.719722236|0.802520527|0.10796308|-0.035965909|0.8668730109999999|1|0.925301102|-0.0582387179999999|0.228957475|0.018337664|-40.56245532|12.77192721|40.18308023|-38.68856944|79.960755|66.77741935|-23.63754572|53.33438253|0.474697407|3094.698027|-1110.964649|2692.627452|0.903664694|7285.13008|149.3235124|30.08835522|0.01612263|1414.152695|11.22918692|0.0|0.0|1.0|1.0|0.05|26.0|105.02|2.0|0.0|1.0|-6.77|4.0|480.37|0.0|4.49|1.7e-07|8.18e-05|7.37e-07|4.83|0.0|0.0|2.6899999999999996e-09|1.29e-06|-0.08503|4032.0|4.73|3.6632|715.41|1221.92|338.46|586.28|0.69913|-0.23698|0.01238131|-2548.957384|7.9877|8.2941|8.2941
10_a3|0.0|0|0|0|0.0|0|6.823286122000001|0|-0.010609861|4.727387819|-0.1152010919999999|0.017396832|1.684975382|-0.381954986|-0.008037672|0.018484177|0.043342516|1|1|-0.005959152|0.033279122|-0.0947326669999999|-0.616256033|0.8947911009999999|0.743072638|-0.140523767|0.078405316|0.8136572320000001|1|0.747406318|-0.1007256719999999|0.518341632|0.014615264|-46.64544572|6.768239856|248.0820067|-21.21655855|80.37219813|56.68388955|-16.65993003|53.41368558|0.41220272|2098.79955|-549.7776912|1361.86525|0.701266803|4600.496436|135.8581743|23.57661855|0.023470578|778.0284121000001|10.86908195|0.0|1.0|1.0|1.0|0.0|21.0|105.82|0.0|0.0|1.0|-4.3|4.0|305.36|0.0|2.52|5.07e-05|0.0155|0.000145|2.43|0.0|0.0|3.06e-07|9.35e-05|-0.06238|5375.0|1.64|3.4217|498.67|830.63|362.35|323.26|0.68995|-0.21249|0.04080931|-1288.097561|9.3381|5.1|5.1
2_a3|0.0|0|0|0|0.0|0|6.823286122000001|0|-0.008422099|4.727387819|-0.09743592|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|0.036301827|1|1|-0.0045709459999999|-0.18746945|0.032450556|-0.568019422|0.899733837|0.769486995|-0.192034735|0.065162907|0.8401405609999999|1|0.750206578|-0.104577702|0.4551292289999999|0.011938463|-49.07072207|5.601853871|228.178656|-20.68016573|74.89956423|53.05538527|-15.55510657|54.67257594|0.458202525|2056.399995|-528.8736235|1314.679398|0.845708123|4446.904467|127.637231|21.36736636|0.019143348|726.4904564|8.982583312000001|1.0|1.0|1.0|1.0|0.0|21.0|92.93|0.0|0.0|1.0|-4.75|3.0|304.37|0.0|3.06|1.7800000000000002e-05|0.0054|5.33e-05|3.13|0.0|0.0|1.3e-07|3.9500000000000005e-05|-0.06423|5.4397|1.97|3.3354|503.34|841.85|371.73|340.69|0.69543|-0.21028|0.02925101|-1272.04778|5.4999|5.4|5.4
12ap_a36|0.0|1|0|0|3.4417292610000003|0|7.412764017000001|2|-0.007719624|5.351858133|-0.010732275|0.066185994|0.0|-0.424579308|-0.000143196|-0.105824575|-0.042675894|1|1|0.001194592|0.117738331|-0.175397741|-0.436880644|0.8707354620000001|0.832758813|-0.025198947|-0.074596774|0.893689741|0|0.830587483|-0.082622504|0.27547717|0.0217479329999999|-54.21070432|14.26936622|82.56761031|-45.7078307|0.0|83.16347311|-24.58703954|68.48007054|0.464588|2843.18721|-1253.939017|2328.307856|0.86772056|6003.481614|172.00197649999998|33.32245946|0.020575639|1699.445432|13.50019441|1.0|1.0|0.0|2.0|0.13|17.0|92.99|1.0|0.0|1.0|-3.99|5.0|406.44|0.0|1.66|0.000101|0.0412|0.000113|2.4|0.0|0.0|2.21e-07|8.97e-05|-0.06084|4.9124|2.98|3.8801|691.41|1160.79|319.54|553.28|0.6929|-0.21788|0.04039655|-1325.0127220000002|9.6512|7.4949|7.4949
1d_a5|0.0|1|0|0|2.79978458|0|6.605297921|0|-0.006252818|4.59511985|-0.308010841|-0.118028278|0.0|-0.2688711589999999|-0.0012491689999999|-0.2261588939999999|-0.010183824|1|1|-0.000700145|-0.389011185|0.004923698|-0.38633065|0.525406088|0.7595197290000001|-0.058872605|-0.015804188|0.821309592|0|0.8965037640000001|-0.088396743|0.6271150670000001|0.007937625|-47.76176205|4.288788702|204.4506579|-25.16889922|0.0|56.83734591|-19.79744178|52.05055075|0.471074204|2481.822293|-791.897671|1172.890724|0.89062437|5717.438103|123.9992274|25.69414151|0.018980039|1027.76566|10.25512997|1.0|1.0|1.0|1.0|0.05|23.0|54.46|2.0|0.0|1.0|-4.79|6.0|366.34|0.0|4.15|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|-0.04528|4.8725|3.58|4.6112|567.04|951.63|268.88|414.59|0.5764600000000001|-0.23519|0.03392008|-1288.253849|5.3765|5.03|5.03
18b_a25|0.0|0|0|0|0.0|1|6.842683282|0|-0.003259453|4.727387819|0.0131826839999999|-0.018632104|2.003993644|-0.189048258|0.006181503|0.014055398|0.0009956189999999|1|1|0.00598031|-0.032776381|-0.061048368|-0.303383008|0.721100414|0.7723870909999999|-0.026045966|0.001715854|0.8333962429999999|1|0.936253893|-0.063132226|0.348987182|0.01278627|-44.30110081|8.972372556|80.36582704|-38.7252349|0.0|64.81723515|-21.46130777|53.27347337|0.493622561|3051.645565|-1158.910619|2327.4502850000003|0.974811521|6973.180791|151.02439719999998|27.34692815|0.013724883|1476.7341199999998|9.631015182|1.0|1.0|1.0|1.0|0.07|27.0|111.51|2.0|0.0|1.0|-6.54|4.0|460.55|0.0|4.35|2.87e-07|0.000132|1.95e-06|4.48|0.0|0.0|1.4500000000000002e-10|6.690000000000001e-08|-0.07066|5.5437|4.32|3.6826|728.12|1284.89|336.67|612.24|0.54166|-0.22145|0.03002332|-1767.286778|2752.0|7.2924|7.2924
3e_a32|0.0|1|1|1|3.501917045|0|7.773594467000001|0|-0.006553709|5.733341277|-0.058503168|-0.057366352|2.220794149|-0.275255791|0.000655875|-0.114649277|-0.080731823|3|3|0.002004382|-0.1046390059999999|-0.1395294259999999|-0.551661318|0.8315372|0.8046468659999999|-0.061561535|-0.12378337|0.85921771|1|0.8681696109999999|-0.073411249|0.290874543|0.0124235339999999|-39.56206964|6.69516884|47.09895162|-29.05885545|0.0|60.86894767|-16.59123638|46.25723848|0.4513338939999999|2212.661182|-647.0582188|1732.3689949999998|0.822602107|4827.877259000001|121.1171726|21.40099522|0.012891628|834.6388134|6.94742943|1.0|1.0|1.0|1.0|0.24|19.0|110.94|1.0|0.0|1.0|-6.52|3.0|340.47|0.0|4.3|3.02e-07|0.000103|6.6e-06|4.47|0.0|0.0|1.2099999999999998e-07|4.13e-05|-0.0534399999999999|3.5589|3.52|3.5589|578.77|956.67|348.38|456.76|0.7025399999999999|-0.20098|0.02588637|-1672.62984|5.6928|8.0862|8.0862
6_a15|0.0|0|0|0|0.0|0|0.0|0|-0.00951284|0.0|-0.048804012|0.106485923|0.0|-0.513693384|0.001080419|0.011857945|-0.009025163|0|0|0.003942615|0.153430865|-0.281352401|-0.35221474|0.8511056929999999|0.691316481|0.0371776429999999|-0.015484797|0.7248900659999999|0|0.859308431|-0.07051817|0.398681391|0.02948637|-41.14459066|17.20414198|105.4415725|-41.87249058|55.65697829|88.94853813|-17.94143141|58.34873264|0.3902945579999999|2454.904173|-932.9544335|1971.005637|0.640136254|5589.043165|243.9013805|30.82854077|0.029449813|1603.08412|17.18281248|1.0|0.0|1.0|1.0|0.23|18.0|61.84|2.0|0.0|1.0|-5.66|5.0|380.44|1.0|4.11|2.16e-06|0.000823|7.32e-06|4.64|0.0|0.0|1.13e-08|4.3e-06|-0.02419|4.3423|3.94|3.7696|612.22|1092.02|328.9|545.21|0.70554|-0.18133|0.01711539|-1262.820532|1.9421|7.4559|7.4559
14aa_a23|0.0|0|1|1|0.0|2|7.423568444|0|-0.005050361|5.351858133|-0.026892547|0.031136154|0.758549568|-0.287870566|0.013012022|-0.029037128|-0.044957534|2|2|0.012103325|0.055934795|-0.13397874|-0.4506138879999999|0.725358161|0.75434493|0.055269665|-0.070471939|0.8072028240000001|1|0.924108042|-0.052155763|0.204831806|0.018016316|-35.51947393|12.26959478|40.49537336|-35.2984572|83.27171526|61.21989213|-21.51484958|47.78906871|0.4930525229999999|2941.302235|-1140.287028|2263.821505|0.972590939|6651.23042|138.4803717|27.00633206|0.013786041|1431.335599|9.388663605|0.0|1.0|1.0|1.0|0.12|26.0|105.02|2.0|0.0|1.0|-6.23|4.0|439.54|0.0|4.1|5.9e-07|0.000259|2.81e-06|4.31|0.0|0.0|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|4.1|3.5934|715.57|1231.11|345.03|588.45|0.6805899999999999|-0.21573|0.02033777|-1708.338059|8.3532|8451.0|8451.0
12au_a36|-3.3109381210000004|1|0|0|3.422314661|0|7.412764017000001|2|-0.009897048|5.351858133|-0.351827031|0.075815782|0.0|-0.613616984|-0.006862238|-0.023640632|-0.03802163|1|1|-0.001160331|0.1320241419999999|-0.261631709|-0.515924985|0.8183043390000001|0.825565083|-0.021932444|-0.058671909|0.877827228|0|0.698996981|-0.090166553|0.284342092|0.021569487|-64.86748076|15.51748637|102.3999102|-57.09017539|26.04051569|95.91776213|-27.36414058|80.38496714|0.492871181|3484.987058|-1587.1201529999998|2384.109036|0.97188557|7239.100414|204.2726719|38.21494522|0.023021031|2216.466823|16.56175445|0.0|1.0|0.0|3.0|0.17|17.0|123.75|1.0|0.0|1.0|-3.85|6.0|474.54|0.0|1.18|0.0001409999999999|0.0668|0.0001889999999999|1.64|0.0|0.0|1.36e-07|6.45e-05|-0.0570899999999999|5.1307|6.24|3.7105|752.27|1283.4|334.15|618.65|0.70395|-0.2087099999999999|0.05174058|-1875.960827|8.0814|7.3279|7.3279
11a_a31|0.0|1|0|0|2.856083711|0|7.773594467000001|1|-0.02376325|5.733341277|-0.259732443|-0.087576474|0.0|-0.8792402579999999|-0.022093578|-0.1217573119999999|-0.019865299|2|2|-0.017433557|-0.149933348|-0.1829166189999999|-0.563537536|0.861302755|0.8433024170000001|0.022073976|-0.030335912|0.910334509|0|0.486754956|-0.151872243|0.271818874|0.041435152|-76.64827023|20.91187076|258.8577775|-41.01552988|71.03772901|97.23036756|-28.68314085|97.560141|0.451795285|2288.9694010000003|-975.2267888|1769.346573|0.8241360790000001|4940.657452|133.6139513|39.01114987|0.031626337|1326.379096|15.96146849|0.0|0.0|1.0|2.0|0.13|16.0|125.57|0.0|0.0|2.0|-4.81|6.0|329.33|0.0|2.42|1.5399999999999998e-05|0.00506|0.000161|2.53|0.0|0.0|2.22e-05|0.00731|-0.05074|3.8042|3.97|3.8042|529.63|860.74|325.92|407.76|0.69222|-0.20589|0.04099365|-1441.37897|8.9667|6.7212|6.7212
47n_a18|0.0|0|0|0|0.0|0|7.03438793|1|-0.007614955|4.844187086|-0.057061805|0.017491759|0.0|-0.609196374|0.000271488|-0.003276575|-0.048404296|0|0|0.001705837|0.026244774|-0.258092915|-0.529441732|0.722991132|0.696612213|-0.09714337|-0.083719099|0.726888951|0|0.792429396|-0.079299822|0.288989992|0.0106152389999999|-65.43887366|8.759783644|61.29571241|-62.09468789|47.476904100000006|86.44740177|-26.38541222|74.19865731|0.482565384|3349.802294|-2031.676741|2052.393389|0.932611327|7909.580851999999|178.30942439999998|33.65821422|0.01357247|2591.682495|11.20011508|1.0|1.0|1.0|3.0|0.31|18.0|105.6|3.0|1.0|1.0|-6.02|4.0|539.67|0.0|2.76|9.48e-07|0.000511|5.7e-06|4.1|0.0|1.0|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|3.2028|9.78|3.2028|879.92|1565.37|387.11|799.02|0.6914600000000001|-0.18391|0.02839695|-1740.663577|3.3568|7.1938|7.1938
EW7203_a60|0.0|0|0|0|0.0|0|7.412764017000001|2|-0.00698487|5.351858133|0.0075638519999999|-0.092774356|0.0|-0.377182982|0.003099827|0.03824498|-0.051413084|1|1|0.0036417359999999|-0.1696249719999999|-0.090115975|-0.458129101|0.80330079|0.822401103|0.002441966|-0.089945913|0.8839272779999999|0|0.8860751579999999|-0.076068195|0.345488097|0.020156795|-49.19385637|13.03554647|80.48638339|-40.24477665|0.0|73.82739839|-23.64750675|62.22940284|0.497298165|2913.880231|-1182.375337|1660.077477|0.989250745|6403.777228|150.7881632|30.83771958|0.01793256|1541.885979|11.59711747|1.0|1.0|1.0|2.0|0.13|17.0|117.47|2.0|0.0|1.0|-5.74|4.0|425.51|0.0|3.09|1.81e-06|0.000768|1.53e-05|3.59|0.0|0.0|2e-07|8.51e-05|-0.06188|5.0166|3.64|3.5192|678.83|1166.44|352.3|546.85|0.69857|-0.20654|0.03203878|-1667.848192|2.5159|8.0334|8.0334
12w_a36|0.0|1|0|0|3.3131307480000003|0|7.412764017000001|2|-0.015825416|5.351858133|-0.297354748|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|-0.010726574|1|1|-0.007897954|0.115646674|-0.3344729369999999|-0.604676196|0.647732719|0.828393514|-0.098657593|-0.016393443|0.8792981679999999|0|0.828363244|-0.086826396|0.532980165|0.021104445|-62.34080876|15.15285952|112.947763|-57.35989379|0.780959767|99.51883498|-29.58856606|77.49366829|0.4672300679999999|3230.870697|-1597.782567|2602.5207|0.8769828040000001|7418.252264|211.5476713|41.94801097|0.0273396629999999|2265.1925920000003|19.62970663|1.0|1.0|0.0|2.0|0.17|17.0|78.43|2.0|0.0|1.0|-5.2|8.0|465.43|0.0|2.65|6.26e-06|0.00291|8.6e-06|3.86|0.0|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|3.8881|712.88|1198.72|318.88|552.55|0.69466|-0.21034|0.0328886|-1645.017691|7.0746|7.6383|7.6383
4d_a49|0.0|0|0|0|0.0|1|7.535296702|1|-0.006135653|5.4161004020000005|-0.058204482|-0.090862681|1.76904838|-0.343596561|0.000607064|-0.053327669|0.013451218|1|1|0.001356445|-0.151004418|0.000850823|-0.417231241|0.7745859279999999|0.783870915|-0.008564167|0.023137464|0.834151595|1|0.752634646|-0.089942837|0.410804214|0.013625199|-55.40321178|8.392883773|85.21839288|-32.61868996|57.16412513|66.51766234|-17.31186002|63.79609555|0.470013152|2658.242991|-900.2167208999999|1640.195062|0.8868392740000001|5915.214567|212.6814716|26.44129877|0.022019681|1374.947536|13.56373757|0.0|1.0|1.0|2.0|0.22|21.0|98.72|1.0|0.0|1.0|-3.13|5.0|398.46|0.0|2.27|0.000743|296.0|0.0004509999999999|1.45|0.0|0.0|2.64e-08|1.05e-05|-0.06309|5.7447|2.99|3.8047|668.09|1144.04|325.87|495.7|0.6782100000000001|-0.2219699999999999|0.0395418|-1293.107454|5.5765|7.7447|7.7447
9b_a36|0.0|1|0|0|3.513187594|0|7.412764017000001|2|-0.0058276019999999|5.351858133|-0.023369916|0.082806042|0.0|-0.308862918|0.005050384|-0.077361324|-0.06502499|1|1|0.005458948|0.146828453|-0.094526372|-0.4060950789999999|0.8421237309999999|0.7885597609999999|-0.034830997|-0.1177413269999999|0.842671963|0|0.8453794609999999|-0.074181597|0.2602997|0.017007854|-46.58565720000001|10.68084402|67.12293326|-38.76797062|0.0|71.70079424|-22.67740953|57.26650122|0.453252346|2715.020034|-1111.193067|2464.2160510000003|0.828997331|5838.085413000001|136.63774650000002|28.98359786|0.015872498|1420.196295|9.967846072|1.0|1.0|0.0|1.0|0.14|17.0|82.47|1.0|0.0|1.0|-4.6|4.0|398.48|0.0|2.48|2.49e-05|0.00992|3.71e-05|3.2|0.0|0.0|2.3100000000000002e-07|9.21e-05|-0.05146|3.8535|3.82|3.8535|666.01|1127.85|321.74|514.45|0.69763|-0.20979|0.02803905|-1575.616432|8.4288|7.6778|7.6778
