molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|AATSC1s|n6HRing|MATS7i|SaaaC|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|PNSA5|PPSA3|RNCS|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
3d_a12|0.0|0|0|0.0|0.0|0|0.0|1|1|1.28383852|-0.053022041|3|-0.166233441|0.0|-0.002185753|-0.058191686|0|-0.000643935|-0.282667477|-0.532019854|2|0.7697403429999999|-0.097468573|0.82682708|0.8547246829999999|-0.0958414059999999|0.2443206489999999|-49.24083018|5.717316796|74.39425719|-0.035063929|2.9374091630000003|0.0|0.77428353|-1.437621096|-17.64609244|57.52228251|-18.01493787|40.06333231|2148.979792|-738.6124526000001|1205.356874|0.22571647|5.786006004|10.96674758|115.96727140000002|-379.4799315|0.01611886|953.9302134|410.9162081|8.281452338|1.0|1.0|1.0|0.0|1.0|1.0|3.98|0.11|18.0|-7.51|3.37|50.17|100.28|1.0|3.0|-3.52|24.0|4.0|-6.22|313.36|1.0|1.0|2.67|-3.91|0.000302|0.0945|0.000123|0.0385|3.08e-08|4.2114|3.1|-1006.704001|918.3|328.71|294.4|0.53114|-1006.556654|-0.15387|2.2068|-0.22229|-1006.606666|3.0037|7.6021|7.6021
16a_a10|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.325756911|0.023926176|2|-0.085711535|2.009832665|0.014886502|-0.0048530629999999|1|0.011558506|-0.133979603|-0.1948324069999999|2|0.772481675|-0.068377262|0.813036304|0.916148686|-0.076950669|0.3637074329999999|-53.28817038|9.606840334|77.68598956|-0.026063936|6.652715932|99.81657855|0.7270593190000001|-1.615964058|-25.21250404|63.53441386|-18.049219|46.01490333|2862.681038|-1119.0515779999998|1823.310808|0.272940681|8.531706024|15.88633689|189.0108247|-774.9407716|0.014796066|1539.147561|879.8636987|10.24624348|1.0|1.0|1.0|1.0|1.0|0.0|4.11|0.3|21.0|-8.5|4.73|56.07|133.66|1.0|9.0|-5.22|33.0|5.0|-5.91|439.55|1.0|1.0|4.24|-5.17|6e-06|0.00264|6.76e-06|0.00297|3.18e-09|5.6019|3.46|-1395.13019|1310.44|320.22|221.33|332.0|-1394.797092|-0.1605|3.8323|-0.20697|-1394.861824|4.6574|7.3279|7.3279
12g_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|0.604990688|-0.129331216|0|0.167050952|0.726175674|0.075327376|-0.211162861|2|-0.003205145|0.280045216|-0.512657141|0|0.769016155|0.020185301|0.8396782220000001|0.8702014570000001|-0.099521372|0.289122732|-52.24208444|6.670206427999999|130.7472028|-0.0435406|3.501413627|0.0|0.852031227|-1.393299206|-26.21888031|59.29860462|-22.85591194|56.61727428|2287.970776|-731.3891821000001|681.6778419|0.147968773|7.692740528|14.39849078|77.67373972|-383.9305539|0.013442698|858.4065454|335.7078145|7.056520179|1.0|0.0|1.0|0.0|0.0|1.0|3.24|0.0|20.0|-6.63|4.83|78.66|93.78|1.0|2.0|-6.46|23.0|3.0|-4.91|362.23|0.0|1.0|4.4|-5.79|3.43e-07|0.000124|1.62e-06|0.000586|2.37e-07|4.0224|4.84|-2173.0224510000003|896.63|392.64|308.23|0.67055|-2172.9382|-0.13191|1.9175|-0.20615|-2172.988604|2.7075|6.1403|6.1403
4_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.343865392|0.0159331539999999|2|-0.0214610589999999|2.183056868|-0.110597574|-0.037623601|1|0.0112367389999999|-0.035166634|-0.157959343|2|0.77276149|-0.168712277|0.8306695270000001|0.933276024|-0.06873731|0.456474074|-35.41518716|4.4155367960000005|13.70182982|-0.0255766729999999|2.274995377|42.42341622|0.793717973|-1.099796957|-13.21145879|40.86951119|-13.17774406|30.05764711|2221.6122010000004|-566.6429946000001|1883.42405|0.2062820269999999|5.326452915|8.855289118|106.2816773|-291.9486922|0.010586293|713.9097433|462.1867149|5.454324025|1.0|1.0|0.0|1.0|1.0|0.0|3.15|0.19|21.0|-7.57|4.52|43.6|100.08|1.0|2.0|-4.12|25.0|3.0|-5.79|326.39|1.0|1.0|3.64|-4.57|7.59e-05|0.0248|2.69e-05|0.00877|2.71e-08|5.382000000000001|3.24|-1029.93716|960.45|307.95|230.37|0.55032|-1029.763465|-0.1696599999999999|2.6814|-0.21831|-1029.813844|3.1195|7.1079|7.1079
17b_a25|0.0|0|0|0.0|0.0|1|6.842683282|0|0|1.3732004619999998|-0.002108117|2|-0.026412432|1.968416259|-0.100018134|0.016982601|1|0.005244553|-0.044260194|-0.366585181|2|0.780221059|0.068812225|0.838260077|0.882170399|-0.079392561|0.410780725|-60.19950116|12.04068508|99.61874923|-0.029249891|9.129863339|87.61586206|0.724866184|-1.6672437880000002|-39.21569422|73.52844745|-22.17876359|63.75929319|3100.8813760000003|-1264.189524|2514.295488|0.275133816|9.700133933|18.52147096|208.6205329|-958.573164|0.0175785369999999|1744.031591|832.226697|13.32894629|1.0|1.0|1.0|1.0|1.0|1.0|3.56|0.11|27.0|-10.04|4.88|96.49|135.78|0.0|7.0|-5.32|35.0|5.0|-6.53|458.51|0.0|1.0|3.78|-5.07|4.75e-06|0.00218|8.59e-06|0.00394|9.08e-11|5.4236|5.89|-1483.830524|1329.35|313.02|228.6|0.31395|-1483.563965|-0.16408|3.5074|-0.21939|-1483.630939|5.2142|6.9957|6.9957
12a_a36|0.0|1|0|3.4715209280000003|0.0|0|7.412764017000001|2|2|1.297044783|-0.0427777779999999|2|0.078063311|0.0|-0.070252245|-0.065913514|1|0.003199301|0.134423193|-0.432975237|1|0.7934042040000001|-0.012112722|0.846614758|0.820684627|-0.104828755|0.436020272|-64.36949846|12.03249549|109.9069212|-0.037738352|7.388485123|5.277117996|0.755315434|-1.886917597|-28.71401279|76.09903547|-23.17301945|58.79461567|2647.835699|-1158.650972|2258.5909920000004|0.244684566|6.600635115|12.464492300000002|150.24716030000002|-711.4630111|0.019102103|1533.996157|598.1535763999999|11.72953701|1.0|0.0|0.0|1.0|0.0|2.0|4.75|0.14|17.0|-6.59|2.72|69.2|123.75|1.0|5.0|-3.79|29.0|4.0|-6.72|381.43|1.0|0.0|1.86|-4.0|0.000164|0.0625|0.000101|0.0384|2.56e-07|3.8343|3.16|-1232.916523|1096.31|338.0|323.35|0.67869|-1232.707754|-0.1519299999999999|6.3637|-0.20139|-1232.764108|8.5603|7.8861|7.8861
11f_a5|0.0|1|0|2.967866825|0.0|0|6.605297921|1|1|1.370797007|0.022233547|3|-0.083432989|0.0|-0.178881726|-0.0080939669999999|1|0.008309782|-0.1323098|-0.230681941|2|0.756843253|-0.008110526|0.800575032|0.847356138|-0.074612137|0.368815548|-51.92819555|15.41338844|70.39517801|-0.022252743|10.72733576|13.29510896|0.5109475960000001|-1.268406334|-33.11311829|73.05195434|-15.48735657|62.99140465|2853.401015|-882.7793242999999|1125.122028|0.489052404|9.683662007|18.03905985|340.3683339|-614.3924972|0.030351311|1727.7296760000002|753.9168511|21.12375879|0.0|1.0|1.0|1.0|1.0|1.0|3.35|0.24|23.0|-8.67|4.61|76.16|126.79|1.0|7.0|-3.95|32.0|6.0|-6.99|427.5|1.0|0.0|2.95|-4.26|0.000112|0.0477|5.479999999999999e-05|0.0234|2.12e-09|4.4523|2.25|-1391.722248|1239.35|299.8|278.47|0.6593600000000001|-1391.444853|-0.1691|2.1313|-0.20772|-1391.50739|2.9697|7.9208|7.9208
17a_a6|0.0|1|0|3.3685510360000004|0.0|0|7.412764017000001|1|1|1.424257628|-0.0265090529999999|1|0.04129257|0.0|0.078798543|-0.060774312|1|-0.00194781|0.068338372|-0.5624663560000001|1|0.7722228729999999|0.08716369|0.8299950709999999|0.753082653|-0.109388399|0.350977745|-71.75703418|20.43213226|157.13173490000003|-0.041567592|13.40315088|554.1936506|0.77193498|-2.078379577|-41.34573382|84.75077935|-27.26767299|83.46070738|2816.084228|-1363.383649|2217.333474|0.22806502|8.337470517|16.13665395|149.60699319999998|-894.3577948999999|0.019808023|1766.18975|627.4287311|12.99374518|1.0|1.0|1.0|1.0|1.0|2.0|3.52|0.12|23.0|-9.01|4.98|95.85|116.79|1.0|5.0|-5.81|31.0|5.0|-5.89|409.44|0.0|1.0|3.59|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|9.77e-10|3.5421|4.04|-1350.078838|1167.16|416.71|350.03|0.69627|-1349.830672|-0.12425|4.1627|-0.18178|-1349.892285|5604.0|7.6198|7.6198
12bf_a36|0.0|1|0|3.31325137|0.0|0|7.412764017000001|2|2|1.297043948|-0.119979424|2|0.140577067|0.0|-0.096665166|-0.0206090089999999|1|-0.004358975|0.359635716|-0.433281391|1|0.836170906|-0.0480253509999999|0.892249657|0.6791406640000001|-0.110255801|0.356652646|-71.01192632|14.01562806|87.14111344|-0.037486972|9.026978489|0.0|0.7054709690000001|-1.874348624|-37.52534442|86.28460578|-24.14405495|72.27889645|2902.591295|-1207.2027480000002|2522.341812|0.294529031|7.546900716000001|14.37031118|189.6959033|-777.5172959|0.02371294|1711.2011699999998|593.6088758|15.27267945|1.0|0.0|0.0|1.0|0.0|2.0|4.72|0.14|17.0|-7.12|3.55|69.2|123.67|1.0|5.0|-3.99|31.0|6.0|-6.8|417.41|1.0|0.0|2.44|-4.32|0.000102|0.0424|4.81e-05|0.0201|7.599999999999999e-08|5.2319|3.66|-1431.380702|1120.94|320.04|236.98|0.40663|-1431.187555|-0.15677|5.4787|-0.2139|-1431.246893|7.5932|8.2218|8.2218
8a_a31|0.0|1|0|3.28085223|0.0|0|7.765993078999999|1|1|0.610138387|-0.158899731|0|-0.1480271209999999|0.0|-0.135144546|-0.01861065|2|-0.009293513|-0.258538098|-0.520051508|0|0.837862749|0.0502030679999999|0.895174844|0.594139864|-0.136459435|0.272259026|-67.46619355|18.56711239|131.2406629|-0.0416959379999999|9.179668678|465.4559302|0.666437359|-1.501053781|-29.89286568|82.32407724|-20.61467025|79.02944672|2128.209198|-742.1281291|1443.955093|0.333562641|5.83708559|10.63792161|164.9149565|-366.9116769|0.030052065|1113.575221|324.7430642|14.85788369|0.0|1.0|0.0|1.0|1.0|2.0|3.34|0.2|16.0|-5.33|4.16|114.29|83.83|2.0|3.0|-3.57|22.0|5.0|-7.11|314.36|0.0|1.0|2.13|-3.11|0.000269|0.0846|0.000773|243.0|4.62e-06|3.8097|1.53|-1347.507102|872.11|325.45|325.45|0.7027100000000001|-1347.3959220000002|-0.1587599999999999|3.7141|-0.18869|-1347.446223|5.3042|6.1024|6.1024
