molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|AATSC1s|n6HRing|MATS7i|SaaaC|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|PNSA5|PPSA3|RNCS|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
18_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|1.435689019|-0.090130715|2|-0.094812415|0.0|-0.066226471|0.002685285|0|0.000539978|-0.190640601|-0.431836192|2|0.7162974740000001|-0.0374132629999999|0.765450925|0.8362289070000001|-0.090730185|0.819442071|-55.48918283|4.370403779|40.37881101|-0.035181092|2.672871589|1.833724661|0.867430881|-1.723873519|-25.27062952|60.86009645|-21.51621375|45.69032922|2541.440611|-1054.294474|2510.854462|0.132569119|5.990767063|10.2545953|81.07723009|-644.79025|0.008781964|1215.421882|590.2470602999999|5.370913621000001|1.0|1.0|0.0|1.0|1.0|1.0|3.37|0.08|24.0|-9.98|5.68|47.04|113.42|1.0|5.0|-6.16|29.0|4.0|-4.8|385.43|0.0|1.0|5.06|-5.93|6.86e-07|0.000265|1.18e-06|0.0004559999999999|1.0399999999999999e-10|4543.0|5.65|-1265.770242|1110.18|324.29|272.91|0.6074|-1265.556558|-0.1579|4.2476|-0.19371|-1265.614679|6.5864|6.8894|6.8894
12w_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.604983445|-0.0316452179999999|2|-0.0999572419999999|0.0|0.028815747|-0.04950715|1|0.001805829|-0.173643543|-0.477636454|1|0.83236194|-0.032835151|0.889479916|0.8522163970000001|-0.096032733|0.4274948739999999|-65.85056003|10.59162334|82.06520565|-0.037237182|7.262777048999999|0.0|0.8077976990000001|-1.824621925|-36.02242934|75.77366969|-25.53389062|63.12469722|2999.810425|-1251.160641|2783.769563|0.192202301|8.063690539|14.70077638|131.7949495|-857.9327732|0.014471302|1548.85393|685.6665849999999|9.923109661|1.0|0.0|1.0|1.0|0.0|1.0|4.63|0.14|17.0|-7.8|5.11|81.65|137.3|1.0|5.0|-6.58|31.0|4.0|-5.52|467.37|0.0|1.0|3.59|-6.04|2.64e-07|0.000123|9.14e-07|0.0004269999999999|1.58e-08|5.0632|5.08|-2494.932002|1211.28|348.42|244.87|0.31353|-2494.743475|-0.15073|2.4229|-0.20755|-2494.807027|3.0068|7821.0|7821.0
12ad_a36|0.0|1|0|3.428443248|0.0|0|7.412764017000001|2|2|1.297042846|-0.073048351|2|0.046496301|0.0|-0.0072527669999999|0.010723827|1|0.000906224|0.077659878|-0.478461478|1|0.832674224|0.1563642469999999|0.8846605|0.760267769|-0.107772644|0.423689705|-76.30379737|21.78471426|94.12528108|-0.0365657189999999|15.4237324|81.68309557|0.656407461|-2.047680239|-41.30726219|96.81391944|-25.88878839|80.12771975|3041.082692|-1449.77215|2474.175727|0.343592539|8.770308295|16.772513699999998|243.2659577|-1026.448977|0.028968808|2208.646667|735.3783268|20.51012207|1.0|0.0|0.0|1.0|0.0|2.0|4.9|0.17|17.0|-6.62|2.7|95.5|135.03|1.0|7.0|-4.18|33.0|6.0|-7.18|439.47|0.0|0.0|1.76|-4.08|6.579999999999999e-05|0.0289|8.36e-05|0.0367|2.42e-07|5733.0|4.5|-1460.794632|1236.64|321.93|216.26|0.27316|-1460.5468529999998|-0.15638|5.3349|-0.21044|-1460.610659|6.8996|7.7696|7.7696
11_a47|0.0|0|0|0.0|0.0|0|0.0|0|0|1.381898438|-0.156077888|3|-0.0586047379999999|1.311097861|0.081235787|0.046339015|0|-0.00580273|-0.120383371|-0.451384505|3|0.715054643|-0.058523885|0.770028429|0.796863393|-0.096486559|0.572646116|-59.10798423|5.184267117|119.4035378|-0.035945973|3.175899139|1.882633323|0.816608795|-1.833244617|-30.64032829|66.9895812|-22.02062158|55.20085753|2842.168734|-1123.0517|2201.328597|0.183391205|5.966142027|11.22841564|112.34605729999998|-687.9851765999999|0.0128657439999999|1375.2628029999998|670.2339441|7.881596968999999|1.0|1.0|0.0|1.0|1.0|2.0|3.28|0.04|28.0|-10.55|5.58|70.93|124.7|0.0|4.0|-6.29|32.0|5.0|-5.28|422.45|0.0|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|9.32e-07|0.000394|2.81e-11|3.7253|4.84|-1396.145101|1146.42|332.82|332.82|0.6915399999999999|-1395.922861|-0.1546|2.9142|-0.20554|-1395.980918|4.6111|7.4|7.4
12n_a36|-3.404662145|1|0|3.400581499|0.0|0|7.412764017000001|2|2|0.299253841|-0.350034917|2|0.027627601|0.0|-0.035989956|-0.000273044|1|-0.001160331|0.048110172|-0.5181211520000001|1|0.81793955|0.162338703|0.869718963|0.720111143|-0.115872034|0.239018516|-78.42650015|14.28426215|67.52548352|-0.039955874|9.668119648|26.74179417|0.741751453|-2.317440678|-40.89805687|92.79755725|-27.04362074|74.70951411|3482.18259|-1568.530003|3465.537153|0.258248547|6.863551112000001|12.58209967|174.79221719999998|-1061.639417|0.021232665|2114.630173|805.2286932|14.3710571|0.0|0.0|0.0|1.0|0.0|3.0|5.03|0.17|17.0|-6.87|1.28|123.75|142.02|1.0|7.0|-3.85|34.0|6.0|-8.03|474.54|0.0|0.0|1.18|-3.72|0.0001409999999999|0.0668|0.0001889999999999|0.0897|1.36e-07|5.3573|6.24|-1876.168847|1256.83|340.78|231.43|0.32172|-1875.89723|-0.14928|10.8395|-0.19984|-1875.961945|14.3562|7.8239|7.8239
47f_a18|0.0|0|0|0.0|0.0|0|7.03438793|1|1|1.251175676|-0.034211867|0|-0.048472184|0.0|0.033759227|-0.008224928|0|0.00531392|-0.071877686|-0.4138670829999999|0|0.750610215|-0.009917608|0.780474694|0.838156881|-0.084851044|0.375218907|-72.03501774|11.75478965|111.1889928|-0.0289997239999999|9.979328976|58.84834254|0.726550657|-2.290978185|-46.00060733|86.11217859|-24.61956302|65.93954138|3367.7324700000004|-1944.945479|2343.062749|0.273449343|10.55465562|20.44855806|232.14715330000004|-1651.17806|0.016581683|2676.957843|1347.416568|14.07716085|1.0|1.0|0.0|1.0|1.0|2.0|4.87|0.34|18.0|-9.22|3.22|88.97|164.47|1.0|13.0|-6.11|40.0|4.0|-6.4|541.68|0.0|0.0|2.83|-5.52|7.76e-07|0.000421|3.01e-06|0.00163|6.04e-10|3.0964|8.13|-1743.346389|1602.99|400.42|400.42|0.6984600000000001|-1741.724929|-0.12802|3.8532|-0.1724099999999999|-1741.802171|4.4861|8.0458|8.0458
7d_a10|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.34384996|-0.017919404|2|-0.042667459|1.591760572|-0.071185424|-0.0325418129999999|1|0.008513576|-0.09209689|-0.2018053139999999|2|0.809056885|0.0658971929999999|0.869684772|0.841052067|-0.070901708|0.421731106|-37.61597161|5.567989142999999|12.32220006|-0.024733154|2.9540236560000004|89.87999909999999|0.729585423|-1.063525614|-16.69900016|45.08492005|-13.12185056|37.04365163|2348.343588|-564.2395741|1597.531619|0.270414577|6.100927672|11.82615475|143.4649092|-299.34991010000005|0.014078094|773.3701306|460.1866123|7.468948447000001|1.0|1.0|1.0|1.0|1.0|0.0|3.21|0.19|21.0|-7.83|4.92|43.6|100.04|1.0|2.0|-4.22|26.0|4.0|-5.83|344.38|1.0|1.0|3.95|-4.72|5.98e-05|0.0206|1.9e-05|0.00654|1.46e-08|5.8433|3.49|-1129.175857|970.29|319.09|212.18|0.32059|-1129.003694|-0.1633099999999999|3.0178|-0.21965|-1129.0552810000002|3.4695|6.0325|6.0325
15a_a22|0.0|0|0|0.0|0.0|1|6.842683282|0|0|1.4229176680000002|-0.052476637|2|0.021482585|1.614660505|-0.057308195|-0.015194063|1|0.005757758|0.036467904|-0.360663314|2|0.7392451729999999|-0.09744639|0.794858486|0.86664032|-0.081705465|0.410151945|-55.4621036|14.43653926|96.58317516|-0.031425179|9.799599501|65.53409434|0.702735071|-1.634109304|-28.45564196|70.12529157|-21.33157831|56.35672103|2884.815511|-1109.242072|2169.226845|0.297264929|8.157552588|14.6895113|201.7850124|-752.9594081|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|1.0|3.42|0.08|27.0|-9.21|3.87|85.59|124.05|1.0|6.0|-4.65|32.0|5.0|-6.61|420.47|0.0|1.0|3.19|-4.68|2.25e-05|0.00945|2.1e-05|0.00881|6.1e-10|5.0577|4.98|-1368.321775|1189.31|339.72|245.14|0.41078|-1368.0755869999998|-0.15281|5.2588|-0.21285|-1368.1368730000002|6.8666|6.8447|6.8447
16e_a32|0.0|1|1|3.343660084|0.0|0|7.765993078999999|0|0|0.609420752|-0.06951854|0|-0.04474426|2.080236877|-0.070351839|-0.01320745|3|-0.002310082|-0.079817994|-0.698621582|0|0.86370575|0.096017785|0.91471624|0.7903051590000001|-0.117338144|0.504569498|-75.36830928|15.50894749|105.4021155|-0.037448344|9.961663868|39.27920316|0.702226562|-1.760072163|-35.94239328|90.34923861|-24.05371573|71.46633549|2710.157931|-1130.524639|3376.1299740000004|0.297773438|6.573687662|12.15001203|191.2650034|-726.1554308999999|0.023323257|1609.914378|573.3529948|14.98092934|1.0|0.0|1.0|1.0|1.0|2.0|3.64|0.26|19.0|-7.38|6.03|149.27|111.95|1.0|8.0|-6.59|28.0|5.0|-6.15|413.52|0.0|1.0|3.77|-4.75|2.58e-07|0.000107|1.7899999999999998e-05|0.0074099999999999|4.18e-08|3.6214|4.59|-1955.965644|1130.95|342.37|342.37|0.7022|-1955.766505|-0.14991|3.2372|-0.2005|-1955.827194|3.9389|8.1367|8.1367
12e_a31|0.0|1|0|3.483599061|0.0|0|7.765993078999999|1|1|0.610134116|-0.044316064|0|0.0113193469999999|0.0|-0.107630327|-0.015755876|2|-0.000231353|0.01824365|-0.543945776|0|0.7761616020000001|-0.039273975|0.82100963|0.721526766|-0.1099563869999999|0.2642991189999999|-79.96257188|19.38343763|166.1479229|-0.036652129|14.09603901|595.9853231000001|0.725120432|-2.089171358|-49.6906263|95.1187282|-26.65419063|87.71292755|3040.353774|-1519.288866|1899.851187|0.274879568|10.24381236|19.50674899|199.8981394|-1104.858464|0.020841203|2095.222806|798.7285626|15.15615632|1.0|1.0|1.0|1.0|1.0|2.0|3.87|0.24|22.0|-9.31|6.69|117.37|129.38|1.0|9.0|-6.66|33.0|5.0|-5.93|460.55|0.0|1.0|4.5|-5.42|2.16e-07|9.96e-05|3.83e-06|0.00176|4.93e-10|5.3264|6.33|-1809.85374|1308.13|322.95|232.77|0.55114|-1809.581226|-0.15934|2.6024|-0.19379|-1809.650069|3.4818|6.7696|6.7696
5_a47|0.0|0|0|0.0|0.0|0|0.0|0|0|1.304329328|-0.188550227|2|0.003858593|1.284688504|-0.002627182|0.045246333|0|-0.011237954|0.0083528919999999|-0.454659897|2|0.795032176|0.065981732|0.861595935|0.807957755|-0.1001981959999999|0.526509524|-52.90420509|5.246458665|104.9032216|-0.038537768|2.770107005|0.0|0.781571204|-1.502972943|-24.46654029|62.14504725|-20.34777119|51.58499074|2368.870941|-793.5630764|1349.003107|0.218428796|5.861037845|11.13432113|115.3294396|-418.9977997|0.017501741|1015.343288|416.1194472|9.240842159|1.0|1.0|0.0|1.0|1.0|2.0|2.67|0.0|22.0|-8.68|4.73|58.04|101.51|1.0|3.0|-5.65|26.0|4.0|-5.19|365.79|0.0|1.0|4.29|-5.5|2.25e-06|0.000824|3.18e-06|0.00116|2.07e-09|3.7083|4.37|-1569.333281|951.68|334.35|334.35|0.69291|-1569.20723|-0.15419|2.9121|-0.20954|-1569.258939|3.8816|7.7|7.7
1k_a5|0.0|1|0|2.9020229360000003|0.0|0|6.605297921|0|0|1.427567903|-0.064652321|2|-0.095857885|0.0|-0.145151027|-0.011848312|1|0.003708988|-0.220946861|-0.254495542|2|0.7824502320000001|-0.011552666|0.851987765|0.7836926809999999|-0.074297856|0.425724957|-38.00629774|5.571869083999999|165.11680719999998|-0.0301207529999999|2.850231839|0.498979532|0.724954458|-1.114467843|-20.67084672|47.83775802|-15.40795854|45.98095096|2171.394196|-570.0944662|824.0133397999999|0.275045542|6.710535795|12.9461019|140.69669409999997|-291.6259112|0.019219352|786.3865923|357.34245360000006|9.83146028|1.0|1.0|0.0|1.0|1.0|1.0|2.71|0.0|23.0|-8.3|4.88|54.46|90.44|1.0|3.0|-3.97|24.0|4.0|-5.99|316.33|1.0|1.0|3.42|-4.3|0.000106|0.0336|4.970000000000001e-05|0.0157|4.99e-09|4.7221|3.1|-1050.51717|890.76|281.38|262.56|0.53086|-1050.418953|-0.1798799999999999|1.5911|-0.22504|-1050.468159|2.3036|7.3188|7.3188
7b_a10|0.0|0|0|0.0|0.0|0|7.535296702|2|2|1.186434511|0.037541178|2|-0.060829392|2.079721225|-0.01808249|0.039221939|0|0.010068964|-0.0982988509999999|-0.1874708719999999|2|0.764865564|-0.108464916|0.8200487120000001|0.92441666|-0.0720417159999999|0.5113525529999999|-37.45675757|5.061217187|13.37827368|-0.027444463|2.6314862480000003|56.22969776|0.781045839|-1.152667458|-15.96741933|43.9185573|-14.26924098|35.77183831|2290.380138|-599.3081212000001|2150.375871|0.218954161|4.854451707|8.771658176|113.8411654|-311.5991709|0.012428175|767.3149142000001|459.0250226|6.46179973|1.0|0.0|1.0|1.0|0.0|0.0|3.9|0.25|16.0|-6.99|4.34|41.38|105.44|1.0|2.0|-5.28|25.0|3.0|-5.09|346.81|1.0|1.0|3.02|-5.28|5.29e-06|0.00183|5.25e-06|0.00182|1.0200000000000001e-07|6.0231|3.44|-1450.06366|951.55|340.37|205.85|0.4195399999999999|-1450.075119|-0.1584799999999999|4.2068|-0.21225|-1450.124551|5.6147|4.7033|4.7033
1e_a5|0.0|1|0|2.953259375|0.0|0|6.605297921|0|0|1.427503886|-0.009075016|2|-0.080321049|0.0|-0.1197834419999999|-0.040441176|1|0.007357977|-0.133677441|-0.201027861|2|0.771487328|0.045376705|0.834250802|0.8805795|-0.069725333|0.373935381|-36.22202792|4.461204261000001|159.537038|-0.0278901329999999|2.317577542|0.0|0.7473936259999999|-1.115605324|-18.33860051|44.38364879|-14.48881117|39.76196174|2107.092939|-579.5524467|827.4861275000001|0.2526063739999999|6.41473183|12.39753333|131.2279879|-301.0751483|0.0157106539999999|775.4313476|409.0289917|8.161620868|1.0|1.0|0.0|1.0|1.0|1.0|2.83|0.05|23.0|-8.41|4.99|54.46|95.45|1.0|3.0|-4.25|24.0|3.0|-5.77|312.37|1.0|1.0|3.44|-4.45|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|3.87e-09|4746.0|3.17|-990.6006645|935.47|279.92|261.24|0.56258|-990.471803|-0.18105|1916.0|-0.22291|-990.522307|3.0386|6719.0|6719.0
35_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|2|1.251175948|-0.020425504|1|-0.069149293|0.0|0.027469086|-0.0098863069999999|0|0.00113101|-0.104482176|-0.5009599889999999|0|0.737094825|-0.032017257|0.774007861|0.800765945|-0.084219749|0.3888901179999999|-62.06945887|6.525195505|118.7214377|-0.033440195|4.809030636|74.92670772|0.874573807|-2.273933228|-44.44264921|67.9315105|-24.64522632|66.82777970000001|3038.429834|-1675.875389|1761.858479|0.125426193|9.184536969|17.18442554|92.43836482|-1235.110287|0.007954001|1916.219506|1056.535856|5.862051629|1.0|1.0|0.0|1.0|1.0|3.0|4.3|0.3|18.0|-9.55|4.13|85.29|151.05|1.0|8.0|-6.06|36.0|3.0|-6.0|480.6|0.0|1.0|3.07|-5.53|8.629999999999999e-07|0.000415|2.96e-06|0.0014199999999999|2.81e-10|3.2146|8.09|-1532.976969|1400.62|385.69|385.69|0.69279|-1532.557542|-132.0|2.0432|-0.18079|-1532.627182|2.7788|7.6198|7.6198
18_a34|0.0|0|0|0.0|0.0|1|7.423568444|1|1|1.4547811819999998|-0.101546926|1|-0.100548575|0.0|-0.141332289|-0.136990511|1|0.002183342|-0.155197864|-0.493450778|1|0.805756513|0.0468829359999999|0.8584852479999999|0.68981472|-0.129784908|0.295523326|-71.65163761|22.55015528|66.6880793|-0.0422555509999999|12.44948722|54.26737825|0.695849945|-1.816988713|-27.53138148|86.77082535|-23.32844015|72.41862911|2424.18137|-1003.122927|1774.550004|0.304150055|6.282442545|11.23989749|167.9151283|-553.8039936|0.027385869|1441.579371|428.6241319|15.11918774|1.0|1.0|1.0|0.0|1.0|0.0|3.28|0.21|17.0|-5.65|3.13|75.47|93.91|2.0|5.0|-4.32|26.0|6.0|-6.26|351.36|1.0|1.0|2.89|-4.11|4.77e-05|0.0167|7.829999999999999e-05|0.0275|2.22e-06|4.4335|5.07|-1199.259634|991.93|300.68|279.66|0.56101|-1199.101028|-0.17549|5.0935|-0.21474|-1199.158044|6.7806|5.6144|5.6144
3_a27|0.0|0|0|0.0|0.0|2|6.605297921|0|0|1.402697639|-0.096132106|2|-0.172132163|1.177265999|0.042659548|0.024154412|1|0.00955169|-0.296039263|-0.479874452|2|0.810053853|0.136381755|0.8759548629999999|0.862115922|-0.086153958|0.397733752|-44.61323499|9.960129259|10.71226495|-0.032307734|5.157668895|57.97805043|0.733853752|-1.292309364|-16.47810502|54.32114618|-16.72996312|41.78149261|2294.213272|-669.1985248999999|1043.697725|0.266146248|6.457886343999999|11.64968556|137.8189165|-346.53209080000005|0.018747239|911.8963045|401.7540197|9.707911187|1.0|0.0|1.0|0.0|1.0|0.0|3.03|0.05|21.0|-5.89|2.8|65.6|97.71|2.0|3.0|-3.7|25.0|4.0|-6.41|329.36|1.0|1.0|2.74|-3.99|0.0002|0.0658|0.000103|0.0339|1.29e-06|5.5045|4.92|-1081.88481|931.06|312.93|225.24|0.34864|-1081.744053|-0.16457|2.7811|-0.21969|-1081.794829|4.1551|8.3979|8.3979
13a_a5|0.0|1|0|2.931642415|0.0|0|6.605297921|0|0|1.393002748|-0.033436214|2|-0.007871499|0.0|-0.139517787|-0.025324157|1|0.003196482|-0.012798693|-0.367284642|2|0.8045357209999999|-0.048584084|0.857293078|0.7667501609999999|-0.0839257009999999|0.470564031|-54.03141848|10.77696869|126.2663658|-0.0279752339999999|6.938219155|39.93934134|0.598791539|-1.426736914|-36.90128585|72.13276165|-18.01047283|68.09484712|2657.14588|-918.5341141|1314.232685|0.401208461|8.571729592999999|15.89940424|258.29825730000005|-591.3528349999999|0.02811638|1533.979782|620.5697596|18.10134317|1.0|1.0|1.0|1.0|1.0|2.0|3.07|0.13|23.0|-8.9|4.39|92.79|114.18|1.0|8.0|-3.77|30.0|5.0|-7.18|399.45|0.0|1.0|2.71|-3.74|0.000169|0.0675|0.000184|0.0734|1.26e-09|4.6285|3.81|-1313.126035|1160.81|294.45|267.87|0.41806|-1312.907813|-0.17364|3.3414|-0.22898|-1312.968936|4.1671|7041.0|7041.0
8b_a31|0.0|1|0|3.37710223|0.0|0|7.765993078999999|1|1|0.610137861|-0.12841288|0|-0.130371116|0.0|-0.211457443|-0.069423138|2|-0.006785954|-0.222667869|-0.510259793|0|0.843119174|-0.058494079|0.8956498159999999|0.6076192260000001|-0.132574249|0.281200674|-69.24221375|16.89414614|129.8921115|-0.040792077|8.823644775|472.8995873|0.703469355|-1.590890986|-32.92631065|82.21438954|-21.30529654|79.93633765|2189.617009|-830.906565|1587.743824|0.296530645|6.142377144|11.79588561|154.8750114|-433.9742484|0.02483711|1181.155311|372.3224834|12.97217579|0.0|1.0|1.0|1.0|1.0|2.0|3.4|0.25|16.0|-5.73|4.52|114.29|88.64|2.0|4.0|-4.05|23.0|5.0|-6.87|328.39|0.0|1.0|2.52|-3.4|8.97e-05|0.0294|0.000399|131.0|1.86e-06|3.8582|1.77|-1386.815519|927.61|321.36|321.36|0.70036|-1386.681003|-0.16015|3.6945|-0.19265|-1386.734257|5.6001|5.6576|5.6576
17f_a50|0.0|0|1|0.0|0.0|2|7.934155233999999|1|1|1.349854916|0.022892513|1|-0.167275895|2.187498662|-0.028989535|-0.132773563|2|0.0129274519999999|-0.275290802|-0.204651539|1|0.7851209440000001|-0.132153434|0.8314734309999999|0.911458734|-0.074859564|0.333180181|-46.03121141|10.09339793|6.382846132999999|-0.026836447|6.206439227000001|82.90209608|0.721122105|-1.422331714|-17.89709978|55.9791334|-16.50175503|39.19906437|2582.272632|-874.5930167000001|1929.981543|0.278877895|7.200480876|13.65716648|171.48226169999998|-537.7880119|0.01617809|1212.822364|652.6793116|9.947921993|1.0|1.0|1.0|1.0|1.0|0.0|3.81|0.26|20.0|-6.38|2.87|51.77|116.81|1.0|6.0|-3.58|29.0|4.0|-6.64|384.48|1.0|1.0|2.92|-4.12|0.000266|102.0|7.57e-05|0.0291|4.15e-07|4.0664|2.5|-1219.220465|1146.22|304.9|304.9|0.6573899999999999|-1218.966516|-0.16784|6.1931|-0.20148|-1219.02507|8.312999999999999|6.4001|6.4001
11_a1|0.0|1|0|3.3361517380000003|0.0|0|7.423568444|1|1|1.430935838|-0.196819043|1|0.08043435|0.0|-0.05257082|-0.044235537|1|-0.009578125|0.126722854|-0.563650254|1|0.747358374|-0.069193862|0.8086124090000001|0.5955245029999999|-0.126108875|0.2027328789999999|-74.35738693|20.62225192|274.39137789999995|-0.048723884|12.15946748|84.40380304|0.751878145|-2.143850877|-45.88191258|89.80732824|-28.7289904|98.43720241|2697.640232|-1264.075578|1885.148133|0.248121855|7.43666407|14.2257294|146.29971719999998|-745.3349875|0.02620284|1681.223993|495.0560271000001|15.44994131|1.0|1.0|1.0|1.0|1.0|2.0|3.25|0.05|23.0|-7.47|4.28|97.33|105.71|1.0|4.0|-5.07|29.0|6.0|-6.27|385.37|0.0|1.0|3.22|-4.66|8.48e-06|0.00327|2.17e-05|0.00838|3.35e-08|3.7383|5.26|-1312.4282380000002|1036.18|388.38|331.66|0.68162|-1312.241032|-0.12916|5.0526|-0.19462|-1312.2963630000002|7.1743|6.7696|6.7696
10_a47|0.0|0|0|0.0|0.0|0|0.0|0|0|1.381868067|-0.166367455|2|-0.169242585|1.329777427|0.0814897|0.007193585|0|-0.0065562469999999|-0.349569106|-0.45272733|2|0.754096463|-0.138304661|0.8077565520000001|0.841070966|-0.0936757959999999|0.417511484|-50.08559665|5.088920549|103.41137940000002|-0.035388634|2.720890925|0.0|0.801882632|-1.592488524|-21.81529334|57.59863288|-18.9212254|45.89037038|2355.515804|-851.455143|1567.859561|0.198117368|6.277122171|10.66897998|105.9273263|-455.247149|0.014051737|1061.820157|498.0016816|7.51303623|1.0|1.0|0.0|1.0|1.0|2.0|3.02|0.09|22.0|-8.85|5.12|58.04|106.43|1.0|3.0|-5.75|27.0|4.0|-5.08|359.4|0.0|1.0|4.41|-5.5|1.77e-06|0.000638|3.18e-06|0.00114|1.4199999999999999e-09|5.7693|4.37|-1188.3744|997.16|332.97|214.9|0.53909|-1188.1907199999998|-0.15445|1.9281|-0.20309|-1188.244739|2.8795|7.9|7.9
18a_a25|0.0|0|0|0.0|0.0|1|6.842683282|0|0|1.194229606|-0.019008377|2|0.062229409|2.050257213|-0.018419483|-0.019985937|1|0.007325341|0.106305991|-0.2936794219999999|2|0.7385460309999999|-0.039007784|0.792935475|0.931628386|-0.078181889|0.341320954|-51.83514755|6.317215793|75.74077952|-0.03097773|4.188358905|0.0|0.817072039|-1.641819678|-24.58404782|59.45091020000001|-20.53845469|43.39683067|2857.88027|-1088.538099|2331.966135|0.182927961|7.39539242|14.59524518|121.2825364|-721.7084848|0.011486699|1332.242503|759.4953883|7.615762647|1.0|1.0|1.0|1.0|1.0|1.0|3.5|0.08|27.0|-9.78|5.89|87.72|133.85|1.0|6.0|-6.33|32.0|3.0|-5.58|435.54|0.0|1.0|4.53|-5.77|4.65e-07|0.000202|1.71e-06|0.000744|1.67e-10|5.4965|4.51|-1675.2501519999998|1229.09|390.98|225.57|0.2834|-1674.982248|-0.15732|3.1313|-0.21323|-1675.04368|4.3839|7.0269|7.0269
12m_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.6049842529999999|0.024086432|2|-0.1305457069999999|0.0|0.0488832779999999|-0.0547272029999999|1|0.0026474159999999|-0.236661357|-0.5409445629999999|1|0.832758813|-0.036924662|0.893689741|0.783260049|-0.103359773|0.415971907|-70.1324196|18.55926485|133.774348|-0.0405332439999999|12.59296644|237.0982213|0.773732767|-2.067195455|-39.32844052|83.3641853|-27.50290965|76.52074257|3058.3084710000003|-1402.648392|2370.879718|0.226267233|9.025816604|16.40342255|153.52847759999997|-951.7351184|0.019500715|1812.833129|683.7405759|13.2317657|1.0|0.0|1.0|1.0|0.0|1.0|4.66|0.13|17.0|-6.42|3.4|114.67|133.52|1.0|6.0|-6.0|32.0|6.0|-6.22|439.49|0.0|0.0|2.36|-5.01|1.01e-06|0.000444|9.71e-06|0.00427|3.7600000000000003e-07|5.0617|3.88|-1743.174906|1204.39|349.29|244.95|0.33392|-1742.965888|-0.15042|3.6891|-0.20742|-1743.030004|5.1279|7.5114|7.5114
20_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.399905568|-0.00123671|1|-0.061689675|0.0|-0.1473674569999999|-0.059498265|1|0.012025268|-0.098992154|-0.211751813|1|0.7797803109999999|0.246357638|0.8404413829999999|0.918147288|-0.072188305|0.210083785|-34.74640079|11.03865532|63.27373076|-0.0273144939999999|5.313236547|68.49419443|0.6435852470000001|-1.010636274|-14.03867522|46.45917085|-13.14728679|40.20507689|1982.961908|-486.4496111|1379.418733|0.356414753|5.543543957000001|9.58599918|171.5531319|-234.1428169|0.024334176|755.8433223999999|338.71903330000004|11.71277006|1.0|1.0|1.0|1.0|1.0|0.0|3.23|0.11|17.0|-5.55|3.2|39.94|86.62|2.0|3.0|-3.46|22.0|3.0|-5.96|289.33|1.0|1.0|2.97|-3.87|0.000346|0.1|0.000134|0.0388|2.79e-06|5.1778|2.73|-934.2266312|861.05|306.74|239.45|0.5152|-934.103809|-0.16699|4.0681|-0.19747|-934.150871|5.5779|6.1898|6.1898
