molecula|SddssS|NaaNH|n9FaHRing|SssssC|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
6_a1|0.0|0|0|0.0|1|1.3488280769999998|2.325221088|-0.092471477|-0.005477033|5.4161004020000005|1|-0.114683042|-0.230035376|-0.00983397|-0.0538497079999999|1|1|-0.180874123|-0.3632559589999999|-0.353456514|1|0.798346291|0.13761072|0.741035199|0.8782596159999999|-0.057199415|-0.077422386|0.212044989|0.021009352|-27.63847818|64.63457366|4.905211525|0.576759436|-0.929068634|-13.35477777|49.61122373|-11.51080589|37.79009463|1956.144556|-448.9214297|1383.161829|-5.56196523|5.555887839|9.609375529|-216.916644|19.95772445|-74.17956941|778.3512535|359.9965854|1.0|0.0|1.0|1.0|0.0|2.94|2.54|17.0|3.61|3.57|1.75|0.0|0.0|86.31|0.0|3.0|-3.12|22.0|-6.21|0.0|1.0|1.0|2.82|-3.68|0.0007599999999999|221.0|0.00021|0.0613|0.0|0.0|0.000277|4.0635|2.81|4.0635|-935.5024827|-935.4750982|875.29|305.12|0.69818|0.69818|0.3399|-0.1899799999999999|0.027384499|8.0033|5.2924|5.2924
18a_a25|0.0|0|0|0.0|0|1.194229606|1.875390684|-0.151473962|-0.0029953159999999|4.727387819|2|0.062229409|-0.170732995|-0.018419483|-0.019985937|1|1|0.106305991|-0.06333068|-0.2936794219999999|2|0.7385460309999999|-0.039007784|0.7291583840000001|0.931628386|-0.055926422|-0.078181889|0.341320954|0.0095281269999999|-37.07961488|75.74077952|4.188358905|0.817072039|-1.641819678|-24.58404782|59.45091020000001|-20.53845469|43.39683067|2857.88027|-1088.538099|2331.966135|-13.61714122|7.39539242|14.59524518|-721.7084848|25.136651|-420.4420243|1332.242503|759.4953883|1.0|1.0|1.0|1.0|1.0|3.5|3.43|27.0|5.89|5.72|2.88|2.0|1.0|133.85|0.0|6.0|-6.33|32.0|-5.58|0.0|0.0|1.0|4.53|-5.77|4.65e-07|0.000202|1.71e-06|0.000744|0.0|0.0|7.28e-08|5.4965|4.51|3.1711|-1675.274716|-1675.2501519999998|1229.09|225.57|0.2834|0.5274399999999999|0.0027|-0.21323|0.02456497|4.3839|7.0269|7.0269
46_a18|0.0|0|0|0.0|2|1.251088279|0.0|-0.001181461|-0.005378956|4.844187086|1|-0.046124025|-0.3872848129999999|-0.0669031009999999|-0.052591109|0|0|-0.069691797|-0.224171123|-0.448177615|0|0.729629263|-0.015124585|0.699483099|0.8265445990000001|-0.069742249|-0.076485888|0.30524999|0.008975181|-49.54738918|0.946462387|4.5299444310000005|0.782232748|-1.988633091|-35.20023815|63.70285871|-20.77641329|55.92367899|3052.94234|-1412.796104|1848.661552|-14.76030741|8.980343774|16.47206875|-1003.700904|26.56039822|-401.0164861|1806.107079|1056.535856|0.0|0.0|1.0|1.0|2.0|4.27|0.0|18.0|3.68|3.3|3.33|2.0|1.0|151.14|0.0|7.0|-5.68|36.0|-6.14|0.0|1.0|0.0|2.93|-5.47|2.08e-06|0.000999|3.35e-06|0.00161|0.0|0.0|7.27e-07|3225.0|8.11|3225.0|-1532.992457|-1532.968527|1380.79|384.45|0.69181|0.69181|0.4249|-0.18219|0.0239301|3.2533|6.7305|6.7305
6_a27|0.0|1|0|0.0|0|1.404458667|1.7996617540000002|0.1718757239999999|-0.007874167|4.727387819|2|-0.237047381|-0.330715016|0.075248207|0.081320966|1|1|-0.406859288|-0.179319226|-0.541168953|2|0.787663648|-0.1322552659999999|0.650575651|0.785047616|-0.0786267609999999|-0.090025109|0.344065059|0.020552125|-38.92545695|125.8234721|5.03713293|0.774820398|-1.35037664|-19.27068071|52.66373343|-17.14169035|49.10012093|2196.1151210000003|-668.5259238|1193.992326|-8.486272674|5.010042219|9.500048379|-330.96463430000006|22.12343713|-272.1086175|862.8140479|373.9912084|0.0|0.0|0.0|0.0|1.0|3.0|2.49|21.0|3.48|2.79|2.42|0.0|0.0|92.65|0.0|2.0|-3.62|24.0|-6.55|0.0|1.0|1.0|2.71|-3.82|0.000242|0.0768|0.000153|0.0485|0.0|0.0|6.86e-05|5.5447|4.27|4.1391|-1043.831559|-1043.806618|896.68|223.61|0.3366099999999999|0.61083|163.0|-218.0|0.02494141|4.0597|9.0|9.0
14b_a23|0.0|0|1|0.0|0|1.197963628|3.2475997860000003|0.065240838|-0.006248709|5.351858133|2|0.0519489729999999|-0.318684138|-0.0644978|-0.047410593|2|2|0.121308009|-0.17267308|-0.4557487779999999|2|0.793551289|-0.00399443|0.5935522360000001|0.8462596590000001|-0.063267638|-0.082441268|0.228282196|0.020454632|-41.01458464|40.76245006|8.596171261|0.774359705|-1.64882535|-26.58857202|64.97993029|-22.74225338|54.274732400000005|2943.803333|-1068.885909|2280.830615|-14.74314679|7.833620016|14.26820636|-692.9278992000001|29.36910744|-355.71896410000005|1380.34805|599.5697147999999|0.0|1.0|1.0|1.0|1.0|3.42|3.44|26.0|3.78|4.58|3.4|2.0|1.0|120.24|0.0|5.0|-5.58|31.0|-6.31|0.0|0.0|0.0|3.78|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|0.0|0.0|9.18e-06|3706.0|3.72|3706.0|-1729.161608|-1729.139722|1142.37|334.55|0.58097|0.58097|0.3603|-0.2286699999999999|0.02188578|9.7544|8.3536|8.3536
18_a31|0.0|1|0|0.0|0|0.610137226|0.0|0.0690370959999999|-0.013634202|5.351858133|0|-0.051184519|-0.640807491|-0.001973566|-0.096301845|2|2|-0.084218532|-0.107017926|-0.604728055|0|0.8595579409999999|0.022160691|0.838968212|0.72588713|-0.11789212|-0.129469649|0.258135789|0.014467496|-69.19879619|238.9516432|4.984491996|0.7774768320000001|-1.81257508|-40.61741697|85.81723707|-23.64270989|77.69074057|2241.561812|-1063.9219449999998|1935.374782|-13.87749294|7.076684189|12.84812443|-624.4871824|30.40953623|-325.73954460000004|1368.42913|477.1857166|1.0|1.0|1.0|1.0|3.0|3.41|2.85|16.0|4.9|3.48|0.75|1.0|0.0|99.32|0.0|7.0|-4.62|25.0|-6.72|0.0|0.0|1.0|2.89|-3.62|2.42e-05|0.00862|0.000241|86.0|0.0|0.0|0.000104|5.0092|4.81|3.9105|-1465.528656|-1465.4803960000002|1041.21|247.51|0.51842|0.70058|0.2457|-0.19914|0.04825999|4.6746|6.8861|6.8861
4f_a46|0.0|0|0|0.2096617139999999|1|1.134637108|2.190536659|-0.2265364489999999|-0.001035775|5.587248657999999|2|-0.099507167|-0.053860324|-0.056114865|-0.115631645|1|1|-0.154986658|-0.123416853|-0.150189733|2|0.74106323|-0.2076648489999999|0.69830739|0.934973206|-0.055836642|-0.0674830959999999|0.296072934|0.008734825|-30.29079362|7.730129301|2.570614463|0.759842275|-1.079729539|-16.43243843|42.21890747|-11.95391778|35.0293449|2103.214727|-585.7419712999999|1563.375755|-6.484875252999999|5.654067072999999|9.828175385|-317.7588874|15.73210412|-281.9234274|770.8731021000001|538.4165208|1.0|1.0|1.0|1.0|0.0|3.88|3.16|17.0|4.56|4.71|2.58|1.0|0.0|101.54|0.0|3.0|-4.38|25.0|-5.65|0.0|1.0|1.0|3.76|-4.58|4.18e-05|0.0139|2.62e-05|0.00872|0.0|0.0|2.04e-05|4548.0|3.87|4548.0|-1033.550809|-1033.528421|1020.33|272.61|0.69208|0.69208|0.1719|-0.2202599999999999|0.02238723|3.7419|6.7375|6.7375
21c _a23|0.0|0|1|0.0|0|1.197962776|3.311482916|0.178300778|-0.009944003|5.4161004020000005|2|0.0645437059999999|-0.576752175|-0.092608459|-0.039311241|2|2|0.118226959|-0.036896213|-0.596546056|2|0.782543953|0.149511954|0.7301130229999999|0.790596437|-0.08365474|-0.098699133|0.2571258939999999|0.014036138|-59.46209153|323.3651097|7.09164338|0.834557275|-2.171380929|-42.26586935|79.71722579|-28.58195193|69.43902929|3161.1237530000003|-1543.4254039999998|2628.628799|-20.31615463|8.945789862|16.83467928|-1097.07235|34.24804117|-475.6090385|1849.394223|762.0576580000001|0.0|1.0|1.0|1.0|2.0|3.68|3.11|26.0|3.1|3.42|2.49|1.0|1.0|133.35|1.0|6.0|-5.63|34.0|-7.13|1.0|0.0|0.0|3.0|-4.72|2.35e-06|0.0011|1.92e-05|9.0|0.0|0.0|2.2e-05|3.6649|4.47|3.6649|-1837.964768|-1837.932192|1275.12|338.3|0.5885699999999999|0.5885699999999999|0.3329999999999999|-0.22981|0.03257532|8.3979|7.1752|7.1752
11_a1|0.0|1|0|0.0|1|1.430935838|0.0|0.033732316|-0.018080197|5.351858133|1|0.08043435|-0.867849442|-0.05257082|-0.044235537|1|1|0.126722854|-0.117419838|-0.563650254|1|0.747358374|-0.069193862|0.7846345840000001|0.5955245029999999|-0.131972845|-0.126108875|0.2027328789999999|0.034974992|-77.81495049|274.39137789999995|12.15946748|0.751878145|-2.143850877|-45.88191258|89.80732824|-28.7289904|98.43720241|2697.640232|-1264.075578|1885.148133|-16.93943154|7.43666407|14.2257294|-745.3349875|38.20963621|-297.0290662|1681.223993|495.0560271000001|1.0|1.0|1.0|1.0|2.0|3.25|2.31|23.0|4.28|4.23|1.95|1.0|0.0|105.71|0.0|4.0|-5.07|29.0|-6.27|0.0|0.0|1.0|3.22|-4.66|8.48e-06|0.00327|2.17e-05|0.00838|0.0|0.0|1.29e-05|3.7383|5.26|3.1924|-1312.462371|-1312.4282380000002|1036.18|331.66|0.68162|0.69914|0.3201|-0.19462|0.03413353|7.1743|6.7696|6.7696
24_a20|0.0|0|0|0.0|0|1.40648755|1.959359883|-0.217098257|-0.001547029|4.727387819|2|0.087887688|-0.083539572|-0.060940703|-0.04104|1|1|0.1468474119999999|-0.060582944|-0.188335708|2|0.74131936|0.070857143|0.607038752|0.952027295|-0.061437722|-0.067869875|0.531656762|0.012814211|-38.76683848|12.83518119|5.102023479|0.771032243|-1.357397496|-24.46164548|51.30386873|-17.13019562|46.85253003|2736.601949|-856.5097809|1961.887639|-10.80905198|6.852820269|12.63879297|-540.4525990000001|22.21722343|-342.0394805|1110.861171|664.4562602999999|1.0|1.0|1.0|1.0|0.0|3.4|3.21|27.0|4.76|4.78|1.86|2.0|0.0|119.42|0.0|4.0|-4.89|31.0|-6.26|0.0|0.0|1.0|3.63|-4.93|1.29e-05|0.00519|1.17e-05|0.00469|0.0|0.0|1.94e-07|5.3396|3.74|3.5876|-1291.896802|-1291.867578|1169.35|232.2|0.46668|0.44916|0.0108|-0.22435|0.02922392|4.3906|6.4976|6.4976
