molecula|SddssS|NaaNH|n9FaRing|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|PBF|FPSA3|PNSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Log Po/w MLOGP|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
11c_a5|0.0|1|0|0|0|1.427567332|0.0|-0.2117133739999999|-0.004590583|2|0.027388889|0.0|-0.224938556|0.005090155|-0.059682527|10.94877953|-0.023856811|1|-0.018887528|2|0.679183645|0.030085871|-0.044126759|0.658307423|0.80472351|-0.078909483|0.389427402|0.01785211|-47.99592739|31.61751609|0.19527649|118.7750305|-0.0322785379999999|-32.31269264|6.604499968|4.089828494|0.707039635|-1.484812761|-29.19305715|0.448016491|2497.685314|489.4652669|-903.1229552|-11.94164728|16.09582374|0.811648325|5202.741647999999|178.1902995|27.76804404|1277.330026|523.8031619|1.0|1.0|1.0|1.0|1.0|23.0|4.17|1.13|1.0|6.0|-4.13|5.0|-6.59|370.4|0.0|1.0|3.0|7.38e-05|0.0273|7.950000000000001e-05|0.0294|0.0|0.0|1.26e-06|-0.04315|4.5035|4.53|4.2087|-1218.492067|-1218.454079|636.14|275.3|512.32|0.60118|0.6267699999999999|-1218.278135|-0.21448|-1218.336116|3.3827|25.0|7.6021
13d_a5 (GW788388)|0.0|1|0|1|1|1.236844097|0.0|-0.0959854909999999|-0.005668173|3|0.027375887|0.0|-0.33442223|0.002956745|-0.086484275|10.94530363|0.024793388|1|-0.016337128|2|0.7333482170000001|0.024905619|0.047169811|0.71006207|0.774103723|-0.086824482|0.54169129|0.014571846|-57.42492153|151.3669372|0.2258962769999999|149.40573999999998|-0.0291837579999999|-36.95444874|6.374277851|44.69922692|0.669182121|-1.605106706|-37.98032007|0.488398052|2834.036315|511.985152|-1061.602956|-12.76608229|15.788837|0.954644629|6122.792779|218.7999323|28.84397435|1586.418589|723.0631751|0.0|1.0|1.0|1.0|2.0|23.0|4.11|1.37|1.0|6.0|-4.35|5.0|-6.94|425.48|0.0|1.0|3.11|4.429999999999999e-05|0.0189|4.5e-05|0.0192|0.0|0.0|6.16e-07|-0.05542|4.6091|3.81|4.1706|-1390.589662|-1390.548362|707.09|269.0|532.01|0.42515|0.48848|-1390.294368|-0.22841|-1390.355751|3355.0|18.0|7.7447
47i_a18|0.0|0|0|1|1|1.251177255|0.0|0.053794607|-0.006882626|0|0.037484277|0.0|-0.440488042|-0.000919158|0.073977454|10.94702091|-0.040514277|0|-0.162274487|0|0.742536498|-0.064085904|-0.068524374|0.727767462|0.8030751740000001|-0.0780255879999999|0.279553995|0.009745543|-54.34379065|72.81110823|0.196924826|137.1555392|-0.035256027|-43.46880696|4.727502734|82.81385171|0.8608685909999999|-2.150617629|-37.84973202|0.487446923|2795.907966|559.3312455|-1497.876758|-17.10248143|18.67881257|0.951017454|6353.6617320000005|96.90318745|28.52393145|1739.959818|855.7438937000001|1.0|1.0|1.0|1.0|3.0|18.0|2.8|2.74|1.0|8.0|-5.18|3.0|-6.36|440.54|0.0|1.0|2.5|6.58e-06|0.0029|1.67e-05|0.00735|0.0|0.0|4.6e-07|-0.05062|3.2321|7.37|3.2321|-1416.260696|-1416.233978|744.95|383.61|664.78|0.69175|0.69175|-1415.875678|-0.18299|-1415.944522|3.5235|19.0|7.7212
4l_a46|0.0|0|0|1|1|1.134637095|2.155247543|-0.058870177|-0.004736212|1|0.049498645|0.0|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|0.010799648|1|0.7940662409999999|-0.001318857|-0.229089688|0.7936534740000001|0.892158627|-0.09094885|0.291762764|0.00657916|-51.45056667|177.7681018|0.107841373|61.00681586|-0.030068681|-27.26452605|2.10550531|0.0|0.883450801|-1.533502748|-29.10603933|0.409308207|2165.620022|504.7020036|-867.5160294|-9.6227739|9.833034117|0.692930243|4865.794981|65.93290984|19.25417715|981.9630347|579.2365607|1.0|1.0|1.0|1.0|1.0|17.0|5.02|3.06|1.0|3.0|-5.28|3.0|-5.23|347.45|1.0|1.0|4.08|5.25e-06|0.00182|7.78e-06|0.0027|0.0|0.0|3.47e-05|-0.01784|5.4011|4.99|4.4542|-1092.745692|-1092.71063|612.39|229.55|526.77|0.3756|0.68584|-1092.484863|-0.20351|-1092.53932|3.7624|98.0|7.0088
15_a47|0.0|1|1|0|0|1.304329657|0.0|-0.164258919|-0.00516949|2|0.042285714|1.56205245|-0.21194909|-0.0026314909999999|0.086682657|10.9497222|0.0506476009999999|1|-0.017562097|2|0.644280611|-0.131424138|0.081171071|0.614613723|0.791753677|-0.084413593|0.429825305|0.016669157|-45.1562696|61.0548099|0.208246323|111.3994409|-0.033307714|-25.87091101|4.770072524|0.0|0.711630105|-1.265693121|-24.15592798|0.477646539|2327.320914|423.5412927|-677.0708068|-9.531388265|13.37174753|0.914412511|5075.773767000001|154.260803|25.03780079|951.4364299|383.4213189|1.0|1.0|1.0|1.0|2.0|21.0|5.28|2.83|1.0|3.0|-4.89|4.0|-5.76|353.78|0.0|1.0|3.74|1.29e-05|0.00455|1.41e-05|0.00499|0.0|0.0|1.14e-06|-0.0591799999999999|4.3312|3.33|4.0594|-1527.4104|-1527.376145|552.16|286.26|419.75|0.67203|0.68008|-1527.265523|-0.2268|-1527.316555|3.7709|16.0|7.8
3c_a32|0.0|1|1|0|0|0.6094207970000001|0.0|0.025890116|-0.006923974|0|0.043817204|2.224112182|-0.270034997|-0.00017094|-0.113334836|10.31100278|-0.01180891|3|-0.145525719|0|0.831186295|-0.003205869|-0.019130435|0.774363061|0.888766719|-0.0679200029999999|0.216289509|0.015118975|-34.91603827|59.72163595|0.1112332809999999|57.18235134|-0.0288417079999999|-24.94510426|3.995552912|0.0|0.693952122|-1.038301506|-17.94949454|0.423167668|2152.627425|456.8935699|-533.7658031000001|-7.622115192000001|9.717148607|0.733606015|4598.027604999999|157.331845|21.36577928|769.1680542|370.5811396|1.0|1.0|1.0|1.0|1.0|19.0|4.68|1.7|1.0|3.0|-6.18|3.0|-5.35|326.44|0.0|1.0|4.02|6.65e-07|0.000217|1.22e-05|0.00399|0.0|0.0|4.18e-05|-0.05487|3.5169|3.02|3.5169|-1633.443791|-1633.419633|544.22|352.54|425.74|0.7034600000000001|0.7034600000000001|-1633.297494|-0.1970599999999999|-1633.348356|5.0659|9.0|8.0458
5b_a49|0.0|0|0|2|2|1.343848745|2.119588967|0.1108916119999999|-0.007610481|2|0.034466231|1.926253727|-0.418576471|0.005836378|-0.0695402359999999|10.9297646|0.059834711|1|-0.230763367|2|0.6981815290000001|-0.006962617|0.099724518|0.666573331|0.7969332440000001|-0.0698098759999999|0.615864196|0.020319986|-41.03213895|170.0796998|0.203066756|119.3565117|-0.026008|-26.42668087|7.020013952999999|69.07083505|0.608694741|-1.300400018|-24.11745318|0.475192312|2764.188493|468.4133145|-764.3358925|-8.985071494|11.94760614|0.905459892|6225.302624|229.9974239|25.1139312|1255.69656|612.7019937000001|0.0|1.0|1.0|1.0|1.0|21.0|2.87|2.07|1.0|3.0|-3.3|4.0|-7.24|396.44|1.0|1.0|2.58|0.000496|0.1969999999999999|0.000118|0.0468|0.0|0.0|2.3e-05|-0.04453|5.1653|3.92|3.9209|-1292.139616|-1292.100239|633.92|240.03|451.32|0.39241|0.65269|-1291.873941|-0.20701|-1291.929428|6.1996|28.0|7.5528
3_a47|0.0|0|0|0|0|1.304465159|0.0|0.013076203|-0.008740449|2|0.03308642|1.416887578|-0.367098851|-0.008828261|0.103847816|10.93671092|0.013073797|0|-0.024240921|2|0.900251233|0.104873188|0.022804181|0.815682427|0.854727481|-0.083129079|0.4661246329999999|0.008609292|-43.59237092|98.29790989|0.145272519|76.18000386|-0.036461577|-26.06896797|2.367459086|1.139378223|0.7849694909999999|-1.422001494|-22.85956767|0.403777634|2243.894237|448.2137648|-745.6887227000001|-10.02652614|10.84023999|0.67722658|5022.029588|112.7606591|24.35791949|949.95886|418.022895|1.0|1.0|1.0|1.0|2.0|22.0|5.4|2.88|1.0|3.0|-5.54|3.0|-5.16|347.8|1.0|1.0|4.02|2.86e-06|0.000995|4.49e-06|0.00156|0.0|0.0|1.33e-06|-0.05717|5.6998|4.12|3.7284|-1470.137664|-1470.101469|556.65|217.52|402.58|0.52977|0.69138|-1469.969304|-0.2119|-1470.0192869999998|5.3274|316.0|6.5
9o_a24|0.0|1|0|1|1|1.294229152|0.0|-0.064667223|-0.007052095|3|0.028472222|0.0|-0.387865233|0.0012214139999999|-0.097596429|10.94506726|-0.000236595|1|0.00294424|2|0.738419215|-0.0062180169999999|-0.000453155|0.7086274779999999|0.770273808|-0.088586421|0.6253256110000001|0.018492771|-51.29122728|32.50178358|0.229726192|133.0106596|-0.032911684|-29.61546471|6.1994599720000005|44.8382925|0.668046377|-1.678495905|-29.69744072|0.4861134689999999|2892.333138|445.9858336|-971.8432428|-11.03321234|11.83284872|0.945954873|6697.297449000001|192.1999837|28.52459128|1454.754155|663.2688909|1.0|0.0|1.0|1.0|2.0|23.0|4.36|1.23|1.0|6.0|-4.49|5.0|-6.83|421.45|0.0|0.0|3.01|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0167|0.0|0.0|5.23e-06|-0.04527|5.8802|4.41|4.2643|-1388.147972|-1388.094657|611.03|210.85|432.84|0.41688|0.65292|-1387.887227|-0.22353|-1387.945865|5.9089|446.0|6.3507
12a_a5|0.0|1|0|1|1|1.338814635|0.0|-0.256282289|-0.00166971|2|0.023108466|0.0|-0.09350376|0.00873078|-0.114419442|10.94553751|-0.032601907|1|-0.093973419|2|0.762866363|0.1121034509999999|-0.063558439|0.741588813|0.894590896|-0.058605038|0.337539208|0.0081891369999999|-36.01436435|13.74268646|0.105409104|64.77671525|-0.026030816|-25.55893402|3.0925714930000003|0.0|0.746785093|-1.353602454|-22.13179066|0.457755771|2524.410428|549.7500455|-831.8249311000001|-9.830359239|16.12184989|0.844187448|5294.775577|155.6073368|21.42066499|1113.8745800000002|650.3600841|0.0|1.0|1.0|1.0|1.0|23.0|4.26|2.17|1.0|5.0|-4.27|4.0|-6.23|381.47|1.0|0.0|3.58|5.37e-05|0.0205|2.56e-05|0.00977|0.0|0.0|5.660000000000001e-07|-0.04076|4.6865|2.91|4.1610000000000005|-1202.02622|-1201.990542|667.31|264.55|508.81|0.50831|0.67169|-1201.750315|-0.21228|-1201.8082029999998|3.9457|19.0|7.7212
